time,frequency,confidence
0.000,603.530,0.058641
0.010,656.835,0.087265
0.020,663.363,0.055217
0.030,591.239,0.088630
0.040,1959.297,0.019387
0.050,1959.295,0.019301
0.060,1959.291,0.019289
0.070,1959.291,0.019289
0.080,1959.286,0.019291
0.090,1959.274,0.019320
0.100,1959.262,0.019367
0.110,1959.263,0.019423
0.120,1959.265,0.019460
0.130,1959.265,0.019554
0.140,1959.276,0.019559
0.150,1959.276,0.019558
0.160,1959.274,0.019556
0.170,1959.276,0.019563
0.180,1959.275,0.019567
0.190,1959.274,0.019587
0.200,1959.276,0.019604
0.210,1959.278,0.019610
0.220,1959.278,0.019607
0.230,1959.282,0.019602
0.240,1959.281,0.019599
0.250,1959.280,0.019588
0.260,1959.285,0.019590
0.270,1959.288,0.019586
0.280,1959.289,0.019585
0.290,1959.287,0.019583
0.300,1959.287,0.019583
0.310,1959.287,0.019583
0.320,1959.287,0.019583
0.330,1959.287,0.019583
0.340,1959.287,0.019583
0.350,1959.287,0.019583
0.360,1959.287,0.019583
0.370,1959.287,0.019583
0.380,1959.288,0.019580
0.390,1959.285,0.019585
0.400,1959.282,0.019588
0.410,1959.287,0.019580
0.420,1959.295,0.019531
0.430,1959.309,0.019479
0.440,1959.306,0.019428
0.450,1959.301,0.019394
0.460,1959.298,0.019312
0.470,1959.292,0.019296
0.480,1959.293,0.019292
0.490,1959.296,0.019282
0.500,1959.300,0.019278
0.510,1959.298,0.019282
0.520,1959.297,0.019278
0.530,1959.299,0.019281
0.540,1959.303,0.019282
0.550,1959.301,0.019272
0.560,1959.303,0.019276
0.570,1959.304,0.019297
0.580,1959.297,0.019314
0.590,1959.291,0.019329
0.600,1959.292,0.019331
0.610,1959.294,0.019333
0.620,1959.294,0.019337
0.630,1959.293,0.019340
0.640,1959.294,0.019356
0.650,1959.296,0.019351
0.660,1959.299,0.019363
0.670,1959.295,0.019391
0.680,1959.291,0.019408
0.690,1959.289,0.019418
0.700,1959.290,0.019428
0.710,1959.283,0.019426
0.720,1959.286,0.019423
0.730,1959.291,0.019420
0.740,1959.295,0.019416
0.750,1959.297,0.019418
0.760,1959.299,0.019417
0.770,1959.297,0.019428
0.780,1959.291,0.019433
0.790,1959.288,0.019436
0.800,1959.286,0.019446
0.810,1959.292,0.019449
0.820,1959.294,0.019454
0.830,1959.296,0.019465
0.840,1959.294,0.019474
0.850,1959.287,0.019478
0.860,1959.280,0.019475
0.870,1959.275,0.019477
0.880,1959.271,0.019480
0.890,1959.269,0.019486
0.900,1959.274,0.019477
0.910,1959.275,0.019485
0.920,1959.279,0.019500
0.930,1959.276,0.019511
0.940,1959.269,0.019486
0.950,1959.266,0.019486
0.960,1959.263,0.019462
0.970,1959.260,0.019459
0.980,1959.261,0.019441
0.990,1959.253,0.019433
1.000,1959.250,0.019415
1.010,1959.246,0.019391
1.020,1959.247,0.019388
1.030,1959.249,0.019393
1.040,1959.250,0.019417
1.050,1959.247,0.019416
1.060,1959.245,0.019393
1.070,1959.252,0.019382
1.080,1959.255,0.019378
1.090,1959.257,0.019373
1.100,1959.260,0.019391
1.110,1959.263,0.019404
1.120,1959.263,0.019427
1.130,1959.268,0.019427
1.140,1959.263,0.019413
1.150,1959.265,0.019405
1.160,1959.269,0.019416
1.170,1959.274,0.019430
1.180,1959.277,0.019442
1.190,1959.276,0.019447
1.200,1959.275,0.019451
1.210,1959.275,0.019447
1.220,1959.279,0.019444
1.230,1959.281,0.019443
1.240,1959.280,0.019437
1.250,1959.278,0.019447
1.260,1959.272,0.019463
1.270,1959.268,0.019479
1.280,1959.266,0.019494
1.290,1959.265,0.019499
1.300,1959.265,0.019480
1.310,1959.259,0.019476
1.320,1959.258,0.019483
1.330,1959.252,0.019483
1.340,1959.247,0.019452
1.350,1959.241,0.019429
1.360,1959.242,0.019418
1.370,1959.242,0.019411
1.380,1959.237,0.019411
1.390,1959.239,0.019408
1.400,550.782,0.260947
1.410,553.731,0.311502
1.420,558.225,0.074526
1.430,116.383,0.021474
1.440,33.090,0.066588
1.450,32.995,0.039795
1.460,132.853,0.024718
1.470,32.967,0.015287
1.480,941.606,0.010420
1.490,65.133,0.036719
1.500,64.654,0.034208
1.510,64.547,0.025840
1.520,941.585,0.028965
1.530,1052.811,0.025701
1.540,1032.074,0.021940
1.550,33.235,0.102689
1.560,32.785,0.143940
1.570,63.227,0.066242
1.580,69.045,0.135573
1.590,175.858,0.066108
1.600,161.520,0.051327
1.610,162.940,0.134048
1.620,32.946,0.335863
1.630,37.617,0.114115
1.640,36.150,0.084834
1.650,32.036,0.043628
1.660,56.935,0.011575
1.670,57.002,0.007673
1.680,152.616,0.011929
1.690,51.296,0.008284
1.700,178.729,0.012865
1.710,128.237,0.029472
1.720,179.534,0.038290
1.730,292.155,0.085422
1.740,149.287,0.033007
1.750,37.736,0.040224
1.760,40.605,0.011298
1.770,1227.451,0.007083
1.780,100.187,0.011187
1.790,172.391,0.103825
1.800,167.201,0.252689
1.810,315.746,0.064324
1.820,165.928,0.122670
1.830,140.603,0.017654
1.840,140.526,0.015003
1.850,141.472,0.016627
1.860,176.414,0.007616
1.870,157.813,0.007468
1.880,32.321,0.025411
1.890,988.387,0.019233
1.900,51.768,0.166320
1.910,52.401,0.035709
1.920,164.557,0.022423
1.930,169.704,0.072997
1.940,170.069,0.111482
1.950,1225.971,0.046747
1.960,1232.991,0.029639
1.970,1240.387,0.042090
1.980,1251.733,0.027181
1.990,1964.585,0.026518
2.000,1968.398,0.014590
2.010,398.041,0.064277
2.020,396.631,0.045145
2.030,979.370,0.008444
2.040,472.552,0.038927
2.050,162.364,0.131585
2.060,32.381,0.216260
2.070,32.684,0.266218
2.080,39.722,0.006349
2.090,40.945,0.008560
2.100,99.425,0.074068
2.110,32.941,0.522057
2.120,32.746,0.601828
2.130,62.881,0.206933
2.140,62.946,0.156438
2.150,65.371,0.029555
2.160,195.196,0.045651
2.170,396.926,0.009372
2.180,33.047,0.020292
2.190,32.243,0.015974
2.200,32.336,0.009760
2.210,165.300,0.015541
2.220,33.910,0.244874
2.230,33.782,0.271136
2.240,32.710,0.033190
2.250,32.919,0.003436
2.260,657.480,0.070163
2.270,650.687,0.082659
2.280,32.252,0.045883
2.290,32.425,0.083008
2.300,1117.015,0.018570
2.310,1114.658,0.029481
2.320,1157.697,0.058460
2.330,328.080,0.025296
2.340,1039.497,0.024481
2.350,634.672,0.057723
2.360,636.206,0.094138
2.370,949.635,0.027752
2.380,51.386,0.157958
2.390,51.326,0.253935
2.400,51.382,0.015367
2.410,32.244,0.009128
2.420,974.104,0.007835
2.430,51.912,0.012002
2.440,322.472,0.070847
2.450,32.596,0.057451
2.460,33.638,0.458714
2.470,34.118,0.384801
2.480,34.435,0.049290
2.490,1184.169,0.013664
2.500,1888.942,0.015589
2.510,1024.669,0.015732
2.520,1028.541,0.010667
2.530,629.505,0.021789
2.540,1190.927,0.015497
2.550,32.251,0.008488
2.560,434.470,0.025093
2.570,32.382,0.047897
2.580,32.107,0.023618
2.590,32.293,0.014983
2.600,177.032,0.069377
2.610,98.420,0.067145
2.620,400.866,0.105143
2.630,83.996,0.088566
2.640,581.367,0.106112
2.650,47.191,0.045046
2.660,42.971,0.068873
2.670,32.807,0.151037
2.680,54.367,0.037775
2.690,1224.010,0.020842
2.700,1965.899,0.015422
2.710,1891.582,0.015527
2.720,1884.671,0.007548
2.730,166.547,0.029456
2.740,163.804,0.084594
2.750,163.504,0.034457
2.760,173.854,0.012429
2.770,1970.392,0.016046
2.780,1968.785,0.005894
2.790,1182.864,0.014673
2.800,1194.998,0.016747
2.810,601.593,0.054565
2.820,603.018,0.088760
2.830,604.836,0.017662
2.840,32.828,0.010188
2.850,33.104,0.065283
2.860,33.091,0.098159
2.870,77.801,0.018095
2.880,32.228,0.014761
2.890,225.838,0.153833
2.900,32.265,0.042579
2.910,32.379,0.049476
2.920,35.582,0.007790
2.930,40.489,0.005703
2.940,106.652,0.013799
2.950,33.197,0.075960
2.960,33.259,0.322097
2.970,32.597,0.104378
2.980,62.555,0.279122
2.990,64.317,0.076105
3.000,938.521,0.046840
3.010,1966.618,0.014426
3.020,33.065,0.016306
3.030,32.213,0.029683
3.040,32.386,0.073151
3.050,32.611,0.065861
3.060,32.725,0.222354
3.070,33.019,0.035826
3.080,33.119,0.112555
3.090,32.641,0.065091
3.100,276.583,0.109500
3.110,266.926,0.035532
3.120,162.441,0.105683
3.130,163.924,0.025577
3.140,165.879,0.041135
3.150,85.338,0.089112
3.160,84.978,0.049291
3.170,253.567,0.064994
3.180,62.452,0.060767
3.190,63.277,0.096602
3.200,63.261,0.159971
3.210,62.136,0.062194
3.220,660.607,0.081650
3.230,633.125,0.053473
3.240,454.082,0.026272
3.250,32.164,0.159433
3.260,1229.740,0.011872
3.270,1866.319,0.009693
3.280,1023.455,0.029512
3.290,32.351,0.034857
3.300,32.190,0.046411
3.310,32.228,0.025311
3.320,51.813,0.032032
3.330,52.415,0.059616
3.340,164.546,0.034667
3.350,33.866,0.344810
3.360,33.913,0.033788
3.370,1965.485,0.009423
3.380,1399.403,0.012321
3.390,1963.317,0.037596
3.400,640.943,0.038479
3.410,643.847,0.066216
3.420,32.414,0.113626
3.430,32.393,0.146448
3.440,32.855,0.100003
3.450,39.670,0.007974
3.460,40.245,0.012810
3.470,102.933,0.034837
3.480,34.407,0.694480
3.490,34.033,0.722605
3.500,32.553,0.270055
3.510,63.011,0.435014
3.520,62.108,0.113960
3.530,220.580,0.117825
3.540,219.632,0.027117
3.550,32.671,0.014477
3.560,1854.382,0.014808
3.570,1290.466,0.006241
3.580,32.582,0.025961
3.590,32.611,0.048547
3.600,32.630,0.020488
3.610,32.314,0.031612
3.620,1127.125,0.009003
3.630,1164.222,0.011602
3.640,1883.333,0.024826
3.650,33.151,0.013951
3.660,1926.863,0.010013
3.670,1973.423,0.019724
3.680,1978.401,0.031711
3.690,129.987,0.014953
3.700,1318.157,0.013547
3.710,988.379,0.005571
3.720,1232.822,0.010571
3.730,345.545,0.076049
3.740,328.433,0.046905
3.750,32.377,0.091820
3.760,33.398,0.052004
3.770,39.497,0.010044
3.780,40.940,0.005558
