time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055955
0.040,1958.538,0.013986
0.050,1958.527,0.013930
0.060,1958.525,0.013944
0.070,1958.525,0.013944
0.080,1958.521,0.013943
0.090,1958.519,0.013955
0.100,1958.528,0.013978
0.110,1958.562,0.014035
0.120,1958.597,0.014081
0.130,1958.615,0.014138
0.140,1958.611,0.014127
0.150,1958.611,0.014127
0.160,1958.612,0.014126
0.170,1958.614,0.014132
0.180,1958.613,0.014133
0.190,1958.615,0.014135
0.200,1958.617,0.014132
0.210,1958.613,0.014133
0.220,1958.619,0.014143
0.230,1958.620,0.014144
0.240,550.436,0.127045
0.250,1038.530,0.010734
0.260,658.779,0.065609
0.270,643.307,0.099283
0.280,596.787,0.077260
0.290,1049.982,0.008160
0.300,32.298,0.005217
0.310,32.196,0.064264
0.320,32.226,0.461850
0.330,32.372,0.066843
0.340,32.313,0.004515
0.350,1110.684,0.005117
0.360,1126.614,0.011521
0.370,42.848,0.016404
0.380,1120.969,0.004726
0.390,987.293,0.004534
0.400,1162.864,0.029541
0.410,1604.071,0.043922
0.420,33.035,0.163968
0.430,32.170,0.151228
0.440,32.117,0.083588
0.450,1000.568,0.012126
0.460,1015.501,0.007876
0.470,1059.795,0.003859
0.480,1769.812,0.005973
0.490,1738.479,0.014011
0.500,1072.686,0.006245
0.510,1785.183,0.008164
0.520,1788.247,0.009854
0.530,34.265,0.021108
0.540,43.249,0.055668
0.550,42.510,0.161747
0.560,1214.194,0.006970
0.570,177.519,0.007472
0.580,176.033,0.001876
0.590,1085.518,0.006478
0.600,980.430,0.013231
0.610,976.099,0.005638
0.620,975.731,0.012764
0.630,181.401,0.008100
0.640,176.449,0.016818
0.650,1171.306,0.019458
0.660,1019.429,0.028640
0.670,1033.574,0.013578
0.680,1040.707,0.012149
0.690,1294.848,0.017660
0.700,32.321,0.007441
0.710,1116.859,0.001742
0.720,1328.929,0.005503
0.730,32.236,0.016510
0.740,1069.517,0.005880
0.750,539.673,0.004121
0.760,1189.978,0.003584
0.770,32.218,0.009460
0.780,34.284,0.289280
0.790,34.459,0.834325
0.800,34.288,0.396933
0.810,32.368,0.046706
0.820,229.822,0.023632
0.830,221.691,0.034509
0.840,884.714,0.037259
0.850,222.143,0.033008
0.860,1732.185,0.005152
0.870,1760.656,0.005745
0.880,1000.152,0.007182
0.890,998.351,0.020894
0.900,237.987,0.094984
0.910,990.758,0.026404
0.920,32.410,0.027708
0.930,32.132,0.019126
0.940,1851.169,0.007604
0.950,1852.629,0.007250
0.960,1176.560,0.019806
0.970,1181.673,0.035651
0.980,244.462,0.022462
0.990,1233.638,0.017609
1.000,244.861,0.089888
1.010,242.180,0.056657
1.020,242.213,0.013128
1.030,76.909,0.020684
1.040,944.500,0.006364
1.050,1320.297,0.002976
1.060,34.536,0.022212
1.070,34.888,0.011245
1.080,685.706,0.020042
1.090,887.849,0.020027
1.100,1575.655,0.019753
1.110,1573.597,0.040026
1.120,1581.753,0.042494
1.130,1591.761,0.017127
1.140,1604.564,0.053969
1.150,221.098,0.089380
1.160,235.202,0.350768
1.170,231.570,0.570180
1.180,233.021,0.704343
1.190,233.587,0.812443
1.200,233.492,0.877199
1.210,233.352,0.844910
1.220,232.203,0.737899
1.230,231.731,0.769348
1.240,232.457,0.803781
1.250,233.158,0.828356
1.260,233.500,0.818268
1.270,232.911,0.753545
1.280,231.063,0.767060
1.290,229.905,0.712260
1.300,229.451,0.701478
1.310,229.408,0.610527
1.320,230.177,0.350365
1.330,233.762,0.229175
1.340,235.783,0.096122
1.350,220.174,0.068479
1.360,108.604,0.039011
1.370,590.723,0.046503
1.380,228.804,0.501301
1.390,237.050,0.433359
1.400,239.686,0.121991
1.410,662.936,0.082805
1.420,659.602,0.123985
1.430,645.878,0.135290
1.440,644.292,0.139195
1.450,649.588,0.098584
1.460,329.351,0.075052
1.470,662.752,0.077450
1.480,663.389,0.080778
1.490,1958.421,0.013848
1.500,1958.429,0.013891
1.510,1958.440,0.013922
1.520,1958.440,0.013918
1.530,1958.447,0.013922
1.540,1958.457,0.013899
1.550,1958.475,0.013927
1.560,1958.475,0.013928
1.570,1958.487,0.013962
1.580,1958.502,0.013990
1.590,1958.504,0.014007
1.600,1958.494,0.014014
1.610,1958.489,0.014003
1.620,1958.493,0.013991
1.630,1958.503,0.014000
1.640,1958.502,0.013977
1.650,1958.514,0.014001
1.660,1958.511,0.013985
1.670,1958.514,0.014004
1.680,1958.502,0.014010
1.690,1958.503,0.013996
1.700,1958.498,0.013968
1.710,1958.497,0.013945
1.720,1958.507,0.013925
1.730,1958.513,0.013931
1.740,1958.528,0.013966
1.750,1958.562,0.014032
1.760,1958.608,0.014070
1.770,1958.618,0.014117
1.780,1958.626,0.014114
1.790,1958.643,0.014117
1.800,1958.646,0.014099
1.810,1958.646,0.014091
1.820,1958.651,0.014096
1.830,1958.657,0.014110
1.840,1958.664,0.014119
1.850,1958.645,0.014094
1.860,1958.631,0.014115
1.870,1958.617,0.014126
1.880,1958.601,0.014120
1.890,1958.584,0.014114
1.900,1958.582,0.014127
1.910,1958.592,0.014119
1.920,1958.592,0.014102
1.930,1958.596,0.014103
1.940,1958.619,0.014094
1.950,1958.625,0.014089
1.960,1958.642,0.014099
1.970,1958.089,0.013757
1.980,557.076,0.082342
1.990,589.928,0.071475
2.000,396.008,0.052526
2.010,651.006,0.064050
2.020,659.094,0.104400
2.030,591.355,0.038754
2.040,33.307,0.102158
2.050,32.841,0.042931
2.060,117.970,0.012206
2.070,118.904,0.035876
2.080,327.414,0.147343
2.090,32.494,0.142262
2.100,32.725,0.137681
2.110,54.482,0.041931
2.120,337.989,0.044088
2.130,692.321,0.095857
2.140,653.667,0.195456
2.150,223.419,0.034388
2.160,32.109,0.027772
2.170,33.333,0.133703
2.180,32.339,0.004811
2.190,1322.749,0.002025
2.200,50.781,0.005838
2.210,50.827,0.634222
2.220,51.157,0.116588
2.230,32.154,0.015206
2.240,45.913,0.457201
2.250,45.837,0.007110
2.260,99.069,0.126595
2.270,49.142,0.040866
2.280,539.579,0.039189
2.290,1959.577,0.020919
2.300,1959.568,0.020947
2.310,1959.569,0.020976
2.320,1959.579,0.020970
2.330,1959.580,0.020970
2.340,551.682,0.205126
2.350,580.276,0.105476
2.360,32.307,0.025891
2.370,33.413,0.229527
2.380,32.714,0.036260
2.390,48.660,0.071944
2.400,1959.596,0.114581
2.410,276.351,0.089122
2.420,32.522,0.021260
2.430,33.365,0.155784
2.440,45.057,0.026836
2.450,48.728,0.073015
2.460,655.440,0.255701
2.470,275.755,0.156658
2.480,233.705,0.032548
2.490,32.248,0.028679
2.500,46.104,0.034575
2.510,35.178,0.024245
2.520,50.119,0.058778
2.530,157.960,0.196530
2.540,162.350,0.175552
2.550,553.697,0.192375
2.560,662.088,0.271151
2.570,32.551,0.098407
2.580,32.486,0.185761
2.590,48.974,0.032873
2.600,664.490,0.065750
2.610,670.573,0.008425
2.620,32.184,0.071631
2.630,32.163,0.136113
2.640,69.946,0.093653
2.650,69.775,0.018041
2.660,48.722,0.067230
2.670,666.271,0.113254
2.680,554.947,0.156831
2.690,32.329,0.032679
2.700,32.551,0.062556
2.710,32.605,0.105347
2.720,49.113,0.015634
2.730,54.346,0.048130
2.740,663.873,0.221363
2.750,32.539,0.027660
2.760,32.572,0.045753
2.770,33.146,0.123128
2.780,48.610,0.022624
2.790,49.160,0.063274
2.800,697.691,0.115517
2.810,578.981,0.125446
2.820,32.309,0.031941
2.830,32.310,0.021796
2.840,51.322,0.031909
2.850,51.368,0.274050
2.860,34.364,0.022581
2.870,34.719,0.885462
2.880,34.733,0.914224
2.890,32.744,0.078797
2.900,48.587,0.127780
2.910,49.146,0.097261
2.920,1959.234,0.009122
2.930,1959.209,0.020160
2.940,1959.195,0.020208
2.950,1959.187,0.020213
2.960,1959.190,0.020197
2.970,1959.182,0.020159
2.980,1959.184,0.020133
2.990,1959.183,0.020122
3.000,1959.192,0.020100
3.010,1959.191,0.020061
3.020,1959.186,0.020002
3.030,1959.166,0.019944
3.040,1959.140,0.019898
3.050,1959.124,0.019863
3.060,1959.125,0.019859
3.070,1959.120,0.019900
3.080,1959.094,0.019947
3.090,1959.090,0.019955
3.100,1959.090,0.019929
3.110,1959.101,0.019909
3.120,1959.110,0.019914
3.130,553.337,0.160300
3.140,220.904,0.130000
3.150,100.351,0.057363
3.160,33.373,0.139010
3.170,101.365,0.395692
3.180,101.273,0.334267
3.190,99.852,0.040831
3.200,654.594,0.158715
3.210,435.208,0.023303
3.220,53.894,0.042889
3.230,53.314,0.386460
3.240,53.225,0.385391
3.250,53.312,0.081360
3.260,51.802,0.009495
3.270,1235.609,0.008398
3.280,32.593,0.051250
3.290,76.737,0.095354
3.300,77.050,0.044680
3.310,1970.750,0.029557
3.320,164.123,0.063162
3.330,1959.423,0.020866
3.340,1959.457,0.020936
3.350,1959.455,0.020943
3.360,1959.462,0.020932
3.370,1959.465,0.020906
3.380,1959.470,0.020931
3.390,1959.479,0.021029
3.400,554.432,0.120815
3.410,32.470,0.056782
3.420,33.122,0.080027
3.430,32.825,0.201913
3.440,48.528,0.060849
3.450,49.246,0.129090
3.460,668.264,0.159872
3.470,554.790,0.125023
3.480,32.509,0.017948
3.490,33.311,0.112579
3.500,32.806,0.047185
3.510,48.713,0.041160
3.520,49.116,0.060408
3.530,553.780,0.162270
3.540,32.497,0.034142
3.550,32.612,0.051150
3.560,32.616,0.115386
3.570,48.513,0.026800
3.580,49.198,0.065083
3.590,1948.128,0.091065
3.600,1959.395,0.021246
3.610,1959.385,0.021233
3.620,1959.375,0.021231
3.630,1959.370,0.021277
3.640,1959.363,0.021285
3.650,1959.361,0.021286
3.660,1959.359,0.021289
3.670,1959.355,0.021242
3.680,1959.367,0.021186
3.690,1959.358,0.021179
3.700,1959.359,0.021165
3.710,1959.361,0.021143
3.720,1959.361,0.021164
3.730,1959.367,0.021175
3.740,554.569,0.250193
3.750,580.553,0.184762
3.760,32.490,0.055270
3.770,32.521,0.134746
3.780,49.204,0.046286
3.790,1187.203,0.095443
3.800,663.917,0.078197
3.810,32.332,0.019737
3.820,33.363,0.160887
3.830,48.057,0.026968
3.840,48.807,0.075769
3.850,666.952,0.094454
3.860,1959.397,0.021027
3.870,1959.417,0.021020
3.880,1959.425,0.021039
3.890,1959.426,0.021038
3.900,1959.443,0.021038
3.910,1959.441,0.021058
3.920,1959.447,0.021078
3.930,1959.436,0.021117
3.940,1959.422,0.021126
3.950,1959.418,0.021132
3.960,1959.429,0.021130
3.970,1959.437,0.021169
3.980,1050.962,0.029529
3.990,1024.637,0.011067
4.000,657.576,0.110249
4.010,646.819,0.070901
4.020,657.209,0.102157
4.030,659.005,0.032910
4.040,726.143,0.018187
