time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,547.162,0.090873
0.230,587.538,0.102621
0.240,596.764,0.068977
0.250,602.376,0.043259
0.260,650.547,0.064988
0.270,662.647,0.066804
0.280,545.781,0.130765
0.290,577.395,0.420214
0.300,32.182,0.054989
0.310,32.307,0.142675
0.320,48.068,0.166045
0.330,48.174,0.107743
0.340,1030.587,0.021218
0.350,1028.928,0.027123
0.360,366.541,0.056065
0.370,359.613,0.128694
0.380,352.410,0.068462
0.390,39.176,0.403437
0.400,39.049,0.660237
0.410,33.297,0.011618
0.420,146.910,0.026282
0.430,32.456,0.034713
0.440,37.261,0.096296
0.450,37.034,0.039786
0.460,35.664,0.067365
0.470,35.288,0.156520
0.480,36.448,0.055599
0.490,145.898,0.053307
0.500,36.312,0.176099
0.510,36.319,0.617870
0.520,36.886,0.114026
0.530,33.131,0.049500
0.540,33.191,0.019803
0.550,70.988,0.082980
0.560,71.758,0.248886
0.570,72.197,0.444887
0.580,73.056,0.368129
0.590,75.476,0.042713
0.600,1045.397,0.150217
0.610,1044.360,0.189594
0.620,1045.919,0.206779
0.630,443.330,0.122239
0.640,443.498,0.195077
0.650,294.082,0.263915
0.660,293.822,0.480192
0.670,294.740,0.556169
0.680,295.212,0.580701
0.690,294.906,0.474038
0.700,294.287,0.189129
0.710,588.613,0.212325
0.720,589.100,0.106725
0.730,295.765,0.089529
0.740,293.223,0.181669
0.750,291.687,0.300125
0.760,291.114,0.389144
0.770,290.968,0.396544
0.780,583.097,0.597525
0.790,292.186,0.317302
0.800,32.371,0.072842
0.810,32.191,0.123185
0.820,34.293,0.127088
0.830,32.222,0.022169
0.840,32.181,0.024582
0.850,35.100,0.052336
0.860,34.099,0.034927
0.870,32.385,0.029903
0.880,1221.188,0.037063
0.890,1943.673,0.029385
0.900,877.822,0.040052
0.910,1194.395,0.037338
0.920,1185.807,0.055373
0.930,879.244,0.132882
0.940,879.873,0.084026
0.950,876.146,0.028115
0.960,879.151,0.054420
0.970,1167.169,0.074597
0.980,1164.642,0.124157
0.990,1173.584,0.079542
1.000,1175.494,0.053782
1.010,231.774,0.021757
1.020,116.364,0.060006
1.030,221.767,0.194703
1.040,285.036,0.028559
1.050,34.094,0.133957
1.060,33.846,0.087066
1.070,44.405,0.008072
1.080,1206.895,0.011237
1.090,951.391,0.021047
1.100,54.033,0.208984
1.110,44.549,0.054853
1.120,885.195,0.166881
1.130,880.132,0.127016
1.140,40.991,0.226964
1.150,41.288,0.345265
1.160,879.542,0.120289
1.170,880.447,0.081990
1.180,878.643,0.108245
1.190,877.723,0.129109
1.200,436.567,0.222000
1.210,437.131,0.207705
1.220,87.244,0.281938
1.230,86.828,0.213086
1.240,582.294,0.172949
1.250,349.791,0.181997
1.260,584.509,0.193136
1.270,585.327,0.331413
1.280,348.260,0.214077
1.290,32.193,0.044895
1.300,35.132,0.065518
1.310,32.386,0.024785
1.320,45.955,0.036306
1.330,1183.113,0.027776
1.340,54.694,0.033899
1.350,143.716,0.027969
1.360,217.023,0.102044
1.370,867.502,0.037255
1.380,1323.171,0.054581
1.390,339.333,0.023479
1.400,36.048,0.051438
1.410,345.725,0.187575
1.420,347.136,0.283501
1.430,349.228,0.463849
1.440,1748.811,0.210744
1.450,1751.729,0.244419
1.460,1752.520,0.312186
1.470,583.898,0.403967
1.480,585.509,0.593191
1.490,586.738,0.729322
1.500,587.847,0.654759
1.510,588.807,0.386906
1.520,296.002,0.696605
1.530,587.181,0.379997
1.540,587.595,0.260012
1.550,1818.001,0.044925
1.560,1833.780,0.102109
1.570,1830.455,0.143574
1.580,1826.675,0.073611
1.590,591.121,0.119679
1.600,587.988,0.633597
1.610,588.496,0.485821
1.620,145.656,0.491328
1.630,146.040,0.279677
1.640,587.332,0.035741
1.650,32.475,0.021751
1.660,1160.152,0.031123
1.670,1164.463,0.112952
1.680,1167.399,0.277975
1.690,117.007,0.461379
1.700,116.724,0.292952
1.710,586.330,0.086881
1.720,351.453,0.054784
1.730,348.489,0.051830
1.740,587.550,0.103656
1.750,147.768,0.153517
1.760,146.413,0.298568
