time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,546.638,0.184752
0.290,576.492,0.137603
0.300,146.383,0.058805
0.310,32.508,0.018619
0.320,988.530,0.007747
0.330,1166.413,0.009731
0.340,967.922,0.007934
0.350,1432.516,0.031766
0.360,1025.993,0.028925
0.370,45.689,0.028346
0.380,184.363,0.040112
0.390,201.203,0.163195
0.400,99.285,0.043684
0.410,32.039,0.033136
0.420,32.402,0.017145
0.430,114.453,0.013710
0.440,35.353,0.010368
0.450,35.084,0.043525
0.460,83.738,0.016830
0.470,647.786,0.081064
0.480,189.779,0.039243
0.490,941.250,0.044963
0.500,35.701,0.072551
0.510,35.212,0.717346
0.520,35.025,0.534854
0.530,588.533,0.012744
0.540,397.913,0.076225
0.550,398.167,0.036794
0.560,1973.805,0.064485
0.570,1973.502,0.062783
0.580,657.919,0.056938
0.590,661.873,0.122132
0.600,653.519,0.059845
0.610,650.755,0.048374
0.620,648.146,0.091950
0.630,647.383,0.174398
0.640,657.623,0.029089
0.650,660.078,0.071444
0.660,644.743,0.116001
0.670,644.252,0.156992
0.680,645.146,0.148705
0.690,651.045,0.156841
0.700,657.483,0.122183
0.710,664.725,0.105221
0.720,1242.189,0.028997
0.730,658.105,0.101540
0.740,644.919,0.141649
0.750,644.906,0.162087
0.760,650.921,0.093666
0.770,327.279,0.079334
0.780,539.846,0.223023
0.790,32.682,0.119238
0.800,105.643,0.064209
0.810,33.013,0.228727
0.820,32.744,0.044052
0.830,32.716,0.016008
0.840,975.349,0.004696
0.850,54.875,0.005850
0.860,32.156,0.009930
0.870,32.103,0.007084
0.880,1934.758,0.018616
0.890,1966.464,0.009078
0.900,1972.202,0.014763
0.910,1127.618,0.010562
0.920,1755.515,0.015526
0.930,1770.401,0.033310
0.940,1767.939,0.016775
0.950,1164.289,0.017630
0.960,1183.182,0.012847
0.970,1219.132,0.027388
0.980,1282.826,0.030256
0.990,1311.166,0.008686
1.000,1314.073,0.011960
1.010,1287.484,0.022144
1.020,1292.700,0.019772
1.030,556.063,0.112354
1.040,270.886,0.223011
1.050,268.950,0.041100
1.060,33.276,0.140675
1.070,32.575,0.060482
1.080,1977.094,0.016036
1.090,1975.398,0.057767
1.100,663.604,0.038334
1.110,804.488,0.135519
1.120,864.899,0.141880
1.130,868.685,0.145663
1.140,591.048,0.169809
1.150,597.818,0.141293
1.160,658.155,0.098944
1.170,625.816,0.094976
1.180,661.889,0.093150
1.190,661.158,0.080513
1.200,1035.087,0.088127
1.210,635.922,0.077785
1.220,634.480,0.183113
1.230,597.957,0.165098
1.240,597.270,0.148447
1.250,596.698,0.115617
1.260,657.445,0.093190
1.270,661.393,0.083690
1.280,586.330,0.160323
1.290,580.172,0.066639
1.300,42.924,0.043711
1.310,36.169,0.077984
1.320,44.886,0.072818
1.330,45.564,0.024851
1.340,49.067,0.011528
1.350,1434.080,0.035680
1.360,1241.170,0.040144
1.370,189.420,0.018884
1.380,182.474,0.134997
1.390,195.231,0.107318
1.400,32.024,0.109087
1.410,31.991,0.036139
1.420,32.332,0.005779
1.430,32.354,0.004931
1.440,35.394,0.018436
1.450,35.397,0.098004
1.460,257.562,0.048811
1.470,32.224,0.009033
1.480,181.338,0.001449
1.490,631.533,0.009428
1.500,945.387,0.058429
1.510,37.011,0.461981
1.520,36.022,0.604237
1.530,587.976,0.031462
1.540,275.585,0.203870
1.550,226.545,0.043674
1.560,1973.785,0.034013
1.570,1977.850,0.073231
1.580,1971.493,0.057686
1.590,1955.083,0.089251
1.600,1188.454,0.045466
1.610,596.223,0.056718
1.620,880.570,0.060446
1.630,788.695,0.118074
1.640,786.988,0.145087
1.650,790.994,0.113832
1.660,1171.125,0.117126
1.670,1176.021,0.066522
1.680,1183.146,0.026351
1.690,1731.395,0.037659
1.700,1724.913,0.067788
1.710,590.295,0.110338
1.720,591.029,0.170937
1.730,595.175,0.084739
1.740,595.539,0.054375
1.750,1788.395,0.043367
1.760,32.611,0.007728
