time,frequency,confidence
0.000,646.636,0.071226
0.010,646.376,0.099676
0.020,653.427,0.059557
0.030,547.186,0.198734
0.040,577.140,0.237419
0.050,572.759,0.220004
0.060,193.050,0.081082
0.070,198.883,0.368364
0.080,219.910,0.128329
0.090,220.233,0.121939
0.100,211.735,0.400038
0.110,213.020,0.669103
0.120,219.353,0.595543
0.130,224.280,0.813692
0.140,228.376,0.893056
0.150,231.158,0.882696
0.160,232.555,0.798532
0.170,231.405,0.719146
0.180,233.526,0.796828
0.190,234.549,0.913951
0.200,234.632,0.933416
0.210,234.780,0.926070
0.220,235.841,0.879005
0.230,238.167,0.850437
0.240,240.325,0.916359
0.250,241.805,0.966008
0.260,241.882,0.973748
0.270,240.909,0.952396
0.280,239.047,0.926885
0.290,237.117,0.909758
0.300,235.757,0.885427
0.310,237.077,0.894569
0.320,239.352,0.916106
0.330,241.484,0.929959
0.340,243.010,0.959943
0.350,243.080,0.971090
0.360,242.531,0.975333
0.370,241.119,0.958464
0.380,239.711,0.886762
0.390,235.120,0.703651
0.400,231.273,0.819231
0.410,230.661,0.866461
0.420,230.674,0.866801
0.430,231.175,0.866788
0.440,232.298,0.851399
0.450,234.987,0.884945
0.460,238.341,0.827697
0.470,242.042,0.872850
0.480,244.962,0.944080
0.490,245.575,0.946037
0.500,246.076,0.923392
0.510,245.609,0.946519
0.520,244.927,0.954535
0.530,243.890,0.944019
0.540,243.065,0.957394
0.550,241.433,0.932736
0.560,237.969,0.829323
0.570,235.298,0.872716
0.580,233.856,0.898793
0.590,232.361,0.840134
0.600,230.477,0.836082
0.610,227.657,0.710789
0.620,223.638,0.612035
0.630,219.539,0.467970
0.640,218.338,0.391134
0.650,181.460,0.093640
0.660,178.832,0.159304
0.670,158.933,0.156623
0.680,284.712,0.323588
0.690,297.594,0.381409
0.700,302.877,0.562159
0.710,303.466,0.607052
0.720,297.131,0.303868
0.730,257.754,0.899837
0.740,256.362,0.962288
0.750,255.187,0.943909
0.760,254.762,0.934276
0.770,253.423,0.871202
0.780,250.922,0.591980
0.790,244.659,0.192872
0.800,206.531,0.257011
0.810,51.549,0.119832
0.820,190.983,0.428791
0.830,186.139,0.319038
0.840,181.749,0.397657
0.850,194.061,0.552031
0.860,197.822,0.658329
0.870,200.590,0.736146
0.880,204.134,0.834680
0.890,206.138,0.919227
0.900,207.295,0.904715
0.910,207.899,0.914048
0.920,207.710,0.903046
0.930,209.221,0.888412
0.940,210.946,0.858003
0.950,211.153,0.811495
0.960,206.969,0.828395
0.970,203.725,0.929996
0.980,203.081,0.933835
0.990,201.883,0.924806
1.000,200.526,0.887688
1.010,198.731,0.843974
1.020,196.187,0.564936
1.030,188.477,0.218579
1.040,175.962,0.348966
1.050,176.643,0.259884
1.060,172.350,0.165942
1.070,159.260,0.493850
1.080,156.676,0.576896
1.090,157.227,0.274916
1.100,250.199,0.609091
1.110,249.879,0.742016
1.120,250.257,0.857504
1.130,249.669,0.893228
1.140,248.915,0.870218
1.150,248.024,0.885795
1.160,247.638,0.879220
