time,frequency,confidence
0.000,646.811,0.069701
0.010,647.799,0.101623
0.020,658.876,0.040458
0.030,674.304,0.084538
0.040,43.073,0.879363
0.050,43.059,0.866383
0.060,43.112,0.903666
0.070,43.075,0.860130
0.080,43.043,0.891076
0.090,43.137,0.871619
0.100,42.999,0.867880
0.110,43.077,0.879295
0.120,43.000,0.855989
0.130,43.108,0.902318
0.140,43.068,0.852955
0.150,43.092,0.893042
0.160,43.137,0.871878
0.170,42.893,0.848554
0.180,42.957,0.841914
0.190,42.898,0.672698
0.200,43.535,0.049416
0.210,943.709,0.040350
0.220,690.902,0.054226
0.230,658.613,0.077953
0.240,653.067,0.078994
0.250,658.683,0.110211
0.260,649.740,0.086081
0.270,648.770,0.093771
0.280,427.564,0.111784
0.290,420.720,0.305149
0.300,416.997,0.394873
0.310,414.682,0.409570
0.320,411.335,0.137569
0.330,203.724,0.118100
0.340,205.998,0.202041
0.350,208.360,0.175499
0.360,211.184,0.409707
0.370,210.852,0.428753
0.380,209.893,0.485059
0.390,416.035,0.537852
0.400,208.414,0.402361
0.410,210.366,0.331521
0.420,208.832,0.401773
0.430,417.141,0.598679
0.440,417.046,0.624450
0.450,417.525,0.662072
0.460,208.665,0.729884
0.470,208.688,0.825938
0.480,208.560,0.871672
0.490,209.072,0.825137
0.500,209.066,0.830497
0.510,208.128,0.875646
0.520,207.373,0.862670
0.530,207.606,0.833530
0.540,208.643,0.745071
0.550,208.757,0.741725
0.560,208.561,0.815927
0.570,207.846,0.812281
0.580,206.953,0.608413
0.590,415.338,0.607508
0.600,417.832,0.785548
0.610,420.471,0.664552
0.620,210.670,0.538279
0.630,420.734,0.548627
0.640,415.663,0.764955
0.650,415.095,0.894854
0.660,416.466,0.789963
0.670,208.178,0.645815
0.680,207.773,0.878265
0.690,207.893,0.881019
0.700,208.362,0.858680
0.710,418.099,0.685349
0.720,417.469,0.682471
0.730,208.552,0.723790
0.740,208.717,0.844523
0.750,208.061,0.906422
0.760,207.553,0.879901
0.770,209.490,0.778194
0.780,211.626,0.656401
0.790,207.742,0.755970
0.800,206.827,0.750894
0.810,412.839,0.629862
0.820,207.813,0.825279
0.830,207.955,0.908400
0.840,207.395,0.839808
0.850,207.477,0.832438
0.860,207.512,0.833185
0.870,206.896,0.837270
0.880,207.394,0.555811
0.890,209.288,0.501439
0.900,210.051,0.807861
0.910,209.535,0.879646
0.920,208.653,0.900335
0.930,208.460,0.931078
0.940,208.594,0.942713
0.950,209.102,0.938384
0.960,209.583,0.935133
0.970,209.157,0.947196
0.980,208.163,0.938835
0.990,207.754,0.940277
1.000,208.010,0.934606
1.010,208.391,0.898204
1.020,208.195,0.799092
1.030,206.842,0.832207
1.040,207.456,0.884436
1.050,209.133,0.938808
1.060,209.513,0.923600
1.070,208.757,0.933192
1.080,208.045,0.931489
1.090,208.224,0.933697
1.100,208.877,0.927375
1.110,209.016,0.909089
1.120,208.676,0.814623
1.130,208.466,0.792990
1.140,207.785,0.874697
1.150,207.626,0.918596
1.160,208.233,0.948771
1.170,208.413,0.956706
1.180,208.468,0.952936
1.190,208.708,0.922891
1.200,208.414,0.935909
1.210,207.265,0.910611
1.220,206.393,0.937960
1.230,206.112,0.915599
1.240,206.614,0.838926
1.250,206.860,0.865537
1.260,206.980,0.894474
1.270,206.941,0.883217
1.280,207.512,0.828049
1.290,209.203,0.879754
1.300,209.669,0.926498
1.310,209.442,0.937322
1.320,209.059,0.917912
1.330,208.183,0.929537
1.340,207.659,0.938506
1.350,207.156,0.909720
1.360,207.293,0.889876
1.370,206.836,0.934336
1.380,206.569,0.946806
1.390,206.211,0.919638
1.400,206.418,0.866485
1.410,206.849,0.796382
1.420,208.285,0.864147
