time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,546.771,0.137360
0.220,583.270,0.099232
0.230,595.619,0.078871
0.240,595.795,0.081832
0.250,596.884,0.072942
0.260,597.258,0.078174
0.270,650.223,0.057552
0.280,597.093,0.085056
0.290,578.941,0.100016
0.300,32.340,0.023373
0.310,32.355,0.039624
0.320,32.293,0.146898
0.330,32.608,0.005972
0.340,1205.218,0.021291
0.350,1162.685,0.012489
0.360,35.689,0.184680
0.370,32.889,0.045710
0.380,263.814,0.066701
0.390,1207.790,0.031611
0.400,32.092,0.008524
0.410,121.484,0.008217
0.420,32.531,0.022116
0.430,32.613,0.023560
0.440,34.022,0.076686
0.450,32.757,0.086181
0.460,55.078,0.032681
0.470,1214.636,0.029726
0.480,1773.967,0.029168
0.490,43.509,0.113422
0.500,268.695,0.090567
0.510,267.882,0.108299
0.520,132.382,0.013237
0.530,32.006,0.014824
0.540,155.735,0.076110
0.550,32.157,0.147592
0.560,1907.482,0.030014
0.570,32.520,0.024162
0.580,1859.603,0.062221
0.590,1857.178,0.147402
0.600,1873.941,0.788063
0.610,1871.897,0.909154
0.620,1870.570,0.905371
0.630,1871.186,0.887406
0.640,1869.710,0.881441
0.650,1879.603,0.850035
0.660,1874.890,0.876276
0.670,1875.981,0.808417
0.680,1873.839,0.863611
0.690,1871.668,0.856262
0.700,1858.702,0.627858
0.710,1851.337,0.591403
0.720,1846.812,0.537655
0.730,1841.344,0.314859
0.740,1845.528,0.180364
0.750,1858.186,0.185559
0.760,1853.952,0.170635
0.770,1870.831,0.351774
0.780,1873.753,0.672467
0.790,1874.920,0.785242
0.800,1875.067,0.796596
0.810,1867.482,0.737627
0.820,1860.742,0.663024
0.830,1856.860,0.493244
0.840,1858.540,0.325243
0.850,1827.989,0.392881
0.860,1832.482,0.246245
0.870,1852.954,0.374263
0.880,1855.448,0.612972
0.890,1862.731,0.769018
0.900,1864.291,0.779151
0.910,1864.303,0.762608
0.920,1862.316,0.859559
0.930,1865.587,0.863968
0.940,1867.405,0.630047
0.950,1865.486,0.613265
0.960,1864.758,0.510507
0.970,1864.753,0.209368
0.980,1882.598,0.205555
0.990,1875.880,0.365430
1.000,1856.401,0.456089
1.010,1858.907,0.469031
1.020,1870.967,0.168163
1.030,1864.376,0.135986
1.040,1861.811,0.108772
1.050,590.534,0.255882
1.060,32.688,0.195556
1.070,32.691,0.376499
1.080,32.445,0.048915
1.090,55.190,0.021738
1.100,54.249,0.013075
1.110,1199.906,0.003881
1.120,114.977,0.068852
1.130,234.150,0.059198
1.140,234.661,0.069022
1.150,154.638,0.050492
1.160,1861.875,0.132201
1.170,1870.098,0.136862
1.180,1866.917,0.139522
1.190,1862.673,0.317780
1.200,1855.765,0.388552
1.210,1857.992,0.519557
1.220,1852.644,0.702070
1.230,1850.984,0.618169
1.240,1850.472,0.418632
1.250,1847.772,0.081812
1.260,589.322,0.097476
1.270,150.189,0.106049
1.280,599.442,0.091280
1.290,631.799,0.097195
1.300,635.770,0.118167
1.310,42.946,0.043719
1.320,44.731,0.033200
1.330,37.740,0.043528
1.340,1965.212,0.013497
1.350,1875.449,0.059095
1.360,1869.018,0.604905
1.370,1866.164,0.915007
1.380,1868.963,0.898793
1.390,1870.315,0.875342
1.400,1872.369,0.852047
1.410,1879.729,0.819949
1.420,1878.455,0.770751
1.430,1876.782,0.774671
1.440,1872.713,0.835247
1.450,1862.740,0.640561
1.460,1847.463,0.362459
1.470,1844.020,0.380951
1.480,1846.728,0.401286
1.490,1849.257,0.278433
1.500,1848.608,0.435118
1.510,1851.430,0.403050
1.520,1852.335,0.265918
1.530,1859.413,0.310248
1.540,1861.860,0.269084
1.550,1867.069,0.183879
1.560,315.445,0.250899
1.570,321.651,0.052652
1.580,34.044,0.145843
1.590,32.394,0.202656
1.600,54.985,0.013153
1.610,58.376,0.020674
1.620,1201.289,0.012564
1.630,1789.626,0.016670
1.640,1874.226,0.025269
1.650,1865.537,0.047606
1.660,933.825,0.146618
1.670,1857.986,0.304842
1.680,1862.177,0.367442
1.690,41.630,0.187358
1.700,1857.307,0.054456
1.710,32.561,0.043161
