time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,544.051,0.082015
0.210,580.315,0.046572
0.220,594.904,0.059238
0.230,327.488,0.048945
0.240,327.897,0.045686
0.250,656.168,0.058857
0.260,655.781,0.058580
0.270,650.224,0.053750
0.280,648.082,0.069931
0.290,579.189,0.123436
0.300,32.533,0.025913
0.310,33.271,0.060894
0.320,32.990,0.034115
0.330,48.830,0.092916
0.340,54.526,0.046830
0.350,1201.996,0.012120
0.360,132.080,0.057796
0.370,177.500,0.024987
0.380,1009.717,0.040880
0.390,1031.054,0.138320
0.400,1034.875,0.213210
0.410,1035.273,0.239798
0.420,1030.626,0.230414
0.430,1034.776,0.776572
0.440,1038.852,0.842396
0.450,1039.383,0.905081
0.460,1039.291,0.896822
0.470,1039.447,0.892932
0.480,1036.965,0.875325
0.490,1036.573,0.899268
0.500,1036.595,0.910133
0.510,1036.797,0.914643
0.520,1038.061,0.873083
0.530,1038.381,0.819182
0.540,1043.896,0.250946
0.550,32.788,0.020460
0.560,32.373,0.014639
0.570,718.701,0.014348
0.580,657.972,0.104676
0.590,648.262,0.105358
0.600,32.253,0.013007
0.610,32.199,0.018506
0.620,399.621,0.014071
0.630,32.302,0.012580
0.640,34.385,0.003902
0.650,1830.989,0.009488
0.660,1829.919,0.027602
0.670,1817.864,0.068346
0.680,1825.342,0.039186
0.690,1220.971,0.007938
0.700,34.808,0.176027
0.710,32.279,0.016534
0.720,32.586,0.023089
0.730,177.081,0.025132
0.740,175.903,0.015193
0.750,660.026,0.039028
0.760,327.614,0.036138
0.770,323.402,0.026789
0.780,1386.523,0.026373
0.790,1415.409,0.022125
0.800,1783.783,0.029028
0.810,1735.856,0.019064
0.820,254.207,0.057492
0.830,31.960,0.034491
0.840,32.176,0.010941
0.850,712.070,0.021165
0.860,713.892,0.053722
0.870,644.278,0.096820
0.880,596.865,0.063287
0.890,581.858,0.156214
0.900,32.407,0.040493
0.910,32.192,0.034657
0.920,32.398,0.070976
0.930,32.381,0.024052
0.940,44.306,0.010729
0.950,269.633,0.059288
0.960,1095.997,0.054366
0.970,541.957,0.080573
0.980,322.061,0.051538
0.990,319.488,0.072054
1.000,64.824,0.047283
1.010,53.973,0.098257
1.020,328.468,0.133142
1.030,1334.215,0.072277
1.040,77.899,0.154399
1.050,270.476,0.113726
1.060,273.328,0.151331
1.070,345.101,0.169978
1.080,343.301,0.058536
1.090,1029.043,0.021434
1.100,343.083,0.045264
1.110,340.372,0.032773
1.120,47.352,0.046189
1.130,46.784,0.181255
1.140,46.347,0.260367
1.150,113.717,0.022881
1.160,43.590,0.086554
1.170,43.313,0.129241
1.180,267.621,0.086788
1.190,52.677,0.313997
1.200,52.876,0.310371
1.210,53.651,0.015351
1.220,32.290,0.008112
1.230,1090.183,0.005743
1.240,217.587,0.010161
1.250,1706.506,0.019436
1.260,1115.300,0.018851
1.270,106.047,0.030437
1.280,105.544,0.050342
1.290,35.621,0.021555
1.300,44.280,0.258601
1.310,44.752,0.156291
1.320,1237.476,0.057045
1.330,223.737,0.074290
1.340,218.521,0.099829
1.350,221.315,0.043131
1.360,32.116,0.015940
1.370,32.263,0.026084
1.380,32.420,0.013633
1.390,44.974,0.004356
1.400,1205.764,0.019680
1.410,1071.803,0.023571
1.420,537.471,0.041140
1.430,538.774,0.026395
1.440,267.323,0.033828
1.450,32.659,0.146024
1.460,54.284,0.128756
1.470,44.218,0.137005
1.480,110.653,0.116327
1.490,33.784,0.223102
1.500,1209.828,0.045790
1.510,349.022,0.029245
1.520,431.265,0.016817
1.530,32.202,0.030401
1.540,32.321,0.034585
1.550,589.389,0.130480
1.560,589.943,0.101932
1.570,1222.216,0.043860
1.580,34.235,0.223164
1.590,76.894,0.100138
1.600,46.330,0.074938
1.610,46.153,0.221960
1.620,34.134,0.066037
1.630,341.480,0.323440
1.640,343.233,0.252194
1.650,255.377,0.156056
1.660,255.067,0.212056
1.670,1033.855,0.063819
1.680,1043.019,0.043310
1.690,1037.583,0.028490
1.700,231.809,0.118319
1.710,1022.687,0.066730
1.720,1034.687,0.084333
1.730,1048.373,0.081571
1.740,1047.972,0.031987
1.750,32.376,0.033606
1.760,107.116,0.031747
1.770,106.084,0.030418
1.780,1021.940,0.019340
1.790,1017.535,0.075647
1.800,552.121,0.157511
1.810,147.311,0.030368
1.820,32.314,0.014763
1.830,33.290,0.136836
1.840,32.709,0.009592
1.850,54.495,0.048995
1.860,55.163,0.016441
1.870,131.847,0.015104
1.880,1235.137,0.021493
1.890,1232.815,0.008186
1.900,1073.312,0.011839
1.910,1180.074,0.027689
1.920,1034.091,0.019677
1.930,54.073,0.074199
1.940,32.227,0.019364
1.950,32.039,0.197784
1.960,76.494,0.034820
1.970,152.899,0.074399
1.980,157.441,0.069863
1.990,163.008,0.047233
2.000,1843.899,0.031808
2.010,243.044,0.037717
2.020,322.769,0.063683
2.030,656.779,0.089179
2.040,652.487,0.118563
2.050,657.229,0.102934
2.060,659.158,0.035279
2.070,989.934,0.061393
2.080,577.863,0.077569
2.090,588.123,0.117406
2.100,596.202,0.085016
2.110,590.464,0.259062
2.120,590.606,0.037036
2.130,32.144,0.088054
2.140,32.200,0.038716
2.150,46.918,0.014493
2.160,1214.465,0.048796
2.170,1099.584,0.100224
2.180,540.092,0.129625
2.190,536.515,0.073446
2.200,322.678,0.072490
2.210,54.308,0.091763
2.220,53.981,0.140919
2.230,273.082,0.220571
2.240,224.651,0.107204
2.250,533.719,0.169216
2.260,235.336,0.233516
2.270,241.366,0.061279
2.280,1682.767,0.072939
2.290,48.963,0.070570
2.300,48.415,0.066166
2.310,115.532,0.043792
2.320,233.794,0.253978
2.330,234.761,0.212314
2.340,231.952,0.054938
2.350,56.096,0.052815
2.360,44.970,0.062747
2.370,32.614,0.013765
2.380,113.956,0.019295
2.390,1217.078,0.008268
2.400,42.900,0.035402
2.410,43.668,0.083602
2.420,44.497,0.009862
2.430,35.375,0.025856
2.440,32.259,0.003930
2.450,1254.505,0.011942
2.460,1236.121,0.010858
2.470,1232.594,0.012791
2.480,1071.952,0.007071
2.490,707.172,0.035783
2.500,711.524,0.048600
2.510,531.330,0.052520
2.520,32.683,0.080694
2.530,32.871,0.083558
2.540,32.466,0.065877
2.550,1318.846,0.089811
2.560,276.837,0.131005
2.570,32.664,0.029538
2.580,32.535,0.047774
2.590,33.547,0.238563
2.600,44.895,0.008440
2.610,44.284,0.013730
2.620,135.343,0.016907
2.630,166.956,0.043362
2.640,184.242,0.031741
2.650,205.368,0.082839
2.660,206.055,0.138382
2.670,206.267,0.038190
2.680,658.729,0.027738
2.690,637.237,0.037871
2.700,696.583,0.053672
2.710,547.526,0.234727
2.720,146.589,0.014190
2.730,32.268,0.009668
2.740,33.326,0.094121
2.750,55.122,0.008593
2.760,54.505,0.020981
2.770,1186.005,0.040136
2.780,1116.458,0.026267
2.790,156.797,0.036670
2.800,1005.546,0.029775
2.810,206.329,0.076603
2.820,216.992,0.107415
2.830,1029.211,0.077699
2.840,45.912,0.160045
2.850,1030.057,0.312193
2.860,1034.418,0.413668
2.870,1036.630,0.694283
2.880,1034.616,0.716000
2.890,1034.481,0.693044
2.900,1034.338,0.642155
2.910,1030.099,0.552255
2.920,1026.001,0.374853
2.930,1027.051,0.261107
2.940,1030.342,0.172790
2.950,1035.484,0.123556
2.960,1038.630,0.112645
2.970,161.574,0.064054
2.980,1854.533,0.010007
2.990,156.040,0.069670
3.000,588.209,0.062855
3.010,580.137,0.148519
3.020,585.019,0.110646
3.030,32.471,0.013179
3.040,33.316,0.252073
3.050,32.279,0.006517
3.060,1218.052,0.004190
3.070,1180.208,0.016012
3.080,1119.441,0.015125
3.090,242.304,0.111487
3.100,655.648,0.061810
3.110,650.071,0.058991
3.120,651.202,0.058381
3.130,657.965,0.037989
3.140,1413.839,0.023654
3.150,1406.037,0.013825
3.160,1419.746,0.014529
3.170,32.341,0.035307
3.180,32.170,0.064505
3.190,35.421,0.023709
3.200,35.149,0.011988
3.210,1126.032,0.004963
3.220,44.389,0.011451
3.230,32.861,0.018442
3.240,79.245,0.005854
3.250,586.266,0.130256
3.260,328.080,0.088590
3.270,32.249,0.019503
3.280,32.238,0.012166
3.290,946.548,0.010075
3.300,587.774,0.121593
3.310,594.554,0.109374
3.320,586.707,0.135337
3.330,32.216,0.023228
3.340,32.184,0.060133
3.350,32.379,0.069914
3.360,41.687,0.007904
3.370,134.948,0.039527
3.380,543.490,0.050695
3.390,540.805,0.077492
3.400,538.334,0.087219
3.410,329.888,0.143588
3.420,45.762,0.283291
3.430,45.865,0.133911
3.440,270.122,0.088307
3.450,267.867,0.043005
3.460,223.427,0.056533
3.470,234.333,0.117324
3.480,252.082,0.059930
3.490,251.447,0.162435
3.500,253.098,0.100766
3.510,231.574,0.062961
3.520,114.324,0.138491
3.530,231.615,0.150589
3.540,1253.883,0.061248
3.550,1248.533,0.054750
3.560,33.290,0.068800
3.570,32.900,0.084601
3.580,37.611,0.045704
3.590,44.040,0.010474
3.600,115.277,0.015519
3.610,42.532,0.391210
3.620,43.487,0.058579
3.630,268.243,0.014576
3.640,35.455,0.011414
3.650,33.979,0.010538
3.660,1230.497,0.007695
3.670,1229.093,0.011476
3.680,1283.362,0.005850
3.690,1283.082,0.009200
3.700,1283.527,0.011415
3.710,660.590,0.028929
3.720,1288.133,0.021704
3.730,43.487,0.098786
3.740,43.763,0.637585
3.750,44.130,0.508141
3.760,224.367,0.038841
3.770,553.553,0.137166
3.780,32.785,0.015555
3.790,32.328,0.030753
3.800,33.459,0.343040
3.810,32.916,0.016522
3.820,54.454,0.023111
3.830,134.359,0.064723
3.840,134.116,0.017732
3.850,207.766,0.045625
3.860,208.131,0.189666
3.870,208.946,0.257858
3.880,212.651,0.067010
3.890,1030.626,0.024960
3.900,139.813,0.029546
3.910,712.341,0.038130
3.920,587.802,0.033750
3.930,353.829,0.033767
3.940,586.625,0.023909
3.950,32.123,0.027949
3.960,32.162,0.038956
3.970,589.021,0.051999
3.980,590.337,0.086828
3.990,1021.240,0.074183
4.000,1024.642,0.050170
4.010,398.463,0.058459
4.020,395.076,0.047211
4.030,1025.611,0.040553
4.040,1019.331,0.198057
4.050,1023.586,0.138079
4.060,1022.777,0.045805
4.070,584.396,0.042331
4.080,296.012,0.246011
4.090,296.419,0.135759
