time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1958.310,0.014800
0.050,1958.322,0.014884
0.060,1958.318,0.014870
0.070,1958.314,0.014871
0.080,1958.314,0.014870
0.090,1958.330,0.014834
0.100,1958.326,0.014804
0.110,1958.308,0.014731
0.120,1958.287,0.014679
0.130,1958.275,0.014590
0.140,1958.279,0.014598
0.150,1958.279,0.014598
0.160,1958.279,0.014598
0.170,1958.278,0.014599
0.180,1958.277,0.014599
0.190,544.161,0.069445
0.200,1038.753,0.011348
0.210,1241.278,0.024293
0.220,658.712,0.082176
0.230,650.719,0.120384
0.240,646.460,0.125334
0.250,657.823,0.108356
0.260,597.728,0.090193
0.270,596.077,0.095829
0.280,588.669,0.113940
0.290,163.586,0.031084
0.300,160.825,0.048400
0.310,35.188,0.235174
0.320,35.540,0.092593
0.330,35.988,0.054914
0.340,289.801,0.122633
0.350,290.885,0.753148
0.360,290.778,0.578454
0.370,290.858,0.630269
0.380,97.398,0.236346
0.390,48.524,0.521251
0.400,48.556,0.162073
0.410,388.234,0.098200
0.420,388.370,0.484667
0.430,195.247,0.714259
0.440,194.995,0.797441
0.450,290.165,0.523637
0.460,291.795,0.549566
0.470,293.594,0.391394
0.480,294.192,0.144919
0.490,195.860,0.401349
0.500,390.416,0.523043
0.510,392.104,0.824500
0.520,394.567,0.851431
0.530,397.451,0.856492
0.540,266.534,0.511107
0.550,267.303,0.617449
0.560,268.971,0.746773
0.570,267.480,0.677385
0.580,532.067,0.664551
0.590,532.080,0.446939
0.600,536.009,0.119278
0.610,48.952,0.308552
0.620,49.206,0.315748
0.630,146.547,0.488234
0.640,146.452,0.680566
0.650,146.132,0.802918
0.660,146.013,0.868946
0.670,146.735,0.914475
0.680,147.030,0.927051
0.690,146.960,0.889259
0.700,146.891,0.681912
0.710,146.924,0.609726
0.720,146.631,0.108146
0.730,588.532,0.065405
0.740,587.102,0.073319
0.750,585.945,0.251781
0.760,47.830,0.122381
0.770,47.988,0.184410
0.780,47.814,0.126631
0.790,579.450,0.122963
0.800,585.657,0.607330
0.810,589.323,0.359567
0.820,148.540,0.108134
0.830,587.456,0.265014
0.840,589.397,0.373612
0.850,589.711,0.160013
0.860,36.085,0.119465
0.870,293.673,0.151592
0.880,296.117,0.214944
0.890,296.546,0.130215
0.900,586.844,0.438225
0.910,586.816,0.317201
0.920,585.711,0.198567
0.930,584.736,0.344778
0.940,586.749,0.704464
0.950,587.877,0.414560
0.960,587.831,0.047183
0.970,48.935,0.036702
0.980,54.597,0.024688
0.990,132.020,0.024388
1.000,54.263,0.038247
1.010,48.924,0.214960
1.020,48.922,0.090284
1.030,82.262,0.032375
1.040,42.286,0.060984
1.050,42.757,0.059432
1.060,289.827,0.177052
1.070,290.760,0.299296
1.080,289.038,0.179699
1.090,276.406,0.086524
1.100,273.884,0.164276
1.110,33.850,0.073768
1.120,33.239,0.029587
1.130,55.660,0.034669
1.140,40.067,0.088762
1.150,39.815,0.399302
1.160,37.512,0.307160
1.170,36.509,0.413719
1.180,36.350,0.459715
1.190,586.360,0.200918
1.200,585.107,0.534004
1.210,587.566,0.744479
1.220,588.871,0.498010
1.230,36.625,0.392013
1.240,36.894,0.215874
1.250,49.136,0.045796
1.260,49.318,0.406031
1.270,49.534,0.659938
1.280,49.544,0.426722
1.290,49.645,0.281836
1.300,50.112,0.131606
1.310,49.990,0.056517
1.320,39.028,0.092403
1.330,38.941,0.232901
1.340,38.866,0.178707
1.350,33.692,0.183381
1.360,33.136,0.085327
1.370,32.997,0.099572
1.380,99.583,0.194253
1.390,98.973,0.539609
1.400,99.359,0.669368
1.410,99.752,0.725635
1.420,99.467,0.474832
1.430,298.216,0.188134
1.440,300.759,0.125909
1.450,300.356,0.329515
1.460,297.602,0.315435
1.470,49.796,0.374352
1.480,36.241,0.215315
1.490,36.334,0.160352
1.500,36.347,0.180073
1.510,36.290,0.169442
1.520,36.421,0.316488
1.530,36.999,0.677170
1.540,36.973,0.453956
1.550,298.446,0.215917
1.560,296.368,0.621887
1.570,101.419,0.183427
1.580,296.986,0.211257
1.590,37.515,0.101775
1.600,34.143,0.066703
1.610,34.960,0.137917
1.620,35.647,0.228285
1.630,35.952,0.046888
1.640,99.966,0.092339
1.650,295.394,0.221113
1.660,293.613,0.406844
1.670,292.315,0.277812
1.680,289.431,0.360709
1.690,98.940,0.169544
1.700,204.396,0.274029
1.710,212.647,0.388395
1.720,212.987,0.341540
1.730,107.014,0.225269
1.740,101.114,0.287068
1.750,295.012,0.305884
1.760,294.413,0.505436
1.770,295.716,0.699435
1.780,295.260,0.539202
1.790,295.140,0.398325
1.800,295.519,0.347106
1.810,294.495,0.340238
1.820,108.455,0.312081
1.830,108.282,0.431083
1.840,108.485,0.364503
1.850,109.039,0.332126
1.860,290.218,0.484889
1.870,291.039,0.647175
1.880,293.657,0.414332
1.890,293.114,0.393243
1.900,36.633,0.574898
1.910,36.675,0.717878
1.920,292.083,0.474632
1.930,293.247,0.405471
1.940,292.560,0.502837
1.950,291.791,0.639834
1.960,292.922,0.646821
1.970,293.124,0.643024
1.980,290.658,0.135491
1.990,396.286,0.067502
2.000,395.836,0.074050
2.010,296.190,0.063554
2.020,98.332,0.074657
2.030,100.138,0.166593
2.040,293.548,0.542778
2.050,293.019,0.562706
2.060,292.946,0.539207
2.070,293.331,0.264669
2.080,36.801,0.224165
2.090,36.760,0.240698
2.100,36.441,0.783344
2.110,36.375,0.753843
2.120,36.206,0.740588
2.130,97.698,0.338666
2.140,32.390,0.145571
2.150,32.712,0.364511
2.160,32.589,0.087471
2.170,54.061,0.098314
2.180,54.679,0.114457
2.190,1037.146,0.027395
2.200,259.803,0.166167
2.210,283.431,0.223089
2.220,288.106,0.260050
2.230,290.000,0.466007
2.240,291.143,0.702615
2.250,293.346,0.408226
2.260,293.450,0.232574
2.270,36.681,0.221059
2.280,36.685,0.361085
2.290,36.600,0.622300
2.300,36.348,0.653731
2.310,36.401,0.498166
2.320,36.545,0.665995
2.330,36.500,0.661401
2.340,294.198,0.499683
2.350,294.847,0.571608
2.360,293.716,0.759185
2.370,292.980,0.692888
2.380,293.186,0.801535
2.390,293.317,0.787744
2.400,293.983,0.767714
2.410,293.471,0.738615
2.420,293.414,0.615605
2.430,294.668,0.712319
2.440,295.099,0.692005
2.450,294.513,0.746422
2.460,294.584,0.827635
2.470,292.754,0.837290
2.480,292.374,0.868300
2.490,292.626,0.845925
2.500,292.671,0.844097
2.510,293.270,0.784779
2.520,293.199,0.806444
2.530,292.969,0.775765
2.540,293.809,0.721625
2.550,293.969,0.755808
2.560,293.662,0.827458
2.570,292.668,0.812470
2.580,291.983,0.815779
2.590,292.050,0.842332
2.600,292.688,0.797691
2.610,293.729,0.827114
2.620,292.959,0.814205
2.630,292.638,0.686363
2.640,293.335,0.686982
2.650,293.369,0.588146
2.660,293.472,0.508401
2.670,292.964,0.313761
2.680,293.478,0.207423
2.690,295.633,0.227991
2.700,108.301,0.340843
2.710,109.442,0.287121
2.720,294.375,0.448060
2.730,296.252,0.631429
2.740,293.201,0.256106
2.750,32.454,0.191802
2.760,33.404,0.235643
2.770,33.348,0.032027
2.780,54.113,0.019815
2.790,663.817,0.095909
2.800,32.378,0.011614
2.810,32.221,0.040906
2.820,32.621,0.014484
2.830,55.149,0.040805
2.840,54.752,0.032643
2.850,291.129,0.094377
2.860,294.678,0.068815
2.870,301.240,0.040271
2.880,297.799,0.032683
2.890,32.792,0.067586
2.900,290.954,0.097621
2.910,290.431,0.505488
2.920,291.466,0.368396
2.930,272.099,0.105954
2.940,297.114,0.090367
2.950,297.465,0.043081
2.960,36.020,0.198839
2.970,36.801,0.291232
2.980,36.957,0.528080
2.990,36.719,0.632169
3.000,36.645,0.613923
3.010,36.351,0.173630
3.020,48.658,0.064824
3.030,36.717,0.081431
3.040,58.555,0.108865
3.050,58.438,0.505976
3.060,58.293,0.340585
3.070,36.371,0.204643
3.080,36.555,0.265867
3.090,294.055,0.516155
3.100,98.892,0.404285
3.110,294.631,0.494978
3.120,294.625,0.575344
3.130,295.659,0.391109
3.140,297.166,0.369859
3.150,36.679,0.533445
3.160,36.620,0.668942
3.170,36.764,0.539282
3.180,36.744,0.455453
3.190,36.812,0.652552
3.200,36.874,0.347335
3.210,37.137,0.152404
3.220,58.611,0.077750
3.230,36.695,0.411219
3.240,36.731,0.386434
3.250,32.976,0.098361
3.260,32.939,0.136791
3.270,296.116,0.279241
3.280,294.746,0.420643
3.290,293.224,0.566196
3.300,292.858,0.368549
3.310,295.771,0.547274
3.320,297.177,0.456905
3.330,296.544,0.423259
3.340,295.794,0.488070
3.350,36.693,0.424766
3.360,36.706,0.388526
3.370,295.712,0.357194
3.380,36.815,0.404773
3.390,36.805,0.653869
3.400,36.741,0.505624
3.410,36.755,0.538635
3.420,36.693,0.443779
3.430,110.314,0.483286
3.440,109.629,0.303592
3.450,36.380,0.307962
3.460,109.902,0.271974
3.470,110.303,0.471643
3.480,110.385,0.497686
3.490,109.460,0.571983
3.500,109.630,0.450993
3.510,110.180,0.205918
3.520,54.786,0.330335
3.530,54.524,0.525028
3.540,36.811,0.312293
3.550,111.270,0.271813
3.560,111.578,0.282409
3.570,36.830,0.053438
3.580,54.554,0.224982
3.590,54.770,0.587575
3.600,54.580,0.287666
3.610,54.382,0.638589
3.620,54.435,0.283925
3.630,54.281,0.147790
3.640,54.608,0.054516
3.650,55.245,0.035750
3.660,292.788,0.022941
3.670,1179.335,0.019616
3.680,398.885,0.024339
3.690,1834.127,0.014954
3.700,38.069,0.019986
3.710,37.964,0.020738
3.720,37.424,0.012168
3.730,99.765,0.037794
3.740,99.390,0.240900
3.750,36.987,0.446012
3.760,37.222,0.438847
3.770,99.484,0.224443
3.780,188.895,0.268198
3.790,189.801,0.146773
3.800,298.184,0.273919
3.810,99.239,0.212259
3.820,298.020,0.131127
3.830,58.965,0.091489
3.840,58.673,0.330493
3.850,58.685,0.123352
3.860,99.517,0.146903
3.870,100.284,0.115472
3.880,100.567,0.110852
3.890,100.217,0.075751
3.900,1796.163,0.013873
3.910,32.162,0.021374
3.920,32.018,0.026854
3.930,32.326,0.002611
3.940,35.500,0.080467
3.950,35.077,0.186038
3.960,34.987,0.555218
3.970,45.451,0.052703
3.980,44.840,0.011266
3.990,328.612,0.080855
4.000,110.011,0.116764
4.010,274.206,0.367023
4.020,32.556,0.087908
4.030,54.144,0.110867
4.040,38.468,0.433784
4.050,273.569,0.573584
4.060,273.639,0.663103
4.070,271.938,0.470853
4.080,273.267,0.450161
4.090,275.094,0.604127
4.100,280.426,0.614507
4.110,288.552,0.620670
4.120,290.258,0.683983
4.130,291.646,0.633440
4.140,295.397,0.532453
4.150,299.395,0.436783
4.160,270.702,0.515552
