time,frequency,confidence
0.000,603.530,0.058640
0.010,656.835,0.087263
0.020,663.363,0.055216
0.030,591.239,0.088629
0.040,1958.714,0.019398
0.050,1958.723,0.019527
0.060,1958.727,0.019549
0.070,1958.726,0.019552
0.080,1958.731,0.019549
0.090,1958.759,0.019475
0.100,1958.778,0.019406
0.110,1958.768,0.019333
0.120,1958.761,0.019258
0.130,1958.749,0.019122
0.140,1958.742,0.019093
0.150,1958.742,0.019093
0.160,1958.742,0.019093
0.170,1958.742,0.019099
0.180,1958.742,0.019103
0.190,1958.742,0.019117
0.200,1958.740,0.019126
0.210,1958.740,0.019136
0.220,1958.740,0.019136
0.230,1958.742,0.019136
0.240,1958.742,0.019136
0.250,1958.742,0.019141
0.260,1958.745,0.019139
0.270,1958.745,0.019147
0.280,1958.750,0.019159
0.290,1958.752,0.019170
0.300,1958.749,0.019177
0.310,1958.748,0.019173
0.320,1958.748,0.019173
0.330,1958.748,0.019173
0.340,1958.748,0.019181
0.350,1958.750,0.019179
0.360,1958.748,0.019165
0.370,1958.751,0.019170
0.380,1958.748,0.019167
0.390,1958.742,0.019170
0.400,1958.736,0.019147
0.410,1958.731,0.019125
0.420,1958.713,0.019160
0.430,1958.699,0.019243
0.440,1958.707,0.019326
0.450,1958.722,0.019395
0.460,1958.735,0.019544
0.470,1958.747,0.019556
0.480,1958.748,0.019553
0.490,1958.751,0.019555
0.500,1958.752,0.019542
0.510,1958.753,0.019536
0.520,1958.753,0.019533
0.530,1958.755,0.019530
0.540,1958.753,0.019512
0.550,1958.752,0.019497
0.560,1958.756,0.019481
0.570,1958.754,0.019477
0.580,1958.752,0.019454
0.590,1958.744,0.019445
0.600,1958.743,0.019435
0.610,1958.741,0.019387
0.620,1958.735,0.019375
0.630,1958.732,0.019374
0.640,1958.733,0.019360
0.650,1958.739,0.019351
0.660,1958.745,0.019333
0.670,1958.746,0.019320
0.680,1958.748,0.019312
0.690,1958.757,0.019304
0.700,1958.762,0.019308
0.710,1958.763,0.019303
0.720,1958.758,0.019291
0.730,1958.768,0.019296
0.740,1958.775,0.019304
0.750,1958.778,0.019303
0.760,1958.778,0.019298
0.770,1958.780,0.019300
0.780,1958.778,0.019289
0.790,1958.778,0.019275
0.800,1958.777,0.019264
0.810,1958.778,0.019264
0.820,1958.782,0.019255
0.830,1958.782,0.019242
0.840,1958.786,0.019247
0.850,1958.785,0.019243
0.860,1958.787,0.019236
0.870,1958.788,0.019252
0.880,1958.786,0.019240
0.890,1958.784,0.019247
0.900,1958.783,0.019261
0.910,1958.784,0.019250
0.920,1958.785,0.019250
0.930,1958.776,0.019236
0.940,1958.775,0.019238
0.950,1958.772,0.019217
0.960,1958.767,0.019207
0.970,1958.765,0.019227
0.980,1958.764,0.019242
0.990,1958.758,0.019256
1.000,1958.757,0.019269
1.010,1958.761,0.019270
1.020,1958.763,0.019255
1.030,1958.766,0.019251
1.040,1958.761,0.019259
1.050,1958.758,0.019262
1.060,1958.751,0.019276
1.070,1958.752,0.019293
1.080,1958.759,0.019313
1.090,1958.764,0.019325
1.100,1958.769,0.019339
1.110,1958.770,0.019337
1.120,1958.772,0.019331
1.130,1958.774,0.019297
1.140,1958.776,0.019275
1.150,1958.779,0.019265
1.160,1958.782,0.019251
1.170,1958.786,0.019240
1.180,1958.787,0.019248
1.190,1958.791,0.019249
1.200,1958.792,0.019237
1.210,1958.797,0.019237
1.220,1958.801,0.019240
1.230,1958.795,0.019252
1.240,1958.795,0.019263
1.250,1958.794,0.019258
1.260,1958.790,0.019263
1.270,1958.788,0.019262
1.280,1958.789,0.019260
1.290,1958.789,0.019259
1.300,1958.790,0.019260
1.310,1958.792,0.019244
1.320,1958.790,0.019233
1.330,1958.790,0.019223
1.340,1958.782,0.019234
1.350,1958.775,0.019223
1.360,1958.775,0.019211
1.370,1958.781,0.019201
1.380,1958.788,0.019214
1.390,1958.786,0.019210
1.400,1958.789,0.019215
1.410,1958.792,0.019219
1.420,1958.791,0.019216
1.430,1958.790,0.019206
1.440,1958.790,0.019218
1.450,1958.795,0.019220
1.460,1958.792,0.019227
1.470,539.918,0.081517
1.480,1035.846,0.018954
1.490,552.109,0.246838
1.500,551.718,0.134683
1.510,1103.954,0.016772
1.520,1331.851,0.004378
1.530,1325.110,0.009613
1.540,1325.226,0.013312
1.550,1324.333,0.008956
1.560,1335.709,0.008214
1.570,1968.349,0.009151
1.580,1969.937,0.012513
1.590,1971.889,0.019096
1.600,138.762,0.033159
1.610,32.409,0.011376
1.620,997.131,0.019721
1.630,1114.846,0.012467
1.640,1968.977,0.016088
1.650,969.606,0.036260
1.660,972.242,0.029849
1.670,1972.145,0.055113
1.680,1974.314,0.069375
1.690,1971.066,0.013077
1.700,32.054,0.015468
1.710,32.230,0.006075
1.720,1053.194,0.014823
1.730,78.296,0.042825
1.740,153.447,0.014576
1.750,38.465,0.061992
1.760,48.084,0.062460
1.770,47.616,0.033573
1.780,1221.085,0.007702
1.790,1319.451,0.010030
1.800,1310.981,0.017652
1.810,1977.555,0.057868
1.820,1983.979,0.057236
1.830,1053.424,0.107845
1.840,1170.238,0.066140
1.850,1469.217,0.017342
1.860,32.252,0.013259
1.870,1470.091,0.023303
1.880,1462.640,0.050349
1.890,1460.099,0.032316
1.900,1031.038,0.017086
1.910,1028.095,0.014197
1.920,1028.853,0.014774
1.930,1757.747,0.020911
1.940,1728.696,0.025695
1.950,1727.413,0.042196
1.960,1874.168,0.021757
1.970,1960.572,0.021834
1.980,980.496,0.008332
1.990,1023.892,0.011918
2.000,1033.177,0.011959
2.010,290.358,0.020801
2.020,1164.649,0.030819
2.030,302.564,0.157587
2.040,312.272,0.281790
2.050,310.295,0.587288
2.060,309.463,0.332375
2.070,306.870,0.309888
2.080,384.892,0.211430
2.090,377.123,0.374213
2.100,373.305,0.713036
2.110,372.345,0.844815
2.120,371.232,0.888620
2.130,369.239,0.835280
2.140,368.223,0.793117
2.150,368.547,0.761313
2.160,368.340,0.747816
2.170,368.730,0.805687
2.180,367.159,0.800362
2.190,366.859,0.786360
2.200,367.638,0.804280
2.210,369.125,0.757166
2.220,368.387,0.707934
2.230,368.123,0.485297
2.240,365.997,0.583724
2.250,365.501,0.554803
2.260,369.356,0.283683
2.270,370.490,0.317932
2.280,366.712,0.308526
2.290,366.395,0.359575
2.300,364.161,0.331976
2.310,365.977,0.463969
2.320,367.066,0.373506
2.330,374.160,0.152942
2.340,369.078,0.054318
