time,frequency,confidence
0.000,646.846,0.069229
0.010,647.739,0.097366
0.020,288.176,0.037245
0.030,546.824,0.054124
0.040,1343.685,0.010292
0.050,986.193,0.014616
0.060,1337.823,0.013630
0.070,1237.670,0.026933
0.080,49.524,0.007408
0.090,1256.361,0.007724
0.100,32.125,0.004269
0.110,32.253,0.004619
0.120,1219.516,0.005460
0.130,1181.895,0.005828
0.140,1328.967,0.004224
0.150,1317.620,0.011570
0.160,1223.579,0.008403
0.170,32.169,0.006590
0.180,1968.116,0.009545
0.190,1962.801,0.008018
0.200,1449.725,0.011340
0.210,1028.066,0.008266
0.220,153.974,0.017689
0.230,1869.981,0.028940
0.240,1176.833,0.030625
0.250,1755.527,0.030279
0.260,1317.599,0.015237
0.270,1887.595,0.015408
0.280,156.427,0.057259
0.290,158.087,0.028281
0.300,161.048,0.046915
0.310,1847.040,0.044156
0.320,1845.434,0.030870
0.330,1841.156,0.032340
0.340,939.607,0.011904
0.350,1023.833,0.007975
0.360,934.114,0.016013
0.370,660.054,0.073785
0.380,643.056,0.084763
0.390,589.938,0.101334
0.400,597.495,0.084198
0.410,598.063,0.074408
0.420,653.100,0.095384
0.430,32.544,0.026392
0.440,278.340,0.067130
0.450,32.544,0.064350
0.460,33.203,0.196491
0.470,32.715,0.300265
0.480,291.997,0.376237
0.490,291.834,0.570850
0.500,294.286,0.785045
0.510,293.900,0.822033
0.520,294.305,0.766118
0.530,295.163,0.530609
0.540,297.488,0.375355
0.550,293.993,0.418359
0.560,296.831,0.573344
0.570,292.059,0.496472
0.580,293.918,0.612210
0.590,293.770,0.507549
0.600,294.084,0.449018
0.610,236.326,0.441346
0.620,234.780,0.578273
0.630,234.373,0.585142
0.640,233.872,0.453483
0.650,233.999,0.722814
0.660,233.153,0.667628
0.670,232.573,0.498017
0.680,233.541,0.555226
0.690,233.313,0.425322
0.700,294.429,0.365043
0.710,294.081,0.496009
0.720,294.701,0.533895
0.730,294.097,0.561096
0.740,294.415,0.616297
0.750,295.431,0.679215
0.760,295.096,0.672295
0.770,293.857,0.685742
0.780,294.438,0.723008
0.790,295.244,0.616108
0.800,297.436,0.712001
0.810,297.139,0.684807
0.820,296.682,0.676914
0.830,296.974,0.650433
0.840,296.109,0.603141
0.850,297.863,0.730107
0.860,294.914,0.713698
0.870,295.789,0.664661
0.880,295.685,0.669668
0.890,295.473,0.704457
0.900,295.235,0.678282
0.910,294.279,0.718673
0.920,295.438,0.679546
0.930,296.240,0.680981
0.940,296.408,0.760061
0.950,295.112,0.797227
0.960,297.176,0.755251
0.970,298.582,0.688409
0.980,298.901,0.531787
0.990,295.377,0.370513
1.000,36.621,0.133183
1.010,57.772,0.108204
1.020,57.095,0.141160
1.030,57.250,0.137726
1.040,57.881,0.173918
1.050,58.441,0.396889
1.060,58.420,0.562718
1.070,298.217,0.262537
1.080,297.645,0.514256
1.090,175.842,0.474232
1.100,175.830,0.675107
1.110,175.324,0.553263
1.120,175.223,0.632367
1.130,175.811,0.606374
1.140,175.490,0.345803
1.150,344.814,0.153392
1.160,335.785,0.124391
1.170,47.506,0.098995
1.180,326.680,0.046876
1.190,134.027,0.016544
1.200,183.357,0.015875
1.210,175.086,0.186362
1.220,170.337,0.225124
1.230,168.300,0.107765
1.240,168.292,0.199855
1.250,174.518,0.056420
1.260,535.839,0.013210
1.270,1086.284,0.013104
1.280,1084.539,0.017464
1.290,1099.060,0.010914
1.300,1170.383,0.007512
1.310,971.405,0.005062
1.320,1171.305,0.013449
1.330,1155.958,0.023501
1.340,1158.035,0.035374
1.350,1089.186,0.041206
1.360,1075.134,0.043057
1.370,1065.090,0.062496
1.380,232.480,0.091096
1.390,351.053,0.286575
1.400,351.647,0.068107
1.410,33.836,0.033395
1.420,58.353,0.017945
1.430,118.099,0.066178
1.440,352.297,0.042109
1.450,351.539,0.651411
1.460,351.824,0.681377
1.470,175.386,0.538657
1.480,175.384,0.542081
1.490,346.520,0.496377
1.500,329.050,0.087749
1.510,316.877,0.090780
1.520,33.355,0.139570
1.530,33.607,0.079858
1.540,43.338,0.056046
1.550,32.990,0.043379
1.560,221.058,0.293619
1.570,348.133,0.552600
1.580,347.894,0.391521
1.590,222.915,0.415764
1.600,350.992,0.686525
1.610,351.085,0.858806
1.620,351.458,0.838569
1.630,350.397,0.819381
1.640,348.328,0.748500
1.650,346.172,0.649620
1.660,347.462,0.587209
1.670,347.337,0.474757
1.680,346.583,0.642523
1.690,347.461,0.609729
1.700,347.809,0.563467
1.710,347.800,0.395179
1.720,348.414,0.615742
1.730,346.562,0.395324
1.740,219.471,0.404769
1.750,218.761,0.282118
1.760,218.876,0.230754
1.770,220.439,0.290603
1.780,221.698,0.297040
1.790,345.162,0.309862
1.800,293.224,0.280370
1.810,220.518,0.199492
1.820,219.549,0.154292
1.830,295.720,0.236322
1.840,220.815,0.163840
1.850,73.378,0.282748
1.860,36.880,0.230301
1.870,38.075,0.177269
1.880,38.394,0.097450
1.890,49.342,0.143055
1.900,73.282,0.081119
1.910,348.921,0.290085
1.920,348.995,0.234830
1.930,347.912,0.166111
1.940,351.812,0.166709
1.950,347.937,0.244775
1.960,350.347,0.203802
1.970,57.785,0.263669
1.980,350.266,0.292245
1.990,354.541,0.159789
2.000,351.282,0.579447
2.010,175.255,0.483516
2.020,348.530,0.680757
2.030,348.735,0.755761
2.040,349.246,0.560182
2.050,350.298,0.857626
