time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,1957.600,0.014470
0.070,1957.600,0.014470
0.080,1957.600,0.014472
0.090,1957.589,0.014478
0.100,1957.590,0.014498
0.110,1957.600,0.014553
0.120,1957.615,0.014588
0.130,1957.625,0.014635
0.140,1957.628,0.014624
0.150,1957.626,0.014621
0.160,1957.622,0.014620
0.170,1957.621,0.014629
0.180,1957.619,0.014628
0.190,1957.623,0.014638
0.200,1957.626,0.014646
0.210,1957.625,0.014651
0.220,1957.622,0.014648
0.230,1957.626,0.014643
0.240,1957.628,0.014644
0.250,1957.625,0.014638
0.260,1957.629,0.014640
0.270,1957.632,0.014642
0.280,1957.633,0.014639
0.290,1957.632,0.014643
0.300,1957.632,0.014643
0.310,1957.632,0.014643
0.320,1957.632,0.014643
0.330,1957.632,0.014643
0.340,1957.632,0.014643
0.350,1957.632,0.014643
0.360,1957.632,0.014643
0.370,1957.632,0.014643
0.380,1957.632,0.014643
0.390,1957.629,0.014645
0.400,1957.632,0.014640
0.410,1957.633,0.014638
0.420,1957.634,0.014617
0.430,1957.637,0.014592
0.440,1957.629,0.014539
0.450,1957.608,0.014510
0.460,1957.599,0.014467
0.470,1957.594,0.014458
0.480,1957.592,0.014443
0.490,1957.597,0.014444
0.500,1957.597,0.014445
0.510,1957.598,0.014443
0.520,1957.598,0.014444
0.530,1957.596,0.014444
0.540,1957.595,0.014450
0.550,1957.592,0.014451
0.560,1957.593,0.014455
0.570,1957.594,0.014464
0.580,1957.590,0.014467
0.590,1957.587,0.014479
0.600,1957.581,0.014482
0.610,1957.584,0.014482
0.620,1957.581,0.014482
0.630,1957.578,0.014486
0.640,1957.578,0.014491
0.650,1957.582,0.014494
0.660,1957.581,0.014497
0.670,1957.584,0.014510
0.680,1957.583,0.014526
0.690,1957.581,0.014540
0.700,1957.580,0.014547
0.710,1957.577,0.014546
0.720,1957.580,0.014547
0.730,1957.582,0.014537
0.740,1957.584,0.014535
0.750,1957.589,0.014528
0.760,1957.592,0.014525
0.770,1957.595,0.014531
0.780,1957.593,0.014528
0.790,1957.596,0.014533
0.800,1957.598,0.014529
0.810,1957.600,0.014539
0.820,1957.604,0.014539
0.830,1957.600,0.014538
0.840,1957.597,0.014528
0.850,1957.592,0.014518
0.860,1957.589,0.014520
0.870,1957.585,0.014521
0.880,1957.583,0.014526
0.890,1957.587,0.014533
0.900,550.366,0.174005
0.910,32.434,0.080701
0.920,32.275,0.026832
0.930,32.538,0.028815
0.940,32.928,0.002901
0.950,138.852,0.013202
0.960,81.183,0.051120
0.970,81.933,0.125758
0.980,82.768,0.256225
0.990,82.807,0.157594
1.000,180.148,0.054261
1.010,177.802,0.008345
1.020,177.418,0.175192
1.030,176.190,0.110550
1.040,156.480,0.077718
1.050,161.747,0.063880
1.060,155.110,0.016653
1.070,33.223,0.018364
1.080,85.117,0.022760
1.090,85.637,0.103022
1.100,84.347,0.310208
1.110,83.899,0.246467
1.120,83.889,0.094639
1.130,83.144,0.056625
1.140,276.985,0.119320
1.150,279.451,0.316219
1.160,281.650,0.249763
1.170,84.522,0.116521
1.180,85.563,0.278609
1.190,86.235,0.400726
1.200,85.479,0.340858
1.210,84.529,0.149386
1.220,205.278,0.238024
1.230,206.300,0.529602
1.240,211.212,0.390257
1.250,210.708,0.437672
1.260,164.710,0.047251
1.270,207.292,0.205906
1.280,164.673,0.180032
1.290,164.551,0.371952
1.300,164.243,0.349129
1.310,163.666,0.243364
1.320,165.845,0.157296
1.330,1232.099,0.035288
1.340,41.511,0.121706
1.350,40.857,0.032891
1.360,162.501,0.031311
1.370,210.863,0.033195
1.380,156.114,0.098437
1.390,156.234,0.174744
1.400,106.048,0.133813
1.410,210.809,0.124539
1.420,329.384,0.166653
1.430,41.235,0.340885
1.440,41.392,0.585592
1.450,210.192,0.139459
1.460,329.676,0.566495
1.470,326.305,0.429099
1.480,328.200,0.795749
1.490,329.352,0.848394
1.500,329.540,0.547463
1.510,330.574,0.241473
1.520,41.473,0.161019
1.530,41.522,0.720337
1.540,41.465,0.571083
1.550,41.438,0.715492
1.560,41.454,0.352697
1.570,41.384,0.593440
1.580,41.385,0.563007
1.590,123.755,0.388512
1.600,123.439,0.125196
1.610,252.160,0.135580
1.620,109.251,0.063028
1.630,335.307,0.105373
1.640,653.524,0.036941
1.650,84.076,0.095453
1.660,164.165,0.083915
1.670,83.857,0.050349
1.680,1874.839,0.051182
1.690,1896.221,0.017641
1.700,59.383,0.027744
1.710,58.697,0.089601
1.720,177.146,0.047865
1.730,82.358,0.026432
1.740,84.086,0.051464
1.750,82.799,0.090400
1.760,603.602,0.070689
1.770,243.798,0.079134
1.780,84.329,0.109632
1.790,82.001,0.089053
1.800,204.032,0.088693
1.810,84.194,0.070192
1.820,84.360,0.266006
1.830,84.151,0.256028
1.840,84.277,0.086182
1.850,83.489,0.132557
1.860,84.675,0.174959
1.870,84.906,0.436992
1.880,84.543,0.470319
1.890,162.775,0.101423
1.900,327.234,0.067943
1.910,983.865,0.051020
1.920,325.895,0.184363
1.930,328.420,0.129364
1.940,242.519,0.230155
1.950,82.924,0.475035
1.960,82.800,0.651512
1.970,82.957,0.624266
1.980,1043.983,0.012200
1.990,656.297,0.040217
2.000,340.595,0.053521
2.010,338.305,0.072491
2.020,84.283,0.443240
2.030,329.854,0.410331
2.040,327.178,0.474691
2.050,328.036,0.608310
2.060,82.953,0.329888
2.070,328.669,0.599196
2.080,328.767,0.626226
2.090,329.588,0.693880
2.100,329.808,0.639799
2.110,329.411,0.757175
2.120,330.406,0.843910
2.130,332.509,0.851405
2.140,332.619,0.775034
2.150,333.090,0.679261
2.160,333.398,0.502880
2.170,167.493,0.332680
2.180,334.324,0.331069
2.190,210.587,0.328444
2.200,331.694,0.383842
2.210,331.283,0.686917
2.220,330.679,0.314266
2.230,333.006,0.477350
2.240,330.017,0.177830
2.250,81.964,0.066469
2.260,83.150,0.096627
2.270,210.146,0.130402
2.280,41.594,0.155618
2.290,246.477,0.125382
2.300,249.367,0.205567
2.310,41.423,0.273459
2.320,83.232,0.395717
2.330,247.648,0.168691
2.340,247.192,0.182779
2.350,41.457,0.373814
2.360,41.450,0.212971
2.370,332.958,0.229752
2.380,330.828,0.453003
2.390,328.649,0.624292
2.400,328.142,0.703378
2.410,329.521,0.698898
2.420,332.376,0.185413
2.430,84.538,0.110373
2.440,84.313,0.162669
2.450,83.733,0.288583
2.460,84.143,0.628806
2.470,83.638,0.469109
2.480,83.105,0.507687
2.490,82.969,0.324548
2.500,208.365,0.181016
2.510,211.633,0.315182
2.520,207.929,0.608988
2.530,208.421,0.731850
2.540,210.645,0.746016
2.550,208.449,0.650656
2.560,208.139,0.686866
2.570,208.758,0.795263
2.580,209.124,0.827436
2.590,209.906,0.835813
2.600,208.841,0.877768
2.610,206.900,0.826987
2.620,208.162,0.838068
2.630,208.418,0.795793
2.640,210.667,0.811622
2.650,208.910,0.833212
2.660,209.394,0.842509
2.670,207.821,0.819414
2.680,208.480,0.825477
2.690,209.113,0.757804
2.700,209.161,0.652639
2.710,208.313,0.602302
2.720,209.197,0.473755
2.730,165.671,0.575294
2.740,165.850,0.563561
2.750,165.551,0.400910
2.760,164.932,0.653886
2.770,164.963,0.481383
2.780,164.767,0.414683
2.790,328.469,0.298593
2.800,327.651,0.560170
2.810,327.474,0.753546
2.820,327.719,0.886052
2.830,328.106,0.902171
2.840,327.510,0.904958
2.850,328.386,0.902638
2.860,329.544,0.860683
2.870,329.608,0.903410
2.880,329.281,0.875428
2.890,329.593,0.855843
2.900,329.444,0.854745
2.910,330.024,0.803554
2.920,330.434,0.746700
2.930,331.406,0.521634
2.940,331.214,0.554976
2.950,249.253,0.406300
2.960,330.902,0.518061
2.970,330.341,0.628866
2.980,328.492,0.837624
2.990,327.845,0.816428
3.000,328.650,0.852592
3.010,328.290,0.833128
3.020,328.654,0.778303
3.030,329.492,0.751384
3.040,329.060,0.718352
3.050,328.856,0.790921
3.060,329.314,0.738364
3.070,329.403,0.661589
3.080,329.486,0.447758
3.090,247.886,0.589134
3.100,248.154,0.709283
3.110,247.070,0.668156
3.120,246.703,0.764695
3.130,246.716,0.661514
3.140,247.261,0.811105
3.150,247.740,0.820410
3.160,247.499,0.814908
3.170,247.481,0.862530
3.180,247.852,0.850936
3.190,246.846,0.762533
3.200,246.193,0.769625
3.210,245.436,0.629561
3.220,245.484,0.536115
3.230,245.673,0.098474
3.240,245.873,0.105402
3.250,242.179,0.088760
3.260,243.276,0.038455
3.270,246.218,0.101357
3.280,1115.262,0.094390
3.290,663.147,0.056543
3.300,330.826,0.064089
3.310,331.869,0.080725
3.320,331.839,0.065473
3.330,1117.500,0.032979
3.340,987.515,0.039805
3.350,244.811,0.204866
3.360,244.968,0.459933
3.370,244.755,0.621709
3.380,247.064,0.532776
3.390,248.282,0.708710
3.400,246.208,0.648095
3.410,246.690,0.717773
3.420,247.130,0.772928
3.430,247.621,0.682071
3.440,247.616,0.644093
3.450,248.327,0.551683
3.460,248.170,0.533003
3.470,247.793,0.550375
3.480,247.586,0.332324
3.490,330.997,0.419029
3.500,329.613,0.747402
3.510,329.960,0.712037
3.520,330.539,0.815575
3.530,331.211,0.811575
3.540,329.696,0.835269
3.550,328.334,0.782598
3.560,327.737,0.815301
3.570,328.248,0.713530
3.580,329.075,0.761341
3.590,329.416,0.779719
3.600,329.493,0.729935
3.610,330.178,0.712906
3.620,330.389,0.612164
3.630,331.644,0.615155
3.640,331.562,0.355202
3.650,331.527,0.375377
3.660,332.515,0.355514
3.670,334.696,0.380798
3.680,334.157,0.575760
3.690,333.124,0.656167
3.700,332.654,0.749814
3.710,331.937,0.630051
3.720,330.725,0.679799
3.730,330.535,0.729405
3.740,328.410,0.487865
3.750,327.125,0.308030
3.760,328.941,0.235903
3.770,329.805,0.287190
3.780,247.334,0.342586
3.790,329.590,0.235766
3.800,415.199,0.183365
3.810,329.056,0.216443
3.820,330.131,0.551160
3.830,330.516,0.725705
3.840,329.466,0.807429
3.850,329.780,0.850569
3.860,329.884,0.843342
3.870,330.054,0.810305
3.880,329.542,0.770202
3.890,329.091,0.683405
3.900,327.383,0.418377
3.910,327.577,0.287944
3.920,985.465,0.163403
3.930,206.869,0.389241
3.940,207.152,0.536065
3.950,208.392,0.622225
3.960,208.070,0.690876
3.970,209.519,0.508126
3.980,211.971,0.391578
3.990,211.194,0.232201
4.000,167.705,0.321861
4.010,165.839,0.167140
4.020,658.736,0.157308
4.030,663.499,0.086339
4.040,82.879,0.474994
4.050,251.080,0.452397
4.060,82.910,0.531506
4.070,82.696,0.651256
4.080,255.020,0.260077
4.090,331.708,0.179511
4.100,248.870,0.209652
4.110,246.773,0.184590
