time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,1957.600,0.014470
0.070,1957.600,0.014470
0.080,1957.600,0.014472
0.090,1957.589,0.014478
0.100,1957.590,0.014498
0.110,1957.600,0.014553
0.120,1957.615,0.014588
0.130,1957.625,0.014635
0.140,1957.628,0.014624
0.150,1957.626,0.014621
0.160,1957.622,0.014620
0.170,1957.621,0.014629
0.180,1957.619,0.014628
0.190,1957.623,0.014638
0.200,1957.626,0.014646
0.210,1957.625,0.014651
0.220,1957.622,0.014648
0.230,1957.626,0.014643
0.240,1957.628,0.014644
0.250,1957.625,0.014638
0.260,1957.629,0.014640
0.270,1957.632,0.014642
0.280,1957.633,0.014639
0.290,1957.632,0.014643
0.300,1957.632,0.014643
0.310,1957.632,0.014643
0.320,1957.632,0.014643
0.330,1957.632,0.014643
0.340,1957.632,0.014643
0.350,1957.632,0.014643
0.360,1957.632,0.014643
0.370,1957.632,0.014643
0.380,1957.632,0.014643
0.390,1957.629,0.014645
0.400,1957.632,0.014640
0.410,1957.633,0.014638
0.420,1957.634,0.014617
0.430,1957.637,0.014592
0.440,1957.629,0.014539
0.450,1957.608,0.014510
0.460,1957.599,0.014467
0.470,1957.594,0.014458
0.480,1957.592,0.014443
0.490,1957.597,0.014444
0.500,1957.597,0.014445
0.510,1957.598,0.014443
0.520,1957.598,0.014444
0.530,1957.596,0.014444
0.540,1957.595,0.014450
0.550,1957.592,0.014451
0.560,1957.593,0.014455
0.570,1957.594,0.014464
0.580,1957.590,0.014467
0.590,1054.633,0.035350
0.600,1035.863,0.023429
0.610,642.081,0.064771
0.620,641.269,0.057339
0.630,590.243,0.064992
0.640,48.381,0.125906
0.650,36.634,0.046720
0.660,660.625,0.062399
0.670,587.682,0.090760
0.680,1180.439,0.041040
0.690,594.894,0.045597
0.700,594.148,0.217134
0.710,597.602,0.612068
0.720,602.214,0.726839
0.730,609.660,0.742022
0.740,617.739,0.790118
0.750,622.003,0.863706
0.760,626.507,0.837701
0.770,630.016,0.817555
0.780,632.693,0.809805
0.790,636.829,0.647052
0.800,647.556,0.572927
0.810,651.913,0.473371
0.820,645.965,0.273818
0.830,635.215,0.263020
0.840,643.176,0.317056
0.850,648.002,0.497753
0.860,654.568,0.693188
0.870,655.756,0.861455
0.880,650.720,0.678993
0.890,640.714,0.484505
0.900,632.461,0.484783
0.910,641.578,0.333220
0.920,626.667,0.345908
0.930,646.080,0.489027
0.940,639.974,0.448826
0.950,641.844,0.568471
0.960,645.879,0.572078
0.970,646.832,0.514319
0.980,648.756,0.722193
0.990,643.552,0.708814
1.000,640.245,0.619394
1.010,641.323,0.637759
1.020,643.720,0.561979
1.030,644.100,0.220315
1.040,596.709,0.071461
1.050,590.917,0.058684
1.060,592.447,0.416396
1.070,600.853,0.586358
1.080,613.360,0.591004
1.090,619.627,0.768844
1.100,621.597,0.778862
1.110,622.987,0.798182
1.120,623.741,0.665195
1.130,628.762,0.572084
1.140,636.095,0.560355
1.150,643.536,0.668311
1.160,649.582,0.562438
1.170,653.731,0.577467
1.180,652.509,0.565381
1.190,654.640,0.583060
1.200,655.742,0.694562
1.210,660.653,0.795582
1.220,661.118,0.769517
1.230,655.205,0.581121
1.240,627.774,0.472274
1.250,645.935,0.493205
1.260,649.251,0.586942
1.270,646.992,0.398649
1.280,645.200,0.397375
1.290,624.914,0.534520
1.300,629.999,0.533897
1.310,645.003,0.431476
1.320,627.475,0.441157
1.330,627.718,0.624120
1.340,626.071,0.710732
1.350,626.855,0.705756
1.360,640.532,0.508952
1.370,638.590,0.458614
1.380,624.700,0.515074
1.390,624.187,0.684518
1.400,623.860,0.739386
1.410,612.865,0.462644
1.420,603.773,0.613452
1.430,604.802,0.687346
1.440,607.515,0.249026
1.450,606.071,0.104924
1.460,54.057,0.192730
1.470,54.410,0.378252
1.480,54.363,0.241675
1.490,642.281,0.373618
1.500,647.006,0.508156
1.510,647.259,0.566153
1.520,608.706,0.437130
1.530,601.667,0.514098
1.540,603.180,0.308661
1.550,545.014,0.189646
1.560,534.738,0.313156
1.570,529.552,0.213259
1.580,526.433,0.644077
1.590,526.873,0.722819
1.600,529.714,0.656565
1.610,528.626,0.751183
1.620,528.958,0.752747
1.630,528.973,0.759914
1.640,526.972,0.870434
1.650,526.224,0.897311
1.660,526.823,0.914164
1.670,527.833,0.869747
1.680,529.011,0.752745
1.690,537.178,0.367363
1.700,544.559,0.335102
1.710,586.558,0.267599
1.720,533.895,0.119739
1.730,33.031,0.215110
1.740,33.375,0.278913
1.750,33.893,0.718335
1.760,33.922,0.744570
1.770,33.181,0.400134
1.780,442.270,0.125571
1.790,442.132,0.333371
1.800,88.116,0.277016
1.810,441.324,0.257338
1.820,439.466,0.198458
1.830,33.170,0.200104
1.840,218.760,0.165858
1.850,33.230,0.139843
1.860,401.485,0.137715
1.870,529.159,0.119103
1.880,32.878,0.236906
1.890,32.905,0.327841
1.900,32.762,0.307418
1.910,49.970,0.017564
1.920,395.583,0.020809
1.930,393.164,0.742494
1.940,394.814,0.851363
1.950,394.760,0.837704
1.960,394.360,0.871788
1.970,393.914,0.873677
1.980,394.357,0.853504
1.990,394.925,0.721466
2.000,393.659,0.190169
2.010,32.598,0.042975
2.020,32.732,0.264221
2.030,32.886,0.597486
2.040,33.081,0.497744
2.050,34.043,0.035173
2.060,49.238,0.008180
2.070,49.531,0.011139
2.080,32.744,0.054166
2.090,32.588,0.062815
2.100,32.336,0.020518
2.110,32.998,0.083070
2.120,65.525,0.623463
2.130,65.288,0.683489
2.140,64.862,0.782797
2.150,64.346,0.728454
2.160,64.581,0.719853
2.170,64.946,0.804060
2.180,65.203,0.756482
2.190,65.231,0.758953
2.200,65.516,0.610078
2.210,65.573,0.794830
2.220,32.752,0.796766
2.230,32.671,0.874950
2.240,32.575,0.853468
2.250,65.034,0.692089
2.260,65.363,0.706674
2.270,65.292,0.792595
2.280,65.181,0.867682
2.290,65.157,0.848060
2.300,65.007,0.843206
2.310,65.303,0.902021
2.320,65.502,0.811425
2.330,65.091,0.878166
2.340,65.067,0.867652
2.350,132.609,0.242266
2.360,133.554,0.415681
2.370,132.531,0.091949
2.380,32.520,0.085476
2.390,122.554,0.016634
2.400,122.834,0.015351
2.410,1883.581,0.027922
2.420,32.324,0.073494
2.430,64.104,0.289848
2.440,63.639,0.185214
2.450,52.378,0.326965
2.460,52.443,0.753866
2.470,52.109,0.752455
2.480,51.378,0.354445
2.490,51.270,0.053244
2.500,262.927,0.065273
2.510,530.227,0.025037
2.520,32.398,0.016376
2.530,32.529,0.019143
2.540,1874.820,0.013873
2.550,35.624,0.030014
2.560,1020.975,0.022906
2.570,46.249,0.108061
2.580,65.402,0.753940
2.590,65.235,0.808696
2.600,65.264,0.573597
2.610,135.753,0.016995
2.620,32.956,0.013686
2.630,33.486,0.134326
2.640,33.132,0.080502
2.650,33.193,0.053925
2.660,132.553,0.190359
2.670,133.488,0.166228
2.680,269.756,0.040530
2.690,37.657,0.034083
2.700,32.801,0.070474
2.710,33.593,0.049870
2.720,33.363,0.079026
2.730,33.041,0.068742
2.740,32.409,0.018423
2.750,32.247,0.026929
2.760,32.604,0.071209
2.770,32.708,0.640253
2.780,65.401,0.122958
2.790,67.770,0.045254
2.800,65.150,0.045242
2.810,33.047,0.049528
2.820,33.061,0.253526
2.830,34.399,0.035350
2.840,279.285,0.077762
2.850,160.519,0.040520
2.860,32.849,0.246629
2.870,32.622,0.106742
2.880,54.679,0.096944
2.890,54.400,0.047069
2.900,132.788,0.013394
2.910,131.007,0.417511
2.920,131.186,0.349275
2.930,130.421,0.053661
2.940,32.369,0.199126
2.950,54.691,0.149128
2.960,32.897,0.177539
2.970,65.352,0.474633
2.980,65.000,0.728613
2.990,65.009,0.271357
3.000,32.816,0.102347
3.010,169.340,0.023266
3.020,33.370,0.039885
3.030,49.741,0.052746
3.040,50.731,0.069230
3.050,51.371,0.024962
3.060,32.292,0.053492
3.070,32.289,0.014227
3.080,441.217,0.028521
3.090,144.223,0.017558
3.100,41.782,0.050155
3.110,43.932,0.125923
3.120,32.307,0.017206
3.130,52.242,0.071921
3.140,85.536,0.052879
3.150,39.445,0.094593
3.160,437.432,0.028222
3.170,167.117,0.054337
3.180,32.427,0.016428
3.190,1768.401,0.018202
3.200,1773.409,0.024388
3.210,441.215,0.131839
3.220,88.002,0.386041
3.230,87.728,0.514955
3.240,87.186,0.617412
3.250,86.963,0.742750
3.260,87.478,0.814297
3.270,86.906,0.782783
3.280,86.443,0.784158
3.290,86.062,0.750781
3.300,85.786,0.680539
3.310,85.611,0.539014
3.320,84.381,0.144488
3.330,155.908,0.029381
3.340,1168.016,0.012273
3.350,1835.799,0.010460
3.360,1854.424,0.006054
3.370,1229.630,0.006798
3.380,523.282,0.037295
3.390,32.601,0.043535
3.400,32.533,0.038861
3.410,434.348,0.048325
3.420,87.351,0.115552
3.430,86.879,0.264337
3.440,86.535,0.360408
3.450,86.312,0.352788
3.460,86.545,0.281348
3.470,86.731,0.427865
3.480,86.654,0.626005
3.490,86.600,0.716205
3.500,86.840,0.772695
3.510,86.981,0.775127
3.520,87.138,0.742177
3.530,86.902,0.834524
3.540,87.213,0.797045
3.550,87.357,0.842000
3.560,87.426,0.822605
3.570,87.531,0.766792
3.580,86.858,0.710191
3.590,86.103,0.599780
3.600,86.504,0.679463
3.610,86.781,0.803891
3.620,87.089,0.575913
3.630,86.831,0.516683
3.640,87.235,0.136360
3.650,880.499,0.123075
3.660,442.034,0.053849
3.670,1785.066,0.040578
3.680,1775.793,0.030638
3.690,204.379,0.006431
3.700,1027.797,0.034519
3.710,1021.782,0.024206
3.720,1893.964,0.012051
3.730,267.401,0.160907
3.740,262.981,0.080792
3.750,130.224,0.025672
3.760,253.586,0.020118
3.770,521.360,0.260699
3.780,314.518,0.090628
3.790,297.744,0.055318
3.800,43.326,0.148016
3.810,262.026,0.145721
3.820,259.655,0.624973
3.830,259.952,0.749213
3.840,260.194,0.644892
3.850,87.124,0.485240
3.860,87.136,0.408337
3.870,86.879,0.312258
3.880,261.814,0.630096
3.890,263.746,0.576069
3.900,264.781,0.528617
3.910,263.184,0.548357
3.920,263.360,0.522292
3.930,86.673,0.486442
3.940,86.558,0.324170
3.950,85.497,0.294536
3.960,85.780,0.367904
3.970,162.364,0.109962
3.980,161.425,0.151170
3.990,33.088,0.417618
4.000,33.090,0.458403
4.010,1820.336,0.003598
4.020,1784.205,0.004644
4.030,1768.815,0.011204
4.040,1975.778,0.025003
4.050,1158.258,0.030082
4.060,1036.239,0.024553
4.070,1971.688,0.061025
4.080,996.938,0.021167
4.090,992.396,0.009315
4.100,1308.415,0.006753
4.110,1107.745,0.012885
