time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1958.072,0.015129
0.220,1958.078,0.015127
0.230,1958.082,0.015126
0.240,1958.080,0.015122
0.250,1958.080,0.015125
0.260,1958.080,0.015125
0.270,1958.080,0.015125
0.280,1958.080,0.015125
0.290,1958.080,0.015126
0.300,1958.083,0.015138
0.310,1958.083,0.015147
0.320,1958.085,0.015150
0.330,1958.085,0.015150
0.340,1958.091,0.015148
0.350,1958.091,0.015155
0.360,1958.089,0.015147
0.370,1958.084,0.015136
0.380,1958.073,0.015115
0.390,1958.083,0.015108
0.400,1958.084,0.015110
0.410,1958.067,0.015125
0.420,1958.058,0.015132
0.430,1958.049,0.015136
0.440,1958.030,0.015118
0.450,1958.016,0.015107
0.460,1958.014,0.015058
0.470,1958.023,0.015052
0.480,1958.032,0.015046
0.490,1958.033,0.015039
0.500,1958.037,0.015049
0.510,1958.037,0.015059
0.520,1958.037,0.015059
0.530,1958.034,0.015055
0.540,1958.034,0.015056
0.550,1958.033,0.015063
0.560,1958.031,0.015068
0.570,1958.032,0.015072
0.580,1958.028,0.015070
0.590,1958.030,0.015071
0.600,1958.024,0.015078
0.610,1958.022,0.015078
0.620,1958.026,0.015066
0.630,1958.019,0.015066
0.640,1958.015,0.015073
0.650,1955.104,0.010371
0.660,555.541,0.091293
0.670,577.306,0.353632
0.680,580.329,0.251048
0.690,32.649,0.054222
0.700,32.560,0.153616
0.710,32.330,0.021621
0.720,60.015,0.011103
0.730,32.631,0.004489
0.740,181.432,0.076728
0.750,176.882,0.079820
0.760,32.140,0.050341
0.770,32.029,0.114202
0.780,32.113,0.061993
0.790,981.452,0.001586
0.800,32.940,0.037764
0.810,33.019,0.012683
0.820,33.506,0.109647
0.830,33.113,0.006684
0.840,43.933,0.009401
0.850,132.861,0.022627
0.860,32.519,0.022968
0.870,132.178,0.040785
0.880,1117.523,0.010513
0.890,33.596,0.409775
0.900,32.403,0.016115
0.910,950.157,0.009088
0.920,965.054,0.030509
0.930,32.805,0.064118
0.940,32.645,0.065781
0.950,33.396,0.241327
0.960,32.882,0.007431
0.970,44.651,0.026962
0.980,135.505,0.091532
0.990,32.269,0.106543
1.000,135.232,0.130554
1.010,136.054,0.085046
1.020,158.060,0.197917
1.030,140.430,0.029255
1.040,138.600,0.067654
1.050,135.670,0.154931
1.060,134.746,0.073015
1.070,32.637,0.019822
1.080,32.846,0.080934
1.090,32.995,0.004859
1.100,99.572,0.028818
1.110,976.733,0.017699
1.120,115.970,0.061730
1.130,1219.327,0.038796
1.140,1760.109,0.022962
1.150,203.091,0.062285
1.160,204.337,0.040823
1.170,120.962,0.179911
1.180,574.123,0.087473
1.190,580.697,0.120492
1.200,186.308,0.026205
1.210,32.307,0.053005
1.220,32.409,0.011192
1.230,965.550,0.003679
1.240,1233.196,0.006058
1.250,51.451,0.022305
1.260,32.637,0.046372
1.270,32.381,0.042248
1.280,32.624,0.053850
1.290,32.852,0.008694
1.300,43.899,0.017850
1.310,44.427,0.005886
1.320,1202.496,0.007098
1.330,1967.195,0.020119
1.340,1859.571,0.037891
1.350,1792.629,0.023296
1.360,1188.428,0.017060
1.370,1189.206,0.035885
1.380,1190.203,0.016250
1.390,33.383,0.035820
1.400,1831.604,0.039109
1.410,1804.223,0.038572
1.420,1776.457,0.059235
1.430,33.512,0.015708
1.440,33.680,0.040087
1.450,33.639,0.062358
1.460,33.562,0.035630
1.470,34.038,0.054904
1.480,38.983,0.037564
1.490,33.874,0.130975
1.500,664.828,0.070905
1.510,660.757,0.118762
1.520,653.098,0.167258
1.530,653.107,0.151144
1.540,661.344,0.086619
1.550,1318.678,0.016435
1.560,32.908,0.009241
1.570,32.956,0.147488
1.580,32.779,0.099080
1.590,1322.505,0.025057
1.600,33.692,0.022143
1.610,33.870,0.108247
1.620,33.218,0.137146
1.630,32.665,0.179389
1.640,33.045,0.310789
1.650,37.251,0.029367
1.660,38.749,0.004239
1.670,990.220,0.017814
1.680,993.313,0.015557
1.690,37.479,0.010649
1.700,38.207,0.024348
1.710,1207.210,0.003237
1.720,44.851,0.041213
1.730,44.939,0.186203
1.740,1975.025,0.011338
1.750,117.038,0.007937
1.760,32.342,0.002844
1.770,36.226,0.136639
1.780,36.248,0.159830
1.790,48.566,0.008180
1.800,976.490,0.002534
1.810,36.035,0.002654
1.820,32.458,0.130100
1.830,36.112,0.065797
1.840,63.889,0.012274
1.850,83.948,0.020384
1.860,85.276,0.346442
1.870,54.417,0.064101
1.880,540.491,0.036444
1.890,1958.094,0.015082
1.900,1958.088,0.015122
1.910,1958.096,0.015150
1.920,1958.110,0.015202
1.930,1958.124,0.015224
1.940,1958.131,0.015241
1.950,1958.133,0.015221
1.960,1958.133,0.015186
1.970,1958.134,0.015164
1.980,1958.130,0.015161
1.990,1958.112,0.015145
2.000,1958.098,0.015147
2.010,1958.100,0.015145
2.020,1958.111,0.015145
2.030,1958.103,0.015146
2.040,1958.103,0.015155
2.050,1958.101,0.015192
2.060,1958.103,0.015200
2.070,1958.107,0.015230
2.080,1958.114,0.015235
2.090,1958.128,0.015237
2.100,1958.131,0.015208
2.110,1958.137,0.015240
2.120,1958.143,0.015260
2.130,1958.145,0.015291
2.140,1958.139,0.015272
2.150,1958.156,0.015317
2.160,1958.156,0.015313
2.170,1958.163,0.015341
2.180,1958.155,0.015391
2.190,32.597,0.101471
2.200,578.166,0.137962
2.210,360.600,0.053745
2.220,32.186,0.038843
2.230,32.294,0.035115
2.240,55.021,0.074982
2.250,1831.893,0.006508
2.260,1182.639,0.020286
2.270,1785.017,0.022088
2.280,32.676,0.053065
2.290,55.495,0.021436
2.300,55.579,0.057671
2.310,56.089,0.084158
2.320,33.760,0.057523
2.330,34.131,0.082145
2.340,33.994,0.086702
2.350,55.514,0.011447
2.360,58.416,0.129944
2.370,59.281,0.040863
2.380,1218.667,0.005965
2.390,1220.881,0.012855
2.400,35.533,0.046174
2.410,35.794,0.077201
2.420,33.426,0.033916
2.430,1778.885,0.020805
2.440,33.683,0.025366
2.450,553.502,0.131991
2.460,584.420,0.020681
2.470,32.294,0.007100
2.480,32.490,0.015424
2.490,32.659,0.004225
2.500,1970.251,0.008987
2.510,539.073,0.038117
2.520,50.313,0.170666
2.530,34.324,0.076756
2.540,32.362,0.072694
2.550,33.239,0.111618
2.560,34.215,0.031127
2.570,937.168,0.036246
2.580,129.674,0.058022
2.590,177.485,0.029873
2.600,119.912,0.018417
2.610,1215.709,0.005133
2.620,33.610,0.007924
2.630,33.657,0.013855
2.640,33.885,0.667460
2.650,33.950,0.187729
2.660,33.549,0.324209
2.670,1918.109,0.020894
2.680,217.120,0.025843
2.690,207.068,0.033668
2.700,552.349,0.061675
2.710,1193.534,0.026768
2.720,32.095,0.015622
2.730,32.431,0.051162
2.740,32.313,0.003876
2.750,1177.759,0.007842
2.760,1087.890,0.019151
2.770,32.034,0.066952
2.780,222.393,0.035533
2.790,52.515,0.053369
2.800,52.530,0.414811
2.810,32.099,0.144080
2.820,195.222,0.079584
2.830,208.971,0.027105
2.840,184.097,0.074383
2.850,32.131,0.024162
2.860,32.484,0.040169
2.870,32.347,0.167628
2.880,32.171,0.078471
2.890,55.343,0.099183
2.900,55.256,0.807265
2.910,54.917,0.733451
2.920,54.983,0.466556
2.930,54.917,0.272259
2.940,55.018,0.238234
2.950,55.176,0.643350
2.960,55.200,0.822264
2.970,55.276,0.040852
2.980,138.297,0.076625
2.990,138.500,0.159752
3.000,142.626,0.097115
3.010,144.675,0.043829
3.020,143.019,0.021281
3.030,33.209,0.595601
3.040,33.257,0.589086
3.050,33.252,0.351363
3.060,1042.519,0.009235
3.070,1042.165,0.016205
3.080,546.132,0.042256
3.090,566.176,0.077480
3.100,1125.993,0.004314
3.110,32.309,0.041638
3.120,32.254,0.006186
3.130,1179.035,0.006411
3.140,975.376,0.018872
3.150,1230.199,0.014923
3.160,103.122,0.013039
3.170,98.015,0.013730
3.180,204.304,0.059437
3.190,1785.457,0.021797
3.200,138.779,0.011553
3.210,277.275,0.054671
3.220,1457.590,0.082993
3.230,32.064,0.035402
3.240,32.195,0.227053
3.250,32.250,0.276821
3.260,32.415,0.042644
3.270,658.874,0.022837
3.280,662.972,0.029417
3.290,32.500,0.086189
3.300,37.641,0.134569
3.310,38.248,0.191287
3.320,38.759,0.014462
3.330,1127.605,0.011345
3.340,1840.775,0.004312
3.350,1231.477,0.006645
3.360,34.429,0.183082
3.370,32.256,0.009623
3.380,58.381,0.025111
3.390,1216.596,0.025865
3.400,1193.186,0.018462
3.410,1232.112,0.048187
3.420,1380.579,0.034676
3.430,41.787,0.066237
3.440,39.639,0.285042
3.450,39.775,0.178720
3.460,39.289,0.184248
3.470,100.270,0.107995
3.480,33.888,0.193887
3.490,33.863,0.499347
3.500,33.910,0.623589
3.510,34.226,0.421184
3.520,34.402,0.409867
3.530,34.702,0.118509
3.540,1624.470,0.028023
3.550,1794.010,0.036311
3.560,1972.787,0.034738
3.570,1976.532,0.027017
3.580,1971.817,0.007468
3.590,1221.172,0.006694
3.600,1320.025,0.007174
3.610,36.185,0.031760
3.620,35.517,0.016099
3.630,33.992,0.029662
3.640,33.470,0.273397
3.650,33.499,0.350557
3.660,980.094,0.010877
3.670,38.688,0.254974
3.680,38.709,0.037454
3.690,1972.597,0.010924
3.700,59.451,0.003222
3.710,33.578,0.052320
3.720,33.536,0.482782
3.730,33.299,0.268821
3.740,36.507,0.691141
3.750,36.487,0.827443
3.760,35.815,0.107912
3.770,48.487,0.025490
3.780,49.162,0.066810
3.790,697.434,0.092964
3.800,1957.941,0.015527
3.810,1957.948,0.015500
3.820,1957.940,0.015483
3.830,1957.931,0.015492
3.840,1957.920,0.015498
3.850,1957.910,0.015463
3.860,1957.922,0.015445
3.870,1957.926,0.015424
3.880,1957.936,0.015438
3.890,1957.929,0.015450
3.900,1957.930,0.015448
3.910,1957.934,0.015469
3.920,1957.933,0.015479
3.930,1957.934,0.015491
3.940,1957.922,0.015481
3.950,1957.918,0.015462
3.960,1957.926,0.015464
3.970,1957.930,0.015500
3.980,1044.236,0.026475
3.990,1026.706,0.010398
4.000,657.186,0.107358
4.010,645.475,0.055344
4.020,430.364,0.067876
4.030,430.525,0.053241
4.040,1038.332,0.096423
4.050,32.909,0.284612
