time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,1959.623,0.020371
0.550,1959.621,0.020384
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.616,0.020408
0.610,1959.612,0.020403
0.620,1959.613,0.020394
0.630,1959.610,0.020383
0.640,1959.613,0.020385
0.650,556.821,0.207600
0.660,584.268,0.054108
0.670,574.160,0.118795
0.680,32.285,0.015830
0.690,32.477,0.021602
0.700,32.348,0.023894
0.710,1965.210,0.059548
0.720,147.090,0.141672
0.730,72.597,0.439004
0.740,72.869,0.844406
0.750,72.981,0.821845
0.760,72.945,0.895057
0.770,73.030,0.902244
0.780,73.047,0.883133
0.790,73.051,0.903170
0.800,73.288,0.913846
0.810,73.420,0.891824
0.820,73.098,0.897494
0.830,73.117,0.869946
0.840,73.095,0.726591
0.850,73.204,0.140931
0.860,34.631,0.176418
0.870,74.491,0.173461
0.880,74.492,0.683488
0.890,74.448,0.845528
0.900,74.431,0.743922
0.910,75.430,0.258417
0.920,77.816,0.111629
0.930,38.750,0.671032
0.940,551.383,0.112502
0.950,1322.771,0.020766
0.960,1317.304,0.007839
0.970,33.160,0.055280
0.980,1979.699,0.020262
0.990,1971.768,0.022668
1.000,61.143,0.074276
1.010,61.067,0.852598
1.020,61.348,0.902726
1.030,61.615,0.917974
1.040,61.676,0.904135
1.050,61.623,0.550419
1.060,247.036,0.225271
1.070,61.436,0.059512
1.080,322.158,0.146719
1.090,32.415,0.046919
1.100,33.014,0.077096
1.110,32.780,0.076968
1.120,36.857,0.072395
1.130,36.934,0.064970
1.140,32.291,0.029001
1.150,142.487,0.120659
1.160,144.615,0.041363
1.170,142.231,0.084183
1.180,286.206,0.106271
1.190,32.439,0.224313
1.200,32.509,0.441718
1.210,97.448,0.200332
1.220,289.017,0.164487
1.230,289.326,0.038465
