time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055956
0.040,1959.097,0.014715
0.050,1959.102,0.014758
0.060,1959.099,0.014747
0.070,1959.099,0.014747
0.080,1959.100,0.014742
0.090,1959.107,0.014724
0.100,1959.107,0.014694
0.110,1959.099,0.014649
0.120,1959.089,0.014630
0.130,1959.084,0.014595
0.140,1959.085,0.014598
0.150,1959.080,0.014594
0.160,1959.084,0.014587
0.170,1959.084,0.014587
0.180,1959.084,0.014587
0.190,1959.084,0.014587
0.200,1959.084,0.014587
0.210,1959.084,0.014587
0.220,1959.084,0.014582
0.230,1959.088,0.014582
0.240,1959.088,0.014577
0.250,1959.086,0.014580
0.260,1959.093,0.014581
0.270,1959.090,0.014569
0.280,1959.086,0.014565
0.290,1959.087,0.014558
0.300,1959.085,0.014547
0.310,1959.082,0.014526
0.320,1959.083,0.014517
0.330,1959.083,0.014525
0.340,1959.088,0.014527
0.350,1959.084,0.014534
0.360,1959.084,0.014534
0.370,1959.082,0.014537
0.380,1959.085,0.014559
0.390,1959.085,0.014576
0.400,1959.088,0.014577
0.410,1959.081,0.014582
0.420,1959.076,0.014596
0.430,1959.079,0.014623
0.440,1959.090,0.014663
0.450,1959.101,0.014702
0.460,1959.094,0.014750
0.470,1959.093,0.014739
0.480,1959.084,0.014732
0.490,1959.082,0.014719
0.500,1959.082,0.014714
0.510,1959.089,0.014694
0.520,1959.090,0.014680
0.530,1959.095,0.014659
0.540,1959.100,0.014653
0.550,1959.103,0.014644
0.560,1959.102,0.014645
0.570,1959.098,0.014647
0.580,1959.094,0.014642
0.590,1959.092,0.014631
0.600,1959.091,0.014638
0.610,1959.089,0.014627
0.620,1959.090,0.014622
0.630,1959.091,0.014631
0.640,1959.095,0.014626
0.650,1959.097,0.014632
0.660,1959.098,0.014641
0.670,1959.100,0.014649
0.680,1959.089,0.014657
0.690,1051.529,0.074680
0.700,144.923,0.012695
0.710,142.110,0.024179
0.720,32.366,0.015969
0.730,131.891,0.102116
0.740,132.642,0.060391
0.750,119.670,0.128895
0.760,170.121,0.082994
0.770,174.713,0.148867
0.780,176.401,0.386059
0.790,174.564,0.303462
0.800,179.596,0.169016
0.810,183.541,0.428005
0.820,180.369,0.237921
0.830,165.525,0.174486
0.840,129.722,0.212662
0.850,138.542,0.295113
0.860,150.489,0.482990
0.870,150.066,0.199330
0.880,152.951,0.234124
0.890,151.605,0.206215
0.900,121.735,0.132594
0.910,119.537,0.233287
0.920,119.348,0.115656
0.930,119.535,0.057805
0.940,295.074,0.103827
0.950,296.200,0.356890
0.960,99.714,0.350133
0.970,105.194,0.191868
0.980,324.488,0.103896
0.990,108.723,0.061263
1.000,228.338,0.183135
1.010,165.876,0.123266
1.020,218.072,0.154088
1.030,214.486,0.242149
1.040,136.588,0.168175
1.050,134.829,0.066245
1.060,34.968,0.094621
1.070,133.666,0.045723
1.080,32.600,0.083840
1.090,43.975,0.414287
1.100,44.256,0.269202
1.110,35.981,0.310767
1.120,35.659,0.260320
1.130,35.980,0.159743
1.140,149.542,0.332859
1.150,149.169,0.705606
1.160,149.367,0.314612
1.170,151.137,0.228447
1.180,175.352,0.226352
1.190,151.072,0.372780
1.200,150.514,0.573043
1.210,146.516,0.498158
1.220,141.893,0.372833
1.230,138.286,0.493134
1.240,134.833,0.591096
1.250,134.779,0.498125
1.260,134.705,0.395364
1.270,130.259,0.244403
1.280,98.933,0.186677
1.290,32.886,0.524084
1.300,32.934,0.232812
1.310,33.165,0.148487
1.320,33.777,0.120691
1.330,175.449,0.139832
1.340,175.786,0.246760
1.350,174.707,0.138074
1.360,142.688,0.081533
1.370,140.515,0.173350
1.380,123.305,0.348873
1.390,361.932,0.150376
1.400,360.875,0.200550
1.410,358.378,0.248229
1.420,222.280,0.238223
1.430,220.253,0.403696
1.440,218.707,0.528123
1.450,215.390,0.220098
1.460,197.930,0.258547
1.470,196.526,0.153632
1.480,97.690,0.161497
1.490,397.149,0.050613
1.500,33.484,0.597094
1.510,33.969,0.118774
1.520,33.525,0.106793
1.530,50.836,0.124240
1.540,49.490,0.015455
1.550,60.826,0.104919
1.560,34.827,0.093516
1.570,34.369,0.527557
1.580,33.806,0.603522
1.590,33.012,0.443946
1.600,32.786,0.086768
1.610,38.544,0.163230
1.620,46.252,0.063868
1.630,32.640,0.116195
1.640,33.674,0.054990
1.650,35.221,0.259375
1.660,50.236,0.280475
1.670,51.120,0.496292
1.680,33.568,0.250175
1.690,51.154,0.206232
1.700,33.747,0.229041
1.710,33.186,0.304962
1.720,32.638,0.269515
1.730,32.257,0.126547
1.740,32.853,0.013253
1.750,33.144,0.043355
1.760,33.011,0.067219
1.770,32.658,0.042165
1.780,33.391,0.044846
1.790,33.726,0.067245
1.800,33.740,0.405218
1.810,34.201,0.286137
1.820,34.334,0.250742
1.830,51.110,0.116330
1.840,161.758,0.130081
1.850,40.896,0.139734
1.860,165.383,0.263117
1.870,163.730,0.253767
1.880,162.058,0.142224
1.890,33.413,0.041109
1.900,100.304,0.283267
1.910,51.238,0.222058
1.920,172.464,0.101819
1.930,170.291,0.329101
1.940,169.463,0.485771
1.950,200.754,0.125361
1.960,202.146,0.143575
1.970,199.639,0.092089
1.980,160.844,0.167776
1.990,164.157,0.108569
2.000,471.078,0.155614
2.010,472.143,0.295975
2.020,481.585,0.223988
2.030,482.720,0.173947
2.040,483.223,0.052783
2.050,456.339,0.115660
2.060,332.851,0.310884
2.070,491.952,0.220611
2.080,256.480,0.121342
2.090,262.801,0.186483
2.100,272.121,0.417165
2.110,270.935,0.633754
2.120,270.921,0.297099
2.130,254.220,0.242752
2.140,251.031,0.320919
2.150,122.686,0.240148
2.160,270.533,0.174981
2.170,264.351,0.088940
2.180,517.235,0.229984
2.190,515.099,0.155627
2.200,416.242,0.096431
2.210,339.306,0.188061
2.220,337.642,0.160239
2.230,247.869,0.083356
2.240,84.945,0.104270
2.250,33.284,0.028883
2.260,54.551,0.075957
2.270,103.379,0.155907
2.280,52.383,0.305806
2.290,101.247,0.184925
2.300,97.104,0.090084
2.310,47.343,0.140986
2.320,45.453,0.053546
2.330,43.100,0.023998
2.340,42.222,0.090275
2.350,206.893,0.109050
2.360,197.727,0.133131
2.370,48.219,0.142974
2.380,47.854,0.093391
2.390,32.137,0.046623
2.400,48.041,0.062287
2.410,48.654,0.046111
2.420,39.503,0.070289
2.430,39.776,0.671274
2.440,39.624,0.315111
2.450,1962.824,0.002428
2.460,32.267,0.005241
2.470,32.365,0.009792
2.480,34.003,0.281073
2.490,32.661,0.009240
2.500,994.219,0.008635
2.510,705.042,0.014735
2.520,50.721,0.005401
2.530,49.407,0.025602
2.540,1235.190,0.052936
2.550,1233.937,0.040808
2.560,45.139,0.042964
2.570,45.714,0.025492
2.580,44.749,0.006691
2.590,31.998,0.121469
2.600,31.980,0.023888
2.610,32.221,0.011405
2.620,32.470,0.005559
2.630,44.518,0.005113
2.640,988.249,0.017772
2.650,950.906,0.014819
2.660,1838.152,0.011124
2.670,1386.243,0.007399
2.680,32.779,0.007795
2.690,43.871,0.014738
2.700,43.719,0.035318
2.710,579.105,0.189015
2.720,586.899,0.065565
2.730,1124.173,0.002683
2.740,32.420,0.008581
2.750,44.763,0.002124
2.760,1032.689,0.004027
2.770,535.772,0.029380
2.780,1309.426,0.024075
2.790,1316.267,0.034086
2.800,47.724,0.027849
2.810,144.275,0.008083
2.820,32.450,0.006078
2.830,32.211,0.010790
2.840,32.240,0.006776
2.850,1208.391,0.018693
2.860,32.597,0.122642
2.870,32.788,0.402273
2.880,32.480,0.034409
2.890,32.809,0.008940
2.900,887.797,0.011507
2.910,889.633,0.022297
2.920,898.218,0.016517
2.930,1385.338,0.008839
2.940,177.746,0.015068
2.950,1774.518,0.017019
2.960,32.405,0.023366
2.970,32.084,0.031432
2.980,227.435,0.119536
2.990,44.351,0.064116
3.000,35.516,0.118445
3.010,42.686,0.163460
3.020,42.759,0.170951
3.030,42.095,0.031145
3.040,297.911,0.276405
3.050,331.456,0.071768
3.060,341.463,0.215470
3.070,46.833,0.158252
3.080,46.738,0.251667
3.090,339.681,0.213257
3.100,68.746,0.151545
3.110,34.821,0.267243
3.120,33.743,0.094869
3.130,34.424,0.329348
3.140,34.659,0.140205
3.150,32.688,0.109375
3.160,330.673,0.089789
3.170,48.060,0.050570
3.180,49.160,0.061015
3.190,119.793,0.121184
3.200,116.875,0.110774
3.210,115.715,0.038480
3.220,48.579,0.064305
3.230,32.680,0.015107
3.240,32.312,0.004832
3.250,49.400,0.011769
3.260,49.826,0.029540
3.270,32.255,0.002863
3.280,993.707,0.009038
3.290,984.246,0.032888
3.300,1968.378,0.017522
3.310,1034.126,0.007164
3.320,442.228,0.033393
3.330,438.081,0.058856
3.340,88.280,0.086133
3.350,86.650,0.629206
3.360,85.472,0.798252
3.370,84.517,0.630582
3.380,83.118,0.055924
3.390,32.496,0.024632
3.400,32.088,0.241870
3.410,32.402,0.109390
3.420,33.568,0.042583
3.430,33.118,0.077115
3.440,32.597,0.042979
3.450,32.507,0.023881
3.460,1687.106,0.021740
3.470,154.183,0.056650
3.480,32.173,0.047773
3.490,32.291,0.031047
3.500,33.388,0.045498
3.510,242.602,0.017190
3.520,950.567,0.032074
3.530,1960.987,0.034789
3.540,1970.164,0.062400
3.550,1968.143,0.041658
3.560,1183.322,0.009488
3.570,1775.687,0.007738
3.580,1859.641,0.022656
3.590,323.773,0.023197
3.600,1966.735,0.011111
3.610,660.266,0.025920
3.620,590.193,0.063143
3.630,649.787,0.045184
3.640,33.996,0.321601
3.650,33.792,0.193229
3.660,32.352,0.007824
3.670,650.744,0.099936
3.680,590.691,0.051555
3.690,396.731,0.083367
3.700,595.916,0.063846
3.710,595.748,0.135682
3.720,589.288,0.096460
3.730,32.696,0.022075
3.740,33.940,0.091710
3.750,34.828,0.222578
3.760,580.505,0.159802
3.770,1175.884,0.012649
3.780,32.635,0.029067
3.790,32.447,0.017435
3.800,998.296,0.006502
3.810,988.703,0.037701
3.820,1965.586,0.017841
3.830,1203.699,0.021128
3.840,253.981,0.089952
3.850,92.282,0.102030
3.860,87.133,0.464004
3.870,86.293,0.747025
3.880,85.135,0.567646
3.890,82.362,0.206527
3.900,80.811,0.053328
3.910,1737.051,0.022027
3.920,1972.478,0.014344
3.930,1286.820,0.009800
3.940,1184.907,0.021313
3.950,1161.975,0.025248
3.960,1735.000,0.014924
3.970,1148.492,0.005038
3.980,1621.472,0.011572
3.990,586.673,0.080814
4.000,531.383,0.076351
4.010,603.666,0.063349
4.020,326.193,0.086186
4.030,32.616,0.077683
4.040,1849.009,0.012073
4.050,32.280,0.019888
4.060,1443.549,0.025272
4.070,1443.831,0.041611
4.080,653.728,0.049714
4.090,218.974,0.008554
4.100,219.475,0.045656
