time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,1959.623,0.020371
0.550,1959.621,0.020384
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.616,0.020408
0.610,1959.612,0.020403
0.620,1959.613,0.020394
0.630,1959.610,0.020383
0.640,554.765,0.193071
0.650,552.482,0.083864
0.660,220.382,0.317370
0.670,221.094,0.090520
0.680,32.129,0.020515
0.690,32.166,0.064365
0.700,45.578,0.383543
0.710,989.907,0.024371
0.720,1229.249,0.049105
0.730,651.735,0.023357
0.740,651.104,0.020291
0.750,659.197,0.037193
0.760,122.662,0.037474
0.770,1954.276,0.009969
0.780,223.256,0.085321
0.790,222.405,0.500150
0.800,218.598,0.475449
0.810,213.942,0.598592
0.820,213.039,0.511357
0.830,215.344,0.483318
0.840,223.647,0.187771
0.850,1013.516,0.036969
0.860,1016.677,0.017093
0.870,267.730,0.091268
0.880,273.722,0.405667
0.890,277.158,0.889685
0.900,278.247,0.847493
0.910,279.241,0.715521
0.920,280.755,0.744477
0.930,279.833,0.744649
0.940,275.149,0.826805
0.950,273.622,0.755929
0.960,269.379,0.585368
0.970,267.903,0.204917
0.980,33.414,0.111832
0.990,33.365,0.178127
1.000,39.713,0.043842
1.010,39.444,0.080605
1.020,32.241,0.011780
1.030,90.087,0.005629
1.040,1161.325,0.036101
1.050,1173.561,0.038602
1.060,1113.728,0.032142
1.070,272.494,0.204505
1.080,274.112,0.650115
1.090,274.597,0.852877
1.100,274.793,0.886423
1.110,275.042,0.922809
1.120,275.680,0.776131
1.130,1056.876,0.029527
1.140,1184.066,0.008866
1.150,32.580,0.026349
1.160,32.338,0.074032
1.170,32.215,0.027512
1.180,1866.087,0.020376
1.190,1863.714,0.014930
1.200,1880.251,0.015674
1.210,1168.145,0.043085
1.220,1180.466,0.038531
