time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097012
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1958.319,0.014352
0.050,1958.319,0.014262
0.060,1958.319,0.014274
0.070,1958.319,0.014278
0.080,1958.318,0.014286
0.090,1958.307,0.014313
0.100,1958.304,0.014343
0.110,1958.314,0.014418
0.120,1958.325,0.014462
0.130,1958.325,0.014554
0.140,1958.325,0.014543
0.150,1958.326,0.014542
0.160,1958.325,0.014542
0.170,1958.323,0.014543
0.180,1958.323,0.014543
0.190,1958.323,0.014543
0.200,1958.323,0.014543
0.210,1958.323,0.014543
0.220,1958.323,0.014543
0.230,1958.323,0.014540
0.240,1958.323,0.014543
0.250,1958.320,0.014549
0.260,1958.313,0.014554
0.270,1958.314,0.014560
0.280,1958.312,0.014557
0.290,1958.312,0.014552
0.300,1958.312,0.014552
0.310,1958.312,0.014552
0.320,1958.312,0.014552
0.330,1958.312,0.014551
0.340,1958.312,0.014550
0.350,1958.315,0.014544
0.360,1958.311,0.014546
0.370,1958.311,0.014551
0.380,1958.311,0.014542
0.390,1958.322,0.014541
0.400,1958.326,0.014543
0.410,1958.325,0.014529
0.420,1958.342,0.014515
0.430,1958.345,0.014504
0.440,1958.335,0.014437
0.450,1958.319,0.014386
0.460,1958.317,0.014317
0.470,1958.323,0.014329
0.480,1958.327,0.014327
0.490,1958.330,0.014322
0.500,1958.335,0.014325
0.510,1958.333,0.014324
0.520,1958.333,0.014326
0.530,1958.332,0.014322
0.540,1958.338,0.014324
0.550,1958.341,0.014324
0.560,1958.339,0.014327
0.570,1054.329,0.033806
0.580,1039.554,0.013256
0.590,1032.663,0.023410
0.600,638.218,0.050304
0.610,646.844,0.148369
0.620,644.043,0.155472
0.630,651.354,0.118035
0.640,656.981,0.082502
0.650,604.493,0.061925
0.660,547.537,0.090224
0.670,559.053,0.172665
0.680,790.637,0.644980
0.690,795.433,0.508231
0.700,833.207,0.745204
0.710,842.159,0.773445
0.720,869.154,0.555670
0.730,912.679,0.448702
0.740,932.395,0.489670
0.750,1010.014,0.772278
0.760,1023.897,0.867099
0.770,1033.855,0.928189
0.780,1038.989,0.950585
0.790,1038.836,0.949052
0.800,1036.233,0.938810
0.810,1029.742,0.875236
0.820,1021.452,0.801241
0.830,1006.794,0.717191
0.840,981.909,0.744214
0.850,955.926,0.781029
0.860,940.103,0.829497
0.870,918.692,0.748348
0.880,896.142,0.605374
0.890,838.805,0.683118
0.900,823.012,0.654995
0.910,785.273,0.442815
