time,frequency,confidence
0.000,646.105,0.075363
0.010,646.851,0.098825
0.020,648.577,0.060748
0.030,660.783,0.060000
0.040,85.599,0.120646
0.050,1425.784,0.058887
0.060,1433.698,0.025183
0.070,35.780,0.067204
0.080,40.464,0.132233
0.090,36.269,0.058696
0.100,40.848,0.014654
0.110,1966.784,0.010089
0.120,176.108,0.007903
0.130,176.777,0.011797
0.140,32.150,0.035613
0.150,32.214,0.017540
0.160,139.681,0.118052
0.170,174.266,0.265440
0.180,138.797,0.238891
0.190,173.958,0.257003
0.200,170.477,0.208404
0.210,34.073,0.411823
0.220,169.765,0.057145
0.230,278.429,0.043561
0.240,204.645,0.043187
0.250,53.990,0.009104
0.260,32.298,0.060639
0.270,32.061,0.080127
0.280,32.139,0.039512
0.290,1802.289,0.005521
0.300,1871.504,0.003920
0.310,34.415,0.012513
0.320,32.062,0.002701
0.330,180.002,0.006102
0.340,180.337,0.156509
0.350,92.795,0.206255
0.360,93.572,0.495118
0.370,92.874,0.414898
0.380,184.440,0.079192
0.390,32.266,0.047957
0.400,35.810,0.027860
0.410,1132.333,0.024469
0.420,1156.717,0.014884
0.430,185.298,0.050496
0.440,181.126,0.106710
0.450,181.155,0.174924
0.460,32.422,0.284330
0.470,32.427,0.097364
0.480,35.974,0.011438
0.490,36.073,0.368524
0.500,180.134,0.180226
0.510,181.939,0.401709
0.520,182.063,0.603663
0.530,181.506,0.729400
0.540,181.364,0.591604
0.550,183.461,0.350188
0.560,192.323,0.112573
0.570,32.029,0.127290
0.580,33.761,0.128417
0.590,33.987,0.045339
0.600,56.597,0.003867
0.610,1204.008,0.005999
0.620,80.774,0.017783
0.630,32.493,0.151025
0.640,80.699,0.021201
0.650,81.759,0.078639
0.660,34.529,0.215133
0.670,34.640,0.195280
0.680,283.542,0.060077
0.690,348.901,0.091052
0.700,337.518,0.024166
0.710,32.235,0.073386
0.720,32.140,0.055634
0.730,358.022,0.018672
0.740,358.632,0.106596
0.750,179.515,0.064517
0.760,177.519,0.026656
0.770,356.485,0.201387
0.780,209.267,0.063964
0.790,139.615,0.144629
0.800,139.323,0.088158
0.810,51.786,0.182321
0.820,137.762,0.271955
0.830,137.607,0.184989
0.840,137.928,0.141661
0.850,137.828,0.029912
0.860,139.038,0.038588
0.870,279.295,0.022812
0.880,32.682,0.032076
0.890,32.951,0.036569
0.900,32.763,0.049033
0.910,1162.082,0.014800
0.920,1182.161,0.082102
0.930,1156.678,0.014168
0.940,34.286,0.067532
0.950,34.222,0.698576
0.960,34.066,0.425556
0.970,173.981,0.061178
0.980,176.573,0.088436
0.990,1233.286,0.055520
1.000,353.708,0.074124
