time,frequency,confidence
0.000,32.553,0.087093
0.010,32.435,0.023234
0.020,32.440,0.022184
0.030,106.394,0.022477
0.040,321.827,0.036843
0.050,1037.716,0.048455
0.060,271.176,0.141197
0.070,261.054,0.138957
0.080,264.620,0.132505
0.090,35.747,0.043169
0.100,80.978,0.014242
0.110,76.855,0.088350
0.120,75.959,0.298937
0.130,74.800,0.360245
0.140,74.473,0.150882
0.150,175.149,0.158040
0.160,176.022,0.128349
0.170,36.610,0.344791
0.180,36.539,0.492776
0.190,149.041,0.307495
0.200,36.750,0.178378
0.210,156.134,0.038630
0.220,159.948,0.207368
0.230,162.207,0.044342
0.240,167.785,0.149900
0.250,169.953,0.105588
0.260,48.637,0.175412
0.270,48.887,0.465371
0.280,48.847,0.853389
0.290,48.941,0.857420
0.300,49.112,0.866307
0.310,49.137,0.620749
0.320,49.150,0.524231
0.330,48.914,0.735389
0.340,48.586,0.238701
0.350,32.395,0.175017
0.360,32.537,0.357693
0.370,84.883,0.016302
0.380,86.161,0.048951
0.390,38.141,0.053801
0.400,43.696,0.156854
0.410,43.687,0.686153
0.420,43.459,0.870811
0.430,43.476,0.944096
0.440,43.463,0.916856
0.450,43.512,0.724498
0.460,32.326,0.138363
0.470,133.790,0.092817
0.480,140.987,0.062243
0.490,32.173,0.027475
0.500,144.645,0.010173
0.510,32.608,0.033404
0.520,32.563,0.390186
0.530,32.518,0.567398
0.540,32.624,0.250214
0.550,129.534,0.239446
0.560,65.043,0.166409
0.570,65.076,0.308596
0.580,32.638,0.287624
0.590,32.723,0.450782
0.600,32.936,0.255155
0.610,66.353,0.287464
0.620,32.782,0.058417
0.630,113.365,0.176378
0.640,36.084,0.207874
0.650,150.092,0.114021
0.660,149.447,0.382806
0.670,148.821,0.382817
0.680,73.707,0.354245
0.690,36.726,0.414606
0.700,36.636,0.417703
0.710,36.488,0.481642
0.720,36.519,0.419574
0.730,36.550,0.301577
0.740,36.194,0.140820
0.750,147.217,0.373962
0.760,148.998,0.147327
0.770,142.961,0.211377
0.780,141.732,0.136014
0.790,32.762,0.438291
0.800,131.049,0.166915
0.810,130.016,0.145129
0.820,130.553,0.156009
0.830,132.634,0.102664
0.840,133.443,0.108932
0.850,32.721,0.330955
0.860,32.685,0.523128
0.870,32.797,0.331089
0.880,32.677,0.249330
0.890,32.798,0.054517
0.900,32.269,0.030483
0.910,52.100,0.035311
0.920,82.365,0.006812
0.930,153.433,0.119227
0.940,152.482,0.115654
0.950,139.202,0.069285
0.960,133.179,0.117261
0.970,131.210,0.193599
0.980,130.227,0.177204
0.990,129.836,0.086808
1.000,186.614,0.112349
1.010,181.986,0.360575
1.020,35.890,0.173329
1.030,95.139,0.094594
1.040,256.200,0.136331
1.050,289.160,0.073590
1.060,42.330,0.110448
1.070,256.093,0.199452
1.080,255.877,0.186726
1.090,156.614,0.110279
1.100,124.251,0.130224
1.110,36.500,0.544713
1.120,36.394,0.156622
1.130,185.584,0.054267
1.140,75.194,0.062939
1.150,393.516,0.119425
1.160,379.851,0.078255
1.170,306.039,0.044527
1.180,322.503,0.085698
1.190,323.046,0.087051
1.200,647.845,0.071056
1.210,291.201,0.052284
1.220,289.411,0.110770
1.230,143.611,0.071158
1.240,143.839,0.091268
1.250,145.074,0.355067
1.260,147.167,0.268532
1.270,155.324,0.264111
1.280,157.392,0.143411
1.290,32.200,0.118415
1.300,142.861,0.044409
1.310,146.903,0.064273
1.320,73.053,0.129014
1.330,74.460,0.223469
1.340,74.441,0.373540
1.350,74.906,0.307107
1.360,74.329,0.351089
1.370,73.474,0.351469
1.380,73.570,0.423907
1.390,73.583,0.432982
1.400,73.336,0.242878
1.410,32.143,0.263673
1.420,32.357,0.545312
1.430,33.093,0.296596
1.440,51.451,0.092681
1.450,51.143,0.048253
1.460,80.778,0.034171
1.470,32.194,0.012208
1.480,154.259,0.030238
1.490,128.847,0.010639
1.500,129.592,0.008419
1.510,127.422,0.040560
1.520,127.644,0.081990
1.530,129.606,0.060333
1.540,183.657,0.302741
1.550,192.894,0.056395
1.560,195.218,0.014089
1.570,127.776,0.019058
1.580,145.035,0.034502
1.590,144.743,0.189054
1.600,148.350,0.055998
1.610,146.467,0.047173
1.620,32.219,0.016781
1.630,32.131,0.020890
1.640,151.045,0.058447
1.650,230.076,0.051606
1.660,234.246,0.116364
1.670,74.309,0.099449
1.680,133.062,0.071365
1.690,132.083,0.046498
1.700,594.952,0.029894
1.710,660.579,0.023003
1.720,659.324,0.036522
1.730,648.450,0.072258
1.740,657.470,0.053772
1.750,657.037,0.073135
1.760,657.175,0.026457
1.770,125.345,0.033254
1.780,214.841,0.149117
1.790,214.752,0.260972
1.800,148.080,0.241469
1.810,154.914,0.267423
1.820,130.141,0.163618
1.830,32.161,0.246530
1.840,32.666,0.024693
1.850,73.129,0.082251
1.860,73.921,0.163091
1.870,74.781,0.180014
1.880,74.411,0.319684
1.890,74.363,0.272161
1.900,73.316,0.214337
1.910,73.356,0.194240
1.920,36.478,0.362073
1.930,36.517,0.324000
1.940,73.132,0.415404
1.950,36.094,0.030473
1.960,32.295,0.028163
1.970,31.890,0.165417
1.980,31.996,0.040353
1.990,82.096,0.035014
2.000,81.790,0.197973
2.010,161.797,0.102719
2.020,140.580,0.067185
2.030,132.529,0.084059
2.040,129.438,0.057822
2.050,127.597,0.369918
2.060,128.600,0.311589
2.070,129.609,0.166295
2.080,182.743,0.046454
2.090,1849.689,0.006152
2.100,32.242,0.007069
2.110,128.002,0.031103
2.120,119.939,0.096065
2.130,118.207,0.434337
2.140,117.336,0.450083
2.150,146.824,0.059079
2.160,153.806,0.063190
2.170,32.166,0.012339
2.180,32.348,0.013793
2.190,1838.589,0.010073
2.200,133.300,0.006634
2.210,587.706,0.047077
2.220,147.406,0.083437
2.230,154.166,0.058458
2.240,1817.238,0.024591
2.250,1796.702,0.021332
2.260,661.372,0.030414
2.270,637.166,0.100166
2.280,652.879,0.110350
2.290,972.372,0.048467
2.300,1050.608,0.007752
2.310,239.790,0.098783
2.320,288.175,0.028111
2.330,132.795,0.076837
2.340,133.949,0.078332
2.350,138.795,0.012445
2.360,1239.264,0.012898
2.370,1291.107,0.012584
2.380,949.926,0.020101
2.390,54.607,0.017179
2.400,1185.613,0.037514
2.410,595.267,0.106748
2.420,595.192,0.050799
2.430,881.512,0.027813
2.440,886.111,0.008680
2.450,403.173,0.003335
2.460,32.260,0.004169
2.470,579.773,0.049665
2.480,129.537,0.090393
2.490,128.316,0.122869
2.500,32.251,0.122303
2.510,50.745,0.082714
2.520,49.835,0.018753
2.530,147.323,0.025339
2.540,147.062,0.192963
2.550,140.334,0.033419
2.560,224.078,0.057343
2.570,32.498,0.035120
2.580,166.729,0.039306
2.590,82.910,0.022540
2.600,207.682,0.045859
2.610,180.199,0.078385
2.620,190.735,0.034301
2.630,191.489,0.172677
2.640,186.389,0.079384
2.650,185.942,0.086872
2.660,35.656,0.041869
2.670,137.273,0.007719
2.680,133.303,0.029210
2.690,133.580,0.040273
2.700,152.230,0.050203
2.710,58.012,0.061029
2.720,329.494,0.035200
2.730,32.324,0.010129
2.740,32.529,0.010147
2.750,1174.185,0.057901
2.760,588.005,0.086757
2.770,329.626,0.079626
2.780,658.200,0.044402
2.790,327.610,0.045923
2.800,652.513,0.065912
2.810,659.029,0.079292
2.820,207.397,0.033228
2.830,175.288,0.125267
2.840,172.689,0.293292
2.850,174.037,0.151406
2.860,146.230,0.151663
2.870,146.213,0.073964
2.880,147.345,0.008404
2.890,32.327,0.014858
2.900,83.038,0.012136
2.910,84.508,0.037597
2.920,32.310,0.025550
2.930,32.575,0.058204
2.940,204.617,0.026341
2.950,218.295,0.023430
2.960,54.830,0.021311
2.970,54.998,0.039455
2.980,55.031,0.084245
2.990,55.312,0.013852
3.000,388.030,0.014379
3.010,134.581,0.004992
3.020,32.889,0.012687
3.030,32.386,0.013101
3.040,1814.437,0.033932
3.050,33.039,0.040993
3.060,130.718,0.017563
3.070,151.586,0.053206
3.080,153.310,0.055953
3.090,156.775,0.197998
3.100,157.752,0.069333
3.110,34.903,0.677975
3.120,35.395,0.089773
3.130,31.991,0.147944
3.140,1792.593,0.005323
3.150,939.883,0.023298
3.160,289.670,0.010836
3.170,286.879,0.042080
3.180,98.833,0.066291
3.190,179.461,0.040151
3.200,134.853,0.035816
3.210,400.316,0.055311
3.220,129.799,0.079375
3.230,83.037,0.059975
3.240,57.875,0.052076
3.250,405.980,0.038024
3.260,132.557,0.094020
3.270,32.440,0.275659
3.280,32.750,0.145904
3.290,396.941,0.124162
3.300,399.689,0.084626
3.310,305.577,0.070167
3.320,656.446,0.056058
3.330,636.007,0.080020
3.340,646.015,0.112892
3.350,651.935,0.081089
3.360,660.286,0.048853
3.370,142.352,0.040786
3.380,324.893,0.085898
3.390,324.451,0.099635
3.400,323.596,0.060020
3.410,223.592,0.057062
3.420,432.038,0.042891
3.430,113.834,0.038401
3.440,32.051,0.218534
3.450,194.861,0.096976
3.460,199.474,0.107900
3.470,199.298,0.255109
3.480,199.495,0.161403
3.490,65.494,0.060957
3.500,63.732,0.089436
3.510,65.213,0.145938
3.520,65.102,0.259685
3.530,32.722,0.406256
3.540,32.730,0.860776
3.550,32.991,0.532477
3.560,32.431,0.127344
3.570,32.127,0.211903
3.580,32.262,0.120415
3.590,32.261,0.027454
3.600,32.267,0.011616
3.610,224.393,0.025450
3.620,206.260,0.014366
3.630,128.258,0.053627
3.640,124.864,0.022426
3.650,126.647,0.042808
3.660,127.208,0.041564
3.670,128.695,0.030014
3.680,132.321,0.006004
3.690,56.580,0.003260
3.700,32.943,0.004497
3.710,1024.981,0.008252
3.720,129.517,0.029899
3.730,116.010,0.012417
3.740,115.773,0.006447
3.750,1261.810,0.003158
3.760,321.827,0.006876
3.770,148.973,0.013746
3.780,32.276,0.012935
3.790,32.110,0.051049
3.800,32.164,0.047685
3.810,32.437,0.387460
3.820,32.896,0.326546
3.830,589.600,0.093538
3.840,164.621,0.079024
3.850,163.197,0.036556
3.860,158.734,0.060267
3.870,158.749,0.056449
3.880,649.028,0.067988
3.890,649.963,0.030732
3.900,649.157,0.053368
3.910,655.537,0.014096
3.920,1223.293,0.002409
3.930,1320.690,0.003349
3.940,32.317,0.034777
3.950,216.934,0.062522
3.960,141.198,0.038076
3.970,32.219,0.055493
3.980,32.282,0.055715
3.990,32.495,0.295850
4.000,33.232,0.019948
4.010,134.932,0.035850
4.020,135.410,0.128369
4.030,134.708,0.283630
4.040,32.710,0.668013
4.050,32.705,0.773885
4.060,32.603,0.547487
4.070,32.702,0.855158
4.080,32.757,0.613178
4.090,32.952,0.311401
4.100,32.376,0.011255
4.110,32.170,0.038989
4.120,32.030,0.055832
4.130,32.044,0.028666
4.140,80.906,0.030227
4.150,80.713,0.114591
4.160,256.460,0.031981
4.170,128.580,0.253864
4.180,128.155,0.471200
4.190,128.072,0.568869
4.200,128.505,0.495463
4.210,130.134,0.265893
4.220,114.807,0.019491
4.230,114.190,0.023546
4.240,84.528,0.004509
4.250,32.161,0.009058
4.260,35.690,0.099588
4.270,133.250,0.094443
4.280,138.142,0.101681
4.290,140.721,0.152086
4.300,146.804,0.070848
4.310,156.593,0.242479
4.320,31.972,0.238635
4.330,32.061,0.034261
4.340,1857.827,0.017508
4.350,46.481,0.042592
4.360,585.208,0.085256
4.370,585.797,0.111462
4.380,363.981,0.064235
4.390,1848.728,0.045174
4.400,1842.792,0.051249
4.410,1158.476,0.030530
4.420,1161.920,0.038121
4.430,75.760,0.071589
4.440,149.349,0.321121
4.450,147.664,0.346075
4.460,36.552,0.384760
4.470,36.650,0.396933
4.480,73.797,0.318251
4.490,36.729,0.174367
4.500,155.974,0.083605
4.510,96.014,0.067417
4.520,97.138,0.183898
4.530,97.565,0.175445
4.540,97.508,0.106603
4.550,48.745,0.247914
4.560,48.747,0.647588
4.570,48.875,0.768003
4.580,48.912,0.887022
4.590,49.093,0.894485
4.600,49.079,0.894846
4.610,49.042,0.884080
4.620,49.115,0.583743
4.630,37.465,0.069956
4.640,32.790,0.050992
4.650,51.481,0.053035
4.660,44.549,0.025832
4.670,32.373,0.014426
4.680,133.006,0.026274
4.690,133.784,0.050299
4.700,85.109,0.020298
4.710,85.976,0.230355
4.720,85.732,0.199962
4.730,85.380,0.225535
4.740,133.364,0.101229
4.750,64.537,0.060793
4.760,1845.667,0.016896
4.770,262.376,0.041263
4.780,259.940,0.108631
4.790,252.628,0.260922
4.800,232.004,0.089045
4.810,34.292,0.126551
4.820,33.956,0.044030
4.830,128.771,0.086005
4.840,128.855,0.101680
4.850,129.784,0.066145
4.860,64.401,0.026469
4.870,32.264,0.064952
4.880,32.414,0.665219
4.890,398.751,0.051250
4.900,589.483,0.139860
4.910,592.770,0.089083
4.920,654.338,0.032909
4.930,1755.796,0.031385
4.940,936.443,0.034568
4.950,650.705,0.039453
4.960,970.101,0.058559
4.970,36.528,0.321507
4.980,36.710,0.438916
4.990,36.343,0.416764
5.000,36.264,0.704217
5.010,72.924,0.394470
5.020,73.243,0.262962
5.030,178.769,0.176739
5.040,151.825,0.225166
5.050,152.562,0.221125
5.060,154.556,0.220936
5.070,160.034,0.051072
5.080,32.558,0.720914
5.090,32.774,0.399703
5.100,32.684,0.395970
5.110,32.606,0.771877
5.120,32.749,0.599627
5.130,162.719,0.459249
5.140,32.621,0.544398
5.150,32.678,0.266630
5.160,32.623,0.309780
5.170,32.158,0.205496
5.180,32.361,0.169870
5.190,32.311,0.082520
5.200,81.170,0.021960
5.210,80.797,0.014668
5.220,80.754,0.086407
5.230,206.662,0.024788
5.240,128.723,0.116608
5.250,128.256,0.409389
5.260,128.606,0.454954
5.270,129.068,0.640256
5.280,129.419,0.444486
5.290,177.286,0.196020
5.300,174.199,0.069912
5.310,260.312,0.147854
5.320,258.023,0.175594
5.330,156.818,0.202874
5.340,153.763,0.151935
5.350,225.244,0.141109
5.360,150.920,0.071712
5.370,153.863,0.227843
5.380,152.935,0.046136
5.390,149.627,0.109174
5.400,145.448,0.094364
5.410,72.786,0.172400
5.420,72.132,0.184981
5.430,132.169,0.075091
5.440,589.811,0.058127
5.450,362.692,0.025322
5.460,658.251,0.022724
5.470,647.393,0.044009
5.480,326.499,0.072689
5.490,322.015,0.068581
5.500,289.548,0.037300
5.510,32.135,0.038838
5.520,32.093,0.019926
5.530,288.018,0.048267
5.540,291.674,0.190252
5.550,285.660,0.031733
5.560,133.264,0.050460
5.570,131.672,0.078619
5.580,141.234,0.018857
5.590,147.749,0.117202
5.600,148.904,0.154546
5.610,74.694,0.238664
5.620,226.034,0.209869
5.630,74.116,0.179351
5.640,253.140,0.149787
5.650,36.591,0.261083
5.660,36.542,0.386011
5.670,36.457,0.678645
5.680,36.338,0.671876
5.690,74.181,0.140565
5.700,36.157,0.013744
5.710,32.870,0.030692
5.720,32.216,0.142477
5.730,52.228,0.029161
5.740,52.428,0.009557
5.750,83.476,0.022903
5.760,81.341,0.068561
5.770,131.642,0.044525
5.780,130.014,0.187095
5.790,130.107,0.191930
5.800,128.219,0.423311
5.810,187.111,0.550849
