time,frequency,confidence
0.000,646.310,0.074649
0.010,647.256,0.106112
0.020,657.977,0.040239
0.030,660.586,0.134978
0.040,590.887,0.059750
0.050,1036.796,0.027010
0.060,1048.263,0.012580
0.070,158.147,0.019803
0.080,37.157,0.049438
0.090,37.650,0.008173
0.100,36.053,0.143281
0.110,32.243,0.020751
0.120,54.390,0.014308
0.130,39.803,0.005166
0.140,32.768,0.220415
0.150,32.505,0.085610
0.160,39.078,0.028546
0.170,332.371,0.050684
0.180,366.271,0.215729
0.190,323.750,0.194699
0.200,32.261,0.032821
0.210,36.137,0.045421
0.220,32.603,0.056701
0.230,44.872,0.027191
0.240,119.612,0.015609
0.250,336.512,0.243287
0.260,32.159,0.087649
0.270,32.170,0.104315
0.280,319.381,0.523822
0.290,319.090,0.534396
0.300,317.344,0.061179
0.310,98.759,0.250684
0.320,98.464,0.227555
0.330,34.775,0.112025
0.340,44.048,0.046422
0.350,43.442,0.011566
0.360,35.591,0.078503
0.370,39.269,0.007938
0.380,50.983,0.026771
0.390,360.753,0.173988
0.400,32.238,0.060293
0.410,32.189,0.067275
0.420,32.841,0.022322
0.430,166.585,0.033409
0.440,55.733,0.027620
0.450,339.350,0.044134
0.460,341.141,0.330570
0.470,161.403,0.148930
0.480,162.612,0.348260
0.490,319.421,0.287223
0.500,316.820,0.486556
0.510,315.272,0.089054
0.520,99.271,0.157111
0.530,98.588,0.109583
0.540,197.039,0.080352
0.550,389.032,0.022877
0.560,398.210,0.029386
0.570,396.212,0.106298
0.580,330.624,0.203737
0.590,327.038,0.318213
0.600,330.536,0.196689
0.610,1663.859,0.042927
0.620,1653.681,0.041050
0.630,1617.908,0.013770
0.640,399.728,0.006355
0.650,878.040,0.016581
0.660,399.379,0.014475
0.670,1761.963,0.011762
0.680,32.195,0.013227
0.690,36.197,0.049203
0.700,36.253,0.071722
0.710,1429.021,0.008005
0.720,1420.307,0.007803
0.730,32.049,0.028526
0.740,32.226,0.024429
0.750,32.158,0.029996
0.760,1172.819,0.011814
0.770,1021.226,0.025823
0.780,1018.128,0.079079
0.790,1021.246,0.056899
0.800,946.624,0.018139
0.810,1958.986,0.006772
0.820,1019.343,0.015329
0.830,157.282,0.060715
0.840,431.407,0.067941
0.850,589.386,0.070410
0.860,263.965,0.138910
0.870,32.369,0.028694
0.880,32.443,0.058599
0.890,32.631,0.020029
0.900,39.410,0.020781
0.910,168.029,0.161459
0.920,42.720,0.129162
0.930,42.803,0.792976
0.940,42.746,0.820015
0.950,42.464,0.523342
0.960,44.291,0.088869
0.970,48.677,0.182404
0.980,54.975,0.201525
0.990,130.722,0.031192
1.000,133.291,0.120673
1.010,179.536,0.153404
1.020,178.190,0.195913
1.030,177.319,0.431172
1.040,259.673,0.351776
1.050,86.433,0.734422
1.060,85.896,0.882373
1.070,86.223,0.932596
1.080,86.284,0.935623
1.090,86.278,0.921985
1.100,85.889,0.910629
1.110,85.723,0.881721
1.120,85.875,0.749565
1.130,85.913,0.623052
1.140,84.995,0.380857
1.150,353.016,0.187024
1.160,32.512,0.161306
1.170,32.702,0.254835
1.180,38.134,0.441207
1.190,38.335,0.677910
1.200,38.500,0.727366
1.210,38.183,0.534785
1.220,38.418,0.601359
1.230,77.113,0.868593
1.240,77.139,0.856006
1.250,76.926,0.861998
1.260,76.709,0.886277
1.270,76.629,0.892341
1.280,76.650,0.727519
1.290,76.752,0.578913
1.300,77.148,0.731619
1.310,77.194,0.854738
1.320,77.239,0.900618
1.330,77.092,0.858741
1.340,76.943,0.862866
1.350,76.489,0.846032
1.360,76.745,0.878959
1.370,76.714,0.865106
1.380,77.124,0.838304
1.390,77.073,0.861395
1.400,76.919,0.853764
1.410,77.011,0.859519
1.420,76.749,0.678086
1.430,76.566,0.226102
1.440,153.035,0.088293
1.450,40.415,0.009003
1.460,39.070,0.021639
1.470,38.839,0.107509
1.480,52.351,0.209648
1.490,52.124,0.172403
1.500,168.050,0.470636
1.510,169.517,0.735115
1.520,169.864,0.566281
1.530,169.611,0.241985
1.540,170.376,0.362279
1.550,172.950,0.125482
1.560,43.942,0.068060
1.570,43.780,0.141701
1.580,86.042,0.131710
1.590,85.785,0.111445
1.600,85.631,0.229737
1.610,85.829,0.248986
1.620,256.359,0.405793
1.630,257.245,0.470764
1.640,259.596,0.422931
1.650,129.570,0.614035
1.660,127.671,0.604653
1.670,126.493,0.315682
1.680,254.194,0.128685
1.690,85.602,0.374707
1.700,85.661,0.576665
1.710,85.548,0.668422
1.720,85.974,0.805985
1.730,87.379,0.274924
1.740,88.065,0.033309
1.750,54.524,0.015127
1.760,32.697,0.167823
1.770,32.949,0.113205
1.780,45.880,0.080321
1.790,103.224,0.249358
1.800,100.600,0.142890
1.810,696.410,0.175519
1.820,690.997,0.117721
1.830,344.439,0.140656
1.840,85.300,0.721738
1.850,85.225,0.732428
1.860,344.757,0.182983
1.870,34.123,0.062291
1.880,1413.488,0.050031
1.890,1710.073,0.021642
1.900,35.649,0.035731
1.910,175.094,0.073908
1.920,43.660,0.107218
1.930,172.720,0.213733
1.940,172.386,0.542190
1.950,85.982,0.174323
1.960,42.845,0.083916
1.970,347.260,0.177008
1.980,344.268,0.295286
1.990,345.548,0.127293
2.000,527.991,0.068699
2.010,529.485,0.063097
2.020,177.821,0.046155
2.030,33.035,0.016904
2.040,32.767,0.146521
2.050,32.673,0.059633
2.060,882.760,0.008873
2.070,1024.471,0.047543
2.080,350.608,0.103896
2.090,351.128,0.086732
2.100,86.893,0.175766
2.110,344.279,0.110524
2.120,85.825,0.255512
2.130,345.544,0.169251
2.140,338.346,0.247857
2.150,338.648,0.049981
2.160,1850.739,0.028563
2.170,1793.265,0.016512
