time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,32.625,0.068544
0.060,88.009,0.111377
0.070,272.316,0.143335
0.080,269.460,0.108577
0.090,32.940,0.068474
0.100,32.942,0.032029
0.110,130.070,0.037491
0.120,129.767,0.076871
0.130,63.269,0.262760
0.140,127.099,0.023686
0.150,133.523,0.028046
0.160,103.037,0.145516
0.170,98.882,0.156124
0.180,108.345,0.084706
0.190,539.820,0.038358
0.200,0.000,nan
0.210,554.373,0.253481
0.220,32.472,0.075682
0.230,32.322,0.027450
0.240,32.208,0.024165
0.250,33.450,0.133274
0.260,32.698,0.024856
0.270,49.410,0.048971
0.280,663.854,0.062577
0.290,271.635,0.528928
0.300,271.558,0.671375
0.310,33.966,0.225701
0.320,32.273,0.073171
0.330,278.628,0.068501
0.340,39.363,0.085843
0.350,33.970,0.190228
0.360,280.072,0.141313
0.370,336.321,0.124322
0.380,32.578,0.069670
0.390,33.306,0.054782
0.400,1970.161,0.045450
0.410,1318.673,0.031031
0.420,133.668,0.174142
0.430,133.844,0.511969
0.440,134.336,0.711968
0.450,134.191,0.422562
0.460,33.444,0.217705
0.470,273.923,0.228216
0.480,272.726,0.184452
0.490,273.248,0.226675
0.500,272.477,0.229232
0.510,33.534,0.288988
0.520,270.570,0.658548
0.530,272.157,0.179550
0.540,1057.274,0.058803
0.550,347.021,0.064684
0.560,32.222,0.167098
0.570,32.238,0.086950
0.580,32.195,0.027521
0.590,1968.751,0.044069
0.600,1967.534,0.015290
0.610,1878.601,0.014264
0.620,1933.481,0.025386
0.630,598.362,0.066499
0.640,593.968,0.101347
0.650,1163.478,0.041620
0.660,554.683,0.125694
0.670,32.540,0.105246
0.680,32.873,0.029344
0.690,32.562,0.047356
0.700,54.096,0.017219
0.710,100.218,0.054398
0.720,545.533,0.095357
0.730,1417.559,0.004593
0.740,1428.717,0.006445
0.750,39.089,0.025569
0.760,1254.567,0.022765
0.770,33.494,0.063627
0.780,1178.611,0.018983
0.790,1217.937,0.016971
0.800,32.870,0.019990
0.810,1179.854,0.030557
0.820,1179.251,0.064287
0.830,1183.171,0.031056
0.840,1203.620,0.025448
0.850,32.340,0.021811
0.860,32.539,0.063698
0.870,32.196,0.130750
0.880,54.201,0.037054
0.890,86.589,0.049473
0.900,658.620,0.109921
0.910,269.986,0.046041
0.920,32.181,0.029015
0.930,1233.842,0.024004
0.940,1213.727,0.058000
0.950,1183.485,0.020167
0.960,36.159,0.026150
0.970,469.191,0.116984
0.980,431.729,0.128477
0.990,429.343,0.049305
1.000,32.075,0.129816
1.010,652.770,0.022648
1.020,401.303,0.027290
1.030,661.122,0.121563
1.040,662.722,0.082030
1.050,269.987,0.034681
1.060,269.406,0.037069
1.070,1223.913,0.014807
1.080,33.116,0.087226
1.090,32.397,0.070428
1.100,46.428,0.045881
1.110,272.477,0.206877
1.120,271.602,0.612743
1.130,270.078,0.577857
1.140,271.636,0.142144
1.150,268.843,0.151989
1.160,262.589,0.030728
1.170,154.357,0.031568
1.180,232.455,0.017200
1.190,32.574,0.032604
1.200,32.450,0.017425
1.210,938.347,0.016496
1.220,1968.390,0.018050
1.230,491.555,0.025287
1.240,501.479,0.025572
1.250,522.887,0.083445
1.260,526.981,0.065877
1.270,534.820,0.042011
1.280,0.000,nan
1.290,0.000,nan
1.300,0.000,nan
1.310,0.000,nan
1.320,0.000,nan
1.330,0.000,nan
1.340,0.000,nan
1.350,0.000,nan
1.360,0.000,nan
1.370,0.000,nan
1.380,0.000,nan
1.390,0.000,nan
1.400,0.000,nan
1.410,0.000,nan
1.420,0.000,nan
1.430,0.000,nan
1.440,0.000,nan
1.450,554.351,0.319111
1.460,144.803,0.087643
1.470,142.157,0.003961
1.480,32.990,0.024406
1.490,1966.942,0.007410
1.500,1963.898,0.006759
1.510,1956.589,0.044340
1.520,269.960,0.752549
1.530,269.465,0.597622
1.540,269.435,0.311763
1.550,1229.448,0.026302
1.560,45.503,0.048593
1.570,33.345,0.109413
1.580,276.436,0.195804
1.590,290.993,0.147123
1.600,32.197,0.056427
1.610,32.482,0.039916
1.620,1858.036,0.008162
1.630,270.436,0.018237
1.640,270.048,0.042320
1.650,269.415,0.075841
1.660,270.726,0.058053
1.670,1320.814,0.037495
1.680,281.541,0.091317
1.690,35.077,0.524506
1.700,45.990,0.551518
1.710,45.881,0.149446
1.720,816.853,0.016765
1.730,273.112,0.105336
1.740,273.389,0.499737
1.750,274.993,0.323316
1.760,274.933,0.389772
