time,frequency,confidence
0.000,646.846,0.069171
0.010,647.737,0.097038
0.020,288.182,0.038144
0.030,546.646,0.055918
0.040,1301.618,0.024549
0.050,1301.881,0.026340
0.060,1302.257,0.026204
0.070,1302.154,0.027770
0.080,1301.598,0.024646
0.090,1301.873,0.026371
0.100,1302.260,0.026158
0.110,1302.170,0.027712
0.120,1301.610,0.024644
0.130,1301.870,0.026283
0.140,1302.267,0.026043
0.150,1302.180,0.027645
0.160,1301.624,0.024531
0.170,1301.878,0.026245
0.180,1302.273,0.026021
0.190,1302.174,0.027607
0.200,1301.622,0.024516
0.210,1301.874,0.026244
0.220,1302.268,0.026027
0.230,1302.175,0.027614
0.240,1301.626,0.024515
0.250,1301.875,0.026244
0.260,1302.272,0.026046
0.270,1302.177,0.027616
0.280,1301.628,0.024529
0.290,1301.876,0.026228
0.300,1302.273,0.026025
0.310,1302.169,0.027595
0.320,555.831,0.104443
0.330,588.675,0.079597
0.340,597.210,0.060120
0.350,597.890,0.064599
0.360,32.653,0.051163
0.370,594.081,0.045438
0.380,598.826,0.068986
0.390,651.038,0.082397
0.400,659.506,0.105010
0.410,640.985,0.107927
0.420,32.507,0.031305
0.430,354.621,0.097822
0.440,357.683,0.048878
0.450,32.322,0.059052
0.460,32.378,0.534908
0.470,32.439,0.534809
0.480,32.863,0.621614
0.490,34.051,0.271954
0.500,35.931,0.123230
0.510,49.411,0.129973
0.520,444.001,0.103359
0.530,89.957,0.237342
0.540,90.263,0.278548
0.550,89.853,0.556063
0.560,89.497,0.678492
0.570,89.816,0.747990
0.580,89.744,0.670238
0.590,89.354,0.508026
0.600,89.505,0.146927
0.610,90.174,0.134455
0.620,33.709,0.179505
0.630,89.828,0.717863
0.640,89.472,0.853260
0.650,89.547,0.699381
0.660,88.942,0.637730
0.670,353.631,0.203349
0.680,177.152,0.150585
0.690,76.986,0.031977
0.700,89.079,0.166863
0.710,89.631,0.560954
0.720,89.588,0.226361
0.730,88.585,0.097259
0.740,459.595,0.145765
0.750,147.884,0.169079
0.760,161.719,0.084707
0.770,1186.250,0.049219
0.780,1822.474,0.028938
0.790,1825.341,0.043166
0.800,1844.150,0.033346
0.810,1853.270,0.014357
0.820,54.294,0.014876
0.830,152.768,0.014943
0.840,149.668,0.078450
0.850,35.532,0.006310
0.860,83.463,0.010561
0.870,79.314,0.106393
0.880,546.562,0.081143
0.890,526.804,0.179094
0.900,32.676,0.042917
0.910,33.073,0.132012
0.920,44.480,0.049485
0.930,48.866,0.123119
0.940,491.884,0.160811
0.950,37.033,0.037893
0.960,447.501,0.009329
0.970,529.471,0.029513
0.980,529.612,0.082886
0.990,530.418,0.112186
1.000,534.702,0.356250
1.010,535.069,0.281264
1.020,35.935,0.095014
1.030,34.119,0.299579
1.040,33.953,0.050673
1.050,35.623,0.002920
1.060,32.427,0.006800
1.070,36.148,0.059059
1.080,33.787,0.036205
1.090,55.651,0.057309
1.100,56.201,0.047962
1.110,1188.092,0.018386
1.120,1854.609,0.012590
1.130,1198.840,0.015739
1.140,338.031,0.012895
1.150,334.677,0.019652
1.160,331.553,0.012189
1.170,1076.615,0.024830
1.180,400.523,0.063796
1.190,398.952,0.086582
1.200,400.136,0.122301
1.210,398.213,0.129812
1.220,338.543,0.083350
1.230,266.965,0.121981
1.240,333.138,0.102698
1.250,1329.271,0.091874
1.260,333.384,0.174623
1.270,331.389,0.155130
1.280,398.647,0.084533
1.290,395.854,0.115455
1.300,395.113,0.156668
1.310,394.984,0.140397
1.320,394.902,0.135074
1.330,381.809,0.110395
1.340,379.592,0.063049
1.350,356.041,0.073640
1.360,710.540,0.041571
1.370,590.351,0.071319
1.380,590.222,0.074504
1.390,443.535,0.068729
1.400,446.301,0.241570
1.410,447.480,0.266725
1.420,446.241,0.217219
1.430,446.722,0.345172
1.440,405.337,0.265017
1.450,400.638,0.212375
1.460,398.813,0.394835
1.470,398.829,0.553117
1.480,397.588,0.316595
1.490,131.926,0.427579
1.500,131.740,0.641191
1.510,131.795,0.540040
1.520,132.614,0.539216
1.530,133.355,0.695427
1.540,133.704,0.363727
1.550,134.037,0.311518
1.560,132.812,0.278436
1.570,443.716,0.226205
1.580,328.550,0.108413
1.590,320.969,0.235291
1.600,44.789,0.055724
1.610,32.490,0.029161
1.620,32.699,0.061743
1.630,33.121,0.132254
1.640,52.142,0.131864
1.650,52.112,0.029822
1.660,114.245,0.033354
1.670,34.555,0.202262
1.680,33.214,0.046288
1.690,82.179,0.235387
1.700,81.586,0.413572
1.710,81.727,0.088659
1.720,595.939,0.080436
1.730,33.728,0.013079
1.740,82.561,0.046423
1.750,83.371,0.048289
1.760,83.831,0.093478
1.770,401.078,0.230531
1.780,174.072,0.140952
1.790,402.185,0.100623
1.800,137.723,0.116380
1.810,135.155,0.097937
1.820,135.703,0.208003
1.830,138.261,0.132051
1.840,135.524,0.094357
1.850,32.879,0.096168
1.860,32.830,0.070041
1.870,32.901,0.020044
1.880,1840.795,0.024290
1.890,986.626,0.031109
1.900,259.480,0.071650
1.910,1050.027,0.026874
1.920,1860.862,0.020466
1.930,1025.613,0.017318
1.940,1045.083,0.012959
1.950,33.571,0.182364
1.960,32.973,0.532367
1.970,32.186,0.113245
1.980,32.230,0.075586
1.990,1740.399,0.022567
2.000,288.580,0.056825
2.010,288.253,0.060820
2.020,32.244,0.016777
2.030,32.310,0.016695
2.040,32.017,0.127147
2.050,31.945,0.020345
2.060,1772.137,0.002883
2.070,114.158,0.004476
2.080,38.463,0.037474
2.090,316.226,0.022097
2.100,312.698,0.040189
2.110,297.740,0.038943
2.120,33.261,0.135499
2.130,32.928,0.012951
2.140,276.164,0.031129
2.150,221.929,0.045846
2.160,234.424,0.041479
2.170,295.769,0.100292
2.180,32.416,0.130751
2.190,97.839,0.073042
2.200,64.977,0.124217
2.210,65.669,0.215730
2.220,33.415,0.221028
2.230,33.366,0.228253
2.240,49.531,0.113434
2.250,56.247,0.163027
2.260,334.975,0.197723
2.270,56.476,0.035649
2.280,81.316,0.124883
2.290,81.681,0.071124
2.300,81.002,0.064689
2.310,1218.963,0.032775
2.320,1219.226,0.008543
2.330,33.057,0.007005
2.340,1224.355,0.003221
2.350,1177.973,0.013523
2.360,1181.084,0.024167
2.370,1747.227,0.041692
2.380,1752.205,0.016183
2.390,588.814,0.014919
2.400,286.277,0.082053
2.410,270.431,0.095428
2.420,254.114,0.103128
2.430,249.360,0.258999
2.440,245.882,0.248523
2.450,32.230,0.105891
2.460,32.223,0.015548
2.470,242.915,0.043120
2.480,242.046,0.039762
2.490,78.985,0.052760
2.500,635.667,0.040099
2.510,658.377,0.052356
2.520,647.655,0.055152
2.530,322.601,0.023561
2.540,34.915,0.008135
2.550,35.517,0.109680
2.560,32.694,0.288144
2.570,32.485,0.406650
2.580,32.609,0.263822
2.590,330.967,0.088219
2.600,343.948,0.178429
2.610,342.092,0.259734
2.620,338.595,0.176021
2.630,340.194,0.094731
