time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,553.318,0.183485
0.070,350.092,0.156301
0.080,346.234,0.158705
0.090,65.149,0.075825
0.100,32.172,0.100024
0.110,32.469,0.017089
0.120,45.009,0.040673
0.130,1394.313,0.010404
0.140,56.445,0.014966
0.150,55.071,0.085434
0.160,52.374,0.085333
0.170,52.420,0.159092
0.180,49.995,0.102628
0.190,49.425,0.119182
0.200,48.636,0.128108
0.210,48.905,0.101301
0.220,48.589,0.114456
0.230,48.729,0.060400
0.240,49.146,0.097121
0.250,50.720,0.121230
0.260,51.091,0.102986
0.270,51.453,0.049780
0.280,51.153,0.123069
0.290,49.564,0.252303
0.300,49.444,0.047088
0.310,1228.522,0.015913
0.320,1021.323,0.020920
0.330,414.669,0.039258
0.340,657.526,0.074212
0.350,658.091,0.104146
0.360,651.975,0.140204
0.370,648.273,0.145768
0.380,32.178,0.023194
0.390,639.118,0.067655
0.400,658.365,0.098023
0.410,660.501,0.101039
0.420,1454.166,0.018693
0.430,554.038,0.151264
0.440,553.214,0.133278
0.450,556.113,0.092825
0.460,1109.925,0.031029
0.470,1120.734,0.014645
0.480,1119.212,0.004990
0.490,1298.382,0.004988
0.500,1445.214,0.006844
0.510,1460.826,0.007773
0.520,1456.586,0.010618
0.530,1456.649,0.013931
0.540,1444.169,0.005093
0.550,1435.593,0.006055
0.560,544.753,0.008160
0.570,542.611,0.011255
0.580,540.254,0.021856
0.590,1960.077,0.018681
0.600,1963.334,0.036884
0.610,1962.314,0.035219
0.620,1948.509,0.031312
0.630,154.943,0.149589
0.640,579.638,0.555651
0.650,578.292,0.850779
0.660,576.848,0.921129
0.670,575.774,0.923572
0.680,573.590,0.890217
0.690,567.852,0.874117
0.700,562.674,0.900494
0.710,559.631,0.888156
0.720,559.072,0.897282
0.730,557.999,0.860717
0.740,552.964,0.744375
0.750,548.827,0.702147
0.760,542.504,0.341961
0.770,464.768,0.233017
0.780,431.736,0.222692
0.790,420.728,0.452746
0.800,390.007,0.343330
0.810,556.647,0.349262
0.820,350.937,0.286979
0.830,339.682,0.322516
0.840,999.156,0.256762
0.850,981.861,0.419267
0.860,296.759,0.401488
0.870,285.486,0.691844
0.880,271.843,0.653150
0.890,262.164,0.634234
0.900,251.367,0.665496
0.910,241.478,0.562058
0.920,231.754,0.464766
0.930,222.372,0.298631
0.940,208.343,0.281565
0.950,198.644,0.264414
0.960,582.826,0.227489
0.970,1173.299,0.181442
0.980,1164.236,0.045937
0.990,183.191,0.027836
1.000,185.341,0.051152
1.010,580.190,0.103959
1.020,579.817,0.380740
1.030,581.093,0.511770
1.040,583.235,0.457536
1.050,581.665,0.418696
1.060,579.874,0.174968
1.070,580.912,0.135360
1.080,1173.734,0.022300
1.090,32.533,0.028336
1.100,32.349,0.005759
1.110,1221.684,0.005585
1.120,1235.247,0.020115
1.130,1122.358,0.020599
1.140,633.073,0.034372
1.150,591.623,0.102571
1.160,1182.861,0.058100
1.170,589.434,0.086675
1.180,581.331,0.123244
1.190,582.812,0.196658
1.200,591.762,0.151883
1.210,591.882,0.169428
1.220,588.524,0.112586
1.230,1098.163,0.064038
1.240,1047.266,0.038384
1.250,661.301,0.047586
1.260,658.372,0.055587
1.270,657.915,0.123340
1.280,648.364,0.129213
1.290,658.075,0.110030
1.300,581.609,0.139708
1.310,574.971,0.238364
1.320,557.168,0.070803
1.330,214.240,0.302048
1.340,223.615,0.620637
1.350,229.320,0.637655
1.360,234.999,0.615914
1.370,239.309,0.666145
1.380,242.834,0.792379
1.390,243.979,0.812770
1.400,242.807,0.771005
1.410,240.901,0.620472
1.420,243.417,0.564323
1.430,242.671,0.237577
1.440,242.134,0.090767
1.450,580.124,0.056014
1.460,588.648,0.294536
1.470,583.200,0.303268
1.480,586.426,0.183328
1.490,594.078,0.087812
1.500,353.571,0.310400
1.510,383.927,0.507679
1.520,381.816,0.699378
1.530,379.936,0.691642
1.540,380.270,0.687447
1.550,378.778,0.388394
1.560,331.890,0.256663
1.570,300.561,0.247554
1.580,282.124,0.519888
1.590,271.788,0.471106
1.600,235.742,0.427822
1.610,228.395,0.513421
1.620,223.598,0.465446
1.630,221.156,0.377354
1.640,662.302,0.053188
1.650,108.846,0.053786
1.660,659.502,0.098075
1.670,588.884,0.085106
1.680,595.061,0.066380
1.690,598.398,0.062792
1.700,597.959,0.062655
1.710,651.081,0.077463
1.720,658.569,0.085254
1.730,659.429,0.056447
1.740,658.408,0.054630
1.750,650.811,0.079976
1.760,651.296,0.112596
1.770,657.536,0.119155
1.780,593.921,0.048763
1.790,597.197,0.056597
1.800,596.409,0.072048
1.810,649.034,0.075120
1.820,251.094,0.096480
1.830,256.839,0.329687
1.840,260.105,0.412864
1.850,248.514,0.322530
1.860,236.637,0.447734
1.870,231.838,0.593490
1.880,231.624,0.274285
1.890,231.896,0.193391
1.900,239.540,0.076076
1.910,657.661,0.097129
1.920,651.785,0.081540
1.930,647.525,0.120978
1.940,647.697,0.099476
1.950,651.318,0.130597
1.960,596.004,0.075086
1.970,595.272,0.100171
1.980,595.650,0.092650
1.990,594.908,0.103996
2.000,301.085,0.116171
2.010,1789.255,0.128720
2.020,34.911,0.787561
2.030,34.768,0.919201
2.040,32.827,0.244041
2.050,54.960,0.006867
2.060,79.173,0.030624
2.070,590.672,0.075554
2.080,589.581,0.353449
2.090,587.276,0.377062
2.100,664.951,0.187178
2.110,542.191,0.090889
2.120,1958.143,0.015260
2.130,1958.145,0.015291
2.140,1958.139,0.015272
2.150,1958.156,0.015317
2.160,1958.156,0.015313
2.170,1958.163,0.015341
2.180,1958.155,0.015391
2.190,267.649,0.189370
2.200,97.587,0.033434
2.210,33.280,0.176680
2.220,32.651,0.079053
2.230,52.176,0.103853
2.240,98.796,0.084303
2.250,1960.974,0.016222
2.260,1958.124,0.015377
2.270,1958.138,0.015398
2.280,1958.144,0.015419
2.290,1958.137,0.015432
2.300,1958.141,0.015440
2.310,1958.138,0.015474
2.320,1958.135,0.015480
2.330,1958.139,0.015485
2.340,1958.132,0.015461
2.350,1958.117,0.015461
2.360,1958.107,0.015454
2.370,1958.105,0.015455
2.380,1958.104,0.015481
2.390,1958.389,0.016128
2.400,1958.392,0.016103
2.410,1958.381,0.016103
2.420,1958.381,0.016109
2.430,1958.372,0.016068
2.440,1958.370,0.016045
2.450,1958.355,0.016010
2.460,1958.341,0.015991
2.470,1958.350,0.015989
2.480,1958.362,0.015953
2.490,1958.364,0.015886
2.500,1958.373,0.015860
2.510,1958.386,0.015861
2.520,1958.389,0.015861
2.530,1958.393,0.015891
2.540,1958.385,0.015921
2.550,1958.385,0.015945
2.560,1958.372,0.016006
2.570,1958.380,0.016075
2.580,1958.381,0.016099
2.590,1958.375,0.016071
2.600,1958.379,0.016077
2.610,1958.382,0.016054
2.620,1958.412,0.016076
2.630,1958.405,0.016061
2.640,1958.414,0.016030
2.650,1958.416,0.015999
2.660,1958.426,0.015982
2.670,1958.416,0.015983
2.680,1958.413,0.015993
2.690,1958.407,0.016004
2.700,1958.402,0.015991
2.710,1958.398,0.016022
2.720,1958.389,0.016037
2.730,1958.122,0.015404
2.740,1958.130,0.015412
2.750,1958.137,0.015403
2.760,1958.399,0.016025
2.770,1958.391,0.016009
2.780,1958.389,0.015993
2.790,1958.383,0.015990
2.800,1958.373,0.015970
2.810,1957.568,0.015745
2.820,575.836,0.063978
2.830,32.668,0.093361
2.840,275.833,0.054714
2.850,288.614,0.205949
2.860,283.361,0.071763
2.870,32.153,0.142152
2.880,53.675,0.177641
2.890,53.733,0.048723
2.900,32.548,0.021358
2.910,32.448,0.042091
2.920,1793.069,0.010531
2.930,1197.012,0.032639
2.940,121.820,0.034100
2.950,32.229,0.067682
2.960,32.164,0.168672
2.970,32.360,0.044356
2.980,117.966,0.027825
2.990,595.468,0.020714
3.000,1196.983,0.068659
3.010,104.157,0.065531
3.020,106.481,0.104252
3.030,113.966,0.040905
3.040,346.575,0.148487
3.050,32.214,0.129589
3.060,40.559,0.348155
3.070,40.856,0.250725
3.080,40.432,0.301790
3.090,37.805,0.284769
3.100,37.925,0.381624
3.110,38.422,0.012059
3.120,56.728,0.040246
3.130,57.319,0.271085
3.140,57.947,0.572542
3.150,58.126,0.594202
3.160,57.073,0.041852
3.170,32.641,0.415415
3.180,32.660,0.608387
3.190,32.661,0.579033
3.200,52.538,0.034318
3.210,43.928,0.026999
3.220,52.193,0.057075
3.230,32.048,0.032420
3.240,43.775,0.024075
3.250,43.372,0.861206
3.260,43.417,0.890688
3.270,43.351,0.737146
3.280,43.759,0.110351
3.290,43.835,0.178645
3.300,43.895,0.812653
3.310,43.817,0.897409
3.320,43.877,0.900944
3.330,44.225,0.852262
3.340,44.940,0.774797
3.350,45.353,0.822887
3.360,45.310,0.630467
3.370,45.496,0.666725
3.380,45.079,0.483610
3.390,44.193,0.619312
3.400,44.368,0.377859
3.410,43.362,0.351494
3.420,45.384,0.149009
3.430,32.820,0.066118
3.440,33.191,0.029614
3.450,33.577,0.084588
3.460,40.941,0.029492
3.470,40.775,0.025799
3.480,134.621,0.026574
3.490,40.044,0.022717
3.500,98.268,0.010362
3.510,54.823,0.010830
3.520,125.486,0.061883
3.530,124.880,0.155395
3.540,125.349,0.053337
3.550,125.758,0.122728
3.560,235.070,0.141999
3.570,143.950,0.048095
3.580,146.210,0.075042
3.590,100.262,0.086171
3.600,80.331,0.113331
3.610,78.959,0.054859
3.620,134.217,0.059972
3.630,118.333,0.022798
3.640,296.264,0.009447
3.650,294.076,0.190539
3.660,290.932,0.252306
3.670,61.381,0.034917
3.680,56.017,0.004428
3.690,133.470,0.007443
3.700,33.788,0.019274
3.710,49.588,0.044150
3.720,32.669,0.079704
3.730,32.614,0.027899
3.740,33.482,0.100864
3.750,32.978,0.033634
3.760,54.246,0.087573
3.770,98.047,0.099119
3.780,34.621,0.046143
3.790,1828.984,0.014488
3.800,1800.676,0.083973
3.810,87.610,0.044471
3.820,430.619,0.100934
3.830,43.424,0.454721
3.840,43.822,0.489776
3.850,44.120,0.137543
3.860,44.962,0.148444
3.870,44.970,0.309360
3.880,43.726,0.133134
3.890,44.225,0.361355
3.900,43.140,0.282773
3.910,43.182,0.165100
3.920,1158.745,0.010657
3.930,233.227,0.037962
3.940,33.116,0.051051
3.950,33.005,0.211434
3.960,34.687,0.179521
3.970,35.785,0.079406
3.980,36.017,0.079102
3.990,36.360,0.120078
4.000,57.895,0.073559
4.010,132.146,0.095387
4.020,118.898,0.130992
4.030,117.195,0.058001
4.040,248.860,0.124201
4.050,125.716,0.150939
4.060,130.484,0.055710
4.070,129.518,0.007688
4.080,35.762,0.167003
4.090,40.726,0.233306
4.100,205.611,0.019596
