time,frequency,confidence
0.000,646.836,0.069248
0.010,647.735,0.097587
0.020,288.136,0.038152
0.030,546.575,0.056189
0.040,1960.311,0.009741
0.050,201.927,0.005078
0.060,50.546,0.039067
0.070,48.634,0.037469
0.080,48.538,0.227154
0.090,51.202,0.054090
0.100,51.208,0.122401
0.110,50.625,0.076465
0.120,50.177,0.279882
0.130,50.606,0.292754
0.140,49.923,0.084808
0.150,49.461,0.128209
0.160,48.491,0.017610
0.170,197.399,0.005279
0.180,32.282,0.002649
0.190,32.187,0.003681
0.200,32.167,0.008709
0.210,49.153,0.016277
0.220,139.130,0.038860
0.230,138.656,0.063075
0.240,43.401,0.039820
0.250,978.674,0.008833
0.260,51.465,0.002735
0.270,1235.152,0.009605
0.280,42.524,0.006918
0.290,981.584,0.009036
0.300,1288.235,0.005937
0.310,52.069,0.010221
0.320,1189.431,0.013433
0.330,594.796,0.128778
0.340,594.842,0.101846
0.350,598.179,0.080252
0.360,597.367,0.079354
0.370,579.202,0.069200
0.380,644.346,0.106382
0.390,644.474,0.132908
0.400,649.299,0.093679
0.410,595.102,0.082194
0.420,546.349,0.089775
0.430,549.602,0.041615
0.440,33.455,0.011923
0.450,33.718,0.248272
0.460,33.738,0.525501
0.470,882.103,0.019429
0.480,658.815,0.064537
0.490,659.566,0.030988
0.500,579.144,0.058657
0.510,581.104,0.283407
0.520,576.022,0.120781
0.530,575.800,0.020662
0.540,1132.564,0.015017
0.550,1142.389,0.013605
0.560,1087.551,0.007895
0.570,1948.062,0.014402
0.580,976.300,0.018593
0.590,1947.490,0.020500
0.600,1948.586,0.033685
0.610,1951.267,0.030491
0.620,1945.040,0.016703
0.630,1942.516,0.015442
0.640,1939.797,0.026368
0.650,1945.753,0.032832
0.660,1951.301,0.021489
0.670,1949.765,0.017675
0.680,1945.923,0.019114
0.690,1951.125,0.022062
0.700,1951.051,0.023362
0.710,1943.809,0.018450
0.720,1943.452,0.016677
0.730,1941.682,0.020199
0.740,1942.008,0.021363
0.750,1938.542,0.026946
0.760,1925.794,0.018792
0.770,356.832,0.054727
0.780,436.134,0.068364
0.790,434.677,0.058984
0.800,430.150,0.209520
0.810,428.115,0.430937
0.820,426.442,0.386320
0.830,428.597,0.286219
0.840,427.376,0.354539
0.850,426.806,0.535485
0.860,428.070,0.695341
0.870,426.775,0.506979
0.880,84.855,0.608214
0.890,84.807,0.690880
0.900,84.903,0.595574
0.910,84.986,0.552080
0.920,85.274,0.567514
0.930,85.320,0.724377
0.940,85.180,0.711948
0.950,85.318,0.570085
0.960,85.110,0.615271
0.970,85.115,0.554056
0.980,85.488,0.693225
0.990,85.452,0.618168
1.000,85.414,0.582219
1.010,85.339,0.502377
1.020,85.300,0.602543
1.030,85.517,0.663777
1.040,85.425,0.693393
1.050,85.292,0.664955
1.060,85.373,0.642698
1.070,85.282,0.715959
1.080,85.439,0.785540
1.090,85.231,0.784607
1.100,85.329,0.636367
1.110,85.304,0.313603
1.120,344.561,0.538881
1.130,343.857,0.765865
1.140,342.857,0.768040
1.150,342.229,0.810695
1.160,341.736,0.711477
1.170,341.250,0.670277
1.180,341.845,0.576618
1.190,341.792,0.542743
1.200,341.126,0.572549
1.210,340.661,0.439434
1.220,85.156,0.327069
1.230,84.792,0.342228
1.240,338.683,0.297641
1.250,339.027,0.289724
1.260,339.103,0.230916
1.270,338.491,0.235254
1.280,428.761,0.156468
1.290,427.623,0.182707
1.300,425.553,0.161025
