time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,0.000,nan
0.340,0.000,nan
0.350,0.000,nan
0.360,0.000,nan
0.370,0.000,nan
0.380,0.000,nan
0.390,0.000,nan
0.400,0.000,nan
0.410,0.000,nan
0.420,0.000,nan
0.430,553.369,0.281163
0.440,32.548,0.093607
0.450,32.537,0.034863
0.460,33.013,0.065842
0.470,98.908,0.045510
0.480,54.896,0.008046
0.490,552.518,0.108344
0.500,290.582,0.082347
0.510,32.131,0.031914
0.520,32.100,0.086767
0.530,54.935,0.163947
0.540,54.500,0.178311
0.550,1240.343,0.098597
0.560,1233.417,0.029497
0.570,1235.483,0.022786
0.580,33.726,0.004421
0.590,32.494,0.016463
0.600,32.298,0.009552
0.610,1216.716,0.014503
0.620,32.211,0.030368
0.630,32.211,0.034705
0.640,1970.064,0.030316
0.650,1018.391,0.011168
0.660,326.078,0.038550
0.670,648.136,0.072712
0.680,646.523,0.066975
0.690,1286.060,0.016785
0.700,32.313,0.037348
0.710,32.379,0.171154
0.720,32.319,0.076609
0.730,44.932,0.510221
0.740,45.046,0.333109
0.750,32.092,0.091382
0.760,638.241,0.029776
0.770,626.692,0.151233
0.780,1197.232,0.077383
0.790,553.639,0.223228
0.800,349.378,0.209980
0.810,330.348,0.196168
0.820,32.105,0.063610
0.830,32.258,0.066510
0.840,32.561,0.030621
0.850,1845.365,0.012747
0.860,1795.647,0.012726
0.870,307.295,0.077346
0.880,307.591,0.336471
0.890,309.588,0.662852
0.900,308.488,0.603550
0.910,305.111,0.642252
0.920,303.785,0.371525
0.930,323.738,0.198706
0.940,45.306,0.049545
0.950,32.550,0.039729
0.960,32.234,0.010550
0.970,36.832,0.009287
0.980,1005.915,0.020146
0.990,1978.206,0.014490
1.000,1969.163,0.005234
1.010,978.279,0.009169
1.020,660.791,0.027379
1.030,345.304,0.077217
1.040,346.576,0.218836
1.050,343.738,0.263124
1.060,344.635,0.272886
1.070,345.917,0.350826
1.080,344.548,0.196427
1.090,343.152,0.130485
1.100,203.788,0.076546
1.110,33.561,0.030075
1.120,33.295,0.047903
1.130,32.317,0.023828
1.140,1235.382,0.016145
1.150,638.797,0.025567
1.160,331.503,0.068731
1.170,332.519,0.019367
1.180,272.882,0.086868
1.190,68.745,0.579400
1.200,273.988,0.594878
1.210,273.819,0.617702
1.220,273.314,0.505849
1.230,269.876,0.241133
1.240,32.843,0.125392
1.250,33.540,0.234612
1.260,33.503,0.197346
1.270,33.044,0.041577
1.280,1968.775,0.151544
1.290,1860.776,0.078170
1.300,1964.595,0.053751
1.310,664.065,0.071979
1.320,329.231,0.044624
1.330,332.026,0.137432
1.340,273.066,0.701255
1.350,274.027,0.777822
1.360,274.645,0.661248
1.370,273.904,0.632879
1.380,272.887,0.579359
1.390,269.522,0.191820
1.400,581.959,0.089672
1.410,242.412,0.046601
1.420,83.385,0.035557
1.430,32.178,0.051926
1.440,32.090,0.057949
1.450,32.612,0.035468
1.460,33.027,0.025837
1.470,125.040,0.009341
1.480,126.675,0.029458
1.490,269.137,0.097906
1.500,206.894,0.133953
1.510,269.737,0.075094
1.520,147.372,0.037793
1.530,275.924,0.069255
1.540,32.271,0.058678
1.550,32.103,0.074765
1.560,341.904,0.049236
1.570,341.135,0.089380
1.580,339.190,0.034626
1.590,55.682,0.026204
1.600,990.352,0.011739
1.610,1967.038,0.015058
1.620,1966.417,0.016011
1.630,1969.202,0.028093
1.640,33.254,0.018385
1.650,32.950,0.024252
1.660,64.437,0.017000
1.670,1960.167,0.017770
1.680,1964.219,0.076497
1.690,572.824,0.097639
1.700,586.407,0.080385
1.710,397.280,0.050838
1.720,399.239,0.012833
1.730,1024.408,0.008036
1.740,1012.141,0.025704
1.750,1258.949,0.043206
1.760,1321.253,0.037969
1.770,1968.751,0.025677
1.780,205.554,0.320851
1.790,205.267,0.597423
1.800,205.503,0.756682
