time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1957.302,0.014584
0.150,574.162,0.083026
0.160,589.699,0.073687
0.170,597.816,0.058816
0.180,598.408,0.055932
0.190,657.559,0.111505
0.200,590.867,0.051795
0.210,689.268,0.141133
0.220,1958.078,0.015127
0.230,577.187,0.102394
0.240,147.316,0.098467
0.250,142.559,0.028056
0.260,32.207,0.032628
0.270,42.069,0.035555
0.280,41.395,0.280804
0.290,41.043,0.238554
0.300,41.091,0.423760
0.310,41.862,0.689691
0.320,42.280,0.294923
0.330,42.740,0.115975
0.340,43.229,0.227591
0.350,124.722,0.186351
0.360,121.769,0.265112
0.370,138.442,0.135926
0.380,138.818,0.216612
0.390,141.370,0.106837
0.400,362.944,0.088337
0.410,52.363,0.161554
0.420,372.251,0.088110
0.430,41.412,0.109814
0.440,36.790,0.027808
0.450,36.132,0.105189
0.460,35.947,0.021504
0.470,32.422,0.038915
0.480,32.593,0.021254
0.490,32.500,0.052948
0.500,35.463,0.125466
0.510,280.161,0.152701
0.520,279.125,0.473430
0.530,55.182,0.224484
0.540,55.339,0.221622
0.550,55.469,0.223742
0.560,55.550,0.819252
0.570,55.676,0.880663
0.580,55.567,0.863299
0.590,55.411,0.932596
0.600,55.441,0.959891
0.610,55.591,0.924667
0.620,55.482,0.948450
0.630,55.528,0.956025
0.640,55.709,0.945206
0.650,55.943,0.902477
0.660,56.206,0.884212
0.670,56.755,0.770660
0.680,57.246,0.607550
0.690,58.241,0.640475
0.700,118.612,0.479790
0.710,119.251,0.499462
0.720,117.925,0.241779
0.730,84.347,0.072789
0.740,84.200,0.124589
0.750,84.282,0.059853
0.760,335.083,0.065038
0.770,332.700,0.157078
0.780,335.182,0.056763
0.790,32.184,0.135668
0.800,32.100,0.037626
0.810,83.511,0.065378
0.820,82.742,0.324606
0.830,82.477,0.357771
0.840,82.482,0.195683
0.850,83.174,0.081983
0.860,33.030,0.060408
0.870,169.918,0.105203
0.880,169.431,0.152663
0.890,169.607,0.238750
0.900,83.933,0.224512
0.910,83.691,0.705515
0.920,83.338,0.782601
0.930,83.507,0.553617
0.940,83.635,0.588210
0.950,84.151,0.601477
0.960,83.939,0.472176
0.970,83.961,0.672273
0.980,83.963,0.720607
0.990,83.867,0.818030
1.000,83.779,0.467474
1.010,83.518,0.142783
1.020,426.668,0.081278
1.030,426.253,0.011761
1.040,48.653,0.006657
1.050,85.572,0.068286
1.060,418.530,0.042037
1.070,342.346,0.055648
1.080,419.711,0.058650
1.090,422.520,0.084711
1.100,421.085,0.144632
1.110,422.907,0.323235
1.120,423.825,0.657648
1.130,422.284,0.686167
1.140,422.072,0.535577
1.150,421.790,0.348905
1.160,83.967,0.678629
1.170,83.943,0.703511
1.180,83.937,0.798515
1.190,84.029,0.804073
1.200,83.980,0.769083
1.210,83.736,0.776597
1.220,83.503,0.859728
1.230,83.382,0.908320
1.240,83.350,0.900830
1.250,83.500,0.864466
1.260,83.770,0.853201
1.270,83.906,0.877026
1.280,83.852,0.881827
1.290,84.002,0.879880
1.300,83.924,0.868906
1.310,84.359,0.331235
1.320,336.198,0.149584
1.330,340.636,0.099109
1.340,32.181,0.043091
1.350,1171.248,0.025403
1.360,1213.095,0.029266
1.370,85.633,0.078379
1.380,85.095,0.123733
1.390,84.182,0.254498
1.400,84.531,0.381052
1.410,84.603,0.417601
1.420,84.478,0.366593
1.430,84.475,0.591219
1.440,84.638,0.702096
1.450,84.640,0.565285
1.460,84.379,0.569468
1.470,335.385,0.769026
1.480,334.987,0.783162
1.490,334.671,0.717436
1.500,334.186,0.522074
1.510,333.837,0.576715
1.520,83.697,0.510214
1.530,83.577,0.699996
1.540,83.760,0.621179
1.550,84.010,0.487765
1.560,84.309,0.691524
1.570,84.087,0.822998
1.580,84.153,0.832261
1.590,84.080,0.756848
1.600,83.979,0.813904
1.610,83.545,0.764558
1.620,165.644,0.288389
1.630,163.737,0.146843
1.640,1164.568,0.021383
1.650,32.613,0.011610
1.660,32.206,0.006933
1.670,32.085,0.007542
1.680,1792.351,0.014600
1.690,1762.900,0.014915
1.700,1383.145,0.031190
1.710,1238.742,0.017791
1.720,43.310,0.205218
1.730,43.132,0.144737
1.740,42.939,0.040387
1.750,33.445,0.039801
1.760,917.276,0.073921
1.770,447.147,0.089302
1.780,300.481,0.054901
1.790,33.036,0.089425
1.800,301.032,0.091178
1.810,301.663,0.180603
1.820,42.975,0.126497
1.830,42.842,0.208792
1.840,33.325,0.092460
1.850,33.440,0.087068
1.860,41.765,0.056848
1.870,41.916,0.160465
1.880,42.424,0.086179
1.890,110.986,0.052561
1.900,332.488,0.145602
1.910,332.914,0.078542
1.920,332.498,0.135643
1.930,83.100,0.090907
1.940,285.874,0.167941
1.950,287.571,0.122502
1.960,285.924,0.074296
1.970,32.320,0.023640
1.980,1181.930,0.019347
1.990,1179.990,0.036634
2.000,792.045,0.018071
2.010,33.112,0.050458
2.020,75.903,0.089861
2.030,75.795,0.089598
2.040,157.134,0.069535
2.050,309.355,0.095684
2.060,42.143,0.206547
2.070,42.050,0.244882
2.080,42.039,0.163495
2.090,302.921,0.129498
2.100,304.002,0.106561
2.110,300.783,0.140939
2.120,300.259,0.385941
2.130,300.190,0.076014
2.140,295.411,0.136376
2.150,1115.339,0.064339
2.160,1116.811,0.073118
2.170,1128.076,0.105198
2.180,1125.321,0.096028
2.190,1128.557,0.079611
2.200,1332.056,0.049140
2.210,1331.930,0.127634
2.220,33.074,0.082015
2.230,444.969,0.067034
2.240,85.970,0.206995
2.250,83.720,0.092707
2.260,580.255,0.210082
2.270,581.754,0.227290
2.280,579.583,0.072698
2.290,587.664,0.034180
2.300,1171.905,0.019712
2.310,1026.931,0.034495
2.320,589.637,0.032024
2.330,584.167,0.055169
2.340,284.757,0.049867
2.350,55.460,0.062369
2.360,335.704,0.113204
2.370,334.668,0.227866
2.380,335.283,0.237980
2.390,55.739,0.365342
2.400,55.758,0.616309
2.410,280.354,0.327803
2.420,276.507,0.324850
2.430,333.551,0.385301
2.440,334.141,0.188863
2.450,281.666,0.129698
2.460,55.744,0.042640
2.470,1335.562,0.110688
2.480,335.517,0.177498
2.490,334.145,0.175909
2.500,333.850,0.244745
2.510,333.566,0.231964
2.520,221.875,0.252884
2.530,334.330,0.167097
2.540,223.137,0.248372
2.550,222.911,0.231427
2.560,223.867,0.239673
2.570,226.720,0.075340
2.580,255.882,0.063920
2.590,248.659,0.020239
2.600,32.606,0.013975
2.610,1841.931,0.015087
2.620,1835.530,0.053922
2.630,1729.711,0.033163
2.640,337.768,0.046986
2.650,333.359,0.061588
2.660,47.917,0.202007
2.670,335.915,0.382073
2.680,55.739,0.318673
2.690,55.719,0.556196
2.700,55.475,0.723041
2.710,55.451,0.364625
2.720,334.810,0.242292
2.730,55.489,0.375179
2.740,282.902,0.357516
2.750,282.701,0.487180
2.760,285.173,0.523288
2.770,334.526,0.420237
2.780,334.191,0.412847
2.790,334.530,0.412000
2.800,335.081,0.717323
2.810,334.138,0.607094
2.820,332.997,0.701725
2.830,334.538,0.740117
2.840,335.156,0.769673
2.850,335.825,0.866032
2.860,337.395,0.885347
2.870,337.166,0.879138
2.880,335.896,0.818190
2.890,332.890,0.655562
2.900,332.735,0.316275
2.910,665.813,0.191560
2.920,1321.906,0.029870
2.930,1333.055,0.054392
2.940,668.105,0.012081
2.950,665.011,0.025591
2.960,55.740,0.042649
2.970,1333.207,0.018002
2.980,32.318,0.012349
2.990,32.297,0.009936
3.000,334.424,0.016495
3.010,55.808,0.089229
3.020,55.706,0.172286
3.030,336.574,0.295306
3.040,56.212,0.398281
3.050,335.050,0.534591
3.060,334.403,0.644848
3.070,332.669,0.506517
3.080,336.131,0.129278
3.090,32.364,0.006598
3.100,33.368,0.020666
3.110,32.524,0.152925
3.120,32.247,0.024742
3.130,177.193,0.024073
3.140,43.217,0.128626
3.150,41.722,0.680995
3.160,41.322,0.886554
3.170,41.669,0.858598
3.180,42.046,0.871229
3.190,41.742,0.909157
3.200,41.645,0.884396
3.210,41.477,0.876122
3.220,41.307,0.341900
3.230,32.660,0.015204
3.240,32.534,0.005463
3.250,1004.561,0.015131
3.260,32.161,0.017223
3.270,33.448,0.029400
3.280,124.603,0.123371
3.290,123.153,0.030828
3.300,32.207,0.006655
3.310,32.376,0.021820
3.320,35.465,0.039795
3.330,36.004,0.015618
3.340,420.998,0.028307
3.350,425.179,0.092846
3.360,253.947,0.230236
3.370,253.724,0.562896
3.380,83.932,0.544203
3.390,84.045,0.618926
3.400,83.952,0.482934
3.410,83.783,0.526298
3.420,83.886,0.551888
3.430,83.756,0.388332
3.440,83.835,0.483685
3.450,83.524,0.708040
3.460,83.704,0.776463
3.470,83.517,0.728658
3.480,83.436,0.682828
3.490,83.701,0.673603
3.500,170.012,0.421359
3.510,259.273,0.192888
3.520,260.466,0.072207
3.530,257.061,0.036410
3.540,1256.375,0.022453
3.550,1254.416,0.030143
3.560,1775.377,0.042286
3.570,1773.406,0.048031
3.580,1761.410,0.010154
3.590,42.803,0.073857
3.600,42.124,0.131890
3.610,33.311,0.086106
3.620,423.442,0.244777
3.630,84.724,0.463325
3.640,84.677,0.496173
3.650,423.194,0.461176
3.660,83.535,0.616218
3.670,83.650,0.623158
3.680,167.764,0.417063
3.690,168.492,0.477927
3.700,84.312,0.635124
3.710,83.944,0.681538
3.720,83.816,0.850058
3.730,83.915,0.869931
3.740,83.955,0.894214
3.750,83.824,0.913769
3.760,83.521,0.918398
3.770,83.359,0.905999
3.780,83.532,0.875039
3.790,83.602,0.900974
3.800,83.625,0.908219
3.810,83.657,0.891653
3.820,84.701,0.466838
3.830,167.168,0.278002
3.840,169.661,0.230295
3.850,169.390,0.017098
3.860,33.652,0.011677
3.870,32.866,0.025127
3.880,32.311,0.019038
3.890,83.188,0.033396
3.900,83.929,0.142828
3.910,84.737,0.119628
3.920,85.419,0.118316
3.930,85.101,0.282786
3.940,425.900,0.264085
3.950,425.973,0.275083
3.960,84.844,0.694072
3.970,84.650,0.816678
3.980,84.826,0.779764
3.990,84.970,0.742875
4.000,85.182,0.672774
4.010,85.476,0.704992
4.020,85.062,0.486074
4.030,84.849,0.710023
4.040,84.893,0.641374
4.050,84.711,0.580616
4.060,84.257,0.522194
4.070,84.389,0.443939
4.080,85.059,0.513016
4.090,85.185,0.612008
4.100,84.580,0.847393
4.110,84.410,0.795199
4.120,84.329,0.796456
4.130,84.354,0.755589
4.140,164.831,0.257515
