time,frequency,confidence
0.000,646.845,0.069173
0.010,647.761,0.097092
0.020,660.794,0.046241
0.030,344.290,0.161201
0.040,322.007,0.296050
0.050,315.972,0.077761
0.060,1318.744,0.024991
0.070,685.957,0.009661
0.080,312.195,0.037853
0.090,309.999,0.350419
0.100,310.912,0.495573
0.110,313.275,0.546867
0.120,315.515,0.548274
0.130,317.649,0.483114
0.140,321.662,0.474359
0.150,291.726,0.419999
0.160,290.262,0.403093
0.170,300.275,0.232279
0.180,305.051,0.274623
0.190,309.737,0.486547
0.200,319.045,0.680247
0.210,322.666,0.780379
0.220,321.960,0.801551
0.230,315.929,0.600035
0.240,155.445,0.663084
0.250,153.603,0.627201
0.260,150.415,0.299517
0.270,290.209,0.126292
0.280,289.156,0.278142
0.290,289.075,0.157107
0.300,300.268,0.101481
0.310,154.776,0.224351
0.320,155.994,0.285620
0.330,316.956,0.694399
0.340,315.538,0.811561
0.350,308.171,0.742363
0.360,302.959,0.688030
0.370,297.636,0.616715
0.380,290.748,0.681232
0.390,289.483,0.756361
0.400,288.225,0.652068
0.410,322.722,0.442363
0.420,323.569,0.301220
0.430,323.309,0.438948
0.440,330.109,0.582016
0.450,335.713,0.265354
0.460,167.761,0.298487
0.470,167.470,0.088559
0.480,33.411,0.375829
0.490,33.130,0.297795
0.500,394.344,0.090363
0.510,393.020,0.215962
0.520,56.320,0.290411
0.530,283.138,0.145690
0.540,282.974,0.133241
0.550,225.481,0.167862
0.560,222.889,0.420827
0.570,221.909,0.511720
0.580,305.136,0.464179
0.590,305.596,0.666018
0.600,302.784,0.712890
0.610,297.607,0.733986
0.620,293.227,0.748441
0.630,287.798,0.574246
0.640,275.923,0.264416
0.650,271.727,0.373691
0.660,394.047,0.366217
0.670,391.146,0.720939
0.680,391.122,0.891267
0.690,391.167,0.886889
0.700,391.590,0.890179
0.710,392.046,0.838389
0.720,392.632,0.848995
0.730,393.160,0.440486
0.740,392.227,0.737222
0.750,391.432,0.645751
0.760,391.541,0.817186
0.770,391.585,0.856103
0.780,390.931,0.388544
0.790,307.152,0.178054
0.800,306.976,0.254799
0.810,390.323,0.461089
0.820,393.420,0.270968
0.830,32.349,0.045791
0.840,33.596,0.016842
0.850,1394.083,0.020001
0.860,32.897,0.025835
0.870,80.782,0.203929
0.880,474.187,0.247812
0.890,472.890,0.322816
0.900,483.431,0.282111
0.910,439.628,0.195155
0.920,216.657,0.045050
0.930,216.065,0.074140
0.940,435.038,0.023520
0.950,1106.885,0.004840
0.960,1118.308,0.014115
0.970,1088.034,0.017911
0.980,1161.124,0.011816
0.990,145.797,0.014251
1.000,32.407,0.044443
1.010,32.351,0.015449
1.020,1162.068,0.019175
1.030,1157.946,0.013886
1.040,1165.331,0.020345
1.050,1105.250,0.026184
1.060,1152.870,0.011232
1.070,349.223,0.010631
1.080,324.928,0.139280
1.090,324.046,0.163896
1.100,322.181,0.199628
1.110,323.367,0.211312
1.120,312.561,0.258049
1.130,307.607,0.293798
1.140,408.076,0.286331
1.150,405.924,0.309463
1.160,406.483,0.572785
1.170,408.874,0.637324
1.180,411.256,0.782797
1.190,413.914,0.810280
1.200,414.468,0.885380
1.210,414.803,0.881555
1.220,414.279,0.851822
1.230,414.771,0.851075
1.240,414.772,0.830548
1.250,415.018,0.832815
1.260,414.664,0.854186
1.270,415.339,0.899376
1.280,415.522,0.898257
1.290,415.514,0.873220
1.300,415.143,0.863431
1.310,415.148,0.887143
1.320,415.281,0.894077
1.330,414.662,0.878493
1.340,414.002,0.687788
1.350,411.941,0.395463
1.360,313.057,0.054560
1.370,311.639,0.046282
1.380,307.936,0.399006
1.390,296.402,0.261002
1.400,32.600,0.024277
1.410,1185.442,0.007815
1.420,268.007,0.019415
1.430,309.176,0.030386
1.440,1330.666,0.022242
1.450,32.275,0.015178
1.460,45.468,0.041510
1.470,39.889,0.137854
1.480,39.564,0.159649
1.490,38.612,0.181181
1.500,37.697,0.053412
1.510,42.411,0.031873
1.520,43.637,0.004416
1.530,1212.059,0.011945
1.540,33.155,0.008153
1.550,1168.573,0.003266
1.560,40.611,0.005387
1.570,1841.343,0.008286
1.580,34.264,0.350134
1.590,290.497,0.125197
1.600,147.814,0.102217
1.610,584.468,0.038251
1.620,256.934,0.029336
1.630,1012.522,0.025329
1.640,32.745,0.018322
1.650,1940.444,0.009984
1.660,1948.181,0.021396
1.670,529.670,0.032212
1.680,1305.765,0.039226
1.690,1181.952,0.058108
1.700,331.471,0.036204
1.710,662.010,0.049687
1.720,1377.657,0.017565
1.730,552.284,0.120015
1.740,554.105,0.098296
1.750,560.433,0.018594
1.760,1969.245,0.009320
1.770,1975.575,0.011403
1.780,1976.698,0.010595
1.790,1974.779,0.019041
1.800,1952.948,0.024253
1.810,1952.752,0.075624
1.820,1952.838,0.040581
1.830,977.571,0.041130
1.840,624.164,0.125081
1.850,441.144,0.064819
1.860,145.377,0.077086
1.870,350.103,0.006074
1.880,32.288,0.006560
1.890,935.895,0.018955
1.900,936.705,0.026494
1.910,1281.316,0.018483
1.920,51.399,0.041731
1.930,101.545,0.055453
1.940,102.483,0.059489
1.950,103.160,0.073577
1.960,207.623,0.040759
1.970,313.252,0.075844
1.980,1768.743,0.019782
1.990,1858.922,0.022031
2.000,1858.060,0.011004
2.010,1905.688,0.009755
2.020,1286.436,0.009687
2.030,268.042,0.029224
2.040,51.622,0.548422
2.050,260.796,0.196884
2.060,306.237,0.263091
2.070,309.216,0.351606
2.080,308.040,0.290261
2.090,309.823,0.321979
2.100,309.717,0.326305
2.110,312.655,0.250442
2.120,523.065,0.440158
2.130,529.138,0.094571
2.140,32.376,0.034593
2.150,47.642,0.094735
2.160,295.732,0.044809
2.170,294.297,0.214396
2.180,294.670,0.510335
2.190,293.440,0.622455
2.200,588.193,0.379411
2.210,589.770,0.486153
2.220,588.492,0.207190
2.230,699.470,0.101468
2.240,289.496,0.072383
2.250,669.909,0.038805
2.260,662.607,0.023422
2.270,1318.800,0.034515
2.280,32.452,0.034163
2.290,290.595,0.082829
2.300,864.987,0.232282
2.310,181.511,0.177049
2.320,294.224,0.296932
2.330,298.763,0.844701
2.340,300.406,0.888642
2.350,302.975,0.795784
2.360,301.366,0.646311
2.370,292.549,0.661874
2.380,290.527,0.735317
2.390,289.515,0.647607
2.400,288.748,0.576714
2.410,291.300,0.617883
2.420,293.898,0.744979
2.430,296.621,0.697823
2.440,297.186,0.609883
2.450,297.757,0.667533
2.460,296.908,0.524181
2.470,298.196,0.709944
2.480,299.008,0.741865
2.490,295.244,0.794069
2.500,294.768,0.848317
2.510,294.511,0.714280
2.520,296.978,0.672882
2.530,300.326,0.629574
2.540,303.806,0.334427
2.550,348.866,0.627323
2.560,337.981,0.470107
2.570,352.473,0.248247
2.580,357.178,0.604793
2.590,363.075,0.283544
2.600,328.552,0.470536
2.610,320.813,0.581647
2.620,319.695,0.739736
2.630,318.341,0.814844
2.640,315.763,0.905553
2.650,314.232,0.896498
2.660,312.624,0.811721
2.670,307.191,0.578522
2.680,327.734,0.484687
2.690,347.678,0.431451
2.700,345.958,0.546002
2.710,338.879,0.391688
2.720,337.712,0.480488
2.730,305.972,0.410989
2.740,300.577,0.562599
2.750,291.550,0.536987
2.760,290.208,0.402859
2.770,295.683,0.307856
2.780,307.438,0.246636
2.790,220.264,0.204917
2.800,218.347,0.091779
2.810,302.449,0.120765
2.820,314.194,0.472074
2.830,308.887,0.511064
2.840,310.171,0.532614
2.850,306.677,0.333905
2.860,310.358,0.194078
2.870,310.788,0.146632
2.880,318.471,0.577573
2.890,317.864,0.478544
2.900,323.060,0.265939
2.910,315.376,0.076544
2.920,308.232,0.096460
2.930,268.847,0.041377
2.940,256.742,0.116801
2.950,516.570,0.295101
2.960,257.031,0.378397
2.970,257.482,0.764936
2.980,258.219,0.891718
2.990,258.459,0.804231
3.000,256.587,0.750939
3.010,252.246,0.606686
3.020,245.882,0.557064
3.030,240.372,0.537361
3.040,976.558,0.056405
3.050,300.453,0.122161
3.060,292.952,0.084994
3.070,1003.597,0.020141
3.080,1110.261,0.038333
3.090,1114.440,0.027091
3.100,1070.666,0.042608
3.110,1054.099,0.010086
3.120,1097.342,0.017843
3.130,1169.373,0.008813
3.140,1087.700,0.006384
3.150,1087.681,0.013776
3.160,300.346,0.203418
3.170,271.365,0.667982
3.180,265.720,0.732873
3.190,263.601,0.873942
3.200,263.232,0.929076
3.210,262.468,0.951947
3.220,262.114,0.947360
3.230,262.549,0.909115
3.240,261.654,0.777579
3.250,260.989,0.700229
3.260,260.473,0.657189
3.270,258.499,0.589054
3.280,242.371,0.560834
3.290,239.856,0.483283
3.300,242.929,0.221559
3.310,287.470,0.261418
3.320,257.997,0.272626
3.330,318.936,0.111833
3.340,322.594,0.253324
3.350,326.816,0.290376
3.360,328.300,0.311070
3.370,662.305,0.043871
3.380,532.755,0.038878
3.390,623.459,0.048119
3.400,522.684,0.053477
3.410,1039.764,0.042008
3.420,133.309,0.027497
3.430,264.869,0.143069
3.440,1070.155,0.022608
3.450,233.392,0.157929
3.460,265.834,0.516181
3.470,264.904,0.652931
3.480,264.263,0.734219
3.490,263.591,0.695551
3.500,262.015,0.594925
3.510,254.401,0.495125
3.520,242.198,0.405665
3.530,227.286,0.357818
3.540,226.259,0.401146
3.550,337.576,0.270059
3.560,312.762,0.596560
3.570,312.518,0.801738
3.580,312.211,0.920395
3.590,312.241,0.947626
3.600,311.541,0.947249
3.610,311.899,0.954607
3.620,312.020,0.949018
3.630,311.966,0.949778
3.640,312.243,0.936810
3.650,312.441,0.873292
3.660,312.544,0.750961
3.670,313.558,0.598333
3.680,314.218,0.397454
3.690,299.920,0.205815
3.700,297.819,0.192102
3.710,302.853,0.131254
3.720,308.259,0.028381
3.730,1949.465,0.070134
3.740,1951.260,0.105117
3.750,1964.520,0.077122
3.760,705.200,0.109270
3.770,492.710,0.079653
3.780,321.928,0.104334
3.790,319.848,0.119428
3.800,1041.200,0.077284
3.810,1059.933,0.023155
3.820,290.836,0.300949
3.830,288.937,0.303620
3.840,289.340,0.270037
3.850,289.281,0.297076
3.860,291.579,0.415206
3.870,293.930,0.666941
3.880,294.392,0.734498
3.890,293.379,0.724067
3.900,293.500,0.726918
3.910,292.752,0.546090
3.920,290.576,0.517416
3.930,296.126,0.412902
3.940,297.424,0.116216
3.950,586.708,0.066803
3.960,1075.951,0.009602
3.970,1728.986,0.017687
3.980,1725.269,0.016945
3.990,32.222,0.021980
4.000,1851.524,0.017476
4.010,1871.799,0.051200
4.020,1871.787,0.054163
4.030,1173.524,0.058581
4.040,264.875,0.074971
4.050,267.070,0.070060
4.060,1963.932,0.045598
4.070,1104.416,0.027839
4.080,1862.982,0.018340
4.090,1867.710,0.011716
4.100,1963.980,0.005889
4.110,1576.725,0.045052
4.120,1600.977,0.107632
4.130,1603.792,0.352336
4.140,1620.688,0.362218
4.150,1624.398,0.110694
4.160,1614.534,0.307426
4.170,1610.414,0.235380
4.180,1611.530,0.078798
4.190,1627.372,0.160368
4.200,161.277,0.082110
4.210,292.878,0.304357
4.220,316.296,0.223197
4.230,315.497,0.164008
4.240,313.934,0.219297
4.250,313.756,0.072113
4.260,310.802,0.342547
4.270,313.492,0.443942
4.280,314.763,0.609692
4.290,316.438,0.704481
4.300,317.333,0.612592
4.310,315.887,0.614040
4.320,314.515,0.546056
4.330,319.097,0.216345
4.340,318.540,0.143764
4.350,691.532,0.084994
4.360,691.500,0.095947
4.370,230.743,0.249315
4.380,293.093,0.272108
4.390,296.410,0.290539
4.400,153.978,0.124764
4.410,155.091,0.570044
4.420,155.929,0.774866
4.430,156.079,0.866640
4.440,155.759,0.912576
4.450,154.491,0.867846
4.460,153.348,0.829083
4.470,153.360,0.776230
4.480,154.149,0.858239
4.490,154.700,0.810577
4.500,154.331,0.755392
4.510,313.673,0.658287
4.520,314.113,0.725014
4.530,314.851,0.762124
4.540,313.888,0.820727
4.550,313.458,0.881675
4.560,312.125,0.818103
4.570,308.414,0.598044
4.580,303.019,0.350896
4.590,387.864,0.363939
4.600,388.990,0.366849
4.610,389.330,0.431286
4.620,396.084,0.507927
4.630,301.735,0.253970
4.640,392.656,0.320829
4.650,396.130,0.354209
4.660,394.982,0.331443
4.670,394.006,0.490843
4.680,393.366,0.480917
4.690,229.822,0.306319
4.700,226.824,0.466653
4.710,228.968,0.698732
4.720,225.292,0.655441
4.730,225.685,0.589990
4.740,223.578,0.456980
4.750,218.897,0.248113
4.760,297.490,0.397984
4.770,302.237,0.673287
4.780,294.583,0.635274
4.790,292.838,0.624939
4.800,291.752,0.537845
4.810,288.857,0.368688
4.820,297.386,0.445793
4.830,298.300,0.326206
4.840,391.390,0.497764
4.850,392.947,0.795277
4.860,394.206,0.776567
4.870,397.888,0.604610
4.880,205.666,0.284260
4.890,207.614,0.379992
4.900,398.840,0.184356
4.910,996.189,0.051390
4.920,1183.850,0.066506
4.930,995.165,0.063533
4.940,164.436,0.037471
4.950,133.593,0.033915
4.960,1170.393,0.271992
4.970,1176.500,0.243694
4.980,291.737,0.141711
4.990,291.756,0.338406
5.000,289.834,0.123481
5.010,284.929,0.024379
5.020,1785.658,0.022795
5.030,1031.563,0.037642
5.040,328.684,0.072729
5.050,465.331,0.566917
5.060,154.262,0.376561
5.070,152.566,0.552870
5.080,152.235,0.762206
5.090,153.023,0.671889
5.100,222.877,0.199598
5.110,218.530,0.231783
5.120,208.901,0.180254
5.130,216.599,0.112120
5.140,140.582,0.016374
5.150,135.905,0.053337
5.160,1974.011,0.008958
5.170,1974.255,0.020252
5.180,1976.263,0.008549
5.190,1973.053,0.008756
5.200,1102.496,0.015026
5.210,1026.483,0.012881
5.220,1176.831,0.079219
5.230,1165.778,0.098645
5.240,1156.806,0.084277
5.250,1112.406,0.047858
5.260,1111.430,0.033087
5.270,270.045,0.042094
5.280,270.740,0.106230
5.290,337.693,0.360500
5.300,329.911,0.291815
5.310,398.120,0.369525
5.320,322.006,0.512501
5.330,393.526,0.300867
5.340,395.006,0.335072
5.350,395.623,0.450681
5.360,408.071,0.398785
5.370,136.346,0.507654
5.380,136.225,0.402321
5.390,414.646,0.691292
5.400,416.178,0.889530
5.410,414.871,0.880786
5.420,413.404,0.875486
5.430,412.710,0.878589
5.440,414.212,0.878999
5.450,415.764,0.892050
5.460,415.299,0.889019
5.470,414.433,0.866327
5.480,413.259,0.894150
5.490,414.672,0.891766
5.500,415.278,0.883967
5.510,416.301,0.760972
5.520,415.547,0.452331
5.530,409.853,0.185882
5.540,402.472,0.051200
5.550,990.928,0.056535
5.560,400.589,0.158327
5.570,1001.010,0.085564
5.580,1023.637,0.025008
5.590,1046.920,0.011335
5.600,1292.411,0.027810
5.610,1301.476,0.030083
5.620,40.457,0.059711
5.630,39.118,0.014553
5.640,51.992,0.033750
5.650,317.157,0.035618
5.660,315.672,0.090936
5.670,315.772,0.073782
5.680,36.254,0.166745
5.690,38.241,0.153871
5.700,32.293,0.016517
5.710,320.961,0.054559
5.720,396.018,0.043571
5.730,1157.595,0.032883
5.740,403.703,0.028486
5.750,1195.361,0.026185
5.760,32.860,0.021368
5.770,556.766,0.165770
5.780,280.780,0.134543
5.790,284.529,0.099034
5.800,97.438,0.045352
5.810,98.635,0.046261
5.820,1967.644,0.029451
5.830,1949.321,0.030573
5.840,711.248,0.032337
5.850,1185.768,0.048839
5.860,1210.871,0.044741
5.870,46.035,0.025073
5.880,351.440,0.037771
5.890,322.955,0.088058
5.900,553.194,0.096308
5.910,560.472,0.091219
5.920,565.096,0.040931
5.930,1430.459,0.008415
5.940,1964.485,0.005798
5.950,1968.471,0.015300
5.960,1971.340,0.026085
5.970,1971.659,0.043576
5.980,1970.485,0.053774
5.990,530.847,0.043092
6.000,538.482,0.115610
6.010,596.331,0.062197
6.020,438.678,0.053652
6.030,449.602,0.072849
6.040,140.437,0.033974
6.050,32.241,0.033702
6.060,34.179,0.045922
6.070,1690.518,0.007791
6.080,1226.503,0.004972
6.090,1287.418,0.003187
6.100,409.770,0.037007
6.110,414.801,0.093714
6.120,416.788,0.168064
6.130,418.344,0.228306
6.140,259.914,0.301716
6.150,259.378,0.336419
6.160,259.695,0.271390
6.170,203.026,0.175308
6.180,243.393,0.029215
6.190,121.156,0.030780
6.200,58.155,0.003423
6.210,47.235,0.233770
6.220,48.379,0.071773
6.230,54.350,0.004945
6.240,32.036,0.015284
6.250,208.215,0.049339
6.260,70.413,0.187185
6.270,209.678,0.144700
6.280,208.814,0.082387
6.290,593.145,0.021715
6.300,590.768,0.036363
6.310,300.788,0.060083
6.320,297.644,0.084629
6.330,290.499,0.311870
6.340,293.111,0.490477
6.350,292.327,0.745072
6.360,293.929,0.829310
6.370,294.015,0.818947
6.380,294.705,0.807262
6.390,294.056,0.690221
6.400,293.931,0.398556
6.410,346.099,0.575057
6.420,345.722,0.702879
6.430,344.841,0.483710
6.440,345.580,0.237441
6.450,467.837,0.146312
6.460,951.682,0.034526
6.470,1028.376,0.015134
6.480,1184.862,0.022069
6.490,533.994,0.034636
6.500,1175.122,0.013803
6.510,539.654,0.012952
6.520,32.230,0.009309
6.530,1249.634,0.008676
6.540,1884.367,0.023470
6.550,1170.460,0.027673
6.560,660.082,0.007334
6.570,589.393,0.013811
6.580,590.858,0.047633
6.590,589.756,0.149586
6.600,586.454,0.388115
6.610,586.426,0.392104
6.620,587.670,0.390775
6.630,587.710,0.609473
6.640,588.914,0.613922
6.650,590.904,0.201946
6.660,1844.813,0.020784
6.670,668.526,0.023847
6.680,343.773,0.046660
6.690,1314.354,0.010048
6.700,33.043,0.010427
6.710,33.648,0.014233
6.720,1969.531,0.010166
6.730,34.308,0.005974
6.740,345.520,0.010397
6.750,346.718,0.025127
6.760,170.151,0.013381
6.770,342.406,0.006741
6.780,346.447,0.068849
6.790,351.504,0.010289
6.800,357.397,0.029124
6.810,356.445,0.033002
