time,frequency,confidence
0.000,646.744,0.066600
0.010,647.682,0.099178
0.020,288.082,0.037389
0.030,673.706,0.058551
0.040,42.994,0.773858
0.050,42.972,0.807877
0.060,43.012,0.811121
0.070,42.866,0.593754
0.080,126.982,0.231082
0.090,129.511,0.013736
0.100,49.215,0.014513
0.110,1858.963,0.004671
0.120,635.920,0.009456
0.130,55.034,0.011618
0.140,54.187,0.019757
0.150,33.016,0.016420
0.160,104.156,0.041896
0.170,106.929,0.014785
0.180,663.992,0.014149
0.190,586.869,0.140465
0.200,46.580,0.063521
0.210,32.531,0.174170
0.220,33.410,0.024696
0.230,33.972,0.013940
0.240,204.337,0.028482
0.250,203.152,0.516471
0.260,194.542,0.308293
0.270,192.322,0.763685
0.280,191.563,0.815920
0.290,190.257,0.895798
0.300,189.708,0.901177
0.310,188.405,0.256794
0.320,122.686,0.015861
0.330,33.118,0.021893
0.340,32.314,0.085986
0.350,55.036,0.021440
0.360,169.680,0.022883
0.370,169.631,0.500852
0.380,170.355,0.712576
0.390,167.607,0.773246
0.400,166.912,0.825532
0.410,164.271,0.787313
0.420,161.142,0.827828
0.430,161.835,0.745064
0.440,163.245,0.761540
0.450,163.114,0.590288
0.460,157.331,0.575065
0.470,157.746,0.579528
0.480,157.465,0.776430
0.490,156.241,0.798996
0.500,155.360,0.862767
0.510,155.542,0.875619
0.520,155.691,0.907588
0.530,155.286,0.878667
0.540,154.998,0.861548
0.550,154.958,0.870684
0.560,154.880,0.894822
0.570,154.296,0.897406
0.580,153.989,0.902177
0.590,154.519,0.905272
0.600,155.305,0.909636
0.610,153.731,0.444820
0.620,36.082,0.040265
0.630,35.547,0.404599
0.640,32.629,0.058808
0.650,119.996,0.107449
0.660,118.850,0.479494
0.670,115.426,0.303639
0.680,113.341,0.257977
0.690,109.533,0.092760
0.700,105.697,0.042919
0.710,208.038,0.273106
0.720,209.475,0.213620
0.730,209.151,0.313556
0.740,208.025,0.326008
0.750,203.169,0.331424
0.760,101.632,0.297053
0.770,101.016,0.503625
0.780,100.427,0.692487
0.790,99.639,0.679522
0.800,99.363,0.704054
0.810,99.047,0.716926
0.820,98.813,0.699989
0.830,98.260,0.808565
0.840,98.260,0.776960
0.850,98.410,0.710072
0.860,98.390,0.712641
0.870,98.075,0.666433
0.880,97.293,0.706066
0.890,96.348,0.664011
0.900,96.120,0.722959
0.910,96.215,0.459434
0.920,98.070,0.212143
0.930,130.165,0.062236
0.940,634.974,0.029511
0.950,100.128,0.052394
0.960,32.272,0.027362
0.970,34.609,0.103550
0.980,33.026,0.025837
0.990,54.164,0.013910
1.000,107.108,0.070755
1.010,542.732,0.060325
1.020,32.216,0.012894
1.030,34.132,0.004619
1.040,104.480,0.034091
1.050,131.897,0.048752
1.060,35.429,0.053295
1.070,125.692,0.080530
1.080,41.642,0.038600
1.090,124.482,0.038488
1.100,280.450,0.236262
1.110,1000.684,0.050469
1.120,997.181,0.097343
1.130,1976.019,0.037549
1.140,1977.657,0.031453
1.150,1329.784,0.023212
1.160,57.944,0.059490
1.170,57.917,0.021115
1.180,58.104,0.156723
1.190,58.442,0.607971
1.200,58.558,0.807962
1.210,57.993,0.583987
1.220,156.675,0.124460
1.230,158.038,0.070016
1.240,119.080,0.015003
1.250,43.879,0.023177
1.260,118.004,0.043551
1.270,118.081,0.136044
1.280,58.329,0.106495
1.290,116.969,0.116601
1.300,118.137,0.223139
1.310,59.297,0.668307
1.320,59.139,0.750941
1.330,59.741,0.226595
1.340,32.450,0.597368
1.350,32.216,0.171438
1.360,57.539,0.071241
1.370,118.388,0.680579
1.380,118.065,0.773926
1.390,117.889,0.829078
1.400,118.633,0.438396
1.410,117.814,0.521189
1.420,577.159,0.306879
1.430,572.225,0.163194
1.440,366.154,0.101735
1.450,365.164,0.180704
1.460,351.312,0.144695
1.470,387.942,0.386219
1.480,393.257,0.397999
1.490,1180.077,0.100455
1.500,672.081,0.025891
1.510,891.483,0.063621
1.520,163.470,0.023817
1.530,325.873,0.379076
1.540,319.372,0.550681
1.550,33.339,0.267077
1.560,316.368,0.325063
1.570,313.197,0.433317
1.580,314.631,0.428499
1.590,325.066,0.048490
1.600,33.137,0.067406
1.610,886.997,0.321698
1.620,886.089,0.380960
1.630,443.099,0.648103
1.640,442.772,0.897764
1.650,443.692,0.835720
1.660,442.546,0.793997
1.670,441.515,0.761138
