time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1041.848,0.019396
0.210,576.529,0.266714
0.220,293.523,0.104859
0.230,300.001,0.044801
0.240,161.359,0.017805
0.250,160.698,0.014490
0.260,158.904,0.143236
0.270,156.587,0.129078
0.280,144.659,0.013142
0.290,32.940,0.025464
0.300,138.565,0.021844
0.310,132.969,0.023835
0.320,967.483,0.028647
0.330,157.538,0.146656
0.340,32.323,0.047755
0.350,32.113,0.044865
0.360,32.615,0.001939
0.370,1873.268,0.003070
0.380,948.322,0.015448
0.390,945.318,0.021437
0.400,940.521,0.015811
0.410,134.673,0.021786
0.420,139.441,0.079871
0.430,143.114,0.090519
0.440,143.375,0.044696
0.450,142.621,0.128685
0.460,142.162,0.192537
0.470,139.170,0.056787
0.480,32.045,0.035761
0.490,32.217,0.036888
0.500,161.574,0.146993
0.510,161.051,0.445172
0.520,81.561,0.205748
0.530,81.734,0.150015
0.540,81.972,0.111486
0.550,82.123,0.055536
0.560,82.383,0.037989
0.570,80.093,0.050441
0.580,82.131,0.078316
0.590,88.610,0.083625
0.600,240.798,0.080984
0.610,580.972,0.232400
0.620,158.162,0.130490
0.630,1152.564,0.079836
0.640,32.898,0.031046
0.650,35.320,0.010592
0.660,34.762,0.096639
0.670,59.342,0.014551
0.680,44.824,0.015448
0.690,44.597,0.226822
0.700,44.155,0.406413
0.710,43.727,0.648384
0.720,43.982,0.492161
0.730,44.311,0.184122
0.740,45.910,0.029257
0.750,34.032,0.016337
0.760,1852.297,0.034229
0.770,1846.374,0.085401
0.780,1785.984,0.113639
0.790,1800.772,0.041241
0.800,86.015,0.007774
0.810,88.814,0.275674
0.820,90.182,0.065101
0.830,88.639,0.048869
0.840,43.770,0.124168
0.850,32.022,0.135878
0.860,32.690,0.101786
0.870,100.871,0.038270
0.880,44.875,0.019305
0.890,43.785,0.022609
0.900,349.970,0.122010
0.910,32.827,0.151479
0.920,33.306,0.280934
0.930,89.251,0.378822
0.940,89.327,0.494587
0.950,88.453,0.615781
0.960,87.490,0.346311
0.970,49.633,0.021062
0.980,49.011,0.071647
0.990,89.836,0.152099
1.000,350.212,0.130554
1.010,441.804,0.161717
1.020,32.207,0.322919
1.030,36.134,0.050825
1.040,36.502,0.435097
1.050,36.510,0.750619
1.060,36.660,0.144646
1.070,55.224,0.113656
1.080,55.039,0.141627
1.090,667.805,0.136503
1.100,33.141,0.016614
1.110,1798.451,0.003113
1.120,652.493,0.021364
1.130,269.596,0.095382
1.140,89.511,0.419552
1.150,267.838,0.406491
1.160,541.234,0.088619
1.170,397.829,0.090974
1.180,397.063,0.098359
1.190,432.676,0.124692
1.200,440.720,0.047984
1.210,528.701,0.063994
1.220,528.839,0.090713
1.230,87.628,0.142878
1.240,87.570,0.176995
1.250,87.007,0.133128
1.260,535.891,0.080693
