time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,545.965,0.124373
0.100,579.750,0.042624
0.110,594.970,0.064264
0.120,598.364,0.068110
0.130,655.823,0.087669
0.140,631.793,0.071527
0.150,887.471,0.046476
0.160,1033.662,0.104545
0.170,647.308,0.059966
0.180,578.605,0.043726
0.190,579.295,0.102139
0.200,396.390,0.035180
0.210,1785.709,0.019541
0.220,1797.171,0.010738
0.230,934.981,0.010071
0.240,949.758,0.040704
0.250,207.497,0.097307
0.260,405.060,0.031573
0.270,219.335,0.026985
0.280,205.880,0.025144
0.290,217.430,0.048104
0.300,32.200,0.049706
0.310,234.196,0.152885
0.320,129.155,0.064647
0.330,126.704,0.039054
0.340,32.342,0.061893
0.350,41.450,0.078091
0.360,32.347,0.010000
0.370,977.449,0.014018
0.380,626.912,0.064580
0.390,626.266,0.061938
0.400,1022.656,0.024828
0.410,207.011,0.025249
0.420,1008.661,0.032899
0.430,227.120,0.057656
0.440,1242.343,0.023868
0.450,32.716,0.017017
0.460,34.148,0.013689
0.470,34.018,0.014026
0.480,232.836,0.019052
0.490,580.020,0.077660
0.500,582.962,0.071358
0.510,163.145,0.030033
0.520,49.379,0.032445
0.530,33.570,0.092845
0.540,32.928,0.022441
0.550,57.263,0.037246
0.560,55.322,0.011259
0.570,39.031,0.032305
0.580,39.112,0.008603
0.590,39.540,0.437104
0.600,39.361,0.550864
0.610,39.360,0.068854
0.620,395.177,0.055192
0.630,82.423,0.043017
0.640,128.579,0.101445
0.650,127.083,0.132699
0.660,126.189,0.074808
0.670,43.037,0.363548
0.680,43.066,0.665170
0.690,43.187,0.430923
0.700,43.243,0.449654
0.710,127.295,0.019869
0.720,113.983,0.024337
0.730,234.129,0.039863
0.740,268.894,0.044508
0.750,266.264,0.055123
0.760,226.817,0.141524
0.770,224.094,0.176637
0.780,155.376,0.152115
0.790,156.616,0.172225
0.800,156.519,0.238107
0.810,173.984,0.167899
0.820,170.116,0.415255
0.830,170.475,0.231781
0.840,168.231,0.053776
0.850,938.803,0.038093
0.860,986.918,0.026557
0.870,44.861,0.044188
0.880,138.338,0.055329
0.890,45.280,0.245254
0.900,592.142,0.028431
0.910,591.918,0.070682
0.920,140.903,0.026594
0.930,585.947,0.106210
0.940,158.336,0.097675
0.950,85.187,0.074432
0.960,85.134,0.104199
0.970,1837.147,0.005296
0.980,978.347,0.004953
0.990,966.647,0.025387
1.000,981.455,0.028294
1.010,32.044,0.143705
1.020,32.220,0.043818
1.030,55.517,0.047131
1.040,266.108,0.024741
1.050,33.430,0.020784
1.060,52.078,0.120012
1.070,33.323,0.038667
1.080,32.411,0.012276
1.090,35.265,0.009286
1.100,34.289,0.007046
1.110,34.057,0.027498
1.120,33.726,0.029903
1.130,33.196,0.051583
1.140,33.121,0.061294
1.150,33.158,0.026606
1.160,882.204,0.014232
1.170,34.355,0.402802
1.180,34.228,0.710572
1.190,34.291,0.134763
1.200,946.781,0.032027
1.210,1297.976,0.012725
1.220,216.947,0.020025
1.230,213.462,0.093848
1.240,427.946,0.107025
1.250,404.042,0.050923
1.260,405.429,0.058090
1.270,406.766,0.023676
1.280,135.438,0.028869
1.290,983.773,0.011215
1.300,1176.073,0.023758
1.310,1164.086,0.017612
1.320,1220.326,0.006191
1.330,35.057,0.011818
1.340,34.927,0.029556
1.350,35.411,0.242097
1.360,35.528,0.018671
1.370,1212.487,0.003649
1.380,39.958,0.004064
1.390,33.718,0.261556
1.400,33.515,0.135386
1.410,32.304,0.012661
1.420,1779.740,0.007209
1.430,1758.362,0.016246
1.440,33.918,0.212490
1.450,33.524,0.271503
1.460,32.883,0.060651
1.470,32.635,0.026151
1.480,33.022,0.118360
1.490,33.617,0.069239
1.500,33.648,0.096667
1.510,32.338,0.047849
1.520,32.603,0.024747
1.530,33.633,0.014839
1.540,40.825,0.076798
1.550,40.968,0.056117
1.560,50.306,0.459860
1.570,50.766,0.084697
1.580,50.794,0.030977
1.590,1404.606,0.019638
1.600,1232.215,0.020413
1.610,1231.150,0.013922
1.620,58.559,0.110145
1.630,33.036,0.013269
1.640,41.595,0.132801
1.650,41.353,0.413475
1.660,40.481,0.093378
1.670,33.784,0.434058
1.680,34.237,0.262178
1.690,1787.229,0.009442
1.700,32.186,0.012221
1.710,1217.187,0.021812
1.720,327.283,0.053789
1.730,32.418,0.035093
1.740,32.405,0.023124
1.750,1166.483,0.012110
1.760,1182.759,0.015757
1.770,699.397,0.041288
1.780,596.634,0.072323
1.790,528.458,0.086897
1.800,380.917,0.032192
1.810,53.819,0.219146
1.820,53.870,0.403288
1.830,53.343,0.703258
1.840,266.907,0.058406
1.850,588.320,0.104863
1.860,593.633,0.092923
1.870,1031.006,0.023996
1.880,1780.458,0.015782
1.890,1774.820,0.022790
1.900,1316.872,0.005487
1.910,133.373,0.009302
1.920,273.940,0.028553
1.930,268.864,0.094291
1.940,269.330,0.089302
1.950,269.017,0.165285
1.960,53.737,0.265053
1.970,53.611,0.422931
1.980,278.530,0.346727
1.990,32.462,0.042341
2.000,53.840,0.334338
2.010,53.710,0.488189
2.020,53.683,0.796336
2.030,53.869,0.548631
2.040,33.029,0.221755
2.050,33.020,0.416862
2.060,38.457,0.127795
2.070,33.142,0.063970
2.080,52.180,0.053596
2.090,132.450,0.073652
2.100,140.680,0.071496
2.110,46.854,0.163167
2.120,35.801,0.131116
2.130,40.362,0.216311
2.140,40.419,0.199107
2.150,35.581,0.038044
2.160,35.260,0.228055
2.170,35.359,0.219884
2.180,322.232,0.100943
2.190,324.193,0.644562
2.200,323.978,0.656281
2.210,322.936,0.861897
2.220,321.829,0.887312
2.230,320.857,0.859780
2.240,320.500,0.727046
2.250,106.757,0.323259
2.260,106.734,0.257427
2.270,107.158,0.130571
2.280,32.768,0.284406
2.290,62.745,0.338146
2.300,62.581,0.551375
2.310,62.777,0.461625
2.320,63.041,0.292638
2.330,53.760,0.226989
2.340,321.912,0.448297
2.350,131.359,0.082893
2.360,40.558,0.057585
2.370,33.745,0.160945
2.380,44.584,0.148698
2.390,44.365,0.242503
2.400,35.991,0.083977
2.410,279.608,0.273411
2.420,276.482,0.240442
2.430,37.597,0.090765
2.440,44.831,0.166413
2.450,269.435,0.174888
2.460,134.760,0.666760
2.470,135.325,0.766836
2.480,135.055,0.825847
2.490,134.746,0.723442
2.500,134.091,0.776225
2.510,133.452,0.361974
2.520,134.163,0.158076
2.530,56.979,0.103266
2.540,163.862,0.212641
2.550,269.645,0.110435
2.560,53.287,0.096647
2.570,53.335,0.132586
2.580,133.395,0.252742
2.590,133.558,0.366555
2.600,44.789,0.191831
2.610,44.913,0.686215
2.620,44.975,0.435270
2.630,33.433,0.501646
2.640,33.759,0.568978
2.650,33.808,0.453774
2.660,64.584,0.086286
2.670,54.613,0.135397
2.680,98.086,0.065831
2.690,33.056,0.022824
2.700,33.374,0.114838
2.710,33.602,0.310867
2.720,135.451,0.081019
2.730,33.402,0.023133
2.740,140.177,0.090286
2.750,267.222,0.100860
2.760,140.623,0.045587
2.770,142.213,0.026359
2.780,35.269,0.119352
2.790,35.509,0.031670
2.800,32.613,0.005939
2.810,134.677,0.022779
2.820,1186.475,0.061691
2.830,33.505,0.057138
2.840,275.481,0.126900
2.850,46.404,0.296315
2.860,46.216,0.353785
2.870,283.050,0.389552
2.880,290.858,0.230165
2.890,80.345,0.091605
2.900,33.976,0.380359
2.910,34.400,0.471028
2.920,40.418,0.276504
2.930,121.356,0.163876
2.940,263.685,0.272847
2.950,279.206,0.426309
2.960,47.043,0.204414
2.970,46.774,0.372875
2.980,46.958,0.112335
2.990,32.912,0.039109
3.000,34.293,0.175586
3.010,33.175,0.054933
3.020,45.767,0.032922
3.030,34.381,0.363810
3.040,34.175,0.114061
3.050,42.990,0.264069
3.060,40.264,0.282071
3.070,39.907,0.084988
3.080,134.779,0.171537
3.090,135.034,0.632114
3.100,133.766,0.685298
3.110,135.571,0.771965
3.120,135.590,0.393423
3.130,134.956,0.267250
3.140,133.415,0.351640
3.150,134.202,0.699388
3.160,133.622,0.476260
3.170,270.187,0.283484
3.180,269.917,0.577776
3.190,270.929,0.750193
3.200,270.970,0.402973
3.210,270.347,0.570818
3.220,269.432,0.524405
3.230,266.761,0.464687
3.240,265.371,0.249255
3.250,136.552,0.206372
3.260,138.227,0.045437
3.270,268.314,0.232165
3.280,268.945,0.054215
3.290,32.555,0.018122
3.300,662.279,0.005818
3.310,33.501,0.008886
3.320,33.749,0.015716
3.330,1173.826,0.016896
3.340,1183.936,0.036246
3.350,1224.006,0.029231
3.360,1874.559,0.026322
3.370,33.610,0.020095
3.380,1162.606,0.024339
3.390,1132.797,0.031527
3.400,1219.409,0.024254
3.410,33.092,0.005759
3.420,32.328,0.007069
3.430,33.020,0.214312
3.440,32.994,0.895823
3.450,32.560,0.252941
3.460,58.047,0.076575
3.470,58.917,0.670518
3.480,59.162,0.704297
3.490,59.788,0.507564
3.500,59.723,0.371666
3.510,58.308,0.035218
3.520,139.317,0.036236
3.530,35.265,0.022711
3.540,278.065,0.355721
3.550,240.671,0.385761
3.560,244.449,0.145120
3.570,249.443,0.166371
3.580,32.124,0.084723
3.590,81.151,0.209121
3.600,81.060,0.276333
3.610,81.856,0.086902
3.620,134.607,0.130441
3.630,32.992,0.132251
3.640,32.883,0.216546
3.650,61.677,0.182168
3.660,60.885,0.195944
3.670,60.874,0.092547
3.680,132.324,0.218154
3.690,34.866,0.128488
3.700,35.106,0.581785
3.710,35.357,0.099035
3.720,242.848,0.041616
3.730,48.761,0.015693
3.740,35.541,0.234919
3.750,35.877,0.234474
3.760,40.990,0.162465
3.770,141.606,0.128254
3.780,141.061,0.235042
3.790,35.517,0.077992
3.800,35.270,0.108029
3.810,35.723,0.137363
3.820,82.212,0.119770
3.830,85.199,0.074638
3.840,61.188,0.398532
3.850,61.286,0.089678
3.860,32.533,0.684929
3.870,32.678,0.815940
3.880,32.896,0.206253
3.890,43.043,0.161596
3.900,46.733,0.083812
3.910,54.233,0.073862
3.920,54.268,0.105121
3.930,142.210,0.124491
3.940,142.496,0.039116
3.950,32.781,0.032318
3.960,33.035,0.131375
3.970,32.312,0.064426
3.980,144.312,0.030251
3.990,159.703,0.284660
4.000,349.870,0.304549
4.010,32.963,0.145183
4.020,33.150,0.071200
4.030,32.978,0.046699
4.040,1160.209,0.080966
4.050,32.117,0.031821
4.060,35.126,0.169274
4.070,355.339,0.081152
4.080,142.883,0.191684
4.090,142.030,0.420629
4.100,142.428,0.853182
4.110,142.816,0.469433
4.120,143.011,0.228188
4.130,60.586,0.137429
4.140,59.883,0.579978
4.150,59.744,0.593276
