time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1957.680,0.014354
0.050,1957.675,0.014320
0.060,1957.675,0.014318
0.070,1957.677,0.014322
0.080,1957.678,0.014325
0.090,1957.670,0.014341
0.100,1957.675,0.014362
0.110,1957.685,0.014399
0.120,1957.689,0.014433
0.130,1957.695,0.014462
0.140,1577.506,0.062057
0.150,587.596,0.056641
0.160,177.995,0.068195
0.170,162.971,0.031608
0.180,593.598,0.069632
0.190,45.808,0.041490
0.200,575.714,0.209652
0.210,1173.298,0.041034
0.220,1226.092,0.012982
0.230,1238.722,0.006550
0.240,1238.540,0.006269
0.250,1048.112,0.017377
0.260,140.675,0.123748
0.270,147.503,0.070672
0.280,146.515,0.130928
0.290,32.407,0.036999
0.300,32.237,0.024241
0.310,32.520,0.038792
0.320,999.526,0.018688
0.330,1043.036,0.027766
0.340,134.190,0.094615
0.350,139.731,0.265208
0.360,279.285,0.167194
0.370,142.218,0.121714
0.380,45.606,0.010899
0.390,33.600,0.042716
0.400,995.847,0.018005
0.410,1075.119,0.011694
0.420,727.397,0.042438
0.430,136.692,0.076199
0.440,136.947,0.232519
0.450,136.086,0.468931
0.460,133.192,0.201234
0.470,32.234,0.083196
0.480,32.451,0.091970
0.490,135.390,0.039417
0.500,137.623,0.043615
0.510,135.641,0.080828
0.520,1182.417,0.013809
0.530,135.375,0.082067
0.540,140.031,0.129519
0.550,139.309,0.359545
0.560,138.946,0.433607
0.570,138.418,0.589014
0.580,137.302,0.781060
0.590,136.671,0.774051
0.600,136.031,0.712976
0.610,134.938,0.333953
0.620,135.306,0.116559
0.630,1242.879,0.015838
0.640,133.713,0.023786
0.650,138.719,0.115945
0.660,139.634,0.194339
0.670,139.616,0.232901
0.680,139.480,0.319120
0.690,140.777,0.116502
0.700,142.554,0.045593
0.710,1973.417,0.007881
0.720,146.178,0.029527
0.730,1859.264,0.008293
0.740,658.185,0.042082
0.750,871.773,0.045267
0.760,135.621,0.090538
0.770,139.045,0.283040
0.780,140.228,0.517488
0.790,140.308,0.660754
0.800,139.365,0.593455
0.810,138.374,0.407229
0.820,133.397,0.136056
0.830,32.002,0.062545
0.840,32.224,0.043243
0.850,32.242,0.029259
0.860,138.610,0.056648
0.870,136.867,0.075814
0.880,32.701,0.147532
0.890,32.806,0.141805
0.900,33.280,0.160839
0.910,32.636,0.045812
0.920,54.067,0.049105
0.930,119.178,0.098141
0.940,128.565,0.041024
0.950,120.258,0.015815
0.960,110.980,0.150520
0.970,110.569,0.136775
0.980,32.999,0.161372
0.990,33.025,0.131472
1.000,54.457,0.044104
1.010,119.424,0.107009
1.020,120.373,0.088198
1.030,113.918,0.042186
1.040,113.342,0.033438
1.050,110.484,0.179690
1.060,32.646,0.045865
1.070,34.032,0.170819
1.080,32.858,0.039248
1.090,54.071,0.066440
1.100,99.258,0.103728
1.110,113.162,0.232290
1.120,111.353,0.268442
1.130,108.809,0.148870
1.140,106.898,0.056841
1.150,107.782,0.036011
1.160,110.226,0.229756
1.170,111.025,0.123683
1.180,114.279,0.036884
1.190,116.325,0.016594
1.200,947.651,0.012986
1.210,111.679,0.036279
1.220,112.504,0.075186
1.230,112.752,0.024299
1.240,112.442,0.020479
1.250,1179.511,0.026517
1.260,106.001,0.067186
1.270,213.284,0.196389
1.280,215.184,0.123620
1.290,215.244,0.063733
1.300,211.052,0.073146
1.310,210.280,0.025899
1.320,1088.940,0.007641
1.330,1214.894,0.005566
1.340,208.998,0.012389
1.350,1109.993,0.005697
1.360,1112.673,0.019816
1.370,1113.682,0.015245
1.380,140.342,0.054333
1.390,132.847,0.023267
1.400,128.726,0.036031
1.410,119.565,0.028175
1.420,119.124,0.046476
1.430,1858.241,0.027976
1.440,1856.596,0.017802
1.450,1214.863,0.019442
1.460,144.213,0.056839
1.470,148.016,0.078029
1.480,319.126,0.049892
1.490,1787.547,0.021423
1.500,1279.905,0.026481
1.510,259.149,0.119461
1.520,557.483,0.097018
1.530,260.780,0.053555
1.540,32.740,0.034104
1.550,32.229,0.022796
1.560,120.052,0.006362
1.570,945.829,0.012861
1.580,391.668,0.055541
1.590,389.776,0.392374
1.600,389.172,0.858466
1.610,389.307,0.893538
1.620,389.913,0.887805
1.630,390.384,0.846350
1.640,390.358,0.797435
1.650,390.678,0.757910
1.660,390.960,0.800873
1.670,391.277,0.862483
1.680,390.661,0.898295
1.690,390.261,0.893209
1.700,389.552,0.906505
1.710,389.477,0.912482
1.720,389.635,0.819753
1.730,390.205,0.818397
1.740,389.503,0.879750
1.750,389.203,0.931032
1.760,389.644,0.933328
1.770,389.706,0.805515
1.780,344.050,0.651004
1.790,346.474,0.929472
1.800,346.486,0.952183
1.810,346.453,0.938189
1.820,346.875,0.917042
1.830,347.363,0.921179
1.840,347.548,0.908066
1.850,347.144,0.930167
1.860,347.126,0.932832
1.870,346.873,0.934227
1.880,346.796,0.939629
1.890,346.628,0.943206
1.900,346.708,0.959038
1.910,346.416,0.959888
1.920,345.079,0.866257
1.930,330.345,0.731404
1.940,326.601,0.932219
1.950,326.582,0.963711
1.960,327.198,0.965466
1.970,327.672,0.953813
1.980,327.250,0.958340
1.990,327.503,0.963110
2.000,327.881,0.957300
2.010,328.012,0.956328
2.020,327.720,0.960649
2.030,327.638,0.964757
2.040,327.495,0.966856
2.050,327.473,0.967816
2.060,327.471,0.970178
2.070,327.481,0.969085
2.080,327.401,0.966932
2.090,327.519,0.964839
2.100,327.845,0.947737
2.110,328.066,0.894920
2.120,327.762,0.771831
2.130,290.246,0.823828
2.140,290.512,0.929263
2.150,291.301,0.958517
2.160,292.122,0.955452
2.170,292.640,0.940132
2.180,292.618,0.935937
2.190,291.712,0.947822
2.200,291.418,0.953739
2.210,291.524,0.955836
2.220,291.773,0.955272
2.230,292.061,0.947143
2.240,291.945,0.936993
2.250,291.637,0.892177
2.260,291.662,0.797765
2.270,290.851,0.718534
2.280,290.651,0.651283
2.290,290.128,0.630872
2.300,290.014,0.593468
2.310,291.501,0.637642
2.320,292.946,0.749331
2.330,291.345,0.775019
2.340,291.075,0.698325
2.350,288.240,0.503081
2.360,288.749,0.348016
2.370,288.847,0.248141
2.380,290.828,0.339957
2.390,292.178,0.333201
2.400,291.586,0.626623
2.410,291.587,0.640225
2.420,291.807,0.413559
2.430,291.025,0.415464
2.440,290.406,0.670487
2.450,291.699,0.747111
2.460,292.363,0.796377
2.470,291.767,0.825567
2.480,292.026,0.791759
2.490,292.487,0.791298
2.500,293.407,0.794037
2.510,292.672,0.830734
2.520,292.354,0.833341
2.530,292.828,0.877049
2.540,292.769,0.901452
2.550,292.566,0.922246
2.560,292.263,0.928936
2.570,292.170,0.940644
2.580,291.833,0.933374
2.590,291.546,0.900893
2.600,291.783,0.867087
2.610,291.856,0.817244
2.620,291.720,0.794788
2.630,291.993,0.807913
2.640,290.140,0.679414
2.650,286.947,0.429002
2.660,41.469,0.371635
2.670,41.297,0.329193
2.680,291.036,0.729757
2.690,290.946,0.807538
2.700,291.872,0.871595
2.710,291.896,0.864604
2.720,291.801,0.752721
2.730,290.949,0.520429
2.740,290.788,0.400525
2.750,290.446,0.564445
2.760,290.545,0.527386
2.770,291.286,0.735455
2.780,290.948,0.847545
2.790,291.504,0.881554
2.800,291.953,0.885529
2.810,293.158,0.901613
2.820,292.977,0.800379
2.830,291.831,0.765149
2.840,290.676,0.759233
2.850,288.745,0.741277
2.860,289.190,0.657257
2.870,289.948,0.654304
2.880,290.566,0.764382
2.890,291.816,0.812766
2.900,291.964,0.807652
2.910,291.379,0.738744
2.920,290.492,0.657954
2.930,290.800,0.594280
2.940,297.343,0.100908
2.950,43.460,0.055815
2.960,39.863,0.084365
2.970,39.406,0.078259
2.980,34.175,0.021635
2.990,33.640,0.069373
3.000,34.422,0.083016
3.010,288.725,0.283849
3.020,288.595,0.667318
3.030,288.552,0.660839
3.040,290.910,0.812556
3.050,291.555,0.823653
3.060,290.983,0.872354
3.070,290.005,0.878066
3.080,289.973,0.892697
3.090,291.506,0.899942
3.100,291.817,0.896182
3.110,291.053,0.896087
3.120,289.957,0.881586
3.130,289.191,0.900725
3.140,290.600,0.883659
3.150,292.512,0.860266
3.160,293.368,0.910308
3.170,292.627,0.875727
3.180,290.930,0.897070
3.190,290.617,0.884104
3.200,290.765,0.882758
3.210,291.490,0.887988
3.220,291.751,0.904768
3.230,291.582,0.922547
3.240,290.982,0.932444
3.250,291.059,0.922806
3.260,290.325,0.909265
3.270,291.430,0.903925
3.280,290.204,0.861210
3.290,292.287,0.791396
3.300,293.245,0.829821
3.310,289.301,0.769281
3.320,289.396,0.768813
3.330,288.771,0.645941
3.340,289.667,0.659899
3.350,292.181,0.695976
3.360,293.216,0.729664
3.370,291.355,0.690408
3.380,290.913,0.727671
3.390,290.197,0.731117
3.400,289.262,0.662836
3.410,287.804,0.423794
3.420,286.966,0.328617
3.430,289.938,0.591184
3.440,289.479,0.737479
3.450,290.551,0.772893
3.460,290.441,0.666850
3.470,291.820,0.368828
3.480,289.798,0.090827
3.490,288.769,0.344202
3.500,287.676,0.258877
3.510,977.523,0.088595
3.520,288.550,0.739497
3.530,289.243,0.659520
3.540,290.803,0.757149
3.550,290.766,0.769535
3.560,291.646,0.807883
3.570,291.493,0.862533
3.580,291.064,0.875795
3.590,291.398,0.887600
3.600,292.529,0.872782
3.610,292.118,0.905541
3.620,291.899,0.883960
3.630,291.876,0.888813
3.640,291.914,0.907917
3.650,291.547,0.922059
3.660,291.054,0.904047
3.670,291.042,0.909425
3.680,291.177,0.881888
3.690,292.079,0.904094
3.700,292.614,0.898615
3.710,292.451,0.918351
3.720,292.309,0.930560
3.730,291.804,0.940894
3.740,291.692,0.941594
3.750,291.549,0.941821
3.760,291.904,0.928013
3.770,291.898,0.937227
3.780,291.632,0.922090
3.790,291.433,0.923403
3.800,291.046,0.908266
3.810,292.085,0.847549
3.820,292.030,0.813015
3.830,292.563,0.757321
3.840,290.987,0.777051
3.850,289.985,0.824812
3.860,290.380,0.861487
3.870,291.060,0.876247
3.880,291.489,0.858166
3.890,292.148,0.818029
3.900,291.274,0.793780
3.910,291.837,0.658661
3.920,290.117,0.603527
3.930,291.098,0.603657
3.940,288.278,0.685166
3.950,283.009,0.447088
3.960,280.556,0.414178
3.970,137.246,0.168767
3.980,276.668,0.241982
3.990,273.673,0.233949
4.000,274.558,0.343875
4.010,286.380,0.279455
4.020,286.700,0.504487
4.030,286.438,0.541136
4.040,286.469,0.513997
4.050,290.716,0.586195
4.060,291.563,0.496274
4.070,291.451,0.543416
4.080,290.414,0.429200
4.090,291.008,0.292724
4.100,48.873,0.458847
4.110,292.611,0.467523
4.120,291.442,0.277030
4.130,288.971,0.766718
4.140,291.099,0.795372
4.150,290.815,0.823913
