time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,1957.600,0.014470
0.070,1957.600,0.014470
0.080,1957.600,0.014472
0.090,1957.589,0.014478
0.100,1957.590,0.014498
0.110,1957.600,0.014553
0.120,1957.615,0.014588
0.130,1957.625,0.014635
0.140,1957.628,0.014624
0.150,1957.626,0.014621
0.160,1957.622,0.014620
0.170,1957.621,0.014629
0.180,1957.619,0.014628
0.190,1957.623,0.014638
0.200,1957.626,0.014646
0.210,1957.625,0.014651
0.220,1957.622,0.014648
0.230,1957.626,0.014643
0.240,1957.628,0.014644
0.250,1957.625,0.014638
0.260,1957.629,0.014640
0.270,1957.632,0.014642
0.280,1957.633,0.014639
0.290,1957.632,0.014643
0.300,1957.632,0.014643
0.310,1957.632,0.014643
0.320,1957.632,0.014643
0.330,1957.632,0.014643
0.340,1957.632,0.014643
0.350,1957.632,0.014643
0.360,1957.632,0.014643
0.370,1957.632,0.014643
0.380,1957.632,0.014643
0.390,1957.629,0.014645
0.400,1957.632,0.014640
0.410,1957.633,0.014638
0.420,1957.634,0.014617
0.430,1957.637,0.014592
0.440,1957.629,0.014539
0.450,1957.608,0.014510
0.460,1957.599,0.014467
0.470,1957.594,0.014458
0.480,1957.592,0.014443
0.490,1957.597,0.014444
0.500,1957.597,0.014445
0.510,1957.598,0.014443
0.520,1957.598,0.014444
0.530,1957.596,0.014444
0.540,1957.595,0.014450
0.550,1957.592,0.014451
0.560,1957.593,0.014455
0.570,1957.594,0.014464
0.580,1957.590,0.014467
0.590,1957.587,0.014479
0.600,1957.581,0.014482
0.610,1957.584,0.014482
0.620,1957.581,0.014482
0.630,1957.578,0.014486
0.640,1957.578,0.014491
0.650,1957.582,0.014494
0.660,1957.581,0.014497
0.670,1957.584,0.014510
0.680,1957.583,0.014526
0.690,1957.581,0.014540
0.700,1957.580,0.014547
0.710,1957.577,0.014546
0.720,1957.580,0.014547
0.730,1957.582,0.014537
0.740,1957.584,0.014535
0.750,1957.589,0.014528
0.760,1957.592,0.014525
0.770,1957.595,0.014531
0.780,1957.593,0.014528
0.790,1957.596,0.014533
0.800,1957.598,0.014529
0.810,1957.600,0.014539
0.820,1957.604,0.014539
0.830,1957.600,0.014538
0.840,1957.597,0.014528
0.850,540.972,0.073238
0.860,577.226,0.058466
0.870,32.470,0.080667
0.880,32.162,0.122570
0.890,32.612,0.163476
0.900,32.417,0.099326
0.910,32.567,0.046524
0.920,32.534,0.027329
0.930,34.172,0.069995
0.940,35.347,0.122522
0.950,35.317,0.251917
0.960,35.762,0.622497
0.970,35.669,0.718095
0.980,49.967,0.134970
0.990,49.879,0.528862
1.000,50.335,0.307894
1.010,50.225,0.027834
1.020,32.690,0.007433
1.030,401.934,0.062961
1.040,404.731,0.083479
1.050,445.933,0.046720
1.060,448.064,0.049335
1.070,448.028,0.178204
1.080,450.235,0.166933
1.090,449.534,0.178745
1.100,44.945,0.463055
1.110,39.613,0.161650
1.120,40.119,0.384622
1.130,36.863,0.195424
1.140,444.968,0.314496
1.150,220.231,0.382965
1.160,219.999,0.599522
1.170,661.800,0.123081
1.180,1975.608,0.035962
1.190,42.543,0.038112
1.200,530.018,0.104982
1.210,530.055,0.368459
1.220,530.478,0.669001
1.230,534.259,0.491185
1.240,535.367,0.277793
1.250,536.061,0.274630
1.260,533.782,0.218037
1.270,537.868,0.107490
1.280,1090.285,0.016106
1.290,454.386,0.058125
1.300,34.077,0.339293
1.310,34.227,0.330979
1.320,33.825,0.165561
1.330,1178.731,0.019102
1.340,593.546,0.045783
1.350,594.863,0.126097
1.360,596.773,0.345038
1.370,599.869,0.525749
1.380,590.411,0.655348
1.390,580.943,0.304865
1.400,395.926,0.030947
1.410,331.020,0.022474
1.420,1788.426,0.015333
1.430,323.158,0.018563
1.440,300.262,0.029681
1.450,1308.373,0.041289
1.460,33.386,0.020346
1.470,1784.930,0.021799
1.480,129.547,0.010307
1.490,132.768,0.010192
1.500,134.714,0.020485
1.510,1448.837,0.011383
1.520,1852.346,0.012503
1.530,349.995,0.082039
1.540,348.249,0.118068
1.550,1403.474,0.051992
1.560,51.119,0.055597
1.570,34.001,0.185537
1.580,32.425,0.059124
1.590,32.418,0.053963
1.600,1205.493,0.014690
1.610,1221.411,0.007506
1.620,1024.794,0.018918
1.630,1020.651,0.015240
1.640,1321.268,0.009321
1.650,1320.424,0.011406
1.660,543.292,0.219181
1.670,543.190,0.415204
1.680,538.159,0.397050
1.690,531.731,0.264054
1.700,531.057,0.651767
1.710,533.195,0.862981
1.720,533.638,0.877682
1.730,533.089,0.837513
1.740,532.702,0.763960
1.750,532.593,0.688229
1.760,532.831,0.575945
1.770,528.769,0.228799
1.780,532.369,0.139960
1.790,590.335,0.153738
1.800,134.538,0.074084
1.810,132.773,0.046815
1.820,535.889,0.112458
1.830,540.215,0.101465
1.840,540.897,0.158346
1.850,1098.839,0.025750
1.860,1159.110,0.016626
1.870,1174.257,0.027964
1.880,597.178,0.058385
1.890,600.077,0.086911
1.900,597.237,0.194260
1.910,597.965,0.160511
1.920,538.655,0.049529
1.930,532.033,0.152195
1.940,524.117,0.040940
1.950,32.455,0.009946
1.960,953.088,0.008503
1.970,951.529,0.010565
1.980,649.665,0.016713
1.990,396.356,0.074990
2.000,396.054,0.071259
2.010,397.601,0.082585
2.020,399.674,0.159626
2.030,399.789,0.244974
2.040,131.895,0.296482
2.050,528.237,0.267808
2.060,66.081,0.296351
2.070,66.552,0.227715
2.080,33.571,0.187513
2.090,537.435,0.237166
2.100,538.693,0.485491
2.110,541.576,0.304785
2.120,447.625,0.680679
2.130,446.876,0.801716
2.140,447.812,0.866164
2.150,448.914,0.682353
2.160,450.371,0.727823
2.170,447.381,0.648943
2.180,446.111,0.388849
2.190,219.316,0.270397
2.200,213.995,0.038655
2.210,32.919,0.016010
2.220,144.429,0.048550
2.230,142.425,0.055593
2.240,134.079,0.074532
2.250,129.658,0.078459
2.260,134.428,0.018621
2.270,36.276,0.012443
2.280,32.112,0.022280
2.290,61.725,0.095548
2.300,128.545,0.070981
2.310,132.901,0.023840
2.320,139.254,0.050186
2.330,287.864,0.073082
2.340,289.952,0.159930
2.350,874.870,0.059474
2.360,878.722,0.024802
2.370,933.827,0.012026
2.380,1212.436,0.008052
2.390,1320.140,0.009211
2.400,55.715,0.010161
2.410,990.168,0.008141
2.420,138.755,0.015630
2.430,968.817,0.030657
2.440,564.077,0.092898
2.450,585.694,0.099548
2.460,32.621,0.058630
2.470,1307.709,0.017255
2.480,1319.517,0.022293
2.490,1310.849,0.027099
2.500,1963.762,0.027803
2.510,1979.034,0.019004
2.520,1970.926,0.010814
2.530,1971.696,0.024568
2.540,1973.478,0.015758
2.550,1973.215,0.021836
2.560,34.655,0.046243
2.570,39.359,0.126615
2.580,351.576,0.138305
2.590,351.387,0.080771
2.600,350.196,0.109508
2.610,71.693,0.047643
2.620,52.187,0.099510
2.630,34.989,0.298882
2.640,34.149,0.591406
2.650,33.412,0.171608
2.660,1975.374,0.044507
2.670,1979.331,0.036345
2.680,241.819,0.108865
2.690,969.243,0.038450
2.700,658.278,0.030692
2.710,290.056,0.062703
2.720,574.603,0.260514
2.730,288.108,0.179203
2.740,285.434,0.042363
2.750,34.027,0.551149
2.760,33.779,0.055434
2.770,1794.008,0.009860
2.780,1760.523,0.020735
2.790,1188.471,0.010810
2.800,1222.050,0.047993
2.810,1233.037,0.037669
2.820,1229.973,0.017311
2.830,1965.759,0.013267
2.840,1019.541,0.042217
2.850,1018.736,0.036131
2.860,1159.212,0.045951
2.870,581.358,0.435565
2.880,584.092,0.220022
2.890,289.519,0.026560
2.900,590.968,0.015322
2.910,633.597,0.044228
2.920,659.063,0.096914
2.930,587.966,0.065702
2.940,1160.078,0.045610
2.950,1326.982,0.007484
2.960,356.266,0.136361
2.970,292.023,0.102966
2.980,32.383,0.069187
2.990,163.318,0.075467
3.000,165.350,0.130988
3.010,174.618,0.067092
3.020,177.653,0.031266
3.030,177.944,0.019265
3.040,414.214,0.058097
3.050,85.764,0.049266
3.060,257.712,0.084941
3.070,214.916,0.073386
3.080,146.898,0.101208
3.090,193.746,0.118031
3.100,162.389,0.220569
3.110,152.148,0.085396
3.120,152.609,0.113887
3.130,51.474,0.084158
3.140,51.910,0.135870
3.150,43.835,0.019691
3.160,43.469,0.022990
3.170,965.401,0.003700
3.180,965.661,0.018176
3.190,967.562,0.024112
3.200,80.086,0.017583
3.210,141.367,0.072403
3.220,151.502,0.021641
3.230,147.702,0.070769
3.240,146.518,0.058574
3.250,32.132,0.025794
3.260,32.429,0.028315
3.270,32.713,0.013331
3.280,32.232,0.007334
3.290,974.546,0.004810
3.300,433.536,0.036856
3.310,1036.285,0.028048
3.320,1038.667,0.022154
3.330,79.682,0.063893
3.340,965.887,0.042431
3.350,76.500,0.099934
3.360,78.024,0.260406
3.370,77.875,0.333246
3.380,155.162,0.124431
3.390,580.566,0.149652
3.400,1168.598,0.023785
3.410,1965.570,0.016120
3.420,1249.081,0.011071
3.430,1250.682,0.012515
3.440,653.110,0.078411
3.450,647.779,0.069743
3.460,658.196,0.075782
3.470,961.330,0.090271
3.480,577.138,0.471968
3.490,579.136,0.350941
3.500,331.413,0.063791
3.510,32.658,0.173264
3.520,331.700,0.027673
3.530,331.656,0.089800
3.540,329.272,0.078567
3.550,1318.906,0.060703
3.560,1630.294,0.061116
3.570,33.451,0.014663
3.580,33.871,0.041236
3.590,34.347,0.070842
3.600,34.674,0.022490
3.610,244.656,0.048177
3.620,353.312,0.155922
3.630,351.447,0.085724
3.640,1751.061,0.019575
3.650,32.787,0.118397
3.660,32.861,0.358455
3.670,32.874,0.651775
3.680,32.971,0.197696
3.690,1218.088,0.005865
3.700,975.878,0.006128
3.710,658.200,0.028995
3.720,657.146,0.089831
3.730,597.964,0.073561
3.740,348.527,0.058087
3.750,1400.245,0.038644
3.760,276.610,0.155988
3.770,581.480,0.354164
3.780,584.201,0.199387
3.790,201.844,0.019127
3.800,1009.266,0.017262
3.810,1008.018,0.011372
3.820,997.319,0.027868
3.830,659.890,0.078283
3.840,596.517,0.075100
3.850,597.155,0.070762
3.860,940.066,0.053159
3.870,1833.444,0.040074
3.880,1857.266,0.044356
3.890,1869.790,0.074124
3.900,1846.798,0.040225
3.910,51.437,0.106809
3.920,32.229,0.036979
3.930,223.304,0.046664
3.940,218.219,0.016446
3.950,32.342,0.020826
3.960,99.906,0.054813
3.970,969.644,0.038904
3.980,1036.806,0.046954
3.990,1031.938,0.021117
4.000,658.920,0.106722
4.010,646.458,0.104728
4.020,659.510,0.101188
4.030,1026.738,0.026595
4.040,1021.713,0.045861
4.050,646.084,0.084007
4.060,644.262,0.075931
4.070,398.576,0.055061
