time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1957.726,0.014607
0.050,1957.730,0.014633
0.060,1957.735,0.014639
0.070,1957.733,0.014628
0.080,1957.734,0.014629
0.090,1957.737,0.014624
0.100,1957.732,0.014617
0.110,1957.724,0.014598
0.120,1957.716,0.014570
0.130,1957.710,0.014535
0.140,1957.708,0.014547
0.150,1957.710,0.014547
0.160,1957.710,0.014537
0.170,1957.713,0.014533
0.180,1957.711,0.014529
0.190,1957.710,0.014530
0.200,1957.704,0.014520
0.210,1957.705,0.014530
0.220,1957.703,0.014527
0.230,1957.703,0.014524
0.240,1957.698,0.014519
0.250,1957.698,0.014519
0.260,1957.701,0.014521
0.270,1957.696,0.014510
0.280,1957.693,0.014498
0.290,1957.690,0.014489
0.300,1957.688,0.014481
0.310,1957.686,0.014471
0.320,1957.684,0.014461
0.330,1957.683,0.014467
0.340,1957.682,0.014470
0.350,1957.684,0.014474
0.360,1957.685,0.014464
0.370,1957.687,0.014467
0.380,1957.688,0.014470
0.390,1957.693,0.014487
0.400,1957.694,0.014490
0.410,1957.698,0.014511
0.420,1957.694,0.014534
0.430,1957.708,0.014553
0.440,1957.715,0.014579
0.450,1957.729,0.014613
0.460,1957.734,0.014637
0.470,1957.732,0.014617
0.480,1957.741,0.014624
0.490,1957.751,0.014630
0.500,1957.753,0.014641
0.510,1957.737,0.014626
0.520,1957.733,0.014628
0.530,1957.729,0.014611
0.540,1957.724,0.014606
0.550,1957.738,0.014616
0.560,1957.727,0.014618
0.570,1957.726,0.014627
0.580,1957.729,0.014626
0.590,1957.726,0.014620
0.600,1957.726,0.014608
0.610,1957.729,0.014608
0.620,1957.731,0.014618
0.630,1957.727,0.014618
0.640,1957.720,0.014598
0.650,1957.723,0.014588
0.660,1957.726,0.014589
0.670,1957.726,0.014589
0.680,1957.725,0.014590
0.690,1957.729,0.014586
0.700,1957.733,0.014596
0.710,1957.739,0.014587
0.720,1957.740,0.014604
0.730,1957.751,0.014622
0.740,1957.744,0.014633
0.750,1957.749,0.014644
0.760,1957.748,0.014647
0.770,32.675,0.068423
0.780,267.813,0.202996
0.790,290.290,0.252069
0.800,287.977,0.125959
0.810,218.189,0.084825
0.820,32.620,0.058490
0.830,32.208,0.042513
0.840,214.171,0.109125
0.850,213.835,0.175760
0.860,31.971,0.063516
0.870,32.399,0.023349
0.880,41.341,0.032704
0.890,34.306,0.237584
0.900,32.689,0.146775
0.910,32.119,0.116965
0.920,32.116,0.010969
0.930,32.148,0.013262
0.940,1144.700,0.009272
0.950,1295.472,0.026086
0.960,1679.341,0.016443
0.970,34.077,0.127129
0.980,34.928,0.087684
0.990,35.525,0.135866
1.000,140.124,0.105241
1.010,140.369,0.066353
1.020,32.783,0.012448
1.030,32.527,0.021787
1.040,51.600,0.078075
1.050,54.064,0.023853
1.060,995.426,0.008761
1.070,121.488,0.058329
1.080,234.571,0.132247
1.090,231.345,0.091925
1.100,33.012,0.090465
1.110,32.932,0.194278
1.120,33.521,0.289737
1.130,40.545,0.415481
1.140,123.829,0.308358
1.150,33.177,0.181323
1.160,33.877,0.567981
1.170,46.047,0.088209
1.180,48.821,0.084240
1.190,54.895,0.026724
1.200,32.970,0.070249
1.210,276.388,0.338632
1.220,35.451,0.049000
1.230,32.307,0.023881
1.240,142.698,0.032245
1.250,41.088,0.024457
1.260,40.691,0.035981
1.270,41.030,0.495067
1.280,48.099,0.376136
1.290,32.197,0.064930
1.300,55.417,0.067335
1.310,50.196,0.042744
1.320,239.334,0.307766
1.330,282.563,0.365912
1.340,33.294,0.132553
1.350,33.595,0.325625
1.360,271.550,0.208722
1.370,275.258,0.264408
1.380,289.743,0.569741
1.390,288.006,0.711830
1.400,286.648,0.706420
1.410,282.916,0.676306
1.420,281.229,0.575485
1.430,285.666,0.333898
1.440,287.039,0.815408
1.450,286.738,0.882204
1.460,286.426,0.917746
1.470,286.099,0.867457
1.480,284.238,0.772089
1.490,279.167,0.652553
1.500,279.091,0.550874
1.510,279.736,0.126936
1.520,661.097,0.027523
1.530,657.351,0.142100
1.540,656.258,0.216916
1.550,1940.419,0.039324
1.560,1901.223,0.010322
1.570,1879.501,0.025908
1.580,1861.208,0.047441
1.590,1926.365,0.046242
1.600,1877.757,0.045951
1.610,35.017,0.164177
1.620,35.417,0.273225
1.630,284.989,0.541831
1.640,284.931,0.720739
1.650,281.951,0.324874
1.660,282.037,0.572327
1.670,283.651,0.483555
1.680,284.227,0.382195
1.690,283.298,0.426474
1.700,283.188,0.283635
1.710,40.167,0.353739
1.720,40.046,0.527454
1.730,40.132,0.688782
1.740,33.843,0.361470
1.750,32.882,0.125401
1.760,1188.379,0.015477
1.770,223.970,0.057384
1.780,241.542,0.246949
1.790,235.388,0.026357
1.800,46.547,0.305538
1.810,234.270,0.283613
1.820,235.999,0.378661
1.830,234.970,0.314510
1.840,33.133,0.356409
1.850,32.928,0.284771
1.860,161.039,0.051992
1.870,32.280,0.018394
1.880,1846.444,0.010349
1.890,137.753,0.032118
1.900,281.865,0.541738
1.910,284.433,0.603317
1.920,284.876,0.497227
1.930,286.153,0.169278
1.940,57.458,0.286124
1.950,57.720,0.465216
1.960,57.382,0.209928
1.970,286.252,0.098752
1.980,284.783,0.606756
1.990,284.929,0.388892
2.000,35.848,0.101116
2.010,279.671,0.083276
2.020,282.868,0.281092
2.030,285.319,0.205804
2.040,40.709,0.108345
2.050,46.938,0.110538
2.060,47.253,0.501256
2.070,47.623,0.132686
2.080,51.926,0.010848
2.090,51.597,0.035940
2.100,32.271,0.026164
2.110,32.218,0.018964
2.120,969.681,0.007979
2.130,289.378,0.028301
2.140,196.768,0.088696
2.150,143.473,0.076829
2.160,46.804,0.056138
2.170,140.617,0.065824
2.180,149.582,0.091617
2.190,32.203,0.008878
2.200,32.345,0.209040
2.210,32.213,0.325998
2.220,32.138,0.090532
2.230,32.210,0.010677
2.240,1879.287,0.009427
2.250,1186.345,0.032366
2.260,1183.071,0.049404
2.270,34.764,0.052481
2.280,34.098,0.013899
2.290,48.552,0.007702
2.300,48.564,0.204474
2.310,49.126,0.034868
2.320,258.198,0.207992
2.330,256.916,0.348127
2.340,49.931,0.384443
2.350,256.094,0.083783
2.360,49.352,0.152082
2.370,49.602,0.132805
2.380,49.246,0.321003
2.390,48.869,0.071128
2.400,1052.056,0.055286
2.410,50.333,0.054242
2.420,50.147,0.279501
2.430,287.628,0.047032
2.440,1096.702,0.057515
2.450,1108.582,0.012613
2.460,1281.173,0.022849
2.470,590.267,0.037879
2.480,592.922,0.053672
2.490,634.771,0.045537
2.500,138.613,0.063895
2.510,137.719,0.018885
2.520,577.269,0.171099
2.530,32.559,0.017294
2.540,33.373,0.028347
2.550,32.376,0.011299
2.560,32.367,0.003063
2.570,1838.847,0.003803
2.580,1967.244,0.031321
2.590,1974.725,0.040110
2.600,1973.562,0.050749
2.610,1967.916,0.043569
2.620,1177.559,0.028059
2.630,581.348,0.013962
2.640,1148.617,0.063009
2.650,1152.681,0.086288
2.660,1165.281,0.097523
2.670,1170.585,0.068216
2.680,1184.983,0.045883
2.690,32.219,0.012118
2.700,1108.870,0.007704
2.710,1084.143,0.009694
2.720,1083.015,0.012851
2.730,1027.381,0.026371
2.740,683.117,0.031443
2.750,134.867,0.040020
2.760,134.758,0.014530
2.770,135.104,0.025064
2.780,133.251,0.080524
2.790,132.310,0.039330
2.800,134.812,0.011308
2.810,58.407,0.050904
2.820,58.138,0.189458
2.830,58.201,0.030727
2.840,32.330,0.007118
2.850,54.647,0.001816
2.860,579.424,0.378943
2.870,573.901,0.098217
2.880,129.355,0.025636
2.890,32.660,0.009589
2.900,32.301,0.019650
2.910,39.428,0.033638
2.920,975.815,0.032428
2.930,984.742,0.009120
2.940,994.749,0.025167
2.950,32.887,0.013168
2.960,1846.773,0.035664
2.970,1020.391,0.025765
2.980,1774.965,0.017451
2.990,32.896,0.058802
3.000,33.022,0.098383
3.010,33.598,0.060343
3.020,1969.948,0.028440
3.030,32.251,0.012488
3.040,32.345,0.012783
3.050,32.657,0.013118
3.060,32.283,0.021027
3.070,1889.783,0.009446
3.080,1872.227,0.017960
3.090,1034.121,0.013976
3.100,1030.212,0.032794
3.110,968.901,0.027924
3.120,1856.589,0.018999
3.130,32.248,0.006944
3.140,32.395,0.004151
3.150,963.016,0.006703
3.160,936.512,0.021941
3.170,1963.884,0.042910
3.180,1938.089,0.032559
3.190,1937.320,0.046225
3.200,658.582,0.059708
3.210,273.304,0.172772
3.220,222.480,0.162398
3.230,32.144,0.051533
3.240,32.044,0.171228
3.250,32.092,0.182121
3.260,31.951,0.038959
3.270,54.076,0.025060
3.280,53.064,0.081782
3.290,52.832,0.295491
3.300,52.995,0.164896
3.310,52.327,0.136741
3.320,52.467,0.121212
3.330,53.105,0.150979
3.340,52.957,0.695841
3.350,53.074,0.895023
3.360,53.022,0.870629
3.370,52.912,0.900070
3.380,52.858,0.850844
3.390,52.702,0.879481
3.400,52.718,0.861222
3.410,52.918,0.902093
3.420,52.832,0.890869
3.430,53.010,0.922973
3.440,52.571,0.859049
3.450,356.655,0.065329
3.460,1080.389,0.005175
3.470,32.159,0.065711
3.480,32.185,0.041513
3.490,35.213,0.015804
3.500,956.971,0.017212
3.510,1186.067,0.023482
3.520,213.847,0.234261
3.530,208.879,0.073334
3.540,51.433,0.024712
3.550,195.622,0.100475
3.560,350.247,0.300402
3.570,32.252,0.069172
3.580,32.299,0.330262
3.590,32.923,0.100205
3.600,33.041,0.015177
3.610,1972.839,0.011450
3.620,32.339,0.013680
3.630,32.542,0.065399
3.640,139.197,0.038342
3.650,35.444,0.105325
3.660,40.289,0.013898
3.670,32.330,0.000928
3.680,109.091,0.036427
3.690,108.741,0.237630
3.700,110.026,0.308089
3.710,212.783,0.070461
3.720,1455.442,0.008973
3.730,42.390,0.255193
3.740,36.209,0.055769
3.750,42.766,0.020907
3.760,35.418,0.049653
3.770,40.913,0.032103
3.780,32.367,0.067992
3.790,32.506,0.049620
3.800,32.749,0.091196
3.810,36.066,0.473309
3.820,36.815,0.123583
3.830,32.130,0.019280
3.840,272.723,0.033374
3.850,1233.842,0.025656
3.860,38.826,0.030339
3.870,49.022,0.028967
3.880,246.624,0.065355
3.890,247.708,0.093756
3.900,247.735,0.050095
3.910,1724.948,0.043249
3.920,1728.023,0.018644
3.930,32.215,0.018380
3.940,32.629,0.010727
3.950,300.380,0.023881
3.960,33.505,0.009367
3.970,275.540,0.027025
3.980,284.022,0.037165
3.990,283.667,0.420894
4.000,281.780,0.347018
4.010,284.917,0.122473
4.020,286.191,0.273410
4.030,288.199,0.686254
4.040,287.735,0.606233
4.050,286.719,0.495452
4.060,285.450,0.756032
4.070,285.423,0.861493
4.080,284.276,0.909412
