time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1958.072,0.015129
0.220,1958.078,0.015127
0.230,1958.082,0.015126
0.240,1958.080,0.015122
0.250,1958.080,0.015125
0.260,1958.080,0.015125
0.270,1958.080,0.015125
0.280,1958.080,0.015125
0.290,1958.080,0.015126
0.300,1958.083,0.015138
0.310,1958.083,0.015147
0.320,1958.085,0.015150
0.330,1958.085,0.015150
0.340,1958.091,0.015148
0.350,1958.091,0.015155
0.360,1958.089,0.015147
0.370,1958.084,0.015136
0.380,1958.073,0.015115
0.390,1958.083,0.015108
0.400,1958.084,0.015110
0.410,1958.067,0.015125
0.420,1958.058,0.015132
0.430,1958.049,0.015136
0.440,1958.030,0.015118
0.450,1958.016,0.015107
0.460,1958.014,0.015058
0.470,1958.023,0.015052
0.480,1958.032,0.015046
0.490,1958.033,0.015039
0.500,1958.037,0.015049
0.510,1958.037,0.015059
0.520,1958.037,0.015059
0.530,1958.034,0.015055
0.540,1958.034,0.015056
0.550,1958.033,0.015063
0.560,1958.031,0.015068
0.570,1958.032,0.015072
0.580,1958.028,0.015070
0.590,1958.030,0.015071
0.600,1958.024,0.015078
0.610,1958.022,0.015078
0.620,1958.026,0.015066
0.630,1958.019,0.015066
0.640,1958.015,0.015073
0.650,1958.014,0.015066
0.660,1958.018,0.015079
0.670,1958.012,0.015084
0.680,1958.010,0.015085
0.690,1958.011,0.015081
0.700,1958.011,0.015079
0.710,1958.011,0.015083
0.720,1958.011,0.015083
0.730,1958.011,0.015083
0.740,1958.012,0.015076
0.750,1958.010,0.015070
0.760,1958.006,0.015062
0.770,1958.001,0.015067
0.780,1957.996,0.015065
0.790,1957.990,0.015069
0.800,551.152,0.275490
0.810,131.696,0.081857
0.820,584.146,0.143900
0.830,189.010,0.062956
0.840,575.418,0.066789
0.850,243.087,0.080655
0.860,465.090,0.056922
0.870,466.132,0.030252
0.880,658.182,0.029940
0.890,1015.009,0.036315
0.900,1037.150,0.040962
0.910,151.722,0.042413
0.920,141.482,0.074004
0.930,140.930,0.395079
0.940,138.132,0.397113
0.950,137.625,0.210916
0.960,34.831,0.333699
0.970,34.692,0.394665
0.980,69.383,0.804409
0.990,69.179,0.895790
1.000,69.241,0.903377
1.010,69.255,0.760288
1.020,69.442,0.224376
1.030,138.209,0.226475
1.040,138.274,0.025453
1.050,32.920,0.055212
1.060,32.811,0.026249
1.070,32.924,0.023009
1.080,32.342,0.008952
1.090,1219.831,0.005064
1.100,44.988,0.006298
1.110,1211.645,0.012591
1.120,1200.812,0.016870
1.130,135.389,0.011650
1.140,136.959,0.151716
1.150,137.307,0.480680
1.160,137.838,0.526899
1.170,137.512,0.258965
1.180,137.001,0.401943
1.190,137.073,0.434939
1.200,136.926,0.425802
1.210,274.680,0.159167
1.220,34.131,0.127935
1.230,139.060,0.265349
1.240,138.830,0.246464
1.250,138.265,0.487766
1.260,138.509,0.566216
1.270,276.177,0.513669
1.280,275.466,0.274254
1.290,276.857,0.069184
1.300,32.412,0.035873
1.310,32.237,0.102563
1.320,32.207,0.091629
1.330,32.284,0.068207
1.340,32.476,0.032273
1.350,32.555,0.057448
1.360,1976.210,0.085739
1.370,1726.202,0.030127
1.380,1265.353,0.006597
1.390,32.862,0.016151
1.400,135.425,0.012367
1.410,136.112,0.139160
1.420,136.898,0.160990
1.430,137.701,0.258243
1.440,138.339,0.581429
1.450,138.478,0.394923
1.460,276.465,0.398868
1.470,275.011,0.246783
1.480,34.205,0.186621
1.490,138.402,0.104022
1.500,139.390,0.106613
1.510,280.696,0.175513
1.520,278.499,0.517040
1.530,284.907,0.244817
1.540,32.445,0.155534
1.550,33.321,0.157071
1.560,40.530,0.333749
1.570,40.604,0.610908
1.580,40.466,0.192483
1.590,32.231,0.024805
1.600,54.650,0.005847
1.610,1965.958,0.020207
1.620,98.071,0.088771
1.630,98.226,0.049038
1.640,1023.712,0.021108
1.650,1032.611,0.028793
1.660,32.145,0.051744
1.670,32.336,0.010358
1.680,34.022,0.060784
1.690,32.235,0.037231
1.700,1871.756,0.047418
1.710,1841.881,0.037682
1.720,631.353,0.081738
1.730,296.943,0.109849
1.740,284.813,0.124604
1.750,280.710,0.110259
1.760,279.096,0.163747
1.770,576.194,0.249771
1.780,350.860,0.075222
1.790,349.504,0.044413
1.800,32.388,0.019109
1.810,32.609,0.019220
1.820,32.687,0.011097
1.830,32.970,0.011964
1.840,32.986,0.123265
1.850,33.445,0.016690
1.860,35.219,0.029694
1.870,35.337,0.077695
1.880,32.380,0.026097
1.890,32.800,0.011763
1.900,32.389,0.011815
1.910,54.109,0.215874
1.920,53.671,0.332639
1.930,52.709,0.186114
1.940,43.803,0.092611
1.950,320.077,0.053068
1.960,54.767,0.078620
1.970,38.043,0.120601
1.980,1072.413,0.014204
1.990,1302.791,0.009809
2.000,1284.102,0.012983
2.010,1289.491,0.026792
2.020,315.859,0.031167
2.030,268.717,0.386054
2.040,268.400,0.394426
2.050,267.928,0.248186
2.060,267.853,0.206638
2.070,52.515,0.070577
2.080,52.074,0.036892
2.090,52.017,0.134682
2.100,51.941,0.030224
2.110,1459.051,0.048837
2.120,52.400,0.027944
2.130,52.158,0.031596
2.140,181.481,0.021067
2.150,206.124,0.058176
2.160,205.344,0.192419
2.170,204.672,0.145276
2.180,395.047,0.279143
2.190,395.333,0.272878
2.200,398.957,0.111896
2.210,405.286,0.054210
2.220,455.195,0.012170
2.230,402.495,0.024908
2.240,950.221,0.018925
2.250,536.340,0.009466
2.260,584.791,0.075889
2.270,288.485,0.219395
2.280,259.643,0.329761
2.290,260.587,0.493868
2.300,270.847,0.506723
2.310,277.092,0.608219
2.320,282.018,0.376273
2.330,297.982,0.658007
2.340,303.525,0.823234
2.350,309.021,0.865337
2.360,315.569,0.887740
2.370,321.171,0.890107
2.380,325.214,0.927787
2.390,328.649,0.928893
2.400,331.567,0.960373
2.410,333.403,0.948227
2.420,332.905,0.933200
2.430,330.441,0.957234
2.440,325.528,0.922411
2.450,321.349,0.936705
2.460,318.954,0.966662
2.470,318.639,0.960865
2.480,319.049,0.963162
2.490,319.799,0.960844
2.500,321.472,0.935789
2.510,323.601,0.957759
2.520,326.362,0.928757
2.530,329.500,0.814881
2.540,336.717,0.735232
2.550,337.943,0.876050
2.560,336.552,0.909991
2.570,334.778,0.941364
2.580,330.286,0.924194
2.590,325.480,0.886042
2.600,320.085,0.844924
2.610,313.988,0.772993
2.620,309.718,0.850886
2.630,307.460,0.880383
2.640,306.306,0.907098
2.650,306.629,0.920099
2.660,306.290,0.873254
2.670,305.550,0.769509
2.680,304.836,0.592014
2.690,305.288,0.297037
2.700,55.376,0.112581
2.710,281.398,0.165057
2.720,278.266,0.238770
2.730,267.494,0.440933
2.740,52.741,0.078021
2.750,287.852,0.505448
2.760,291.674,0.523852
2.770,289.979,0.637422
2.780,288.369,0.812131
2.790,286.600,0.872511
2.800,286.333,0.897784
2.810,286.222,0.914474
2.820,286.742,0.952792
2.830,287.126,0.966192
2.840,287.722,0.962972
2.850,288.036,0.966750
2.860,287.064,0.960472
2.870,285.229,0.969005
2.880,285.294,0.961568
2.890,286.594,0.945348
2.900,286.573,0.945891
2.910,286.072,0.938959
2.920,286.423,0.947292
2.930,287.027,0.957843
2.940,287.801,0.955335
2.950,289.917,0.871914
2.960,294.272,0.868421
2.970,298.879,0.882369
2.980,304.830,0.876215
2.990,311.141,0.832490
3.000,316.660,0.787453
3.010,323.043,0.656107
3.020,329.893,0.643652
3.030,349.739,0.458744
3.040,363.656,0.825276
3.050,369.543,0.882828
3.060,372.221,0.923533
3.070,372.070,0.923638
3.080,371.391,0.924486
3.090,369.372,0.878610
3.100,366.798,0.876904
3.110,364.403,0.776179
3.120,361.984,0.752509
3.130,358.152,0.601678
3.140,353.441,0.671432
3.150,351.155,0.509419
3.160,286.743,0.044259
3.170,217.984,0.229694
3.180,221.121,0.495682
3.190,222.407,0.704086
3.200,226.612,0.702637
3.210,235.812,0.553065
3.220,253.005,0.452011
3.230,246.869,0.513615
3.240,246.254,0.465350
3.250,250.909,0.440766
3.260,247.199,0.323894
3.270,303.483,0.260561
3.280,309.742,0.680379
3.290,310.232,0.553820
3.300,310.530,0.388192
3.310,322.811,0.420829
3.320,322.715,0.493718
3.330,324.290,0.331818
3.340,328.955,0.175249
3.350,210.734,0.158100
3.360,210.371,0.182522
3.370,310.135,0.175714
3.380,307.653,0.551768
3.390,309.736,0.739983
3.400,312.714,0.849621
3.410,315.268,0.790456
3.420,315.813,0.888300
3.430,315.212,0.848625
3.440,313.966,0.651605
3.450,313.063,0.555575
3.460,314.963,0.493157
3.470,315.057,0.416684
3.480,319.555,0.554655
3.490,321.987,0.526671
3.500,319.269,0.520206
3.510,319.651,0.347666
3.520,324.454,0.427230
3.530,325.177,0.471422
3.540,323.770,0.723639
3.550,322.030,0.631388
3.560,318.375,0.522691
3.570,105.980,0.441183
3.580,104.740,0.332914
3.590,34.584,0.219216
3.600,34.456,0.225601
3.610,88.513,0.080426
3.620,268.671,0.377735
3.630,51.798,0.018756
3.640,417.759,0.288828
3.650,104.305,0.183457
3.660,414.610,0.194756
3.670,267.114,0.385828
3.680,265.918,0.582535
3.690,265.313,0.655489
3.700,265.764,0.768713
3.710,267.998,0.560528
3.720,536.278,0.111204
3.730,134.293,0.136005
3.740,54.171,0.228233
3.750,33.731,0.385104
3.760,34.043,0.323120
3.770,51.547,0.146165
3.780,106.866,0.337445
3.790,316.567,0.521105
3.800,316.015,0.718399
3.810,318.124,0.863207
3.820,319.761,0.895110
3.830,321.188,0.660654
3.840,324.779,0.563404
3.850,323.731,0.639865
3.860,324.112,0.652107
3.870,325.348,0.314199
3.880,107.571,0.384745
3.890,328.311,0.342547
3.900,530.683,0.508357
3.910,530.035,0.421667
3.920,529.889,0.446646
3.930,529.919,0.528045
3.940,531.326,0.425134
3.950,531.826,0.232688
3.960,304.215,0.482994
3.970,302.816,0.428151
3.980,300.424,0.456091
3.990,296.682,0.267073
4.000,527.997,0.165990
4.010,264.958,0.260421
4.020,134.878,0.328210
4.030,526.310,0.168245
4.040,524.380,0.253895
4.050,523.008,0.515704
4.060,520.064,0.688225
4.070,515.839,0.513592
4.080,507.568,0.405941
4.090,501.524,0.362349
4.100,493.100,0.221447
