time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,1959.623,0.020371
0.550,1959.621,0.020384
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.616,0.020408
0.610,1959.612,0.020403
0.620,1959.613,0.020394
0.630,1959.610,0.020383
0.640,1959.613,0.020385
0.650,1959.611,0.020386
0.660,1959.614,0.020401
0.670,1959.612,0.020407
0.680,1959.613,0.020408
0.690,1959.614,0.020399
0.700,1959.619,0.020408
0.710,1959.617,0.020408
0.720,1959.617,0.020408
0.730,1959.617,0.020408
0.740,1959.620,0.020395
0.750,1959.620,0.020383
0.760,1959.622,0.020352
0.770,1959.621,0.020346
0.780,1959.462,0.019678
0.790,557.310,0.055313
0.800,590.078,0.062045
0.810,393.177,0.049819
0.820,655.755,0.053477
0.830,660.090,0.047937
0.840,545.119,0.295215
0.850,574.455,0.127240
0.860,361.205,0.077278
0.870,32.355,0.022138
0.880,39.609,0.015911
0.890,319.604,0.045731
0.900,56.553,0.017048
0.910,55.184,0.039188
0.920,54.476,0.093221
0.930,51.644,0.059787
0.940,55.054,0.112214
0.950,55.217,0.093278
0.960,54.558,0.020516
0.970,32.219,0.008859
0.980,32.365,0.036732
0.990,32.626,0.433795
1.000,32.424,0.046852
1.010,1854.744,0.012484
1.020,32.229,0.010395
1.030,53.720,0.047595
1.040,53.455,0.213724
1.050,53.635,0.224833
1.060,54.257,0.049855
1.070,54.575,0.108619
1.080,54.983,0.052939
1.090,143.826,0.024485
1.100,166.231,0.093099
1.110,164.630,0.183008
1.120,144.509,0.240235
1.130,150.435,0.054600
1.140,147.046,0.034037
1.150,147.004,0.039364
1.160,160.667,0.022377
1.170,32.653,0.015108
1.180,33.570,0.122240
1.190,34.465,0.229325
1.200,34.699,0.090776
1.210,1032.848,0.048557
1.220,647.258,0.075942
