time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1958.072,0.015129
0.220,1958.078,0.015127
0.230,1958.082,0.015126
0.240,1958.080,0.015122
0.250,1958.080,0.015125
0.260,1958.080,0.015125
0.270,1958.080,0.015125
0.280,1958.080,0.015125
0.290,1958.080,0.015126
0.300,1958.083,0.015138
0.310,1958.083,0.015147
0.320,1958.085,0.015150
0.330,1958.085,0.015150
0.340,1958.091,0.015148
0.350,1958.091,0.015155
0.360,1958.089,0.015147
0.370,1958.084,0.015136
0.380,1958.073,0.015115
0.390,1958.083,0.015108
0.400,1958.084,0.015110
0.410,1958.067,0.015125
0.420,1958.058,0.015132
0.430,1958.049,0.015136
0.440,1958.030,0.015118
0.450,1958.016,0.015107
0.460,1958.014,0.015058
0.470,1958.023,0.015052
0.480,1958.032,0.015046
0.490,1958.033,0.015039
0.500,1958.037,0.015049
0.510,1958.037,0.015059
0.520,1958.037,0.015059
0.530,1958.034,0.015055
0.540,1958.034,0.015056
0.550,1958.033,0.015063
0.560,1958.031,0.015068
0.570,1958.032,0.015072
0.580,1958.028,0.015070
0.590,1958.030,0.015071
0.600,1958.024,0.015078
0.610,1958.022,0.015078
0.620,1958.026,0.015066
0.630,1958.019,0.015066
0.640,1958.015,0.015073
0.650,1958.014,0.015066
0.660,1958.018,0.015079
0.670,1958.012,0.015084
0.680,1958.010,0.015085
0.690,1958.011,0.015081
0.700,1958.011,0.015079
0.710,1958.011,0.015083
0.720,1958.011,0.015083
0.730,1958.011,0.015083
0.740,1958.012,0.015076
0.750,1958.010,0.015070
0.760,1958.006,0.015062
0.770,1042.362,0.017713
0.780,659.599,0.038604
0.790,659.124,0.030546
0.800,657.329,0.097595
0.810,648.546,0.105138
0.820,648.474,0.103374
0.830,658.083,0.057368
0.840,291.302,0.040463
0.850,574.339,0.265134
0.860,577.157,0.125893
0.870,32.671,0.218109
0.880,32.546,0.291942
0.890,32.840,0.034842
0.900,55.075,0.027494
0.910,57.071,0.174151
0.920,56.821,0.818287
0.930,56.874,0.834341
0.940,56.534,0.861167
0.950,56.518,0.782387
0.960,56.383,0.753533
0.970,56.506,0.830435
0.980,56.608,0.712528
0.990,57.096,0.822909
1.000,57.181,0.856541
1.010,57.114,0.894699
1.020,57.125,0.893551
1.030,57.029,0.894621
1.040,56.702,0.529707
1.050,56.034,0.100888
1.060,283.702,0.071058
1.070,57.271,0.405788
1.080,57.567,0.668687
1.090,57.270,0.618863
1.100,57.368,0.333358
1.110,286.407,0.360009
1.120,284.894,0.285721
1.130,57.100,0.542987
1.140,57.122,0.606503
1.150,57.532,0.314651
1.160,179.236,0.070189
1.170,129.803,0.125630
1.180,32.641,0.065988
1.190,57.017,0.545644
1.200,56.811,0.630420
1.210,114.703,0.194104
1.220,115.029,0.359550
1.230,116.123,0.450094
1.240,117.206,0.279356
1.250,45.771,0.030522
1.260,56.227,0.076832
1.270,114.457,0.119605
1.280,115.027,0.058837
1.290,115.445,0.063660
1.300,47.224,0.066738
1.310,286.058,0.168872
1.320,285.294,0.382908
1.330,284.413,0.562816
1.340,57.622,0.363399
1.350,233.426,0.140117
1.360,116.612,0.467833
1.370,115.940,0.790499
1.380,115.069,0.817915
1.390,114.869,0.806280
1.400,114.375,0.835050
1.410,114.450,0.787291
1.420,114.559,0.748699
1.430,114.317,0.754940
1.440,114.054,0.770639
1.450,113.696,0.813109
1.460,111.776,0.443049
1.470,111.131,0.397761
1.480,124.786,0.301060
1.490,122.612,0.194466
1.500,118.320,0.318586
1.510,115.696,0.234060
1.520,36.666,0.134516
1.530,38.010,0.019449
1.540,32.650,0.012718
1.550,83.822,0.034064
1.560,42.669,0.027718
1.570,43.056,0.003876
1.580,99.187,0.021812
1.590,202.611,0.036838
1.600,657.152,0.035930
1.610,138.106,0.039154
1.620,131.459,0.026406
1.630,638.586,0.026776
1.640,269.138,0.071900
1.650,134.909,0.150479
1.660,163.314,0.134391
1.670,157.800,0.098463
1.680,115.481,0.420951
1.690,114.927,0.506788
1.700,114.859,0.633984
1.710,115.155,0.697745
1.720,115.058,0.596856
1.730,114.126,0.285069
1.740,112.703,0.289005
1.750,112.719,0.260019
1.760,114.308,0.312586
1.770,113.948,0.082288
1.780,111.995,0.147620
1.790,213.474,0.052249
1.800,32.253,0.037635
1.810,56.217,0.160133
1.820,56.576,0.407280
1.830,56.985,0.362399
1.840,57.143,0.251119
1.850,57.312,0.801585
1.860,57.119,0.678463
1.870,57.187,0.725342
1.880,169.311,0.336835
1.890,168.235,0.095657
1.900,343.135,0.074435
1.910,117.186,0.056923
1.920,116.228,0.290670
1.930,115.659,0.334914
1.940,228.653,0.030110
1.950,583.229,0.421603
1.960,299.650,0.048272
1.970,81.746,0.045342
1.980,43.504,0.023627
1.990,130.562,0.012226
2.000,172.646,0.101779
2.010,171.196,0.417265
2.020,170.725,0.386590
2.030,170.085,0.366686
2.040,42.329,0.399489
2.050,126.921,0.348163
2.060,42.253,0.752863
2.070,42.328,0.338461
2.080,42.278,0.307742
2.090,42.882,0.263276
2.100,42.905,0.084053
2.110,41.413,0.230929
2.120,41.029,0.232416
2.130,41.435,0.234756
2.140,114.072,0.191266
2.150,114.058,0.491360
2.160,113.569,0.253635
2.170,113.651,0.246439
2.180,336.485,0.168555
2.190,113.761,0.196888
2.200,113.109,0.231943
2.210,113.907,0.296547
2.220,113.386,0.267376
2.230,56.762,0.192057
2.240,111.917,0.125140
2.250,217.745,0.137074
2.260,1203.826,0.023334
2.270,98.962,0.038990
2.280,32.339,0.036272
2.290,113.338,0.015243
2.300,56.395,0.082010
2.310,56.862,0.531223
2.320,56.733,0.734767
2.330,56.770,0.699761
2.340,56.661,0.660958
2.350,56.489,0.762527
2.360,56.643,0.742428
2.370,56.557,0.822340
2.380,56.411,0.653924
2.390,56.189,0.354431
2.400,57.316,0.094197
2.410,57.797,0.649899
2.420,57.611,0.742885
2.430,57.747,0.872899
2.440,57.645,0.879839
2.450,57.327,0.500663
2.460,57.253,0.113659
2.470,32.306,0.011723
2.480,55.438,0.008101
2.490,113.670,0.033238
2.500,57.126,0.767415
2.510,57.062,0.880404
2.520,57.177,0.887965
2.530,57.412,0.832346
2.540,57.782,0.873645
2.550,57.930,0.912584
2.560,57.815,0.852805
2.570,350.745,0.531342
2.580,348.033,0.380837
2.590,345.001,0.509722
2.600,342.970,0.377818
2.610,341.016,0.447108
2.620,225.723,0.323831
2.630,338.096,0.504535
2.640,337.811,0.684054
2.650,338.649,0.721470
2.660,339.139,0.832075
2.670,342.950,0.759130
2.680,54.449,0.099080
2.690,32.972,0.040848
2.700,118.624,0.027001
2.710,114.719,0.052961
2.720,114.843,0.143145
2.730,113.080,0.153386
2.740,37.078,0.131655
2.750,37.497,0.101107
2.760,130.484,0.056839
2.770,256.168,0.102885
2.780,182.599,0.022920
2.790,94.322,0.014506
2.800,1426.000,0.015341
2.810,948.142,0.015077
2.820,139.240,0.015784
2.830,69.557,0.078810
2.840,62.382,0.114972
2.850,58.687,0.027356
2.860,177.738,0.099901
2.870,179.380,0.093637
2.880,682.169,0.121029
2.890,684.903,0.371392
2.900,226.802,0.550103
2.910,226.616,0.525314
2.920,226.590,0.446939
2.930,225.636,0.391461
2.940,341.554,0.591844
2.950,342.158,0.572793
2.960,342.926,0.720096
2.970,343.610,0.670853
2.980,115.592,0.717250
2.990,116.814,0.412147
3.000,345.560,0.079330
3.010,345.393,0.364282
3.020,352.146,0.054357
3.030,32.209,0.041235
3.040,33.990,0.088438
3.050,41.094,0.107956
3.060,41.048,0.234428
3.070,40.584,0.095260
3.080,226.217,0.075193
3.090,56.689,0.130631
3.100,56.968,0.391640
3.110,57.180,0.330338
3.120,286.173,0.261382
3.130,226.534,0.524437
3.140,227.442,0.393579
3.150,227.979,0.532192
3.160,228.296,0.427585
3.170,579.695,0.226447
3.180,32.559,0.049309
3.190,32.526,0.062844
3.200,32.163,0.181931
3.210,55.516,0.112131
3.220,56.185,0.508411
3.230,56.957,0.812691
3.240,56.663,0.849718
3.250,56.578,0.855160
3.260,56.479,0.873068
3.270,56.488,0.850081
3.280,56.692,0.834295
3.290,56.859,0.694673
3.300,57.151,0.553666
3.310,57.872,0.128139
3.320,38.117,0.078441
3.330,38.446,0.289973
3.340,38.617,0.359537
3.350,38.041,0.012904
3.360,151.013,0.129005
3.370,152.539,0.163156
3.380,152.816,0.226515
3.390,152.367,0.469702
3.400,151.426,0.326742
3.410,151.328,0.316420
3.420,152.254,0.225265
3.430,153.440,0.335499
3.440,303.612,0.354745
3.450,302.477,0.577353
3.460,301.342,0.431109
3.470,305.546,0.251920
3.480,77.538,0.129189
3.490,38.580,0.115677
3.500,155.673,0.141411
3.510,155.490,0.121939
3.520,155.456,0.255422
3.530,153.870,0.250048
3.540,38.520,0.213052
3.550,152.435,0.368979
3.560,152.047,0.335435
3.570,154.059,0.151792
3.580,156.269,0.037740
3.590,39.312,0.088234
3.600,1175.456,0.055714
3.610,1197.854,0.008081
3.620,34.155,0.118205
3.630,32.624,0.024778
3.640,44.741,0.003834
3.650,985.926,0.013230
3.660,153.934,0.096347
3.670,78.549,0.061491
3.680,77.889,0.129269
3.690,76.798,0.331912
3.700,76.486,0.525435
3.710,76.617,0.564162
3.720,76.700,0.440574
3.730,76.858,0.294447
3.740,37.747,0.255054
3.750,37.784,0.248978
3.760,37.586,0.202294
3.770,37.754,0.440559
3.780,37.802,0.498772
3.790,37.974,0.445064
3.800,37.705,0.344037
3.810,37.109,0.106066
3.820,228.271,0.168007
3.830,227.837,0.218093
3.840,37.477,0.149591
3.850,38.057,0.123281
3.860,38.179,0.219481
3.870,38.339,0.485968
3.880,38.157,0.408157
3.890,38.329,0.712589
3.900,116.774,0.054506
3.910,118.209,0.065828
3.920,98.260,0.047443
3.930,114.553,0.083351
3.940,114.209,0.078122
3.950,37.833,0.040285
3.960,36.981,0.113603
3.970,36.984,0.386131
3.980,132.057,0.102865
3.990,129.273,0.088701
4.000,98.782,0.056066
4.010,635.705,0.027939
4.020,99.176,0.059485
4.030,203.129,0.030725
4.040,135.426,0.011543
4.050,140.873,0.023298
4.060,153.272,0.102481
4.070,32.098,0.013669
4.080,180.960,0.004794
4.090,93.038,0.079706
4.100,93.615,0.069029
4.110,31.997,0.047659
4.120,456.494,0.043596
