time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,1959.623,0.020371
0.550,1959.621,0.020384
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.616,0.020408
0.610,1959.612,0.020403
0.620,1959.613,0.020394
0.630,1959.610,0.020383
0.640,1959.613,0.020385
0.650,1959.611,0.020386
0.660,1959.614,0.020401
0.670,1959.612,0.020407
0.680,1959.613,0.020408
0.690,1959.614,0.020399
0.700,1959.619,0.020408
0.710,1959.617,0.020408
0.720,1959.617,0.020408
0.730,1959.617,0.020408
0.740,555.360,0.058546
0.750,587.602,0.053276
0.760,596.712,0.061964
0.770,649.328,0.069605
0.780,651.643,0.083023
0.790,578.686,0.090965
0.800,577.833,0.188082
0.810,584.487,0.059880
0.820,1173.218,0.034508
0.830,32.731,0.027737
0.840,1218.498,0.025775
0.850,1237.718,0.014328
0.860,1230.672,0.020971
0.870,662.369,0.017987
0.880,969.727,0.045871
0.890,978.737,0.028390
0.900,652.202,0.052722
0.910,653.158,0.124085
0.920,651.316,0.067141
0.930,597.857,0.093217
0.940,591.108,0.045402
0.950,590.594,0.059199
0.960,1739.579,0.035892
0.970,588.467,0.051746
0.980,595.589,0.076474
0.990,648.148,0.058158
1.000,277.755,0.053383
1.010,162.505,0.052507
1.020,32.973,0.033027
1.030,1847.415,0.011694
1.040,32.296,0.009747
1.050,1968.314,0.009763
1.060,1975.007,0.010570
1.070,1181.590,0.012523
1.080,1030.959,0.015014
1.090,660.476,0.035933
1.100,554.671,0.172270
1.110,144.924,0.077156
1.120,1198.596,0.008487
1.130,32.528,0.006720
1.140,32.555,0.005686
1.150,131.050,0.017160
1.160,593.574,0.011961
1.170,590.550,0.023251
1.180,1183.859,0.043260
1.190,989.070,0.020065
1.200,32.313,0.033453
1.210,217.612,0.023370
1.220,204.590,0.033713
