time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1958.072,0.015129
0.220,1958.078,0.015127
0.230,1958.082,0.015126
0.240,1958.080,0.015122
0.250,1958.080,0.015125
0.260,1958.080,0.015125
0.270,1958.080,0.015125
0.280,1958.080,0.015125
0.290,1958.080,0.015126
0.300,1958.083,0.015138
0.310,1958.083,0.015147
0.320,1958.085,0.015150
0.330,1958.085,0.015150
0.340,1958.091,0.015148
0.350,1958.091,0.015155
0.360,1958.089,0.015147
0.370,1958.084,0.015136
0.380,1958.073,0.015115
0.390,1958.083,0.015108
0.400,1958.084,0.015110
0.410,1958.067,0.015125
0.420,1958.058,0.015132
0.430,1958.049,0.015136
0.440,1958.030,0.015118
0.450,1958.016,0.015107
0.460,1958.014,0.015058
0.470,1958.023,0.015052
0.480,1958.032,0.015046
0.490,1958.033,0.015039
0.500,1958.037,0.015049
0.510,1958.037,0.015059
0.520,1958.037,0.015059
0.530,1958.034,0.015055
0.540,1958.034,0.015056
0.550,1958.033,0.015063
0.560,1958.031,0.015068
0.570,1958.032,0.015072
0.580,1958.028,0.015070
0.590,1958.030,0.015071
0.600,1958.024,0.015078
0.610,1958.022,0.015078
0.620,1958.026,0.015066
0.630,1958.019,0.015066
0.640,1958.015,0.015073
0.650,1958.014,0.015066
0.660,1958.018,0.015079
0.670,1958.012,0.015084
0.680,1958.010,0.015085
0.690,1958.011,0.015081
0.700,1958.011,0.015079
0.710,1958.011,0.015083
0.720,1958.011,0.015083
0.730,1958.011,0.015083
0.740,1035.453,0.042475
0.750,1052.594,0.015336
0.760,32.653,0.031919
0.770,32.422,0.034677
0.780,1160.861,0.022666
0.790,283.300,0.180963
0.800,284.988,0.361841
0.810,280.071,0.415102
0.820,273.432,0.173174
0.830,45.236,0.096051
0.840,45.214,0.285552
0.850,44.625,0.033975
0.860,175.657,0.020690
0.870,176.651,0.114619
0.880,133.156,0.084726
0.890,65.508,0.244245
0.900,33.248,0.193079
0.910,267.249,0.266843
0.920,266.776,0.288757
0.930,33.469,0.294148
0.940,32.979,0.213422
0.950,262.789,0.172386
0.960,263.747,0.142246
0.970,33.013,0.013689
0.980,38.503,0.013392
0.990,37.689,0.105267
1.000,33.187,0.090386
1.010,32.878,0.285075
1.020,32.836,0.140428
1.030,66.323,0.180093
1.040,66.347,0.774616
1.050,66.577,0.703956
1.060,66.803,0.733157
1.070,66.190,0.724042
1.080,66.184,0.293866
1.090,269.498,0.147425
1.100,195.887,0.034470
1.110,32.925,0.065199
1.120,33.078,0.105804
1.130,165.029,0.083820
1.140,401.161,0.147256
1.150,33.579,0.146031
1.160,400.387,0.200356
1.170,33.008,0.016513
1.180,54.876,0.010121
1.190,398.999,0.073448
1.200,399.459,0.505740
1.210,401.505,0.813984
1.220,401.339,0.867173
1.230,400.360,0.802570
1.240,400.331,0.639167
1.250,399.319,0.450290
1.260,298.576,0.298331
1.270,321.589,0.215636
1.280,322.633,0.142100
1.290,323.743,0.240128
1.300,318.835,0.186526
1.310,288.243,0.041744
1.320,132.598,0.078636
1.330,134.799,0.370663
1.340,136.969,0.643597
1.350,135.042,0.522613
1.360,133.167,0.361678
1.370,264.697,0.167178
1.380,265.386,0.157679
1.390,243.223,0.047734
1.400,127.012,0.153322
1.410,32.853,0.038014
1.420,933.520,0.011872
1.430,40.639,0.015147
1.440,32.444,0.003190
1.450,32.766,0.035549
1.460,990.133,0.014894
1.470,1926.898,0.006660
1.480,32.789,0.010941
1.490,32.877,0.036919
1.500,33.319,0.795177
1.510,33.268,0.802171
1.520,33.007,0.532611
1.530,33.511,0.499532
1.540,33.334,0.461822
1.550,33.052,0.551253
1.560,32.957,0.571187
1.570,33.280,0.390211
1.580,33.102,0.362171
1.590,33.195,0.312278
1.600,33.198,0.550566
1.610,33.227,0.585315
1.620,33.430,0.584595
1.630,33.572,0.480762
1.640,33.279,0.396795
1.650,33.353,0.725188
1.660,33.274,0.402891
1.670,274.247,0.287123
1.680,286.301,0.235494
1.690,1052.388,0.041918
1.700,32.500,0.022102
1.710,32.145,0.018006
1.720,32.300,0.013233
1.730,33.533,0.017539
1.740,34.640,0.008575
1.750,58.534,0.009343
1.760,969.673,0.023451
1.770,43.701,0.008344
1.780,33.492,0.019611
1.790,54.346,0.087855
1.800,1205.934,0.005263
1.810,39.517,0.032220
1.820,1209.963,0.013683
1.830,32.994,0.050454
1.840,33.015,0.454432
1.850,43.774,0.044657
1.860,44.527,0.012827
1.870,33.300,0.066300
1.880,33.293,0.074717
1.890,33.178,0.061977
1.900,402.843,0.155670
1.910,200.438,0.074789
1.920,33.770,0.455357
1.930,33.261,0.530324
1.940,33.165,0.120794
1.950,195.563,0.172269
1.960,270.282,0.113653
1.970,269.485,0.106783
1.980,268.332,0.028882
1.990,1316.469,0.012191
2.000,32.922,0.020940
2.010,177.395,0.014635
2.020,64.318,0.024466
2.030,177.979,0.044390
2.040,174.454,0.068345
2.050,527.670,0.042947
2.060,535.642,0.315681
2.070,536.720,0.319658
2.080,536.164,0.397279
2.090,532.958,0.129761
2.100,65.714,0.331815
2.110,65.602,0.450634
2.120,65.444,0.481795
2.130,65.189,0.186227
2.140,66.240,0.159941
2.150,66.858,0.712517
2.160,66.623,0.823020
2.170,66.385,0.762250
2.180,66.815,0.780274
2.190,66.887,0.848025
2.200,66.920,0.852720
2.210,66.890,0.814013
2.220,67.095,0.845327
2.230,67.139,0.805525
2.240,67.510,0.586580
2.250,67.937,0.464806
2.260,1034.555,0.036758
2.270,859.984,0.011709
2.280,32.493,0.039894
2.290,32.505,0.036850
2.300,32.899,0.011761
2.310,1179.064,0.014645
2.320,1184.247,0.025537
2.330,1845.493,0.040624
2.340,1857.076,0.037781
2.350,336.801,0.010365
2.360,338.260,0.021060
2.370,339.004,0.043793
2.380,67.210,0.084741
2.390,66.573,0.082935
2.400,33.461,0.006724
2.410,36.219,0.005578
2.420,804.862,0.009876
2.430,1622.529,0.007694
2.440,536.946,0.070528
2.450,395.348,0.072987
2.460,78.292,0.008348
2.470,1737.832,0.024532
2.480,1777.932,0.023649
2.490,1793.544,0.014812
2.500,140.806,0.007371
2.510,269.953,0.007480
2.520,333.312,0.024255
2.530,936.283,0.048376
2.540,1976.827,0.092941
2.550,1064.320,0.075378
2.560,290.482,0.138475
2.570,160.631,0.090689
2.580,158.969,0.046681
2.590,54.017,0.084148
2.600,153.893,0.025695
2.610,153.719,0.018169
2.620,1056.189,0.010334
2.630,1181.796,0.035543
2.640,1197.614,0.014373
2.650,1859.223,0.033589
2.660,34.117,0.043372
2.670,33.086,0.050516
2.680,873.314,0.025323
2.690,937.926,0.008979
2.700,899.200,0.024645
2.710,892.785,0.072028
2.720,889.992,0.096685
2.730,885.587,0.046231
2.740,398.829,0.078102
2.750,163.625,0.122794
2.760,163.479,0.039455
2.770,79.992,0.039247
2.780,158.092,0.122627
2.790,157.653,0.057162
2.800,1036.639,0.065203
2.810,592.163,0.114880
2.820,32.723,0.033166
2.830,33.376,0.152668
2.840,33.872,0.077067
2.850,140.483,0.140262
2.860,32.864,0.049329
2.870,32.990,0.161030
2.880,41.122,0.021009
2.890,40.960,0.021737
2.900,35.334,0.002047
2.910,34.218,0.005285
2.920,996.727,0.024825
2.930,990.230,0.005151
2.940,41.421,0.251151
2.950,41.878,0.082154
2.960,38.296,0.039675
2.970,45.285,0.033639
2.980,119.098,0.003798
2.990,34.027,0.411557
3.000,34.073,0.102446
3.010,35.264,0.029223
3.020,50.369,0.040656
3.030,354.243,0.070611
3.040,32.301,0.028296
3.050,32.211,0.021327
3.060,32.194,0.083889
3.070,32.169,0.029948
3.080,321.262,0.007029
3.090,1796.410,0.013068
3.100,33.281,0.008762
3.110,38.051,0.053718
3.120,38.449,0.051709
3.130,32.839,0.021949
3.140,32.791,0.039523
3.150,350.326,0.050480
3.160,184.668,0.058478
3.170,33.429,0.079569
3.180,33.391,0.053722
3.190,33.663,0.085363
3.200,32.869,0.013235
3.210,32.142,0.041996
3.220,124.591,0.016957
3.230,117.954,0.011450
3.240,117.807,0.254840
3.250,118.602,0.108530
3.260,401.860,0.017893
3.270,44.351,0.029569
3.280,32.056,0.057004
3.290,32.045,0.017956
3.300,32.148,0.030662
3.310,54.939,0.044697
3.320,54.628,0.043276
3.330,54.716,0.020277
3.340,85.301,0.009670
3.350,177.666,0.046048
3.360,176.692,0.397818
3.370,176.607,0.738659
3.380,44.018,0.444653
3.390,177.360,0.751640
3.400,177.974,0.627382
3.410,177.895,0.535929
3.420,177.015,0.445879
3.430,177.085,0.145428
3.440,167.594,0.062624
3.450,143.540,0.060649
3.460,32.551,0.079589
3.470,33.488,0.099541
3.480,33.327,0.020610
3.490,50.333,0.099162
3.500,1210.024,0.013980
3.510,661.253,0.008007
3.520,44.382,0.039921
3.530,401.082,0.063373
3.540,401.846,0.140169
3.550,85.639,0.142073
3.560,401.481,0.197968
3.570,44.394,0.057135
3.580,401.348,0.117041
3.590,89.686,0.061764
3.600,88.685,0.360756
3.610,282.852,0.121302
3.620,81.102,0.067917
3.630,32.333,0.263475
3.640,32.611,0.257918
3.650,35.859,0.049796
3.660,44.210,0.121635
3.670,44.296,0.165602
3.680,44.761,0.816947
3.690,44.720,0.831271
3.700,44.353,0.831088
3.710,44.593,0.671004
3.720,44.400,0.200534
3.730,577.059,0.153007
3.740,578.738,0.136364
3.750,32.588,0.028632
3.760,50.821,0.022566
3.770,56.235,0.019571
3.780,57.483,0.025368
3.790,65.133,0.016668
3.800,32.319,0.006989
3.810,1169.631,0.008409
3.820,1182.781,0.007827
3.830,1217.338,0.005216
3.840,1319.330,0.013931
3.850,884.977,0.008467
3.860,35.278,0.038828
3.870,50.268,0.018571
3.880,50.242,0.199054
3.890,49.663,0.030540
3.900,49.154,0.004465
3.910,141.242,0.007795
3.920,51.329,0.262430
3.930,134.879,0.157663
3.940,267.141,0.356483
3.950,33.210,0.026699
3.960,38.214,0.009987
3.970,37.344,0.036985
3.980,45.121,0.230563
3.990,44.993,0.165673
4.000,175.737,0.025464
4.010,32.234,0.157284
4.020,32.145,0.065355
4.030,264.911,0.111277
4.040,278.827,0.077243
4.050,32.641,0.227592
4.060,33.023,0.075471
4.070,45.749,0.031563
4.080,114.562,0.009757
4.090,396.712,0.021174
4.100,32.475,0.014394
