time,frequency,confidence
0.000,646.869,0.069117
0.010,647.816,0.097041
0.020,288.162,0.037491
0.030,546.959,0.057395
0.040,43.007,0.777360
0.050,43.050,0.763839
0.060,42.822,0.736637
0.070,43.033,0.785575
0.080,42.792,0.759042
0.090,42.896,0.785954
0.100,42.850,0.789068
0.110,42.929,0.769154
0.120,42.987,0.793191
0.130,42.791,0.736859
0.140,43.100,0.799886
0.150,42.957,0.740496
0.160,42.961,0.769777
0.170,42.859,0.778608
0.180,42.825,0.759720
0.190,42.882,0.814785
0.200,42.713,0.729689
0.210,43.003,0.792628
0.220,42.939,0.751493
0.230,42.970,0.787287
0.240,42.887,0.773620
0.250,42.883,0.748145
0.260,43.052,0.797639
0.270,42.892,0.725090
0.280,42.897,0.784487
0.290,42.838,0.741686
0.300,42.911,0.796902
0.310,42.858,0.787317
0.320,42.896,0.753515
0.330,42.988,0.790406
0.340,42.947,0.748583
0.350,42.885,0.781463
0.360,42.917,0.714027
0.370,42.960,0.774839
0.380,42.875,0.780641
0.390,42.832,0.761224
0.400,42.725,0.800757
0.410,42.817,0.750252
0.420,42.863,0.797216
0.430,42.888,0.737864
0.440,43.031,0.783808
0.450,42.951,0.779361
0.460,43.018,0.783760
0.470,42.871,0.773277
0.480,42.854,0.725305
0.490,42.872,0.782198
0.500,42.847,0.741307
0.510,42.910,0.770606
0.520,42.791,0.782893
0.530,42.898,0.736689
0.540,42.821,0.742509
0.550,43.257,0.644611
0.560,44.046,0.687208
0.570,43.174,0.047459
0.580,40.106,0.425578
0.590,39.811,0.554346
0.600,32.254,0.060856
0.610,54.783,0.047577
0.620,108.977,0.076340
0.630,591.336,0.055650
0.640,1958.016,0.015082
0.650,1041.284,0.013256
0.660,658.726,0.062283
0.670,647.133,0.104343
0.680,648.287,0.115783
0.690,574.178,0.187176
0.700,580.260,0.223565
0.710,32.470,0.051009
0.720,32.426,0.021567
0.730,664.521,0.021818
0.740,672.244,0.015048
0.750,659.211,0.035382
0.760,1024.688,0.040737
0.770,1168.260,0.029776
0.780,1023.737,0.020349
0.790,943.273,0.026771
0.800,241.072,0.045709
0.810,240.986,0.103784
0.820,240.166,0.122085
0.830,241.531,0.115792
0.840,220.647,0.043514
0.850,1162.715,0.015855
0.860,332.268,0.060635
0.870,195.034,0.279503
0.880,196.750,0.354373
0.890,401.761,0.100001
0.900,404.430,0.118507
0.910,58.114,0.106986
0.920,80.722,0.231365
0.930,81.475,0.096705
0.940,598.913,0.034816
0.950,661.528,0.248947
0.960,574.418,0.078034
0.970,659.051,0.045687
0.980,1031.215,0.037872
0.990,241.616,0.035642
1.000,993.537,0.019711
1.010,662.892,0.029018
1.020,662.972,0.072763
1.030,649.971,0.055784
1.040,1018.977,0.084513
1.050,1034.969,0.019051
1.060,130.185,0.039047
1.070,132.486,0.036676
1.080,134.124,0.040759
1.090,209.247,0.264565
1.100,208.603,0.060169
1.110,1757.004,0.037224
1.120,1800.480,0.076956
1.130,1836.774,0.082905
1.140,1824.712,0.043574
1.150,301.024,0.179120
1.160,99.080,0.092011
1.170,289.591,0.024420
1.180,32.172,0.007316
1.190,1231.500,0.006774
1.200,1152.708,0.026634
1.210,160.977,0.041952
1.220,178.221,0.017637
1.230,325.184,0.175532
1.240,32.563,0.111052
1.250,32.406,0.110996
1.260,32.925,0.013101
1.270,33.098,0.020923
1.280,34.049,0.022931
1.290,1322.492,0.008767
1.300,51.205,0.020513
1.310,1315.667,0.006707
1.320,712.339,0.006435
1.330,1042.409,0.016714
1.340,1324.238,0.033513
1.350,975.019,0.005601
1.360,1329.470,0.013253
1.370,36.076,0.012607
1.380,1982.138,0.043851
1.390,1973.316,0.023670
1.400,1929.738,0.027836
1.410,1861.093,0.035513
1.420,1867.522,0.009118
1.430,32.248,0.027297
1.440,32.120,0.017464
1.450,50.780,0.034831
1.460,32.119,0.040706
1.470,190.384,0.071368
1.480,36.262,0.146172
1.490,236.735,0.097042
1.500,236.187,0.347719
1.510,234.264,0.397815
1.520,221.903,0.138750
1.530,357.477,0.274799
1.540,361.914,0.361752
1.550,367.607,0.536748
1.560,368.495,0.408361
1.570,368.904,0.667823
1.580,370.122,0.837545
1.590,370.457,0.873676
1.600,369.767,0.801783
1.610,369.958,0.871573
1.620,369.199,0.883083
1.630,368.228,0.879151
1.640,369.228,0.833569
1.650,368.846,0.801943
1.660,369.008,0.704151
1.670,367.689,0.750540
1.680,368.602,0.690191
1.690,368.627,0.438945
1.700,368.827,0.331462
1.710,369.097,0.539775
1.720,370.071,0.648570
1.730,369.339,0.740849
1.740,369.573,0.792503
1.750,369.029,0.846779
1.760,369.131,0.784392
1.770,369.505,0.796355
1.780,370.264,0.798712
1.790,372.277,0.759610
1.800,372.042,0.700938
1.810,370.299,0.759858
1.820,368.754,0.415102
1.830,368.118,0.442090
1.840,439.751,0.716349
1.850,439.763,0.845089
1.860,440.207,0.909964
1.870,440.775,0.940717
1.880,440.517,0.932692
1.890,439.774,0.931644
1.900,440.447,0.946097
1.910,440.863,0.947132
1.920,439.907,0.931507
1.930,439.699,0.924119
1.940,439.979,0.915869
1.950,439.960,0.892784
1.960,439.634,0.796773
1.970,439.641,0.810245
1.980,438.631,0.810301
1.990,438.041,0.810488
2.000,438.689,0.808371
2.010,439.942,0.687529
2.020,439.884,0.328086
2.030,484.242,0.338700
2.040,366.320,0.327558
2.050,367.196,0.180209
2.060,35.772,0.048821
2.070,32.816,0.032985
2.080,44.884,0.076403
2.090,44.322,0.194878
2.100,33.888,0.050501
2.110,33.957,0.134846
2.120,45.542,0.032348
2.130,46.129,0.278014
2.140,46.525,0.165328
2.150,33.101,0.112941
2.160,33.491,0.105330
2.170,35.592,0.042839
2.180,33.996,0.342107
2.190,33.910,0.513736
2.200,34.575,0.041817
2.210,1686.579,0.027735
2.220,34.506,0.041738
2.230,50.400,0.076142
2.240,1171.445,0.042335
2.250,1171.623,0.040493
2.260,41.495,0.039969
2.270,33.291,0.032227
2.280,33.250,0.244374
2.290,166.174,0.086809
2.300,330.817,0.096815
2.310,46.725,0.131405
2.320,32.689,0.073300
2.330,32.369,0.029095
2.340,1972.616,0.039648
2.350,32.330,0.011403
2.360,1963.645,0.007414
2.370,1966.434,0.010910
2.380,1960.767,0.057413
2.390,1958.061,0.029588
2.400,1942.223,0.022344
2.410,367.247,0.072984
2.420,368.319,0.169052
2.430,369.723,0.126695
2.440,371.334,0.158396
2.450,372.898,0.180190
2.460,371.926,0.200291
2.470,370.855,0.248250
2.480,371.152,0.145155
2.490,369.287,0.170448
2.500,369.856,0.155319
2.510,367.518,0.247705
2.520,366.132,0.380627
2.530,366.045,0.251292
2.540,364.999,0.258214
2.550,364.547,0.083625
2.560,32.769,0.121118
2.570,331.801,0.026033
2.580,337.809,0.060687
2.590,33.109,0.069222
2.600,394.218,0.037148
2.610,589.790,0.057784
2.620,126.701,0.065491
2.630,116.515,0.040776
2.640,57.060,0.238728
2.650,56.523,0.040269
2.660,116.107,0.013422
2.670,242.215,0.102439
2.680,657.005,0.052715
2.690,655.140,0.041274
2.700,943.152,0.057757
2.710,373.787,0.253109
2.720,371.882,0.268399
2.730,373.598,0.115529
2.740,370.143,0.270673
2.750,368.618,0.082166
2.760,41.136,0.114666
2.770,367.217,0.110618
2.780,368.032,0.320315
2.790,373.112,0.414676
2.800,374.124,0.250603
2.810,372.457,0.456676
2.820,373.649,0.475767
2.830,378.848,0.255133
2.840,393.436,0.092849
2.850,331.900,0.078732
2.860,289.234,0.151044
2.870,320.836,0.097191
2.880,323.121,0.037855
2.890,1860.672,0.020261
2.900,1846.002,0.022240
2.910,1239.570,0.010434
2.920,1857.569,0.010790
2.930,146.276,0.032802
2.940,1198.640,0.012623
2.950,1974.352,0.004438
2.960,80.307,0.010306
2.970,80.012,0.030244
2.980,1242.595,0.021755
2.990,1722.666,0.018468
3.000,228.786,0.071834
3.010,228.718,0.178644
3.020,1852.193,0.030614
3.030,365.969,0.176811
3.040,364.000,0.249014
3.050,365.790,0.165267
3.060,363.860,0.049768
3.070,367.191,0.148771
3.080,367.587,0.267006
3.090,327.078,0.204157
3.100,1860.525,0.188383
3.110,231.245,0.120640
3.120,144.349,0.057670
3.130,868.411,0.018107
3.140,32.787,0.031507
3.150,1797.883,0.005169
3.160,1792.371,0.008098
3.170,1027.117,0.036669
3.180,699.599,0.057355
3.190,699.116,0.108238
3.200,698.568,0.066236
3.210,940.031,0.059852
3.220,1174.420,0.027438
3.230,32.265,0.025864
3.240,32.243,0.016012
3.250,32.243,0.016897
3.260,32.181,0.020559
3.270,1833.091,0.033634
3.280,32.068,0.027881
3.290,32.156,0.011388
3.300,32.224,0.017642
