time,frequency,confidence
0.000,603.585,0.061235
0.010,656.913,0.085563
0.020,663.120,0.057310
0.030,675.221,0.040608
0.040,43.011,0.902273
0.050,42.854,0.887304
0.060,43.018,0.881908
0.070,43.004,0.889942
0.080,42.978,0.876494
0.090,42.984,0.890501
0.100,42.803,0.871068
0.110,43.014,0.906513
0.120,42.804,0.898122
0.130,42.912,0.867273
0.140,42.980,0.880113
0.150,42.956,0.873270
0.160,43.051,0.913896
0.170,42.984,0.852539
0.180,43.078,0.906461
0.190,42.777,0.892739
0.200,42.964,0.878774
0.210,42.915,0.876811
0.220,42.968,0.877785
0.230,43.015,0.914400
0.240,42.941,0.841349
0.250,42.970,0.886614
0.260,42.756,0.881018
0.270,43.007,0.893503
0.280,42.977,0.884139
0.290,42.941,0.850371
0.300,42.931,0.870880
0.310,43.019,0.809808
0.320,42.944,0.854098
0.330,42.814,0.854534
0.340,42.996,0.825899
0.350,42.346,0.694696
0.360,42.680,0.774700
0.370,42.930,0.854015
0.380,43.073,0.860444
0.390,43.380,0.734013
0.400,43.958,0.572312
0.410,43.151,0.636582
0.420,42.023,0.777541
0.430,42.488,0.635511
0.440,42.595,0.316387
0.450,42.641,0.289256
0.460,41.893,0.406846
0.470,42.337,0.606291
0.480,42.893,0.692273
0.490,42.838,0.677859
0.500,42.279,0.496846
0.510,40.967,0.566482
0.520,43.165,0.211329
0.530,45.155,0.434847
0.540,45.737,0.745352
0.550,42.899,0.306304
0.560,41.793,0.594132
0.570,41.881,0.485155
0.580,44.338,0.310575
0.590,44.152,0.489351
0.600,44.180,0.741657
0.610,43.985,0.509111
0.620,43.208,0.213056
0.630,41.612,0.370083
0.640,42.314,0.444082
0.650,43.136,0.637029
0.660,43.248,0.703397
0.670,42.999,0.656760
0.680,42.970,0.637567
0.690,43.426,0.654075
0.700,43.930,0.613962
0.710,43.246,0.640838
0.720,43.023,0.592193
0.730,42.699,0.575386
0.740,42.982,0.592125
0.750,42.626,0.661587
0.760,42.703,0.539344
0.770,42.833,0.370563
0.780,43.136,0.232274
0.790,43.710,0.423750
0.800,43.322,0.425164
0.810,42.863,0.426212
0.820,42.737,0.321640
0.830,40.026,0.065085
0.840,44.074,0.149088
0.850,44.351,0.320089
0.860,43.664,0.562339
0.870,1170.731,0.025983
0.880,594.199,0.108119
0.890,594.433,0.069496
0.900,594.929,0.071263
0.910,592.264,0.089046
0.920,595.760,0.071873
0.930,597.934,0.081093
0.940,656.773,0.102328
0.950,664.766,0.038775
0.960,690.386,0.135367
0.970,234.276,0.069190
0.980,1024.542,0.021383
0.990,663.969,0.076374
1.000,234.378,0.069096
1.010,450.699,0.159775
1.020,33.402,0.137953
1.030,33.845,0.303212
1.040,34.726,0.574189
1.050,35.081,0.468026
1.060,35.051,0.114850
1.070,36.271,0.414535
1.080,35.927,0.384188
1.090,35.637,0.023166
1.100,42.105,0.549097
1.110,42.188,0.159166
1.120,36.869,0.237806
1.130,36.879,0.772971
1.140,36.757,0.837025
1.150,36.582,0.475269
1.160,35.723,0.194434
1.170,34.351,0.397929
1.180,33.346,0.564142
1.190,457.685,0.099780
1.200,457.946,0.177149
1.210,38.473,0.109957
1.220,32.551,0.071856
1.230,37.541,0.412287
1.240,37.459,0.602618
1.250,37.473,0.596830
1.260,37.995,0.145150
1.270,37.579,0.361157
1.280,184.879,0.083625
1.290,36.436,0.366061
1.300,37.179,0.321121
1.310,37.364,0.378318
1.320,37.447,0.497087
1.330,37.602,0.684210
1.340,37.716,0.785731
1.350,37.705,0.752842
1.360,37.359,0.560335
1.370,37.240,0.739573
1.380,36.877,0.808210
1.390,36.961,0.637801
1.400,37.623,0.616458
1.410,37.229,0.582943
1.420,36.836,0.765447
1.430,36.881,0.921783
1.440,36.874,0.798145
1.450,36.783,0.825481
1.460,37.205,0.791196
1.470,37.082,0.763583
1.480,36.936,0.726866
1.490,37.154,0.632237
1.500,36.816,0.585917
1.510,36.970,0.498785
1.520,37.063,0.795884
1.530,37.360,0.434572
1.540,148.121,0.122425
1.550,145.101,0.081650
1.560,38.344,0.239751
1.570,44.679,0.064158
1.580,45.529,0.039677
1.590,32.812,0.096702
1.600,297.119,0.086336
1.610,597.230,0.114873
1.620,593.768,0.067249
1.630,592.259,0.055941
1.640,593.478,0.069293
1.650,596.161,0.161756
1.660,151.747,0.065828
1.670,151.032,0.185673
1.680,153.431,0.110786
1.690,290.015,0.093279
1.700,37.188,0.628551
1.710,36.874,0.429719
1.720,32.458,0.019985
1.730,1175.276,0.023988
1.740,1181.118,0.058310
1.750,299.579,0.430472
1.760,299.849,0.346238
1.770,298.338,0.125383
1.780,299.916,0.256082
1.790,36.897,0.149134
1.800,36.712,0.125217
1.810,1221.199,0.114899
1.820,36.752,0.544445
1.830,36.841,0.759133
1.840,37.008,0.162887
1.850,37.248,0.097834
1.860,37.103,0.152907
1.870,36.689,0.013385
1.880,124.477,0.025284
1.890,179.782,0.020955
1.900,32.005,0.024063
1.910,62.313,0.441387
1.920,62.275,0.314554
1.930,61.993,0.197413
