time,frequency,confidence
0.000,646.844,0.069158
0.010,647.736,0.097198
0.020,288.184,0.038103
0.030,546.645,0.055504
0.040,1260.712,0.017903
0.050,1262.264,0.017828
0.060,1262.152,0.019085
0.070,1262.526,0.018410
0.080,1260.713,0.017901
0.090,1262.263,0.017830
0.100,1262.154,0.019087
0.110,1262.528,0.018408
0.120,1260.713,0.017903
0.130,1262.265,0.017831
0.140,1262.150,0.019087
0.150,1262.531,0.018410
0.160,1260.523,0.017894
0.170,1262.271,0.017837
0.180,1262.154,0.019089
0.190,1262.536,0.018394
0.200,1260.520,0.017888
0.210,1262.272,0.017836
0.220,1262.158,0.019094
0.230,1262.539,0.018398
0.240,1260.523,0.017888
0.250,1262.272,0.017828
0.260,1262.153,0.019097
0.270,1262.541,0.018405
0.280,1260.522,0.017895
0.290,1262.271,0.017836
0.300,1262.157,0.019107
0.310,1262.547,0.018409
0.320,1260.524,0.017896
0.330,1262.278,0.017840
0.340,1262.166,0.019101
0.350,1262.545,0.018404
0.360,1260.525,0.017895
0.370,1262.269,0.017831
0.380,1262.158,0.019109
0.390,1262.537,0.018414
0.400,1260.522,0.017895
0.410,1262.270,0.017819
0.420,1262.153,0.019092
0.430,1262.535,0.018413
0.440,1280.883,0.019081
0.450,1097.214,0.112694
0.460,275.814,0.083495
0.470,43.528,0.043031
0.480,43.848,0.053772
0.490,34.257,0.076119
0.500,34.998,0.121053
0.510,34.992,0.136810
0.520,34.965,0.090605
0.530,49.289,0.034855
0.540,48.580,0.034425
0.550,1598.633,0.020142
0.560,48.235,0.048027
0.570,48.639,0.067041
0.580,48.683,0.036662
0.590,32.986,0.025659
0.600,32.970,0.094707
0.610,32.684,0.097461
0.620,32.159,0.019241
0.630,1610.171,0.020924
0.640,1644.319,0.054443
0.650,34.052,0.036788
0.660,34.374,0.213547
0.670,49.537,0.067181
0.680,48.788,0.048464
0.690,38.214,0.006000
0.700,54.868,0.007472
0.710,1850.998,0.013222
0.720,32.375,0.012383
0.730,595.227,0.101008
0.740,597.196,0.089162
0.750,597.441,0.082384
0.760,652.873,0.101435
0.770,661.928,0.086805
0.780,590.498,0.042148
0.790,1957.596,0.014533
0.800,1075.309,0.050021
0.810,551.286,0.300308
0.820,580.850,0.291558
0.830,324.749,0.092183
0.840,1705.189,0.027416
0.850,1724.691,0.023730
0.860,1844.469,0.007957
0.870,1878.467,0.006794
0.880,1927.272,0.008010
0.890,987.292,0.001995
0.900,1158.947,0.008371
0.910,54.218,0.057844
0.920,53.599,0.306550
0.930,160.826,0.172182
0.940,52.635,0.738825
0.950,52.111,0.883074
0.960,51.881,0.891531
0.970,51.632,0.845548
0.980,51.472,0.875250
0.990,51.230,0.734815
1.000,51.324,0.725764
1.010,51.586,0.471089
1.020,50.962,0.133896
1.030,54.075,0.005157
1.040,49.488,0.032171
1.050,50.484,0.018243
1.060,51.373,0.231824
1.070,51.838,0.357447
