time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,351.685,0.166408
0.550,544.778,0.184119
0.560,161.716,0.061045
0.570,32.559,0.147316
0.580,154.871,0.078088
0.590,155.222,0.048799
0.600,32.182,0.014922
0.610,211.853,0.034181
0.620,106.260,0.066516
0.630,53.211,0.148956
0.640,317.451,0.106546
0.650,53.201,0.432103
0.660,53.027,0.878186
0.670,52.919,0.832479
0.680,53.030,0.822004
0.690,52.844,0.812684
0.700,53.009,0.874036
0.710,52.731,0.874241
0.720,52.836,0.902495
0.730,52.710,0.852132
0.740,52.810,0.877463
0.750,52.649,0.847633
0.760,52.724,0.925324
0.770,52.568,0.883234
0.780,52.451,0.715047
0.790,52.411,0.388526
0.800,161.117,0.174981
0.810,161.467,0.112099
0.820,262.666,0.105190
0.830,259.855,0.176113
0.840,131.070,0.111878
0.850,132.749,0.062020
0.860,133.463,0.056420
0.870,135.480,0.022631
0.880,68.547,0.186515
0.890,66.902,0.211130
0.900,65.163,0.272372
0.910,64.950,0.345970
0.920,194.256,0.155415
0.930,183.485,0.220382
0.940,179.053,0.391322
0.950,174.983,0.343104
0.960,175.416,0.270427
0.970,174.698,0.333635
0.980,173.965,0.093564
0.990,280.302,0.052315
1.000,175.356,0.226985
1.010,71.372,0.748910
1.020,71.274,0.894485
1.030,71.120,0.895653
1.040,70.889,0.914937
1.050,70.686,0.888841
1.060,70.559,0.882281
1.070,70.484,0.887436
1.080,70.499,0.834116
1.090,70.430,0.725466
1.100,70.651,0.220063
1.110,150.115,0.046328
1.120,152.265,0.010904
1.130,32.265,0.039039
1.140,32.051,0.044403
1.150,32.201,0.009825
1.160,1898.832,0.024219
1.170,70.387,0.044419
1.180,70.486,0.348827
1.190,71.151,0.738518
1.200,71.134,0.777843
1.210,70.988,0.611827
1.220,70.440,0.466981
1.230,69.883,0.384097
1.240,69.018,0.174942
