time,frequency,confidence
0.000,603.527,0.058636
0.010,656.835,0.087229
0.020,663.364,0.055125
0.030,591.238,0.088709
0.040,1296.408,0.037771
0.050,1296.358,0.038793
0.060,1295.803,0.036041
0.070,543.691,0.245349
0.080,32.624,0.101029
0.090,32.598,0.139964
0.100,33.129,0.069328
0.110,43.308,0.765019
0.120,43.231,0.822782
0.130,43.206,0.603204
0.140,43.355,0.805992
0.150,43.440,0.848711
0.160,43.387,0.830595
0.170,43.273,0.926246
0.180,43.049,0.777954
0.190,43.080,0.857254
0.200,43.045,0.820394
0.210,43.062,0.822449
0.220,43.093,0.859763
0.230,43.107,0.763904
0.240,43.098,0.860597
0.250,43.097,0.743564
0.260,43.130,0.847092
0.270,43.104,0.823242
0.280,43.113,0.850101
0.290,43.149,0.892134
0.300,43.204,0.815945
0.310,43.036,0.854515
0.320,42.990,0.761273
0.330,43.109,0.862784
0.340,43.094,0.821549
0.350,43.097,0.840420
0.360,43.147,0.864835
0.370,43.271,0.788063
0.380,43.092,0.856447
0.390,43.009,0.783433
0.400,43.079,0.874005
0.410,43.083,0.831990
0.420,43.066,0.834183
0.430,43.044,0.849132
0.440,43.201,0.796565
0.450,43.151,0.874752
0.460,43.027,0.761658
0.470,43.137,0.867140
0.480,43.130,0.802370
0.490,43.126,0.828487
0.500,43.077,0.864611
0.510,43.087,0.820800
0.520,43.084,0.874191
0.530,43.047,0.758068
0.540,42.800,0.799933
0.550,42.546,0.650722
0.560,42.789,0.036473
0.570,42.607,0.028307
0.580,42.041,0.016331
0.590,981.178,0.013912
0.600,659.025,0.071336
0.610,658.011,0.073212
0.620,652.175,0.084751
0.630,657.968,0.059057
0.640,660.019,0.057560
0.650,1959.296,0.019351
0.660,1959.299,0.019363
0.670,550.125,0.163751
0.680,555.316,0.107276
0.690,559.067,0.086644
0.700,268.685,0.108964
0.710,257.200,0.114799
0.720,120.303,0.044665
0.730,32.864,0.013454
0.740,32.319,0.004057
0.750,44.497,0.011960
0.760,43.740,0.011949
0.770,32.297,0.012291
0.780,99.699,0.020907
0.790,32.499,0.022574
0.800,144.465,0.039229
0.810,177.710,0.079413
0.820,64.369,0.036540
0.830,35.555,0.015700
0.840,942.498,0.009753
0.850,1841.485,0.015896
0.860,936.243,0.039287
0.870,634.435,0.038001
0.880,130.154,0.047303
0.890,942.704,0.056872
0.900,967.457,0.013599
0.910,181.147,0.071297
0.920,174.410,0.312601
0.930,164.888,0.148035
0.940,316.491,0.075221
0.950,317.112,0.327599
0.960,318.668,0.513669
0.970,321.538,0.610257
0.980,320.085,0.731095
0.990,318.304,0.759010
1.000,314.849,0.417708
1.010,583.986,0.155712
1.020,576.867,0.355285
1.030,379.565,0.151874
1.040,361.685,0.123140
1.050,362.675,0.082770
1.060,362.109,0.062470
1.070,355.954,0.121596
1.080,574.454,0.026506
1.090,103.952,0.159130
1.100,103.949,0.213900
1.110,700.787,0.053477
1.120,1166.268,0.031721
1.130,653.000,0.053424
1.140,485.567,0.040591
1.150,32.055,0.029888
1.160,31.954,0.188866
1.170,349.491,0.100659
1.180,347.940,0.265700
1.190,285.075,0.182247
1.200,352.928,0.149161
1.210,357.600,0.115808
1.220,353.383,0.348742
1.230,573.500,0.261755
