time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097010
0.020,288.181,0.038148
0.030,546.645,0.055956
0.040,1958.089,0.014902
0.050,1958.088,0.015010
0.060,1958.096,0.014988
0.070,1958.096,0.014988
0.080,1958.099,0.014987
0.090,1958.110,0.014935
0.100,1958.117,0.014882
0.110,1958.107,0.014782
0.120,1958.092,0.014719
0.130,1958.091,0.014615
0.140,1958.090,0.014619
0.150,1958.090,0.014619
0.160,1958.090,0.014619
0.170,1958.087,0.014616
0.180,1958.084,0.014612
0.190,1958.082,0.014612
0.200,1958.078,0.014611
0.210,1958.076,0.014613
0.220,1958.077,0.014614
0.230,1958.080,0.014609
0.240,1958.075,0.014613
0.250,1958.077,0.014617
0.260,1958.078,0.014618
0.270,1958.081,0.014617
0.280,1958.083,0.014627
0.290,1958.085,0.014625
0.300,1958.086,0.014632
0.310,1958.089,0.014623
0.320,1958.091,0.014630
0.330,1958.088,0.014630
0.340,1958.088,0.014622
0.350,1958.090,0.014617
0.360,1958.092,0.014619
0.370,1958.087,0.014627
0.380,1958.077,0.014636
0.390,1958.085,0.014631
0.400,1958.083,0.014625
0.410,1958.083,0.014640
0.420,1958.074,0.014687
0.430,1958.069,0.014728
0.440,1958.081,0.014832
0.450,1958.087,0.014884
0.460,1958.087,0.014981
0.470,1958.097,0.014953
0.480,1958.094,0.014962
0.490,1958.095,0.014967
0.500,1958.095,0.014967
0.510,1958.104,0.014978
0.520,1958.099,0.014969
0.530,1958.090,0.014942
0.540,1958.089,0.014929
0.550,1958.093,0.014918
0.560,1958.097,0.014941
0.570,554.862,0.073024
0.580,589.664,0.057406
0.590,597.492,0.059712
0.600,649.366,0.059924
0.610,651.631,0.079900
0.620,660.674,0.080035
0.630,55.098,0.024798
0.640,1052.652,0.017521
0.650,1038.232,0.074417
0.660,1157.913,0.034616
0.670,268.849,0.164517
0.680,130.810,0.123059
0.690,266.262,0.229270
0.700,131.152,0.480090
0.710,130.069,0.255234
0.720,393.951,0.273760
0.730,394.067,0.576231
0.740,200.238,0.285034
0.750,657.933,0.097627
0.760,1177.123,0.059496
0.770,1170.596,0.050815
0.780,1165.439,0.026915
0.790,1160.450,0.019769
0.800,325.316,0.019396
0.810,324.549,0.012666
0.820,326.195,0.018421
0.830,325.304,0.014004
0.840,985.433,0.014999
0.850,1964.654,0.009888
0.860,1951.531,0.014061
0.870,1455.649,0.009130
0.880,995.797,0.026861
0.890,1070.661,0.010416
0.900,1961.294,0.011628
0.910,1971.513,0.010818
0.920,1971.835,0.013525
0.930,947.866,0.007113
0.940,938.310,0.018840
0.950,948.969,0.013706
0.960,1104.945,0.014242
0.970,1180.152,0.015722
0.980,1181.074,0.048746
0.990,1184.057,0.051842
1.000,1962.677,0.111640
1.010,1970.645,0.033942
1.020,327.224,0.194047
1.030,292.833,0.244857
1.040,345.583,0.355497
1.050,348.417,0.662189
1.060,347.826,0.673936
1.070,348.280,0.634372
1.080,348.036,0.542448
1.090,346.886,0.277417
1.100,168.459,0.156739
1.110,343.810,0.310463
1.120,343.238,0.281059
1.130,339.368,0.170346
1.140,339.693,0.341251
1.150,336.595,0.251867
1.160,331.873,0.249060
1.170,360.657,0.391765
1.180,368.431,0.575585
1.190,366.448,0.535223
1.200,299.686,0.265754
1.210,290.180,0.395823
1.220,283.052,0.513467
1.230,272.093,0.725436
1.240,269.406,0.852302
1.250,269.693,0.908291
1.260,274.044,0.860186
1.270,277.816,0.889484
1.280,278.906,0.889672
1.290,279.608,0.836918
1.300,279.247,0.790910
1.310,281.024,0.574162
1.320,284.105,0.600603
1.330,289.281,0.738480
1.340,287.308,0.899805
1.350,285.642,0.891799
1.360,283.447,0.915805
1.370,282.767,0.841765
1.380,283.291,0.742598
1.390,285.890,0.615373
1.400,285.828,0.366553
1.410,324.804,0.249152
1.420,321.931,0.310312
1.430,327.046,0.624951
1.440,330.086,0.872824
1.450,329.544,0.896382
1.460,327.974,0.799290
1.470,326.561,0.843170
1.480,325.558,0.842937
1.490,324.942,0.844533
1.500,325.694,0.807505
1.510,326.996,0.747211
1.520,328.304,0.631487
1.530,326.571,0.524670
1.540,327.814,0.235276
1.550,390.834,0.205735
1.560,391.625,0.410722
1.570,390.373,0.177793
1.580,332.291,0.054303
1.590,329.985,0.130485
1.600,288.010,0.482957
1.610,290.681,0.439387
1.620,301.259,0.584676
1.630,303.014,0.672670
1.640,301.570,0.794143
1.650,299.582,0.569510
1.660,298.262,0.303987
1.670,296.715,0.146675
1.680,704.458,0.144174
1.690,703.560,0.505223
1.700,699.230,0.336275
1.710,115.899,0.140281
1.720,349.182,0.559455
1.730,352.061,0.836282
1.740,352.557,0.825057
1.750,351.850,0.842151
1.760,350.418,0.232247
1.770,143.962,0.219214
1.780,146.284,0.338852
1.790,147.173,0.627599
1.800,147.516,0.402202
1.810,143.110,0.156752
1.820,140.523,0.221483
1.830,326.629,0.219971
1.840,157.836,0.165765
1.850,142.581,0.136020
1.860,140.671,0.086966
1.870,253.471,0.149940
1.880,258.788,0.493785
1.890,261.620,0.795226
1.900,263.457,0.827187
1.910,265.986,0.863262
1.920,264.805,0.872613
1.930,262.323,0.816690
1.940,261.480,0.804713
1.950,260.746,0.795611
1.960,258.117,0.683153
1.970,261.850,0.649233
1.980,262.059,0.574576
1.990,260.657,0.546186
2.000,262.887,0.505547
2.010,264.554,0.622554
2.020,265.144,0.581555
2.030,266.746,0.474203
2.040,331.149,0.423687
2.050,329.536,0.258101
2.060,323.718,0.421003
2.070,270.694,0.171136
2.080,226.969,0.073485
2.090,234.904,0.269373
2.100,235.739,0.135700
2.110,331.169,0.325529
2.120,344.131,0.336377
2.130,338.950,0.335470
2.140,339.675,0.182140
2.150,452.587,0.311900
2.160,456.483,0.352713
2.170,65.189,0.631345
2.180,65.125,0.873583
2.190,65.241,0.763143
2.200,65.119,0.826556
2.210,65.118,0.859798
2.220,65.387,0.762938
2.230,328.777,0.638557
2.240,327.746,0.606734
2.250,326.637,0.637105
2.260,326.956,0.733662
2.270,324.198,0.700361
2.280,323.381,0.376183
2.290,324.666,0.384414
2.300,325.619,0.143433
2.310,323.499,0.276775
2.320,324.973,0.083854
2.330,329.284,0.020444
2.340,1853.343,0.023440
2.350,1175.213,0.024654
2.360,134.068,0.031688
2.370,130.708,0.020714
2.380,134.314,0.057187
2.390,46.796,0.057136
2.400,164.223,0.036931
2.410,152.924,0.087771
2.420,152.994,0.255769
2.430,151.407,0.050737
2.440,153.842,0.075772
2.450,154.111,0.049596
2.460,155.387,0.076793
2.470,155.363,0.050893
2.480,32.193,0.086948
2.490,148.154,0.066955
2.500,147.371,0.143904
2.510,148.701,0.025296
2.520,179.135,0.012966
2.530,238.848,0.165406
2.540,255.599,0.261827
2.550,267.842,0.170110
2.560,265.738,0.207906
2.570,392.390,0.633254
2.580,392.672,0.670504
2.590,393.772,0.840306
2.600,393.715,0.747624
2.610,359.063,0.570568
2.620,355.854,0.632928
2.630,348.438,0.317215
2.640,331.961,0.442375
2.650,331.593,0.619056
2.660,285.823,0.322376
2.670,285.313,0.585768
2.680,283.584,0.836756
2.690,281.362,0.866214
2.700,279.487,0.813024
2.710,278.487,0.852432
2.720,282.610,0.756643
2.730,285.857,0.733761
2.740,289.350,0.656102
2.750,296.926,0.465237
2.760,316.522,0.588820
2.770,324.567,0.847695
2.780,324.672,0.913781
2.790,323.543,0.942540
2.800,323.649,0.923345
2.810,324.185,0.889692
2.820,324.157,0.883800
2.830,324.728,0.904919
2.840,324.828,0.907770
2.850,325.119,0.901623
2.860,324.735,0.893039
2.870,325.225,0.826574
2.880,326.189,0.808142
2.890,326.522,0.742570
2.900,326.511,0.782462
2.910,326.572,0.705978
2.920,326.700,0.525087
2.930,293.766,0.216251
2.940,293.569,0.304870
2.950,332.197,0.170452
2.960,344.313,0.270177
2.970,342.911,0.285546
2.980,286.963,0.292960
2.990,349.459,0.072870
3.000,331.188,0.078380
3.010,1161.890,0.062527
3.020,328.469,0.039268
3.030,892.447,0.058731
3.040,302.476,0.073122
3.050,298.024,0.343967
3.060,297.818,0.451768
3.070,296.285,0.559076
3.080,296.822,0.596351
3.090,300.286,0.482283
3.100,302.413,0.222235
3.110,284.853,0.209483
3.120,279.243,0.597938
3.130,282.105,0.735357
3.140,285.349,0.836935
3.150,289.798,0.795450
3.160,291.810,0.818369
3.170,292.908,0.772229
3.180,293.986,0.760389
3.190,294.870,0.689607
3.200,295.556,0.589949
3.210,297.713,0.507933
3.220,297.514,0.335356
3.230,289.804,0.445101
3.240,289.672,0.669598
3.250,294.173,0.518745
3.260,330.759,0.473270
3.270,330.879,0.520910
3.280,330.051,0.621677
3.290,331.066,0.713288
3.300,330.485,0.494823
3.310,330.356,0.347224
3.320,331.119,0.750198
3.330,330.872,0.782201
3.340,330.022,0.866966
3.350,328.247,0.865942
3.360,328.854,0.796413
3.370,326.230,0.321361
3.380,326.664,0.440646
3.390,330.918,0.710854
3.400,330.642,0.819089
3.410,331.083,0.879397
3.420,331.717,0.886178
3.430,330.728,0.924118
3.440,329.099,0.874086
3.450,327.310,0.842586
3.460,327.428,0.625993
3.470,329.606,0.346039
3.480,353.891,0.338380
3.490,309.631,0.193122
3.500,331.358,0.195120
3.510,365.213,0.381537
3.520,300.150,0.404982
3.530,298.510,0.736032
3.540,298.100,0.807937
3.550,297.193,0.814978
3.560,295.696,0.660594
3.570,294.833,0.265484
3.580,704.772,0.293813
3.590,705.312,0.593533
3.600,709.716,0.577345
3.610,713.323,0.476295
3.620,298.433,0.123625
3.630,299.831,0.296457
3.640,352.509,0.526244
3.650,351.244,0.713326
3.660,347.166,0.348644
3.670,341.956,0.240274
3.680,280.557,0.310745
3.690,276.030,0.546170
3.700,275.780,0.377608
3.710,274.556,0.166824
3.720,308.044,0.074818
3.730,313.878,0.433602
3.740,320.536,0.380260
3.750,263.394,0.823227
3.760,266.088,0.903935
3.770,266.056,0.948300
3.780,265.566,0.935513
3.790,265.415,0.889835
3.800,263.793,0.682136
3.810,262.914,0.427263
3.820,263.562,0.391006
3.830,263.253,0.529586
3.840,262.588,0.838255
3.850,262.134,0.870182
3.860,261.486,0.799974
3.870,262.403,0.730951
3.880,262.825,0.706774
3.890,262.156,0.675585
3.900,262.522,0.680181
3.910,262.365,0.566775
3.920,265.680,0.367300
3.930,266.865,0.278308
3.940,283.564,0.131753
3.950,279.973,0.056460
3.960,287.193,0.072348
3.970,329.881,0.184484
3.980,329.564,0.099154
3.990,160.405,0.117935
4.000,32.575,0.328473
4.010,32.579,0.144040
4.020,265.235,0.177296
4.030,65.090,0.534043
4.040,65.178,0.680478
4.050,65.113,0.736086
4.060,65.129,0.697869
4.070,329.258,0.512380
4.080,331.300,0.667114
4.090,331.640,0.732699
4.100,331.170,0.654385
4.110,333.600,0.540418
4.120,64.924,0.307282
4.130,64.661,0.284365
4.140,65.057,0.416828
4.150,130.048,0.470889
4.160,130.120,0.568125
4.170,129.822,0.580555
4.180,129.667,0.046411
4.190,329.131,0.024590
4.200,1886.787,0.003675
4.210,1031.365,0.005362
4.220,1036.321,0.013814
4.230,1565.110,0.005326
4.240,1186.882,0.014804
4.250,1188.812,0.030663
4.260,331.052,0.058885
4.270,330.968,0.040569
4.280,147.834,0.045844
4.290,147.981,0.130390
4.300,145.484,0.037799
4.310,147.073,0.021577
4.320,129.692,0.042658
4.330,163.991,0.068411
4.340,327.543,0.207073
4.350,131.161,0.174910
4.360,330.528,0.124062
4.370,128.357,0.061064
4.380,337.247,0.138045
4.390,349.005,0.017238
4.400,242.400,0.158368
4.410,244.049,0.193946
4.420,251.021,0.079778
4.430,132.554,0.103323
4.440,390.775,0.254930
4.450,391.774,0.625271
4.460,391.764,0.722628
4.470,392.725,0.643155
4.480,393.480,0.521141
4.490,392.755,0.606325
4.500,391.431,0.712541
4.510,390.102,0.480652
4.520,390.168,0.298379
4.530,390.988,0.449859
4.540,391.545,0.758634
4.550,390.467,0.638554
4.560,393.516,0.410522
4.570,387.295,0.300425
4.580,377.638,0.089730
4.590,152.193,0.196860
4.600,49.311,0.220973
4.610,48.954,0.862036
4.620,48.956,0.527585
4.630,119.775,0.059975
4.640,129.996,0.013861
4.650,261.722,0.084039
4.660,518.054,0.034588
4.670,1980.013,0.039996
4.680,1977.226,0.039203
4.690,1969.950,0.021330
4.700,662.092,0.045632
4.710,32.676,0.083909
4.720,32.792,0.052898
4.730,1177.287,0.048089
4.740,1180.826,0.024105
4.750,32.472,0.047468
4.760,291.617,0.261649
4.770,297.960,0.478505
4.780,298.372,0.446716
4.790,351.518,0.597635
4.800,349.920,0.819618
4.810,349.425,0.832884
4.820,347.728,0.722506
4.830,346.754,0.679451
4.840,346.408,0.545316
4.850,347.236,0.470665
4.860,347.429,0.187286
4.870,346.890,0.061138
4.880,343.893,0.076800
4.890,321.750,0.028565
4.900,317.827,0.033634
4.910,306.398,0.055964
4.920,297.410,0.059712
4.930,288.461,0.161994
4.940,294.832,0.336031
4.950,298.549,0.367123
4.960,323.911,0.286970
4.970,318.440,0.287412
4.980,278.492,0.434213
4.990,275.850,0.598832
5.000,276.766,0.367540
5.010,288.292,0.373311
5.020,293.623,0.566888
5.030,295.870,0.658928
5.040,295.073,0.632074
5.050,294.651,0.687585
5.060,294.923,0.732891
5.070,295.514,0.817572
5.080,295.030,0.738895
5.090,296.516,0.558192
5.100,351.186,0.676078
5.110,301.566,0.194376
5.120,329.026,0.435671
5.130,325.041,0.616516
5.140,326.106,0.752409
5.150,327.679,0.777451
5.160,331.073,0.787571
5.170,331.753,0.670149
5.180,332.474,0.622463
5.190,332.404,0.645074
5.200,331.988,0.736347
5.210,329.339,0.767662
5.220,328.297,0.765675
5.230,327.464,0.815096
5.240,328.155,0.880230
5.250,328.301,0.867837
5.260,328.134,0.811687
5.270,328.646,0.817349
5.280,329.692,0.769412
5.290,330.452,0.814614
5.300,328.848,0.805603
5.310,327.248,0.718618
5.320,324.351,0.700215
5.330,323.317,0.556121
5.340,297.544,0.294537
5.350,371.486,0.084243
5.360,284.628,0.225612
5.370,375.424,0.129321
5.380,373.793,0.084393
5.390,306.061,0.156253
5.400,361.453,0.449362
5.410,357.480,0.637719
5.420,353.100,0.732459
5.430,351.598,0.796455
5.440,350.578,0.830979
5.450,350.710,0.800859
5.460,352.483,0.799119
5.470,352.742,0.832901
5.480,353.795,0.811324
5.490,353.296,0.734692
5.500,352.418,0.450573
5.510,352.079,0.578981
5.520,351.869,0.565633
5.530,351.704,0.776408
5.540,349.702,0.869725
5.550,347.646,0.782242
5.560,345.170,0.345566
5.570,279.331,0.669584
5.580,277.309,0.639361
5.590,271.334,0.392664
5.600,320.750,0.369855
5.610,323.667,0.508003
5.620,328.019,0.177924
5.630,261.982,0.274455
5.640,266.475,0.363150
5.650,269.865,0.326052
5.660,269.862,0.546781
5.670,271.783,0.670455
5.680,270.373,0.792542
5.690,270.623,0.825743
5.700,270.023,0.834171
5.710,269.101,0.789293
5.720,268.068,0.711840
5.730,267.299,0.683750
5.740,267.079,0.530721
5.750,267.842,0.674218
5.760,268.125,0.871029
5.770,269.540,0.853551
5.780,271.975,0.704879
5.790,274.140,0.601149
5.800,270.480,0.409481
5.810,322.914,0.223709
5.820,330.665,0.527457
5.830,351.120,0.275841
5.840,342.883,0.492733
5.850,335.648,0.654801
5.860,334.545,0.782573
5.870,334.377,0.691624
5.880,333.480,0.680445
5.890,65.471,0.251772
5.900,65.446,0.374700
5.910,65.545,0.460511
5.920,66.043,0.490252
5.930,333.906,0.370202
5.940,65.850,0.444800
5.950,65.854,0.262112
5.960,328.156,0.261321
5.970,64.873,0.277987
5.980,65.489,0.619636
5.990,65.895,0.609125
6.000,65.758,0.280316
6.010,332.453,0.557668
6.020,328.824,0.342893
6.030,348.367,0.178553
6.040,132.342,0.067492
6.050,134.985,0.220140
6.060,135.234,0.028845
6.070,673.796,0.011945
6.080,1972.024,0.008925
6.090,1176.068,0.014642
6.100,1168.924,0.011324
6.110,1169.115,0.008823
6.120,579.555,0.008624
6.130,1584.538,0.015410
6.140,330.160,0.079096
6.150,325.254,0.048561
6.160,324.853,0.057871
6.170,316.306,0.038280
6.180,316.471,0.015004
6.190,319.119,0.021974
6.200,1231.778,0.024462
6.210,141.319,0.017051
6.220,173.693,0.124482
6.230,146.634,0.097162
6.240,152.730,0.032989
6.250,151.700,0.025260
6.260,197.137,0.032726
6.270,145.150,0.068194
6.280,1042.391,0.029080
6.290,140.685,0.053901
6.300,392.742,0.166004
6.310,392.791,0.731332
6.320,393.205,0.822135
6.330,394.064,0.717513
6.340,394.660,0.364310
6.350,326.307,0.263026
6.360,325.470,0.337777
6.370,331.127,0.133778
6.380,337.963,0.118773
6.390,32.473,0.077048
6.400,360.738,0.407776
6.410,362.106,0.550241
6.420,363.017,0.484886
6.430,363.025,0.444201
6.440,365.035,0.478706
6.450,292.348,0.610632
6.460,291.895,0.688508
6.470,289.026,0.633921
6.480,285.051,0.769393
6.490,284.255,0.806441
6.500,282.455,0.687623
6.510,279.675,0.643462
6.520,278.785,0.513117
6.530,281.286,0.284901
6.540,324.316,0.123540
6.550,327.041,0.409998
6.560,327.230,0.672674
6.570,326.138,0.733812
6.580,326.372,0.820343
6.590,327.020,0.857924
6.600,326.846,0.890440
6.610,327.371,0.810355
6.620,327.369,0.813359
6.630,327.002,0.788941
6.640,326.255,0.873309
6.650,326.512,0.813587
6.660,327.093,0.505983
6.670,328.991,0.372249
6.680,331.013,0.238519
6.690,293.406,0.234454
6.700,295.610,0.355471
6.710,297.234,0.275950
6.720,344.381,0.237909
6.730,346.815,0.116969
6.740,349.284,0.379575
6.750,1171.856,0.033604
6.760,1159.292,0.015601
6.770,348.083,0.036238
6.780,349.345,0.019100
