time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,0.000,nan
0.340,0.000,nan
0.350,0.000,nan
0.360,0.000,nan
0.370,0.000,nan
0.380,0.000,nan
0.390,0.000,nan
0.400,0.000,nan
0.410,0.000,nan
0.420,0.000,nan
0.430,0.000,nan
0.440,0.000,nan
0.450,0.000,nan
0.460,0.000,nan
0.470,0.000,nan
0.480,0.000,nan
0.490,0.000,nan
0.500,0.000,nan
0.510,0.000,nan
0.520,0.000,nan
0.530,0.000,nan
0.540,0.000,nan
0.550,0.000,nan
0.560,0.000,nan
0.570,0.000,nan
0.580,0.000,nan
0.590,0.000,nan
0.600,0.000,nan
0.610,0.000,nan
0.620,0.000,nan
0.630,0.000,nan
0.640,551.557,0.227792
0.650,561.667,0.021037
0.660,119.736,0.254817
0.670,120.200,0.150263
0.680,124.988,0.224477
0.690,127.032,0.538090
0.700,127.651,0.768167
0.710,127.991,0.843161
0.720,127.730,0.857433
0.730,126.959,0.867625
0.740,126.824,0.866063
0.750,126.722,0.789154
0.760,127.479,0.766824
0.770,127.811,0.807544
0.780,126.947,0.797352
0.790,125.437,0.812249
0.800,124.945,0.776495
0.810,125.418,0.770971
0.820,126.871,0.785784
0.830,127.066,0.791435
0.840,126.897,0.770957
0.850,125.451,0.752559
0.860,124.903,0.336065
0.870,122.647,0.082911
0.880,242.345,0.052560
0.890,594.070,0.029775
0.900,288.974,0.051530
0.910,293.436,0.306767
0.920,293.945,0.714660
0.930,295.215,0.699418
0.940,296.635,0.491783
0.950,297.057,0.220472
0.960,296.012,0.148501
0.970,146.151,0.153952
0.980,301.882,0.202875
0.990,137.410,0.136174
1.000,33.620,0.142358
1.010,33.491,0.167835
1.020,236.631,0.223641
1.030,236.791,0.388382
1.040,33.826,0.346194
1.050,33.371,0.424399
1.060,232.437,0.260361
1.070,58.497,0.327527
1.080,58.298,0.092926
1.090,58.663,0.058599
1.100,299.715,0.405863
1.110,298.421,0.166567
1.120,297.189,0.071998
1.130,40.984,0.091407
1.140,33.685,0.284597
1.150,35.200,0.393321
1.160,34.720,0.073117
1.170,238.171,0.092037
1.180,33.034,0.091943
1.190,234.377,0.165986
1.200,233.649,0.221273
1.210,117.886,0.139171
1.220,298.478,0.277816
1.230,296.521,0.264418
1.240,296.812,0.511970
1.250,295.704,0.324207
1.260,294.879,0.321760
1.270,295.015,0.413958
1.280,295.366,0.541800
1.290,295.774,0.491597
1.300,295.495,0.497046
1.310,294.363,0.617966
1.320,294.202,0.524733
1.330,294.355,0.315922
1.340,295.849,0.148412
1.350,117.610,0.181122
1.360,117.323,0.397667
1.370,117.091,0.135674
1.380,58.970,0.135373
1.390,58.622,0.493167
1.400,58.573,0.190010
1.410,117.238,0.147304
1.420,233.569,0.486787
1.430,234.806,0.440855
1.440,235.633,0.611304
1.450,237.341,0.486268
1.460,238.036,0.655652
1.470,237.148,0.672268
1.480,236.552,0.700539
1.490,236.547,0.661846
1.500,238.082,0.395125
1.510,239.565,0.151110
1.520,41.901,0.122836
1.530,41.952,0.110612
1.540,42.709,0.108157
1.550,43.539,0.018932
1.560,305.348,0.111747
1.570,300.492,0.338878
1.580,297.822,0.423506
1.590,295.177,0.365071
1.600,116.930,0.147315
1.610,58.522,0.299350
1.620,58.557,0.414660
1.630,58.758,0.412705
1.640,58.817,0.417544
1.650,59.076,0.507741
1.660,58.877,0.545614
1.670,59.173,0.189547
1.680,289.007,0.228910
1.690,290.501,0.172570
1.700,292.666,0.306866
1.710,294.324,0.388474
1.720,293.269,0.361307
1.730,119.750,0.247807
1.740,58.667,0.214019
1.750,117.884,0.407786
1.760,118.335,0.472158
1.770,118.684,0.594602
1.780,118.869,0.681726
1.790,119.310,0.652933
1.800,118.653,0.213021
1.810,119.542,0.060227
1.820,123.595,0.108313
1.830,124.047,0.211669
1.840,121.865,0.544095
1.850,121.164,0.304801
