time,frequency,confidence
0.000,646.842,0.069113
0.010,647.735,0.097356
0.020,288.187,0.038055
0.030,546.641,0.055264
0.040,1260.130,0.016170
0.050,1260.298,0.015515
0.060,1261.653,0.016733
0.070,1260.774,0.016772
0.080,1260.132,0.016172
0.090,549.612,0.221420
0.100,574.346,0.099257
0.110,32.509,0.052480
0.120,32.488,0.075449
0.130,47.020,0.252555
0.140,52.030,0.120810
0.150,40.438,0.047367
0.160,40.530,0.366023
0.170,40.542,0.018584
0.180,40.813,0.073030
0.190,40.669,0.231310
0.200,40.724,0.493540
0.210,40.494,0.048965
0.220,44.966,0.336741
0.230,45.115,0.583115
0.240,44.342,0.663561
0.250,43.349,0.499407
0.260,42.824,0.508679
0.270,42.534,0.296119
0.280,43.120,0.113645
0.290,54.423,0.026932
0.300,54.926,0.140958
0.310,34.168,0.013746
0.320,34.228,0.125590
0.330,34.288,0.025449
0.340,41.930,0.402026
0.350,41.995,0.068353
0.360,42.354,0.076323
0.370,46.272,0.034963
0.380,42.931,0.062192
0.390,35.986,0.100072
0.400,981.955,0.049099
0.410,983.692,0.024110
0.420,1242.156,0.033230
0.430,660.422,0.089761
0.440,646.651,0.066311
0.450,646.411,0.100618
0.460,163.306,0.013793
0.470,1866.971,0.006285
0.480,32.966,0.011288
0.490,32.673,0.015144
0.500,557.548,0.165072
0.510,226.637,0.064637
0.520,1164.823,0.013161
0.530,33.623,0.022408
0.540,41.047,0.035702
0.550,1201.967,0.006859
0.560,247.970,0.012289
0.570,49.055,0.008558
0.580,95.210,0.128534
0.590,272.999,0.039424
0.600,270.234,0.074214
0.610,266.700,0.267665
0.620,218.055,0.269623
0.630,217.001,0.239255
0.640,154.630,0.249709
0.650,154.488,0.084194
0.660,155.397,0.143901
0.670,150.587,0.244189
0.680,46.575,0.057535
0.690,193.359,0.085624
0.700,38.682,0.886336
0.710,38.701,0.783177
0.720,35.048,0.630818
0.730,34.808,0.801730
0.740,34.513,0.765081
0.750,252.852,0.047698
0.760,243.393,0.040267
0.770,1785.102,0.009218
0.780,32.340,0.010846
0.790,35.355,0.413033
0.800,35.114,0.392152
0.810,34.510,0.032102
0.820,949.246,0.096767
0.830,978.133,0.036451
0.840,940.125,0.030782
0.850,469.803,0.044434
0.860,641.536,0.069758
0.870,555.591,0.065693
0.880,149.558,0.152110
0.890,152.114,0.059394
0.900,32.484,0.096945
0.910,32.381,0.059218
0.920,159.685,0.184172
0.930,160.965,0.155490
0.940,160.823,0.035687
0.950,86.683,0.015946
0.960,87.641,0.026428
0.970,87.928,0.003417
0.980,1316.242,0.002710
0.990,170.054,0.040820
1.000,34.892,0.089412
1.010,175.524,0.027055
1.020,175.777,0.066174
1.030,176.382,0.069453
1.040,174.580,0.052680
1.050,154.808,0.016980
1.060,430.489,0.044156
1.070,212.695,0.012346
1.080,50.647,0.018259
1.090,32.061,0.020751
1.100,146.971,0.024910
1.110,552.853,0.076756
1.120,158.601,0.052030
1.130,32.071,0.127715
1.140,56.358,0.123832
1.150,56.310,0.125200
1.160,33.807,0.157769
1.170,38.106,0.020203
1.180,37.905,0.024988
1.190,32.324,0.009775
1.200,1204.530,0.030068
1.210,1215.689,0.007505
1.220,49.117,0.065843
1.230,48.981,0.050611
1.240,581.758,0.135337
1.250,456.101,0.069212
1.260,32.478,0.055231
1.270,32.341,0.229528
1.280,32.457,0.210210
1.290,33.023,0.036933
1.300,1180.607,0.021280
1.310,1977.829,0.034465
1.320,1027.131,0.029741
1.330,683.743,0.044645
1.340,1868.881,0.026012
1.350,1862.774,0.022241
1.360,32.347,0.016537
1.370,32.346,0.012787
1.380,54.946,0.035184
1.390,55.520,0.210419
1.400,55.191,0.019471
1.410,1914.819,0.003784
1.420,32.924,0.004875
1.430,1867.568,0.010061
1.440,1314.295,0.017221
1.450,1317.149,0.008276
1.460,982.326,0.010156
1.470,39.180,0.320497
1.480,38.987,0.021743
1.490,1799.916,0.039032
1.500,1849.651,0.018116
1.510,657.595,0.030409
1.520,660.588,0.049846
1.530,591.092,0.104063
1.540,1180.855,0.032648
1.550,54.019,0.019430
1.560,51.465,0.032315
1.570,1786.609,0.011336
1.580,1193.130,0.012915
1.590,205.143,0.012827
1.600,202.028,0.082092
1.610,222.654,0.147327
1.620,221.194,0.341400
1.630,33.517,0.067675
1.640,33.076,0.159288
1.650,32.268,0.080840
1.660,217.814,0.046994
1.670,1843.222,0.012959
1.680,1835.697,0.005148
1.690,99.269,0.116780
1.700,99.456,0.200234
1.710,203.524,0.231234
1.720,255.541,0.292544
1.730,252.881,0.112931
1.740,250.827,0.074262
1.750,165.035,0.053954
1.760,151.040,0.038081
1.770,49.842,0.262605
1.780,38.723,0.045117
1.790,39.194,0.226707
1.800,39.413,0.070300
1.810,32.908,0.038500
1.820,940.419,0.034619
1.830,933.646,0.090778
1.840,1166.220,0.029069
1.850,589.735,0.084384
1.860,32.816,0.028596
1.870,364.644,0.031729
1.880,32.564,0.138555
1.890,32.303,0.114352
1.900,1926.711,0.018923
1.910,1163.251,0.006912
1.920,662.253,0.015929
1.930,702.288,0.006496
1.940,1273.461,0.022029
1.950,656.854,0.073578
1.960,644.815,0.067859
1.970,581.081,0.122403
1.980,579.244,0.252807
1.990,220.153,0.035411
2.000,32.203,0.031007
2.010,32.235,0.075573
2.020,32.462,0.009872
2.030,203.402,0.014265
2.040,1967.444,0.046712
2.050,694.625,0.062362
2.060,1225.211,0.063881
2.070,651.897,0.101063
2.080,657.827,0.063971
2.090,363.360,0.141439
2.100,354.962,0.186141
2.110,349.390,0.070745
2.120,580.320,0.063797
2.130,596.326,0.065334
2.140,657.384,0.029573
2.150,243.181,0.037745
2.160,1196.515,0.020540
2.170,1851.197,0.011268
2.180,1181.637,0.009784
2.190,597.163,0.047146
2.200,295.175,0.059530
2.210,537.454,0.149036
2.220,578.515,0.117186
2.230,32.366,0.044336
2.240,32.304,0.023048
2.250,32.270,0.006670
2.260,985.535,0.023918
2.270,972.845,0.041244
2.280,174.887,0.031621
2.290,166.902,0.063037
2.300,62.324,0.146783
2.310,56.919,0.103494
2.320,54.322,0.083990
2.330,51.212,0.075048
2.340,49.535,0.017309
2.350,46.656,0.048370
2.360,32.167,0.008317
2.370,32.166,0.050974
2.380,32.428,0.087658
2.390,32.639,0.020026
2.400,32.856,0.006230
2.410,1961.332,0.006679
2.420,1177.467,0.013666
2.430,1183.745,0.030080
2.440,1901.114,0.038877
2.450,970.761,0.029404
2.460,81.832,0.149069
2.470,80.970,0.056674
2.480,1176.120,0.039190
2.490,1226.089,0.019346
2.500,32.432,0.016405
2.510,968.381,0.022844
2.520,1030.517,0.040464
2.530,1173.556,0.019702
2.540,1788.374,0.014247
2.550,1774.696,0.016633
2.560,941.431,0.019136
2.570,938.718,0.023108
2.580,44.580,0.044483
2.590,46.218,0.082975
2.600,1683.939,0.019800
2.610,1972.617,0.009195
2.620,1211.024,0.008404
2.630,981.718,0.009208
2.640,968.059,0.015751
2.650,635.446,0.034088
2.660,210.252,0.099167
2.670,1038.727,0.002176
2.680,633.620,0.024412
2.690,634.723,0.082295
2.700,648.653,0.156114
2.710,32.674,0.071559
2.720,443.925,0.180375
2.730,715.718,0.039125
2.740,32.474,0.114447
2.750,32.155,0.292850
2.760,32.127,0.079451
2.770,1819.420,0.011964
2.780,1970.592,0.017659
2.790,1974.233,0.061044
2.800,1974.037,0.091454
2.810,1972.740,0.181322
2.820,1974.564,0.021704
2.830,1950.590,0.029797
2.840,1224.928,0.017030
2.850,1225.558,0.047067
2.860,1234.451,0.034981
2.870,45.186,0.018849
2.880,1322.095,0.013470
2.890,1323.610,0.017306
2.900,1327.167,0.004621
2.910,1181.901,0.007173
2.920,1836.334,0.022534
2.930,1833.913,0.040334
2.940,1922.743,0.050143
2.950,1166.334,0.132073
2.960,1165.823,0.041512
2.970,1160.162,0.016749
2.980,1976.462,0.008583
2.990,1119.117,0.011528
3.000,1967.103,0.014084
3.010,1965.822,0.042341
3.020,660.788,0.102156
3.030,660.770,0.060921
3.040,657.280,0.039496
3.050,651.420,0.063186
3.060,591.321,0.117869
3.070,589.586,0.161831
3.080,579.516,0.311300
3.090,672.106,0.071312
3.100,724.051,0.095622
3.110,32.419,0.041727
3.120,32.315,0.136389
3.130,32.372,0.088577
3.140,200.323,0.025910
3.150,660.911,0.018819
3.160,666.760,0.068441
3.170,704.269,0.045245
3.180,698.990,0.040841
3.190,659.089,0.067326
3.200,646.839,0.103572
3.210,951.841,0.019378
3.220,1899.731,0.014844
3.230,398.276,0.049924
3.240,656.510,0.058426
3.250,658.699,0.055558
3.260,890.501,0.033985
3.270,929.157,0.046160
3.280,1159.399,0.024843
3.290,390.670,0.069664
3.300,395.351,0.109775
3.310,396.183,0.117397
3.320,581.554,0.123709
3.330,332.744,0.035315
3.340,268.464,0.135805
3.350,269.293,0.015587
3.360,32.494,0.050759
3.370,32.279,0.124824
3.380,32.516,0.053992
3.390,1969.112,0.011539
3.400,174.503,0.022109
3.410,663.897,0.021913
3.420,663.978,0.057170
3.430,658.480,0.042388
3.440,595.355,0.069641
3.450,553.213,0.255968
3.460,574.018,0.316768
3.470,268.276,0.080310
3.480,32.400,0.016211
3.490,32.198,0.011254
3.500,32.216,0.022261
3.510,1966.842,0.015667
3.520,97.920,0.009916
3.530,1799.144,0.009242
3.540,270.524,0.240133
3.550,269.088,0.573359
3.560,262.779,0.369696
3.570,219.050,0.187949
3.580,220.172,0.120070
3.590,154.601,0.189716
3.600,153.090,0.084523
3.610,150.797,0.233238
3.620,141.993,0.182381
3.630,152.702,0.058167
3.640,155.913,0.197264
3.650,153.295,0.278708
3.660,149.764,0.151573
3.670,35.324,0.640111
3.680,34.966,0.122589
3.690,32.307,0.009309
3.700,1118.415,0.015545
3.710,32.461,0.027230
3.720,32.400,0.045817
3.730,32.296,0.120798
3.740,34.814,0.326648
3.750,34.871,0.204393
3.760,34.622,0.019819
3.770,938.907,0.064644
3.780,964.690,0.041950
3.790,1853.424,0.021425
3.800,469.295,0.067586
3.810,593.145,0.046319
3.820,1055.635,0.100139
3.830,32.291,0.007014
3.840,32.260,0.017805
3.850,32.123,0.050384
3.860,32.417,0.002071
3.870,1186.709,0.006161
3.880,1027.368,0.028295
3.890,1031.233,0.037051
3.900,79.486,0.100810
3.910,69.532,0.070736
3.920,62.448,0.073325
3.930,54.958,0.047066
3.940,52.877,0.183472
3.950,155.043,0.084702
3.960,178.541,0.120175
3.970,179.483,0.166730
3.980,49.380,0.040582
3.990,1025.123,0.007864
4.000,656.899,0.082884
4.010,646.062,0.061062
4.020,648.282,0.111985
4.030,648.518,0.050377
4.040,974.851,0.038499
4.050,32.566,0.026377
4.060,585.746,0.241201
4.070,586.859,0.076991
4.080,1784.108,0.016522
4.090,1792.775,0.026121
4.100,936.779,0.009411
4.110,941.295,0.049299
4.120,928.287,0.017399
4.130,62.923,0.093579
4.140,62.355,0.044652
4.150,222.928,0.067262
4.160,193.710,0.030169
4.170,44.912,0.060117
4.180,44.869,0.075425
4.190,585.462,0.130390
4.200,45.876,0.028686
4.210,32.252,0.040960
4.220,43.668,0.138605
4.230,44.266,0.059304
4.240,1160.048,0.006362
4.250,1903.367,0.010044
4.260,978.106,0.037761
4.270,662.130,0.078027
4.280,977.736,0.051724
4.290,1961.187,0.034614
4.300,1175.869,0.012996
4.310,1166.278,0.035397
4.320,1178.839,0.049946
4.330,1887.799,0.035624
4.340,53.373,0.060457
4.350,48.557,0.021756
4.360,38.141,0.028093
4.370,32.882,0.007100
4.380,43.764,0.022895
4.390,43.348,0.013015
4.400,1188.017,0.009105
4.410,1768.717,0.018483
4.420,32.732,0.003593
4.430,270.031,0.011606
4.440,1799.584,0.035107
4.450,1235.490,0.012250
4.460,595.770,0.014776
4.470,657.220,0.034041
4.480,656.676,0.035676
4.490,1230.042,0.053083
4.500,32.091,0.024777
4.510,48.491,0.027892
4.520,54.291,0.011670
4.530,54.199,0.079055
4.540,53.831,0.092163
4.550,584.466,0.081699
4.560,147.630,0.111069
4.570,586.459,0.077355
4.580,395.421,0.059424
4.590,1852.757,0.020068
4.600,1831.355,0.019327
4.610,1803.713,0.007030
4.620,701.813,0.017912
4.630,627.027,0.027769
4.640,99.870,0.045890
4.650,297.393,0.123016
4.660,296.051,0.071259
4.670,254.363,0.199806
4.680,182.464,0.223950
4.690,182.526,0.148467
4.700,167.843,0.053191
4.710,38.621,0.068348
4.720,48.884,0.015715
4.730,45.724,0.152455
4.740,41.615,0.086546
4.750,38.701,0.430705
4.760,38.582,0.216720
4.770,940.462,0.024329
4.780,942.307,0.020878
4.790,266.026,0.025696
4.800,587.196,0.052835
4.810,398.035,0.114030
4.820,397.621,0.062390
4.830,404.076,0.020258
4.840,405.511,0.012472
4.850,642.729,0.033399
4.860,1896.516,0.013947
4.870,647.739,0.038600
4.880,86.487,0.035852
4.890,177.309,0.053400
4.900,179.949,0.192529
4.910,180.699,0.365794
4.920,182.480,0.227473
4.930,558.370,0.105269
4.940,549.527,0.030483
4.950,268.880,0.308079
4.960,257.102,0.582552
4.970,258.445,0.722138
4.980,261.583,0.751044
4.990,264.296,0.833563
5.000,265.007,0.892128
5.010,266.491,0.817004
5.020,268.024,0.904733
5.030,266.165,0.890542
5.040,264.884,0.811805
5.050,264.436,0.399791
5.060,264.493,0.431518
5.070,264.470,0.353293
5.080,267.624,0.708057
5.090,268.510,0.769138
5.100,267.493,0.841707
5.110,265.794,0.907151
5.120,264.716,0.889297
5.130,265.239,0.893448
5.140,264.598,0.841135
5.150,264.525,0.846907
5.160,265.889,0.851170
5.170,266.201,0.807612
5.180,266.664,0.643938
5.190,266.893,0.307136
5.200,267.037,0.475242
5.210,268.123,0.634395
5.220,271.974,0.625842
5.230,272.031,0.829470
5.240,271.676,0.768246
5.250,271.235,0.640524
5.260,270.559,0.468169
5.270,263.002,0.290953
5.280,249.187,0.055969
5.290,55.069,0.031636
5.300,586.942,0.034830
5.310,291.524,0.034604
5.320,1173.444,0.012956
5.330,43.303,0.016442
5.340,44.033,0.021021
5.350,48.150,0.027104
5.360,1022.447,0.027023
5.370,983.601,0.023340
5.380,965.062,0.015732
5.390,970.304,0.018418
5.400,175.179,0.011795
5.410,269.047,0.012766
5.420,272.556,0.017006
5.430,38.732,0.091938
5.440,38.498,0.348805
5.450,38.413,0.451170
5.460,38.820,0.513327
5.470,43.775,0.061721
5.480,44.020,0.310643
5.490,43.511,0.322906
5.500,43.329,0.506399
5.510,262.633,0.044247
5.520,282.461,0.020403
5.530,1178.384,0.108581
5.540,587.705,0.074076
5.550,399.195,0.091922
5.560,399.877,0.073047
5.570,399.775,0.033866
5.580,463.156,0.017920
5.590,1023.040,0.023000
5.600,323.254,0.019477
5.610,322.678,0.042426
5.620,947.740,0.010220
5.630,176.927,0.312923
5.640,177.429,0.393229
5.650,180.622,0.412115
5.660,577.417,0.177531
5.670,283.966,0.118162
5.680,269.746,0.056429
5.690,32.899,0.106091
5.700,32.351,0.030678
5.710,32.180,0.014743
5.720,867.384,0.013368
5.730,1013.278,0.010668
5.740,129.243,0.030610
5.750,129.778,0.090634
5.760,129.798,0.068463
5.770,34.174,0.099752
5.780,33.945,0.230771
5.790,32.763,0.469757
5.800,32.789,0.052389
5.810,33.784,0.013630
5.820,54.401,0.009256
5.830,55.577,0.006391
5.840,133.278,0.053393
5.850,132.730,0.190480
5.860,132.136,0.233205
5.870,267.960,0.596020
5.880,268.134,0.857660
5.890,268.654,0.941126
5.900,269.873,0.811973
5.910,269.022,0.653168
5.920,267.755,0.241299
5.930,267.476,0.078636
