time,frequency,confidence
0.000,646.845,0.069150
0.010,647.737,0.097126
0.020,288.183,0.038122
0.030,546.645,0.055715
0.040,1262.557,0.015196
0.050,1262.825,0.015319
0.060,1279.460,0.015656
0.070,1262.997,0.015995
0.080,1262.543,0.015178
0.090,1262.817,0.015314
0.100,1279.457,0.015652
0.110,1262.996,0.015991
0.120,1262.543,0.015166
0.130,1262.812,0.015303
0.140,1279.468,0.015657
0.150,1262.995,0.015999
0.160,1262.555,0.015180
0.170,1262.817,0.015306
0.180,1279.470,0.015654
0.190,1262.993,0.015994
0.200,1262.551,0.015182
0.210,1262.817,0.015312
0.220,1279.469,0.015662
0.230,1262.997,0.015998
0.240,1262.556,0.015185
0.250,1262.808,0.015309
0.260,1279.470,0.015660
0.270,1262.998,0.015999
0.280,1262.557,0.015185
0.290,1262.811,0.015313
0.300,1279.477,0.015661
0.310,1263.000,0.015997
0.320,1262.562,0.015191
0.330,1262.813,0.015311
0.340,1279.471,0.015656
0.350,1263.000,0.015998
0.360,1262.561,0.015195
0.370,1262.809,0.015310
0.380,1279.465,0.015656
0.390,1262.996,0.016004
0.400,1262.552,0.015186
0.410,1262.813,0.015309
0.420,1279.471,0.015661
0.430,1262.999,0.016007
0.440,1262.552,0.015195
0.450,1262.816,0.015319
0.460,1279.465,0.015662
0.470,1038.415,0.019224
0.480,661.344,0.042796
0.490,657.169,0.092974
0.500,647.142,0.091555
0.510,651.665,0.121001
0.520,657.009,0.071956
0.530,1048.347,0.025985
0.540,543.870,0.084460
0.550,1957.592,0.014451
0.560,534.838,0.103907
0.570,556.833,0.136676
0.580,146.798,0.108958
0.590,155.637,0.073157
0.600,32.392,0.021657
0.610,1237.525,0.006390
0.620,79.341,0.016531
0.630,1234.208,0.018980
0.640,1199.791,0.019347
0.650,1903.071,0.010914
0.660,139.881,0.055561
0.670,151.740,0.253368
0.680,156.353,0.552176
0.690,156.306,0.408087
0.700,159.222,0.209390
0.710,1856.341,0.078680
0.720,937.447,0.068717
0.730,634.940,0.028260
0.740,399.508,0.058618
0.750,133.821,0.070117
0.760,133.769,0.581292
0.770,133.833,0.835140
0.780,132.371,0.743038
0.790,131.959,0.363152
0.800,133.844,0.414196
0.810,270.864,0.285477
0.820,137.639,0.212358
0.830,137.058,0.618499
0.840,563.925,0.110603
0.850,283.592,0.144152
0.860,32.288,0.035212
0.870,33.394,0.147884
0.880,32.866,0.008057
0.890,1204.143,0.002918
0.900,304.001,0.015671
0.910,658.147,0.031428
0.920,656.632,0.047904
0.930,133.843,0.014766
0.940,131.045,0.150212
0.950,130.651,0.156648
0.960,130.872,0.188907
0.970,131.915,0.118860
0.980,134.152,0.229521
0.990,134.295,0.658345
1.000,133.761,0.802044
1.010,133.946,0.879359
1.020,133.961,0.905392
1.030,133.941,0.871959
1.040,133.887,0.863123
1.050,266.276,0.608775
1.060,264.895,0.764241
1.070,259.281,0.768446
1.080,260.013,0.847577
1.090,261.121,0.883162
1.100,262.388,0.894863
1.110,262.919,0.869036
1.120,262.991,0.853555
1.130,268.408,0.678971
1.140,265.540,0.281241
1.150,228.728,0.121197
1.160,226.647,0.032529
1.170,32.097,0.015236
1.180,1405.681,0.005941
1.190,1403.990,0.006504
1.200,33.130,0.066546
1.210,32.981,0.116163
1.220,32.293,0.026523
1.230,32.159,0.009733
1.240,32.333,0.020358
1.250,32.770,0.040866
1.260,33.945,0.173062
1.270,33.259,0.100344
1.280,32.621,0.039708
1.290,1784.511,0.011992
1.300,1182.622,0.009535
1.310,1180.717,0.016961
1.320,270.188,0.091801
1.330,269.878,0.244506
1.340,269.220,0.384560
1.350,269.007,0.591620
1.360,272.494,0.609619
1.370,134.003,0.175296
1.380,32.937,0.269555
1.390,268.339,0.424500
1.400,267.565,0.776133
1.410,268.233,0.907283
1.420,269.146,0.916132
1.430,269.436,0.635287
1.440,267.964,0.342942
1.450,264.238,0.118425
1.460,32.819,0.295354
1.470,32.871,0.021830
1.480,1877.034,0.014898
1.490,1924.621,0.027239
1.500,1895.074,0.010851
1.510,635.869,0.028003
1.520,297.741,0.028253
1.530,1323.551,0.060386
1.540,296.457,0.563695
1.550,296.730,0.569764
1.560,294.612,0.754540
1.570,295.221,0.671650
1.580,295.780,0.690935
1.590,295.483,0.581132
1.600,295.700,0.332854
1.610,147.247,0.578491
1.620,148.406,0.481158
1.630,148.282,0.596789
1.640,148.499,0.490738
1.650,293.764,0.785816
1.660,294.540,0.769893
1.670,296.078,0.630183
1.680,294.911,0.733604
1.690,293.474,0.661384
1.700,293.537,0.511423
1.710,277.250,0.274506
1.720,276.302,0.338421
1.730,582.663,0.269723
1.740,587.530,0.051632
1.750,291.290,0.037851
1.760,295.720,0.035461
1.770,100.338,0.014914
1.780,1031.766,0.024410
1.790,633.131,0.048995
1.800,648.506,0.050226
1.810,645.160,0.038040
1.820,306.547,0.036515
1.830,152.038,0.149511
1.840,154.799,0.264766
1.850,155.552,0.079037
1.860,154.853,0.128059
1.870,154.323,0.197055
1.880,151.341,0.182168
1.890,310.433,0.566062
1.900,301.514,0.675570
1.910,302.401,0.750274
1.920,301.335,0.824751
1.930,299.855,0.805450
1.940,298.835,0.631244
1.950,149.595,0.641418
1.960,150.050,0.746680
1.970,299.875,0.562121
1.980,306.607,0.203642
1.990,305.702,0.090861
2.000,327.209,0.048403
2.010,290.065,0.054742
2.020,1035.562,0.034595
2.030,38.370,0.013200
2.040,1974.238,0.009157
2.050,1974.146,0.033857
2.060,1973.109,0.013179
2.070,1974.368,0.032685
2.080,147.457,0.035117
2.090,147.374,0.025357
2.100,303.044,0.244524
2.110,301.490,0.307774
2.120,302.247,0.741015
2.130,297.160,0.677231
2.140,291.463,0.190606
2.150,32.655,0.041248
2.160,32.575,0.044768
2.170,32.890,0.048967
2.180,54.854,0.002914
2.190,54.753,0.009927
2.200,82.034,0.031231
2.210,162.913,0.026215
2.220,32.246,0.221080
2.230,32.239,0.026834
2.240,995.692,0.007360
2.250,970.497,0.025761
2.260,966.818,0.045282
2.270,887.794,0.013349
2.280,224.930,0.108254
2.290,232.818,0.377144
2.300,32.662,0.084903
2.310,32.695,0.228128
2.320,45.066,0.064617
2.330,45.045,0.006756
2.340,1376.522,0.003013
2.350,1423.926,0.012682
2.360,1422.753,0.037089
2.370,1854.709,0.017837
2.380,1146.941,0.025451
2.390,1882.711,0.026062
2.400,1898.104,0.023250
2.410,155.754,0.042120
2.420,1859.943,0.037976
2.430,290.074,0.101119
2.440,296.422,0.704008
2.450,297.210,0.842059
2.460,298.610,0.875226
2.470,297.290,0.868581
2.480,297.433,0.852536
2.490,300.080,0.779867
2.500,301.915,0.765109
2.510,301.457,0.714477
2.520,301.834,0.670254
2.530,296.439,0.729201
2.540,298.120,0.723115
2.550,298.163,0.489852
2.560,37.077,0.087470
2.570,37.731,0.046139
2.580,304.632,0.313241
2.590,301.598,0.162804
2.600,1159.996,0.038300
2.610,32.355,0.017448
2.620,32.274,0.012756
2.630,32.268,0.081517
2.640,575.786,0.133912
2.650,300.127,0.171301
2.660,299.629,0.105254
2.670,295.309,0.109089
2.680,32.841,0.120013
2.690,368.817,0.088793
2.700,367.484,0.368242
2.710,366.344,0.362076
2.720,363.286,0.213174
2.730,301.002,0.485531
2.740,297.062,0.692123
2.750,294.438,0.809723
2.760,293.857,0.737986
2.770,294.478,0.566348
2.780,334.895,0.318573
2.790,337.539,0.809340
2.800,336.801,0.852122
2.810,337.782,0.850138
2.820,337.769,0.836858
2.830,339.087,0.534362
2.840,337.015,0.566316
2.850,338.387,0.477509
2.860,1023.031,0.053480
2.870,326.722,0.103832
2.880,323.958,0.129537
2.890,987.312,0.021747
2.900,1214.878,0.010670
2.910,1220.626,0.009455
2.920,1072.540,0.013964
2.930,81.088,0.012045
2.940,32.186,0.072567
2.950,1047.208,0.022416
2.960,210.488,0.025843
2.970,148.066,0.038337
2.980,293.142,0.076693
2.990,294.632,0.650822
3.000,296.784,0.613850
