time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,553.582,0.185858
0.060,283.985,0.053470
0.070,342.369,0.025520
0.080,32.324,0.044260
0.090,32.629,0.044676
0.100,33.575,0.058011
0.110,40.615,0.153617
0.120,43.150,0.350062
0.130,53.665,0.018838
0.140,51.979,0.039733
0.150,46.241,0.175678
0.160,45.445,0.580881
0.170,44.768,0.727677
0.180,44.334,0.507856
0.190,32.252,0.015588
0.200,32.477,0.105450
0.210,32.625,0.275169
0.220,32.272,0.104153
0.230,32.347,0.030937
0.240,33.171,0.053725
0.250,42.434,0.228073
0.260,44.106,0.060193
0.270,48.628,0.257248
0.280,49.611,0.264191
0.290,52.291,0.330532
0.300,54.087,0.189246
0.310,34.069,0.338662
0.320,33.946,0.532630
0.330,33.366,0.043483
0.340,39.735,0.059320
0.350,35.812,0.033511
0.360,52.739,0.204939
0.370,52.399,0.172610
0.380,48.064,0.060817
0.390,42.132,0.138893
0.400,47.877,0.274110
0.410,46.664,0.492670
0.420,46.729,0.494643
0.430,52.809,0.277598
0.440,53.546,0.047134
0.450,32.368,0.006619
0.460,32.053,0.028727
0.470,32.284,0.049769
0.480,53.961,0.034416
0.490,44.870,0.266793
0.500,44.761,0.549314
0.510,44.322,0.237131
0.520,32.710,0.098618
0.530,49.235,0.131394
0.540,691.160,0.099594
0.550,690.266,0.132193
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.774,0.020799
0.610,1045.386,0.021743
0.620,551.548,0.184510
0.630,150.125,0.103253
0.640,355.550,0.055221
0.650,361.226,0.081901
0.660,163.070,0.072395
0.670,162.683,0.059761
0.680,79.053,0.037560
0.690,972.212,0.024474
0.700,965.700,0.015793
0.710,886.838,0.025969
0.720,182.057,0.168324
0.730,184.034,0.372939
0.740,184.889,0.595013
0.750,183.526,0.517657
0.760,177.574,0.275169
0.770,56.993,0.394582
0.780,138.948,0.110401
0.790,140.464,0.060042
0.800,1597.184,0.040360
0.810,1082.156,0.019612
0.820,1727.403,0.021323
0.830,1705.495,0.031322
0.840,1683.123,0.009486
0.850,1595.035,0.009891
0.860,590.635,0.018801
0.870,1182.148,0.025509
0.880,80.396,0.022944
0.890,32.544,0.021202
0.900,32.286,0.024838
0.910,32.689,0.192632
0.920,32.735,0.109443
0.930,32.562,0.042302
0.940,32.531,0.020535
0.950,979.486,0.018111
0.960,132.626,0.038368
0.970,527.713,0.028298
0.980,1172.933,0.009570
0.990,32.042,0.012818
1.000,1795.316,0.006265
1.010,660.131,0.046511
1.020,664.057,0.072006
1.030,221.971,0.712127
1.040,222.352,0.812733
1.050,223.077,0.843239
1.060,224.598,0.605326
1.070,264.313,0.392449
1.080,262.933,0.366550
1.090,533.211,0.080567
1.100,588.970,0.059182
1.110,596.809,0.031105
1.120,1848.620,0.013871
1.130,1898.939,0.029727
1.140,1961.314,0.016974
1.150,1037.746,0.043698
1.160,528.358,0.203161
1.170,528.426,0.325568
1.180,264.042,0.620978
1.190,539.298,0.218596
1.200,582.752,0.213688
1.210,577.528,0.085851
1.220,32.426,0.035500
1.230,32.573,0.031025
1.240,32.330,0.010746
1.250,32.333,0.040408
1.260,32.435,0.068340
1.270,196.175,0.102878
