time,frequency,confidence
0.000,603.533,0.058652
0.010,656.834,0.087291
0.020,663.362,0.055273
0.030,591.241,0.088504
0.040,1260.677,0.017809
0.050,1261.485,0.017926
0.060,1261.167,0.017743
0.070,1261.312,0.017268
0.080,560.887,0.153163
0.090,223.580,0.110878
0.100,223.159,0.072444
0.110,32.408,0.213121
0.120,42.700,0.246329
0.130,42.373,0.408657
0.140,42.766,0.067487
0.150,49.845,0.077492
0.160,48.887,0.165153
0.170,47.799,0.046429
0.180,44.220,0.062383
0.190,43.857,0.040427
0.200,39.911,0.092515
0.210,39.912,0.033590
0.220,53.638,0.044813
0.230,1445.305,0.009609
0.240,995.421,0.020492
0.250,35.054,0.071596
0.260,32.966,0.030436
0.270,32.966,0.112758
0.280,39.878,0.176050
0.290,41.290,0.498792
0.300,41.485,0.358451
0.310,46.102,0.021945
0.320,46.435,0.033213
0.330,1418.806,0.013084
0.340,39.510,0.124236
0.350,39.449,0.086933
0.360,1969.224,0.030611
0.370,1317.076,0.036720
0.380,1301.332,0.027201
0.390,1309.654,0.010461
0.400,39.930,0.465699
0.410,32.791,0.015721
0.420,1234.552,0.015687
0.430,665.283,0.059427
0.440,660.616,0.060109
0.450,659.286,0.091205
0.460,648.532,0.093018
0.470,646.351,0.095521
0.480,647.309,0.085735
0.490,650.024,0.068699
0.500,599.218,0.065166
0.510,656.724,0.096220
0.520,547.296,0.118881
0.530,577.443,0.257756
0.540,325.995,0.059086
0.550,32.165,0.040754
0.560,34.376,0.127574
0.570,34.470,0.277007
0.580,34.498,0.288911
0.590,79.673,0.095436
0.600,79.069,0.056379
0.610,133.253,0.021761
0.620,32.516,0.299648
0.630,248.736,0.200218
0.640,251.038,0.145132
0.650,253.615,0.415156
0.660,260.388,0.131201
0.670,133.081,0.192767
0.680,134.547,0.275594
0.690,146.089,0.158892
0.700,32.563,0.011971
0.710,32.243,0.034545
0.720,1869.356,0.005909
0.730,1420.294,0.005196
0.740,140.826,0.005556
0.750,167.583,0.032905
0.760,167.703,0.092588
0.770,169.241,0.239412
0.780,174.994,0.364830
0.790,168.582,0.291524
0.800,166.095,0.445231
0.810,33.321,0.325964
0.820,580.517,0.084526
0.830,586.027,0.056310
0.840,1030.945,0.022721
0.850,1967.587,0.013128
0.860,1962.075,0.016659
0.870,1962.714,0.021505
0.880,1952.488,0.036342
0.890,98.926,0.022548
0.900,968.698,0.034129
0.910,34.097,0.022969
0.920,33.506,0.824710
0.930,33.807,0.482185
0.940,33.716,0.779478
0.950,33.724,0.880218
0.960,33.835,0.882447
0.970,33.745,0.654132
0.980,233.042,0.067005
0.990,32.650,0.028571
1.000,32.978,0.006603
1.010,32.876,0.007213
1.020,1966.510,0.001497
1.030,99.173,0.004356
1.040,1395.741,0.110907
1.050,1396.181,0.038328
