time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055955
0.040,1958.538,0.013986
0.050,1958.527,0.013930
0.060,1958.525,0.013944
0.070,1958.525,0.013944
0.080,1958.521,0.013943
0.090,1958.519,0.013955
0.100,1958.528,0.013978
0.110,1958.562,0.014035
0.120,1958.597,0.014081
0.130,1958.615,0.014138
0.140,1958.611,0.014127
0.150,1958.611,0.014127
0.160,1958.612,0.014126
0.170,1958.614,0.014132
0.180,1958.613,0.014133
0.190,1958.615,0.014135
0.200,1958.617,0.014132
0.210,1958.613,0.014133
0.220,1958.619,0.014143
0.230,1958.620,0.014144
0.240,1958.620,0.014143
0.250,1958.621,0.014151
0.260,1958.621,0.014156
0.270,1958.627,0.014156
0.280,1958.630,0.014157
0.290,1958.628,0.014150
0.300,1958.621,0.014143
0.310,1958.625,0.014147
0.320,1958.625,0.014147
0.330,1958.625,0.014147
0.340,1958.625,0.014147
0.350,1958.625,0.014147
0.360,1958.625,0.014147
0.370,1958.623,0.014146
0.380,1958.621,0.014140
0.390,1958.621,0.014143
0.400,1958.616,0.014141
0.410,1958.619,0.014146
0.420,1958.619,0.014127
0.430,1958.607,0.014100
0.440,1958.573,0.014040
0.450,1958.531,0.013977
0.460,1958.516,0.013916
0.470,1958.516,0.013926
0.480,1958.520,0.013920
0.490,1958.509,0.013919
0.500,1958.509,0.013926
0.510,1958.509,0.013926
0.520,1958.509,0.013926
0.530,1958.513,0.013931
0.540,1958.511,0.013939
0.550,1958.505,0.013933
0.560,1958.508,0.013930
0.570,1958.513,0.013926
0.580,1958.512,0.013926
0.590,1958.507,0.013931
0.600,226.338,0.080290
0.610,150.094,0.088671
0.620,32.342,0.020080
0.630,32.283,0.026794
0.640,139.103,0.032433
0.650,32.431,0.037117
0.660,1086.754,0.004173
0.670,1880.448,0.002178
0.680,81.360,0.005981
0.690,157.018,0.014221
0.700,164.010,0.041572
0.710,974.131,0.020656
0.720,1960.484,0.010663
0.730,1958.511,0.013997
0.740,1958.513,0.014012
0.750,1958.511,0.014015
0.760,1958.515,0.014004
0.770,1958.522,0.013994
0.780,1958.521,0.013991
0.790,1958.521,0.013999
0.800,1958.520,0.013996
0.810,551.565,0.243808
0.820,263.865,0.059654
0.830,32.454,0.042596
0.840,32.552,0.094014
0.850,32.698,0.013385
0.860,54.875,0.015126
0.870,662.122,0.043914
0.880,664.759,0.417451
0.890,1958.480,0.013983
0.900,1958.479,0.013998
0.910,1958.480,0.014012
0.920,1958.487,0.014013
0.930,1958.483,0.014019
0.940,278.128,0.126689
0.950,148.736,0.103727
0.960,147.499,0.043629
0.970,32.485,0.133734
0.980,32.906,0.023106
0.990,86.467,0.017509
1.000,531.665,0.040365
1.010,662.705,0.198052
1.020,1958.490,0.014055
1.030,1958.486,0.014065
1.040,1958.485,0.014065
1.050,1958.487,0.014055
1.060,1958.487,0.014051
1.070,1958.482,0.014043
1.080,1958.481,0.014049
1.090,1958.480,0.014025
1.100,1958.489,0.014014
1.110,1958.490,0.014000
1.120,577.361,0.086967
1.130,579.285,0.068827
1.140,186.017,0.032487
1.150,32.548,0.017856
1.160,50.195,0.033100
1.170,49.679,0.040021
1.180,49.485,0.017379
1.190,660.538,0.011644
1.200,643.091,0.068181
1.210,547.600,0.049576
1.220,1170.093,0.032860
1.230,1967.395,0.004565
1.240,1960.298,0.003519
1.250,1963.388,0.004563
1.260,1964.234,0.009858
1.270,1967.257,0.030820
1.280,973.913,0.054658
1.290,973.761,0.056335
1.300,55.299,0.011146
1.310,33.597,0.057099
1.320,32.404,0.003777
1.330,55.338,0.009054
1.340,80.825,0.043058
1.350,54.318,0.023133
1.360,98.650,0.052154
1.370,98.793,0.273775
1.380,99.842,0.538507
1.390,99.561,0.468874
1.400,99.333,0.067922
1.410,540.213,0.060765
1.420,1958.420,0.013865
1.430,554.474,0.134293
1.440,555.630,0.037355
1.450,32.316,0.021938
1.460,32.175,0.073477
1.470,32.190,0.062714
1.480,139.136,0.003240
1.490,698.492,0.003628
1.500,709.955,0.016988
1.510,648.744,0.048636
1.520,544.075,0.066522
1.530,1958.447,0.013922
1.540,1958.457,0.013899
1.550,1958.475,0.013927
1.560,549.814,0.085904
1.570,557.340,0.108921
1.580,32.325,0.055899
1.590,32.162,0.284030
1.600,32.131,0.144584
1.610,49.448,0.006662
1.620,54.313,0.007361
1.630,710.160,0.025367
1.640,588.392,0.057968
1.650,534.814,0.066553
1.660,1958.511,0.013985
1.670,1958.514,0.014004
1.680,1958.502,0.014010
1.690,1958.503,0.013996
1.700,1958.498,0.013968
1.710,1958.497,0.013945
1.720,1958.507,0.013925
1.730,1958.513,0.013931
1.740,551.869,0.173402
1.750,149.770,0.047033
1.760,32.169,0.016433
1.770,32.219,0.151732
1.780,32.031,0.038005
1.790,54.108,0.020017
1.800,106.554,0.050134
1.810,638.344,0.042436
1.820,658.615,0.098633
1.830,554.492,0.114094
1.840,560.184,0.110664
1.850,564.879,0.043743
1.860,1105.544,0.010148
1.870,1965.067,0.009740
1.880,1960.686,0.008169
1.890,1963.641,0.008790
1.900,1965.378,0.007757
1.910,975.401,0.013877
1.920,975.436,0.086123
1.930,979.697,0.081788
1.940,657.660,0.037188
1.950,394.338,0.024222
1.960,968.332,0.004421
1.970,32.291,0.002554
1.980,578.345,0.097569
1.990,593.894,0.063610
2.000,395.132,0.053050
2.010,655.663,0.056626
2.020,659.033,0.095114
2.030,591.242,0.039609
2.040,541.426,0.157126
2.050,551.498,0.298282
2.060,582.243,0.215868
2.070,43.204,0.040486
2.080,32.856,0.056537
2.090,990.140,0.031232
2.100,993.599,0.011331
2.110,979.604,0.044187
2.120,541.973,0.105420
2.130,0.000,nan
2.140,0.000,nan
2.150,0.000,nan
2.160,0.000,nan
2.170,0.000,nan
2.180,551.163,0.238666
2.190,581.681,0.222561
2.200,44.577,0.026798
2.210,32.761,0.073530
2.220,32.697,0.017912
2.230,994.451,0.009337
2.240,982.740,0.046443
2.250,543.645,0.141070
2.260,0.000,nan
2.270,0.000,nan
2.280,0.000,nan
2.290,0.000,nan
2.300,0.000,nan
2.310,0.000,nan
2.320,0.000,nan
2.330,0.000,nan
2.340,0.000,nan
2.350,0.000,nan
2.360,551.779,0.273488
2.370,146.262,0.150763
2.380,32.640,0.033288
2.390,33.325,0.071136
2.400,32.689,0.027171
2.410,54.178,0.012638
2.420,983.154,0.035935
2.430,542.021,0.108000
2.440,0.000,nan
2.450,1040.727,0.023739
2.460,564.942,0.088550
2.470,563.744,0.067367
2.480,1305.600,0.012234
2.490,1315.857,0.006149
2.500,1963.116,0.006132
2.510,1968.605,0.007276
2.520,702.687,0.013726
2.530,536.817,0.033102
2.540,654.727,0.028538
2.550,656.335,0.037554
2.560,594.385,0.026823
2.570,1185.460,0.016950
2.580,45.244,0.410621
2.590,45.426,0.151701
2.600,54.085,0.030180
2.610,54.370,0.038512
2.620,538.234,0.063731
2.630,0.000,nan
2.640,0.000,nan
2.650,0.000,nan
2.660,0.000,nan
2.670,0.000,nan
2.680,577.909,0.208913
2.690,148.298,0.181805
2.700,152.145,0.038766
2.710,33.055,0.015868
2.720,1978.985,0.014039
2.730,175.742,0.091957
2.740,526.341,0.086469
2.750,538.872,0.118240
2.760,0.000,nan
2.770,0.000,nan
2.780,0.000,nan
2.790,0.000,nan
2.800,0.000,nan
2.810,578.204,0.139321
2.820,147.277,0.163104
2.830,142.222,0.039482
2.840,32.990,0.023122
2.850,140.611,0.012211
2.860,135.093,0.009212
2.870,531.350,0.034529
2.880,542.329,0.109809
2.890,0.000,nan
2.900,0.000,nan
2.910,0.000,nan
2.920,0.000,nan
2.930,0.000,nan
2.940,0.000,nan
2.950,0.000,nan
2.960,0.000,nan
2.970,0.000,nan
2.980,0.000,nan
2.990,578.244,0.156520
3.000,587.919,0.133418
3.010,147.075,0.059007
3.020,33.132,0.021885
3.030,32.865,0.012124
3.040,1975.511,0.009364
3.050,710.434,0.064996
3.060,542.816,0.097395
3.070,550.218,0.204961
3.080,284.443,0.199486
3.090,32.563,0.034218
3.100,33.288,0.090590
3.110,46.882,0.047724
3.120,47.074,0.036264
3.130,989.496,0.021198
3.140,877.126,0.013812
3.150,1787.231,0.016951
3.160,1970.004,0.007391
3.170,1966.618,0.005479
3.180,1971.593,0.014097
3.190,1967.879,0.040151
3.200,1795.186,0.015044
3.210,1835.512,0.030690
3.220,882.137,0.018172
3.230,876.642,0.015608
3.240,881.498,0.016492
3.250,220.917,0.010891
3.260,217.548,0.007121
3.270,1777.144,0.010357
3.280,935.376,0.015397
3.290,862.713,0.015999
3.300,363.695,0.038320
3.310,363.241,0.037498
3.320,1460.412,0.045461
3.330,35.244,0.042407
3.340,32.378,0.010890
3.350,33.458,0.026572
3.360,33.474,0.023628
3.370,33.072,0.026845
3.380,44.398,0.012466
3.390,44.086,0.059150
3.400,43.777,0.069839
3.410,43.374,0.054277
3.420,1965.305,0.014470
3.430,1163.017,0.025822
3.440,222.251,0.090178
3.450,33.127,0.017692
3.460,33.504,0.161230
3.470,32.743,0.038620
3.480,49.146,0.006647
3.490,717.825,0.112020
3.500,708.376,0.047641
3.510,0.000,nan
3.520,0.000,nan
3.530,0.000,nan
3.540,0.000,nan
3.550,0.000,nan
3.560,0.000,nan
3.570,0.000,nan
3.580,0.000,nan
3.590,545.698,0.029875
3.600,446.553,0.030006
3.610,446.574,0.005648
3.620,1722.257,0.027439
3.630,32.350,0.047546
3.640,32.435,0.014737
3.650,217.667,0.021743
3.660,1113.294,0.012544
3.670,1217.248,0.014110
3.680,223.438,0.030151
3.690,1201.481,0.008274
3.700,327.128,0.078270
3.710,32.155,0.042984
3.720,32.269,0.142855
3.730,32.278,0.008566
3.740,55.193,0.003054
3.750,976.649,0.019557
3.760,884.809,0.017200
3.770,1765.811,0.012074
3.780,1962.197,0.008325
3.790,1070.737,0.007776
3.800,1048.720,0.008234
3.810,1023.260,0.011192
3.820,1021.446,0.008383
3.830,1973.839,0.012641
3.840,1201.946,0.018576
3.850,1853.716,0.006537
3.860,1223.460,0.007979
3.870,1238.196,0.011158
3.880,1242.841,0.033717
3.890,1255.401,0.032652
3.900,220.279,0.028766
3.910,32.247,0.010567
3.920,1032.591,0.009347
3.930,204.032,0.032002
3.940,32.496,0.027044
3.950,32.342,0.028715
3.960,1087.177,0.007280
3.970,940.149,0.017290
3.980,32.225,0.021909
3.990,1166.578,0.052421
4.000,397.151,0.051729
4.010,603.424,0.087928
4.020,396.333,0.060543
4.030,598.382,0.028010
4.040,1192.802,0.008968
4.050,931.779,0.016144
4.060,935.021,0.022397
4.070,33.356,0.008506
4.080,33.404,0.008528
4.090,890.398,0.015501
4.100,991.114,0.006971
4.110,923.014,0.004473
4.120,32.124,0.018962
4.130,35.436,0.176936
