time,frequency,confidence
0.000,647.098,0.069695
0.010,648.121,0.086740
0.020,288.936,0.032276
0.030,581.579,0.275708
0.040,44.911,0.025296
0.050,32.791,0.150077
0.060,45.014,0.076476
0.070,54.845,0.124082
0.080,119.007,0.060123
0.090,700.885,0.023389
0.100,660.354,0.126295
0.110,658.329,0.079123
0.120,1488.213,0.032478
0.130,575.882,0.334692
0.140,578.743,0.072320
0.150,589.933,0.075814
0.160,597.461,0.068016
0.170,597.626,0.064863
0.180,652.452,0.091646
0.190,591.160,0.055945
0.200,589.708,0.044817
0.210,1957.625,0.014651
0.220,1957.622,0.014648
0.230,1957.626,0.014643
0.240,1957.628,0.014644
0.250,1957.625,0.014638
0.260,1957.629,0.014640
0.270,1957.632,0.014642
0.280,1957.633,0.014639
0.290,1957.632,0.014643
0.300,1957.632,0.014643
0.310,1957.632,0.014643
0.320,1957.632,0.014643
0.330,1957.632,0.014643
0.340,1957.632,0.014643
0.350,1957.632,0.014643
0.360,1957.632,0.014643
0.370,1957.632,0.014643
0.380,1957.632,0.014643
0.390,1957.629,0.014645
0.400,1957.632,0.014640
0.410,1957.633,0.014638
0.420,1957.634,0.014617
0.430,1957.637,0.014592
0.440,1957.458,0.014346
0.450,1039.816,0.024545
0.460,1035.866,0.027418
0.470,659.609,0.068274
0.480,651.909,0.138091
0.490,652.046,0.139161
0.500,657.982,0.102154
0.510,985.156,0.011325
0.520,660.004,0.106660
0.530,645.082,0.121655
0.540,588.720,0.055926
0.550,289.915,0.243325
0.560,266.266,0.217921
0.570,301.618,0.035728
0.580,140.432,0.014635
0.590,140.588,0.007186
0.600,134.561,0.050010
0.610,240.431,0.035967
0.620,950.357,0.016734
0.630,32.103,0.061873
0.640,32.136,0.129273
0.650,140.472,0.020630
0.660,138.855,0.037766
0.670,135.885,0.046522
0.680,1811.853,0.015240
0.690,39.155,0.079830
0.700,134.812,0.021472
0.710,44.268,0.357460
0.720,43.539,0.349179
0.730,34.343,0.023549
0.740,81.236,0.264146
0.750,83.198,0.026958
0.760,1874.276,0.008058
0.770,233.082,0.021081
0.780,1177.746,0.022625
0.790,1213.585,0.014637
0.800,1235.458,0.036436
0.810,1231.027,0.013002
0.820,160.689,0.030993
0.830,85.594,0.079355
0.840,580.797,0.301667
0.850,579.152,0.131089
0.860,397.618,0.069167
0.870,454.831,0.019927
0.880,1030.008,0.002582
0.890,1040.024,0.024505
0.900,697.177,0.045716
0.910,662.118,0.034753
0.920,660.339,0.035864
0.930,660.156,0.028861
0.940,1974.798,0.011288
0.950,646.885,0.033224
0.960,326.544,0.154189
0.970,657.219,0.066439
0.980,883.137,0.031841
0.990,399.422,0.088502
1.000,396.033,0.072135
1.010,631.641,0.088692
1.020,637.614,0.029422
1.030,99.993,0.026319
1.040,597.513,0.063100
1.050,650.357,0.082900
1.060,650.399,0.066997
1.070,294.980,0.073797
1.080,32.106,0.012367
1.090,950.866,0.021123
1.100,656.962,0.100018
1.110,646.740,0.115577
1.120,577.381,0.298140
1.130,32.653,0.071522
1.140,32.935,0.043553
1.150,32.729,0.062241
1.160,40.922,0.020984
1.170,40.753,0.011551
1.180,978.847,0.013869
1.190,964.560,0.042838
1.200,942.481,0.214265
1.210,940.324,0.072701
1.220,991.287,0.032843
1.230,1961.803,0.007006
1.240,128.135,0.022164
1.250,963.966,0.032151
1.260,592.266,0.034037
1.270,881.173,0.021777
1.280,727.578,0.075326
1.290,718.825,0.151992
1.300,720.328,0.058963
1.310,719.563,0.038423
1.320,581.386,0.248296
1.330,587.640,0.139666
1.340,595.079,0.044262
1.350,32.441,0.022826
1.360,694.475,0.014225
1.370,697.863,0.047399
1.380,707.079,0.053082
1.390,1403.482,0.017935
1.400,1386.031,0.026506
1.410,539.484,0.241921
1.420,539.434,0.178256
1.430,253.223,0.109805
1.440,1108.390,0.022328
1.450,1114.765,0.015060
1.460,1972.983,0.018242
1.470,1014.756,0.037647
1.480,976.349,0.070912
1.490,1411.316,0.094799
1.500,1422.903,0.051089
1.510,1430.313,0.033145
1.520,1432.173,0.054154
1.530,1426.426,0.120463
1.540,1429.998,0.083257
1.550,480.535,0.090901
1.560,475.417,0.272676
1.570,236.339,0.183530
1.580,236.736,0.210227
1.590,118.711,0.346409
1.600,118.683,0.229589
1.610,237.853,0.320444
1.620,327.510,0.076503
1.630,42.003,0.043947
1.640,1509.404,0.058479
1.650,1443.390,0.065785
1.660,1424.645,0.163350
1.670,1418.800,0.144942
1.680,356.636,0.155110
1.690,356.871,0.174154
1.700,289.809,0.095209
1.710,295.644,0.049866
1.720,1100.548,0.022466
1.730,1824.119,0.006848
1.740,1232.916,0.004754
1.750,1038.335,0.010850
1.760,966.968,0.016714
1.770,963.215,0.059079
1.780,1428.715,0.016797
