time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,0.000,nan
0.340,0.000,nan
0.350,0.000,nan
0.360,0.000,nan
0.370,0.000,nan
0.380,0.000,nan
0.390,0.000,nan
0.400,0.000,nan
0.410,0.000,nan
0.420,0.000,nan
0.430,0.000,nan
0.440,0.000,nan
0.450,0.000,nan
0.460,0.000,nan
0.470,0.000,nan
0.480,0.000,nan
0.490,0.000,nan
0.500,0.000,nan
0.510,0.000,nan
0.520,0.000,nan
0.530,0.000,nan
0.540,0.000,nan
0.550,0.000,nan
0.560,0.000,nan
0.570,0.000,nan
0.580,0.000,nan
0.590,0.000,nan
0.600,224.122,0.157820
0.610,32.297,0.033150
0.620,34.036,0.096287
0.630,32.345,0.675344
0.640,32.217,0.506374
0.650,32.348,0.311999
0.660,848.768,0.304812
0.670,31.981,0.113805
0.680,224.096,0.071084
0.690,1046.789,0.097309
0.700,32.404,0.142393
0.710,1018.477,0.137225
0.720,1037.927,0.080325
0.730,698.917,0.109156
0.740,1328.843,0.081939
0.750,1430.180,0.084951
0.760,1443.350,0.048992
0.770,32.285,0.020815
0.780,864.701,0.060637
0.790,1725.280,0.111370
0.800,1695.907,0.230444
0.810,1690.256,0.112976
0.820,1675.415,0.044996
0.830,1781.831,0.046308
0.840,302.499,0.094000
0.850,285.981,0.078108
0.860,32.347,0.083366
0.870,36.027,0.123224
0.880,144.976,0.082531
0.890,1262.646,0.083368
0.900,35.696,0.031640
0.910,35.840,0.017575
0.920,56.166,0.013985
0.930,34.170,0.075889
0.940,32.944,0.102192
0.950,32.342,0.083260
0.960,165.002,0.057194
0.970,161.821,0.052242
0.980,33.966,0.027510
0.990,37.583,0.120657
1.000,32.492,0.068668
1.010,32.356,0.009826
1.020,1234.845,0.022800
1.030,32.211,0.019393
1.040,49.910,0.072537
1.050,48.860,0.424753
1.060,48.175,0.116358
1.070,113.881,0.059703
1.080,56.505,0.033059
1.090,114.892,0.021706
1.100,195.652,0.144473
1.110,97.211,0.049805
1.120,283.238,0.079679
1.130,284.716,0.149956
1.140,283.338,0.089594
1.150,280.503,0.038830
1.160,32.602,0.086782
1.170,287.710,0.143596
1.180,223.693,0.094285
1.190,285.076,0.194682
1.200,289.995,0.082055
1.210,32.232,0.042553
1.220,32.282,0.026519
1.230,32.137,0.038277
1.240,1436.897,0.058119
1.250,1444.204,0.026087
1.260,32.110,0.004566
1.270,32.195,0.017797
1.280,204.221,0.039844
1.290,204.486,0.023767
1.300,1288.704,0.013310
1.310,32.281,0.049088
1.320,32.426,0.448602
1.330,32.567,0.287967
1.340,32.667,0.201247
1.350,32.285,0.049462
1.360,32.402,0.195019
1.370,32.588,0.335899
1.380,33.624,0.267515
1.390,54.963,0.010486
1.400,32.353,0.012494
1.410,33.039,0.203818
1.420,32.491,0.064841
1.430,54.190,0.023093
1.440,1226.417,0.016032
1.450,33.914,0.180782
1.460,32.220,0.007985
1.470,318.297,0.014104
1.480,320.354,0.059355
1.490,580.682,0.213783
1.500,576.209,0.209119
1.510,576.769,0.147583
1.520,32.924,0.141824
1.530,301.721,0.043039
1.540,664.873,0.051345
1.550,933.773,0.084475
1.560,928.754,0.053325
1.570,920.575,0.068841
1.580,141.934,0.058311
1.590,35.745,0.383226
1.600,257.342,0.199718
1.610,33.642,0.204010
1.620,33.590,0.803503
1.630,33.013,0.059976
1.640,243.832,0.015186
1.650,210.655,0.007480
1.660,32.218,0.053378
1.670,36.014,0.031825
1.680,37.088,0.006656
1.690,140.213,0.011598
1.700,133.483,0.015433
1.710,33.082,0.031295
1.720,1315.649,0.005472
1.730,1320.745,0.052059
1.740,1414.405,0.162315
1.750,1433.144,0.375832
1.760,1435.613,0.405942
1.770,1438.337,0.577699
1.780,1439.172,0.666408
1.790,1449.333,0.552186
1.800,1451.603,0.445756
1.810,1452.062,0.519036
1.820,1465.652,0.610341
