time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,549.489,0.045294
0.250,554.469,0.176699
0.260,664.790,0.210519
0.270,671.119,0.051105
0.280,32.495,0.179484
0.290,32.407,0.034070
0.300,1963.053,0.020826
0.310,1863.158,0.013841
0.320,138.413,0.026933
0.330,1039.418,0.038667
0.340,1965.463,0.011988
0.350,1920.507,0.006662
0.360,151.283,0.083560
0.370,156.676,0.022994
0.380,159.772,0.020109
0.390,157.434,0.173830
0.400,175.428,0.178073
0.410,175.926,0.199428
0.420,49.098,0.020031
0.430,140.057,0.014061
0.440,32.259,0.005466
0.450,41.119,0.020885
0.460,40.972,0.041575
0.470,40.945,0.116020
0.480,1971.946,0.016410
0.490,1963.080,0.014184
0.500,203.970,0.040554
0.510,646.269,0.038674
0.520,35.060,0.033432
0.530,34.792,0.304775
0.540,657.134,0.022849
0.550,588.838,0.157215
0.560,147.986,0.203695
0.570,307.304,0.052936
0.580,32.360,0.093315
0.590,32.529,0.035735
0.600,1183.345,0.027435
0.610,1196.923,0.028161
0.620,1950.677,0.047372
0.630,647.895,0.198191
0.640,706.560,0.041500
0.650,1031.612,0.031889
0.660,636.612,0.063802
0.670,659.260,0.035187
0.680,1970.658,0.030139
0.690,578.146,0.170896
0.700,581.677,0.243425
0.710,1159.971,0.073067
0.720,1161.476,0.015871
0.730,33.438,0.011388
0.740,33.457,0.074255
0.750,33.490,0.012718
0.760,1964.751,0.011986
0.770,662.668,0.079246
0.780,700.533,0.083044
0.790,706.553,0.046649
0.800,664.022,0.021860
0.810,33.267,0.046909
0.820,33.274,0.007192
0.830,556.342,0.275607
0.840,353.993,0.152343
0.850,324.872,0.247698
0.860,324.730,0.101432
0.870,268.041,0.090561
0.880,44.464,0.104714
0.890,44.009,0.062857
0.900,32.994,0.030950
0.910,515.523,0.038238
0.920,519.267,0.225853
0.930,174.843,0.158781
0.940,493.587,0.054088
0.950,632.055,0.029440
0.960,521.152,0.040346
0.970,521.519,0.087298
0.980,131.415,0.339152
0.990,131.643,0.072549
1.000,261.056,0.211085
1.010,259.512,0.374210
1.020,260.403,0.469385
1.030,261.657,0.449496
1.040,263.662,0.186250
1.050,266.445,0.091132
1.060,270.424,0.043580
1.070,275.691,0.105003
1.080,275.803,0.175519
1.090,38.210,0.095139
1.100,38.584,0.154621
1.110,38.465,0.203003
1.120,38.430,0.017252
1.130,582.000,0.094350
1.140,150.831,0.036076
1.150,1313.741,0.030460
1.160,33.009,0.027473
1.170,1972.633,0.010083
1.180,1968.196,0.009751
1.190,1233.153,0.008913
1.200,1245.661,0.020966
1.210,1299.914,0.014724
1.220,649.049,0.015629
1.230,638.435,0.063621
1.240,287.047,0.032713
1.250,287.098,0.056480
