time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1042.044,0.018861
0.210,34.312,0.010258
0.220,545.781,0.112621
0.230,575.910,0.087149
0.240,322.469,0.118216
0.250,323.146,0.052010
0.260,32.301,0.010336
0.270,32.500,0.026353
0.280,32.150,0.009968
0.290,97.675,0.012646
0.300,539.257,0.019592
0.310,32.079,0.032014
0.320,32.079,0.007519
0.330,88.232,0.233549
0.340,85.978,0.355979
0.350,85.573,0.529552
0.360,85.571,0.335566
0.370,88.441,0.052096
0.380,44.511,0.472311
0.390,44.421,0.939947
0.400,44.307,0.881528
0.410,44.224,0.611175
0.420,54.821,0.018397
0.430,82.837,0.113173
0.440,590.657,0.034495
0.450,934.593,0.016220
0.460,34.394,0.058698
0.470,34.014,0.172095
0.480,33.902,0.579555
0.490,33.569,0.021875
0.500,32.271,0.020827
0.510,155.781,0.138227
0.520,320.846,0.142323
0.530,326.983,0.018161
0.540,1323.944,0.006799
0.550,979.605,0.006207
0.560,1405.027,0.005001
0.570,649.371,0.007775
0.580,142.455,0.021419
0.590,141.150,0.048637
0.600,105.576,0.033047
0.610,86.480,0.030659
0.620,81.971,0.017678
0.630,62.875,0.043716
0.640,61.838,0.340316
0.650,219.896,0.056158
0.660,221.211,0.082871
0.670,172.954,0.135548
0.680,174.321,0.243896
0.690,177.152,0.107282
0.700,178.149,0.079492
0.710,179.233,0.058523
0.720,32.360,0.025663
0.730,91.513,0.044812
0.740,91.348,0.409060
0.750,90.186,0.596588
0.760,89.307,0.832223
0.770,89.164,0.914312
0.780,88.993,0.896808
0.790,88.972,0.870904
0.800,89.759,0.491474
0.810,174.252,0.119308
0.820,32.242,0.049583
0.830,48.133,0.071229
0.840,33.742,0.044969
0.850,482.127,0.276095
0.860,485.903,0.179448
0.870,491.896,0.227192
0.880,492.214,0.120734
0.890,500.220,0.030146
0.900,500.546,0.099162
0.910,297.787,0.051216
0.920,86.543,0.116197
0.930,88.012,0.015205
0.940,94.991,0.006347
0.950,444.610,0.055858
0.960,271.761,0.286706
0.970,278.478,0.421024
0.980,283.746,0.171526
0.990,34.048,0.090925
1.000,45.697,0.073199
1.010,54.889,0.026394
1.020,32.155,0.018765
1.030,152.546,0.071464
1.040,631.940,0.028465
1.050,272.490,0.090650
1.060,276.526,0.123092
1.070,283.616,0.233022
1.080,283.500,0.139641
1.090,283.636,0.079417
1.100,280.169,0.029091
1.110,275.469,0.019505
1.120,34.477,0.034462
1.130,34.707,0.201973
1.140,34.688,0.018510
1.150,81.094,0.021187
1.160,33.071,0.025491
1.170,88.117,0.014760
1.180,1876.616,0.023144
1.190,139.117,0.027962
1.200,45.362,0.041869
1.210,135.220,0.155878
1.220,133.162,0.106907
1.230,55.672,0.848057
1.240,56.120,0.353888
1.250,279.847,0.327416
1.260,280.102,0.730182
1.270,280.058,0.677265
1.280,278.410,0.710227
1.290,278.611,0.617629
1.300,277.537,0.405535
1.310,141.607,0.199235
1.320,147.827,0.054465
1.330,159.028,0.101664
1.340,162.803,0.236217
1.350,162.213,0.240065
1.360,158.510,0.192567
1.370,391.226,0.091062
1.380,382.656,0.066974
1.390,326.808,0.025589
1.400,1893.368,0.024610
1.410,1897.956,0.029129
1.420,1844.864,0.015832
1.430,1831.404,0.017022
1.440,57.938,0.058350
1.450,57.852,0.053683
1.460,57.754,0.026381
1.470,289.169,0.176071
1.480,290.410,0.170259
1.490,294.083,0.651637
1.500,295.279,0.784676
1.510,293.843,0.740136
1.520,291.695,0.681012
1.530,289.483,0.498922
1.540,289.839,0.267371
1.550,175.282,0.051700
1.560,233.108,0.042747
1.570,290.331,0.085618
1.580,180.342,0.104870
1.590,178.121,0.109368
1.600,175.536,0.551044
1.610,174.476,0.497098
1.620,58.474,0.481588
1.630,58.505,0.774172
1.640,58.298,0.642857
1.650,233.690,0.049184
1.660,1761.483,0.036509
1.670,1776.499,0.042248
1.680,1781.999,0.041155
1.690,1831.092,0.013234
1.700,1839.886,0.013509
1.710,637.106,0.025289
1.720,659.711,0.051893
1.730,660.176,0.046669
1.740,647.831,0.052710
1.750,969.684,0.043108
1.760,936.756,0.049383
1.770,61.606,0.029972
1.780,579.663,0.317014
1.790,581.154,0.384536
1.800,586.893,0.124777
1.810,32.685,0.057453
1.820,33.703,0.053338
1.830,35.658,0.017817
1.840,35.754,0.044444
1.850,35.389,0.030753
1.860,33.516,0.048786
1.870,33.611,0.148460
1.880,132.732,0.007535
1.890,32.128,0.020471
1.900,289.023,0.059289
1.910,294.427,0.330462
1.920,294.543,0.488158
1.930,297.570,0.029783
1.940,285.926,0.056435
1.950,32.113,0.034710
1.960,32.469,0.079339
1.970,1313.461,0.011715
1.980,1256.218,0.002195
1.990,1251.739,0.005707
2.000,985.355,0.008882
2.010,984.209,0.023281
2.020,987.482,0.010576
2.030,1051.683,0.011530
2.040,660.259,0.032055
2.050,592.357,0.042761
2.060,1165.615,0.058739
2.070,587.956,0.076488
2.080,589.095,0.113656
2.090,594.714,0.093891
2.100,243.899,0.072994
2.110,242.264,0.058672
2.120,660.174,0.041765
2.130,500.292,0.066266
2.140,657.662,0.075425
2.150,658.074,0.063335
2.160,635.313,0.063720
2.170,643.130,0.029004
2.180,1226.578,0.029520
2.190,1825.480,0.049570
2.200,287.144,0.029850
2.210,579.217,0.148607
2.220,587.064,0.148730
2.230,590.762,0.078929
2.240,1821.063,0.023564
2.250,1837.066,0.020629
2.260,1839.599,0.011936
2.270,1185.613,0.019859
2.280,1181.936,0.032491
2.290,1188.220,0.019583
2.300,1185.512,0.014656
2.310,638.605,0.046106
2.320,645.422,0.086421
2.330,657.622,0.070332
2.340,591.447,0.048945
2.350,586.983,0.063337
2.360,585.555,0.145638
2.370,150.326,0.094116
2.380,155.625,0.054236
2.390,1177.579,0.017634
2.400,1164.598,0.022566
2.410,1179.748,0.033219
2.420,1229.004,0.029880
2.430,965.516,0.028538
2.440,141.950,0.051516
2.450,134.773,0.061606
2.460,206.768,0.129449
2.470,203.037,0.181435
2.480,188.370,0.090339
2.490,194.188,0.066355
2.500,269.674,0.328819
2.510,270.256,0.221043
2.520,270.798,0.126648
2.530,1853.126,0.077159
2.540,258.545,0.110726
2.550,79.778,0.079718
2.560,78.112,0.068087
2.570,32.309,0.020632
2.580,32.165,0.490675
2.590,196.442,0.144561
2.600,195.162,0.261728
2.610,65.360,0.793675
2.620,64.924,0.813925
2.630,64.554,0.189710
2.640,177.973,0.045863
2.650,157.948,0.147802
2.660,162.028,0.061548
2.670,38.886,0.053239
2.680,33.145,0.379330
2.690,33.357,0.534293
2.700,33.071,0.673655
2.710,32.805,0.667393
2.720,32.965,0.863143
2.730,32.912,0.591550
2.740,32.852,0.124188
2.750,197.468,0.287607
2.760,66.395,0.368006
2.770,65.832,0.377892
2.780,196.056,0.078668
2.790,355.194,0.063412
2.800,361.503,0.041435
2.810,362.327,0.034979
2.820,360.736,0.020002
2.830,349.957,0.042350
2.840,638.577,0.058848
2.850,636.165,0.038003
2.860,1035.387,0.027769
2.870,658.827,0.047196
2.880,656.950,0.074802
2.890,941.921,0.061443
2.900,65.711,0.589689
2.910,32.773,0.101071
2.920,577.000,0.456928
2.930,573.723,0.184927
2.940,32.395,0.062713
2.950,36.089,0.160188
2.960,34.285,0.234934
2.970,32.946,0.078889
2.980,1885.651,0.054566
2.990,1035.583,0.027198
3.000,1972.704,0.021510
3.010,32.927,0.014680
3.020,65.712,0.127007
3.030,263.842,0.224720
3.040,65.906,0.510505
3.050,65.827,0.157422
3.060,242.070,0.374927
3.070,244.021,0.317027
3.080,230.651,0.028743
3.090,32.247,0.009076
3.100,32.345,0.004934
3.110,993.732,0.008002
3.120,1024.834,0.013310
3.130,1046.817,0.017702
3.140,98.294,0.005521
3.150,1045.604,0.006399
3.160,189.898,0.029971
3.170,154.631,0.100085
3.180,62.917,0.287032
3.190,61.476,0.148648
3.200,134.763,0.053377
3.210,130.590,0.061596
3.220,44.407,0.085883
3.230,176.967,0.082334
3.240,283.615,0.048242
3.250,32.562,0.163750
3.260,32.956,0.377989
3.270,32.638,0.806303
3.280,32.825,0.724218
3.290,32.223,0.059928
3.300,941.320,0.027013
3.310,660.776,0.059816
3.320,659.208,0.047896
3.330,645.412,0.108429
3.340,579.357,0.136364
3.350,586.364,0.184583
3.360,594.707,0.073127
3.370,1824.131,0.042177
3.380,1841.532,0.038717
3.390,1967.240,0.013801
3.400,699.086,0.045884
3.410,661.792,0.047501
3.420,661.807,0.048815
3.430,660.978,0.040359
3.440,657.306,0.075741
3.450,653.130,0.047305
3.460,1024.091,0.051878
3.470,35.323,0.102022
3.480,33.479,0.060182
3.490,658.640,0.015604
3.500,275.680,0.078059
3.510,287.785,0.086843
3.520,32.503,0.065945
3.530,32.264,0.077619
3.540,32.063,0.019462
3.550,31.967,0.018078
3.560,1130.980,0.022832
3.570,1852.618,0.051011
3.580,129.407,0.021097
3.590,1966.421,0.016431
3.600,173.011,0.030901
3.610,169.721,0.137666
3.620,161.572,0.056620
3.630,157.510,0.079779
3.640,236.362,0.069018
3.650,203.481,0.030603
3.660,34.007,0.008538
3.670,34.152,0.013377
3.680,1022.180,0.010162
3.690,156.512,0.016978
3.700,143.155,0.088966
3.710,657.861,0.035665
3.720,186.296,0.040912
3.730,187.297,0.063148
3.740,161.693,0.070870
3.750,62.535,0.226764
3.760,220.940,0.087606
3.770,220.360,0.106922
3.780,175.207,0.099868
3.790,346.118,0.084699
3.800,341.241,0.092782
3.810,39.154,0.059768
3.820,872.019,0.254821
3.830,32.716,0.664035
3.840,32.498,0.761128
3.850,32.822,0.469163
3.860,701.244,0.014889
3.870,660.488,0.015128
3.880,699.146,0.058600
3.890,658.521,0.129457
3.900,579.839,0.134345
3.910,579.760,0.314375
3.920,585.863,0.079433
3.930,396.066,0.102670
3.940,380.788,0.071735
3.950,350.627,0.034018
3.960,402.732,0.030679
3.970,1035.027,0.016673
3.980,657.035,0.031307
3.990,659.546,0.036598
4.000,660.427,0.046438
4.010,659.598,0.066514
4.020,658.059,0.114070
4.030,660.181,0.033976
4.040,578.539,0.329138
4.050,578.207,0.273105
4.060,181.314,0.091140
4.070,287.819,0.079020
4.080,33.190,0.074474
4.090,32.724,0.118940
4.100,496.547,0.081987
4.110,503.042,0.296124
4.120,503.448,0.561017
4.130,501.033,0.354592
