time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,552.188,0.179138
0.160,290.747,0.078095
0.170,344.840,0.076938
0.180,427.234,0.072092
0.190,284.125,0.361827
0.200,144.492,0.080758
0.210,131.136,0.020643
0.220,32.706,0.117996
0.230,32.484,0.423254
0.240,32.400,0.393874
0.250,122.820,0.117366
0.260,123.605,0.350984
0.270,123.378,0.539541
0.280,62.037,0.813422
0.290,61.803,0.939468
0.300,61.637,0.938081
0.310,61.603,0.938825
0.320,61.555,0.943859
0.330,61.690,0.961050
0.340,61.603,0.959212
0.350,61.608,0.958479
0.360,61.693,0.969920
0.370,61.662,0.969156
0.380,61.573,0.225987
0.390,323.542,0.151834
0.400,305.501,0.357044
0.410,304.724,0.261867
0.420,75.952,0.384764
0.430,304.724,0.455218
0.440,303.469,0.679761
0.450,301.161,0.603328
0.460,302.102,0.507589
0.470,305.225,0.155072
0.480,306.571,0.355953
0.490,195.297,0.081253
0.500,192.512,0.070353
0.510,98.354,0.105706
0.520,99.123,0.092926
0.530,198.822,0.045417
0.540,660.371,0.034484
0.550,192.252,0.095360
0.560,193.568,0.560209
0.570,194.418,0.162551
0.580,590.128,0.099327
0.590,631.933,0.080122
0.600,188.992,0.109444
0.610,194.281,0.038729
0.620,195.592,0.027871
0.630,396.871,0.010881
0.640,32.119,0.018685
0.650,128.944,0.011451
0.660,32.174,0.013073
0.670,537.992,0.027706
0.680,585.665,0.107428
0.690,189.412,0.077054
0.700,597.713,0.050310
0.710,651.581,0.054451
0.720,653.004,0.067583
0.730,659.551,0.094649
0.740,706.384,0.067547
0.750,646.915,0.039386
0.760,636.925,0.058849
0.770,320.674,0.047602
0.780,341.156,0.343767
0.790,321.411,0.448974
0.800,312.522,0.532353
0.810,307.798,0.629239
0.820,307.955,0.459752
0.830,307.367,0.628919
0.840,305.237,0.471130
0.850,61.440,0.372066
0.860,303.040,0.332561
0.870,61.176,0.241463
0.880,61.199,0.730429
0.890,61.239,0.884387
0.900,61.282,0.869032
0.910,61.346,0.721962
0.920,123.061,0.852185
0.930,123.260,0.720963
0.940,122.964,0.681090
0.950,122.921,0.824279
0.960,122.339,0.887716
0.970,122.541,0.766821
0.980,122.065,0.128301
0.990,302.787,0.072062
1.000,309.078,0.072484
1.010,32.978,0.084233
1.020,33.444,0.204292
1.030,32.828,0.086589
1.040,49.391,0.042074
1.050,149.095,0.044718
1.060,306.041,0.743165
1.070,305.423,0.479981
1.080,587.449,0.177724
1.090,591.418,0.115403
1.100,305.403,0.061087
1.110,658.913,0.065554
1.120,659.211,0.090808
1.130,646.184,0.107905
1.140,635.123,0.075291
1.150,656.788,0.065644
1.160,192.410,0.146721
1.170,589.316,0.042976
1.180,386.470,0.081862
1.190,192.816,0.144771
1.200,191.363,0.120959
1.210,190.167,0.078518
1.220,391.087,0.066280
1.230,193.516,0.034005
1.240,193.007,0.035544
1.250,32.078,0.010169
1.260,320.317,0.034132
1.270,324.198,0.271990
1.280,332.506,0.408708
1.290,324.579,0.416554
1.300,32.583,0.100732
1.310,305.330,0.027864
1.320,303.205,0.049233
1.330,302.995,0.034726
1.340,153.674,0.168128
1.350,307.649,0.381119
1.360,308.423,0.622088
1.370,309.480,0.572129
1.380,251.981,0.048591
1.390,257.168,0.141794
1.400,165.118,0.061906
1.410,154.159,0.037988
1.420,154.372,0.091195
1.430,155.701,0.109258
1.440,154.380,0.084832
1.450,251.794,0.036324
1.460,249.637,0.726551
1.470,246.559,0.701932
1.480,82.211,0.445781
1.490,82.451,0.824765
1.500,82.487,0.837166
1.510,82.430,0.896619
1.520,82.307,0.889078
1.530,82.377,0.873974
1.540,82.099,0.863510
1.550,81.783,0.861628
1.560,81.253,0.842012
1.570,81.070,0.737222
1.580,80.995,0.217943
1.590,588.232,0.082908
1.600,593.447,0.049572
1.610,656.872,0.046506
1.620,657.139,0.045957
1.630,396.727,0.064665
1.640,635.644,0.048303
1.650,298.631,0.058134
1.660,308.096,0.043591
1.670,189.229,0.065247
1.680,579.320,0.164490
1.690,327.211,0.250414
1.700,326.088,0.189447
1.710,321.850,0.101857
1.720,318.260,0.039674
1.730,133.747,0.032765
1.740,101.121,0.053690
1.750,208.809,0.488112
1.760,207.277,0.804378
1.770,206.665,0.779616
1.780,207.042,0.606486
1.790,103.783,0.590705
1.800,103.350,0.771976
1.810,102.925,0.787621
1.820,102.867,0.745501
1.830,103.301,0.672127
1.840,103.582,0.656686
1.850,209.945,0.469515
1.860,210.044,0.746749
1.870,210.183,0.645877
1.880,105.091,0.521771
1.890,104.318,0.375415
1.900,101.765,0.313280
1.910,101.627,0.212041
1.920,310.186,0.146618
1.930,310.294,0.160009
1.940,321.197,0.094283
1.950,302.429,0.057067
1.960,101.832,0.161533
1.970,198.433,0.264769
1.980,192.140,0.193015
1.990,184.443,0.061276
2.000,95.054,0.122765
2.010,93.063,0.131603
2.020,92.867,0.338991
2.030,46.056,0.255137
2.040,137.547,0.194423
2.050,92.363,0.282972
2.060,92.136,0.730921
2.070,91.827,0.847330
2.080,91.986,0.838143
2.090,92.178,0.853634
2.100,92.122,0.880255
2.110,92.298,0.868193
2.120,92.541,0.863355
2.130,92.755,0.819592
2.140,92.363,0.743226
2.150,91.957,0.598957
2.160,91.646,0.366628
2.170,91.635,0.408764
2.180,92.321,0.237809
2.190,183.996,0.232055
2.200,182.959,0.180181
2.210,178.695,0.090746
2.220,97.871,0.069724
2.230,99.384,0.044035
2.240,593.124,0.047184
2.250,935.859,0.024499
2.260,539.854,0.101211
2.270,582.983,0.156032
2.280,429.380,0.104773
2.290,576.470,0.070403
2.300,324.279,0.051727
2.310,327.538,0.049964
2.320,422.070,0.038978
2.330,704.003,0.044766
2.340,96.915,0.177386
2.350,94.715,0.575520
2.360,93.015,0.664202
2.370,92.465,0.709590
2.380,92.164,0.568944
2.390,91.147,0.491747
2.400,91.212,0.351261
2.410,92.413,0.622741
2.420,92.531,0.726812
2.430,92.307,0.693456
2.440,92.247,0.721428
2.450,92.542,0.758839
2.460,92.780,0.804241
2.470,92.401,0.701597
2.480,92.018,0.632598
2.490,93.962,0.415058
2.500,96.632,0.151871
2.510,306.009,0.075643
2.520,307.743,0.111524
2.530,309.534,0.115593
2.540,100.026,0.098623
2.550,305.625,0.149156
2.560,97.687,0.115801
2.570,148.094,0.099324
2.580,135.143,0.102003
2.590,134.464,0.163721
2.600,32.532,0.172605
2.610,32.353,0.247154
2.620,124.274,0.265213
2.630,123.222,0.383896
2.640,123.125,0.425582
2.650,62.116,0.359191
2.660,61.982,0.927775
2.670,61.762,0.955298
2.680,61.578,0.946840
2.690,61.618,0.947877
2.700,61.648,0.941787
2.710,61.673,0.925668
2.720,61.781,0.942351
2.730,61.649,0.923395
2.740,61.709,0.929461
2.750,61.754,0.932031
2.760,184.024,0.095771
2.770,303.343,0.427489
2.780,302.973,0.487120
2.790,307.263,0.557226
2.800,305.499,0.230541
2.810,303.416,0.280095
2.820,300.963,0.238438
2.830,100.360,0.067562
2.840,313.516,0.108691
2.850,315.052,0.191006
2.860,147.953,0.194957
2.870,149.540,0.060131
2.880,147.610,0.023874
2.890,143.368,0.015744
2.900,142.863,0.026640
2.910,144.578,0.031610
2.920,298.617,0.045750
2.930,302.737,0.169331
2.940,309.268,0.260072
2.950,307.470,0.514830
2.960,307.285,0.549061
2.970,308.915,0.605300
2.980,309.685,0.688362
2.990,310.294,0.565988
3.000,312.415,0.446568
3.010,320.131,0.411631
3.020,320.216,0.124559
3.030,644.819,0.084629
3.040,642.677,0.056745
3.050,1298.431,0.118344
3.060,587.800,0.119446
3.070,189.609,0.107193
3.080,641.805,0.059792
3.090,644.952,0.068111
3.100,657.366,0.062222
3.110,658.184,0.074662
3.120,660.399,0.100102
3.130,651.693,0.148393
3.140,1262.398,0.031471
3.150,354.409,0.100748
3.160,284.881,0.015013
3.170,291.909,0.421975
3.180,57.846,0.441606
3.190,57.616,0.510479
3.200,57.929,0.413871
3.210,58.388,0.155195
3.220,57.785,0.090107
3.230,302.232,0.268445
3.240,61.168,0.686323
3.250,61.187,0.870936
3.260,61.253,0.890720
3.270,61.255,0.891675
3.280,61.192,0.742413
3.290,61.500,0.701584
3.300,123.242,0.697396
3.310,123.638,0.876644
3.320,123.439,0.846772
3.330,123.554,0.865788
3.340,123.806,0.846536
3.350,122.882,0.534538
3.360,242.385,0.064020
3.370,242.089,0.030231
3.380,32.318,0.019484
3.390,972.291,0.046883
3.400,969.231,0.035540
3.410,974.830,0.023855
3.420,713.363,0.015377
3.430,123.794,0.022017
3.440,936.066,0.020809
3.450,580.660,0.231307
3.460,579.594,0.274901
3.470,579.686,0.115173
3.480,322.293,0.063558
3.490,322.380,0.057857
3.500,322.744,0.065252
3.510,649.401,0.074732
3.520,660.634,0.030325
3.530,190.657,0.157785
3.540,190.394,0.089409
3.550,96.489,0.125822
3.560,392.980,0.064586
3.570,189.463,0.085328
3.580,186.515,0.050028
3.590,1262.264,0.032808
3.600,1292.552,0.016626
3.610,872.488,0.006130
3.620,184.000,0.005270
3.630,864.810,0.004716
3.640,212.677,0.008124
3.650,349.118,0.438992
3.660,301.068,0.381240
3.670,301.621,0.490918
3.680,43.545,0.483976
3.690,43.418,0.681683
3.700,76.402,0.118037
3.710,76.824,0.623931
3.720,77.661,0.331438
3.730,154.102,0.141627
3.740,80.771,0.082011
3.750,304.483,0.238183
3.760,78.085,0.080439
3.770,245.664,0.092429
3.780,80.045,0.107216
3.790,79.890,0.091286
3.800,936.031,0.017254
3.810,943.434,0.047287
3.820,244.361,0.060639
3.830,82.471,0.257142
3.840,83.036,0.515758
3.850,82.946,0.705317
3.860,82.710,0.763640
3.870,82.209,0.838793
3.880,81.599,0.868326
3.890,81.343,0.852256
3.900,81.302,0.804980
3.910,81.362,0.752424
3.920,81.046,0.595898
3.930,80.798,0.454732
3.940,80.849,0.404630
3.950,80.913,0.389389
3.960,589.072,0.140515
3.970,593.438,0.162403
3.980,594.843,0.102569
3.990,593.163,0.052586
4.000,32.509,0.047268
4.010,33.084,0.062047
4.020,1184.845,0.025982
4.030,80.162,0.011596
4.040,81.970,0.077631
4.050,579.103,0.213224
4.060,577.535,0.103175
4.070,398.029,0.081044
4.080,163.203,0.122284
4.090,156.422,0.050747
4.100,879.828,0.037212
4.110,871.858,0.022249
4.120,657.842,0.039637
4.130,123.837,0.036687
4.140,122.568,0.280013
4.150,246.199,0.510026
4.160,247.472,0.368233
