time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1958.003,0.014100
0.050,1958.003,0.014072
0.060,1958.003,0.014074
0.070,1958.003,0.014074
0.080,1958.004,0.014072
0.090,1958.002,0.014088
0.100,1958.003,0.014095
0.110,1958.009,0.014114
0.120,1958.018,0.014130
0.130,1958.021,0.014158
0.140,1958.023,0.014165
0.150,1958.021,0.014164
0.160,1958.021,0.014165
0.170,1958.024,0.014165
0.180,1958.024,0.014164
0.190,1958.028,0.014161
0.200,551.242,0.285883
0.210,1040.710,0.019226
0.220,661.019,0.060361
0.230,1061.289,0.024042
0.240,579.795,0.272128
0.250,262.890,0.090841
0.260,290.471,0.109061
0.270,294.926,0.064672
0.280,1788.529,0.015161
0.290,1859.714,0.008777
0.300,1176.430,0.035982
0.310,88.592,0.008280
0.320,140.016,0.019431
0.330,138.108,0.018479
0.340,32.245,0.009229
0.350,137.583,0.028766
0.360,70.094,0.017849
0.370,33.465,0.032467
0.380,50.216,0.421610
0.390,50.342,0.092475
0.400,35.349,0.012928
0.410,35.441,0.440408
0.420,35.242,0.321732
0.430,35.055,0.521762
0.440,34.744,0.604554
0.450,35.002,0.643552
0.460,286.606,0.084120
0.470,326.356,0.245926
0.480,283.076,0.116567
0.490,283.319,0.298556
0.500,68.282,0.128643
0.510,336.912,0.151690
0.520,69.313,0.097371
0.530,1887.287,0.019084
0.540,1071.961,0.018791
0.550,287.584,0.082654
0.560,266.196,0.062080
0.570,32.784,0.074953
0.580,32.992,0.142820
0.590,358.857,0.066484
0.600,358.971,0.422297
0.610,358.319,0.494298
0.620,359.043,0.586737
0.630,357.900,0.226179
0.640,355.187,0.335768
0.650,356.377,0.449627
0.660,1438.453,0.116934
0.670,359.155,0.080312
0.680,362.042,0.072049
0.690,363.105,0.220783
0.700,362.225,0.210612
0.710,356.963,0.105422
0.720,1723.346,0.053993
0.730,579.876,0.049252
0.740,50.354,0.018322
0.750,32.959,0.020183
0.760,32.745,0.062943
0.770,1010.520,0.030695
0.780,995.707,0.014893
0.790,1960.730,0.055048
0.800,1689.006,0.038778
0.810,1254.440,0.029521
0.820,1290.815,0.013650
0.830,1027.934,0.011919
0.840,1321.221,0.010164
0.850,581.963,0.136841
0.860,125.299,0.080319
0.870,126.073,0.092699
0.880,32.241,0.009418
0.890,53.925,0.014353
0.900,288.348,0.182181
0.910,330.626,0.289736
0.920,350.703,0.364635
0.930,352.571,0.179598
0.940,135.721,0.060902
0.950,44.167,0.464653
0.960,44.100,0.200012
0.970,117.978,0.294314
0.980,117.863,0.541988
0.990,117.076,0.587099
1.000,353.211,0.168652
1.010,34.929,0.214250
1.020,343.077,0.470030
1.030,341.308,0.212440
1.040,337.356,0.119056
1.050,337.844,0.194718
1.060,323.623,0.238132
1.070,331.300,0.034279
1.080,54.452,0.050327
1.090,33.120,0.127590
1.100,34.725,0.113323
1.110,69.972,0.123507
1.120,87.763,0.050354
1.130,117.383,0.080463
1.140,661.133,0.114190
1.150,70.835,0.054425
1.160,70.583,0.119377
1.170,70.397,0.088921
1.180,88.236,0.045815
1.190,89.966,0.041747
1.200,88.861,0.010987
1.210,98.098,0.030518
1.220,32.176,0.033441
1.230,32.077,0.046694
1.240,32.166,0.020122
1.250,45.594,0.051702
1.260,44.520,0.114591
1.270,43.789,0.107827
1.280,43.551,0.121167
1.290,32.240,0.010748
1.300,32.026,0.077337
1.310,31.983,0.035987
1.320,32.208,0.009868
1.330,32.028,0.013176
1.340,32.104,0.026248
1.350,31.989,0.079053
1.360,32.024,0.064088
1.370,162.902,0.116365
1.380,160.179,0.243927
1.390,159.838,0.410329
1.400,160.307,0.396691
1.410,52.834,0.399154
1.420,52.829,0.622880
1.430,52.644,0.400769
1.440,155.756,0.157499
1.450,268.480,0.202321
1.460,269.931,0.054855
1.470,268.827,0.135279
1.480,108.676,0.115775
1.490,298.420,0.301630
1.500,317.602,0.734664
1.510,319.475,0.847731
1.520,319.104,0.689847
1.530,318.127,0.654711
1.540,320.802,0.482414
1.550,323.584,0.476871
1.560,325.449,0.276790
1.570,322.566,0.260559
1.580,54.045,0.549843
1.590,319.987,0.272409
1.600,318.814,0.618742
1.610,319.452,0.707604
1.620,318.284,0.847373
1.630,317.437,0.832514
1.640,318.793,0.584690
1.650,161.500,0.049095
1.660,322.108,0.054616
1.670,64.095,0.087861
1.680,32.203,0.081139
1.690,54.211,0.051671
1.700,307.985,0.099295
1.710,305.278,0.294436
1.720,592.816,0.214218
1.730,320.690,0.587688
1.740,322.094,0.613679
1.750,321.383,0.490194
1.760,579.439,0.356718
1.770,291.428,0.138948
1.780,290.312,0.256308
1.790,314.694,0.128908
1.800,32.736,0.190782
1.810,319.704,0.548046
1.820,317.119,0.675046
1.830,317.335,0.554824
1.840,32.656,0.130898
1.850,32.426,0.156193
1.860,53.720,0.304444
1.870,53.346,0.672673
1.880,52.888,0.788360
1.890,52.955,0.822224
1.900,53.009,0.817310
1.910,53.141,0.728529
1.920,53.168,0.626323
1.930,53.289,0.615400
1.940,314.348,0.278728
1.950,53.099,0.550913
1.960,314.318,0.319202
1.970,318.952,0.388948
1.980,272.564,0.282806
1.990,268.496,0.585096
2.000,270.365,0.535394
2.010,319.729,0.555242
2.020,269.494,0.646052
2.030,269.361,0.527133
2.040,316.392,0.481540
2.050,268.030,0.794085
2.060,268.239,0.857954
2.070,268.257,0.909848
2.080,268.812,0.849501
2.090,266.678,0.712821
2.100,264.807,0.484342
2.110,249.735,0.460862
2.120,264.610,0.161763
2.130,347.103,0.539364
2.140,344.618,0.381597
2.150,335.532,0.245590
2.160,265.860,0.289606
2.170,264.789,0.187421
2.180,323.794,0.160354
2.190,52.354,0.213778
2.200,105.148,0.178433
2.210,107.065,0.030469
2.220,52.215,0.070327
2.230,321.248,0.144716
2.240,322.398,0.206322
2.250,33.264,0.280750
2.260,34.316,0.191004
2.270,43.582,0.146532
2.280,43.538,0.324400
2.290,43.863,0.006665
2.300,1868.105,0.008347
2.310,1837.707,0.008018
2.320,132.399,0.129741
2.330,133.624,0.034737
2.340,32.891,0.073339
2.350,211.933,0.110721
2.360,211.410,0.054120
2.370,52.366,0.166011
2.380,32.518,0.097392
2.390,221.926,0.188741
2.400,262.555,0.147749
2.410,37.704,0.041943
2.420,307.335,0.179980
2.430,315.645,0.503206
2.440,319.753,0.847292
2.450,319.146,0.897705
2.460,319.549,0.930116
2.470,318.348,0.909020
2.480,319.627,0.930515
2.490,318.167,0.894137
2.500,318.927,0.923652
2.510,317.966,0.901965
2.520,318.088,0.923256
2.530,316.705,0.903821
2.540,316.475,0.927665
2.550,315.029,0.919042
2.560,315.622,0.921356
2.570,314.854,0.904259
2.580,316.425,0.917903
2.590,317.878,0.848569
2.600,319.320,0.770615
2.610,318.349,0.498870
2.620,320.076,0.628166
2.630,317.444,0.433340
2.640,315.582,0.223325
2.650,316.532,0.464727
2.660,316.702,0.154261
2.670,316.167,0.172113
2.680,318.527,0.064114
2.690,156.368,0.120791
2.700,32.109,0.043735
2.710,54.046,0.015096
2.720,193.648,0.122673
2.730,589.409,0.086193
2.740,140.677,0.017495
2.750,1215.848,0.003771
2.760,34.129,0.017476
2.770,32.138,0.027336
2.780,119.420,0.016521
2.790,178.257,0.014691
2.800,282.722,0.029579
2.810,32.258,0.121378
2.820,140.371,0.151710
2.830,140.832,0.104265
2.840,141.899,0.086215
2.850,48.025,0.227548
2.860,47.392,0.558902
2.870,47.392,0.030539
2.880,32.516,0.035349
2.890,1747.230,0.091156
2.900,32.193,0.041412
2.910,54.725,0.049324
2.920,54.582,0.045629
2.930,32.269,0.052407
2.940,47.627,0.125499
2.950,47.448,0.642191
2.960,336.782,0.526722
2.970,334.121,0.218310
2.980,183.508,0.279288
2.990,180.785,0.304305
3.000,183.389,0.101195
3.010,1188.463,0.028891
3.020,245.335,0.025990
3.030,49.826,0.263739
3.040,50.627,0.229274
3.050,50.405,0.435097
3.060,49.411,0.437365
3.070,48.793,0.132716
3.080,238.280,0.230326
3.090,47.002,0.156834
3.100,33.097,0.212698
3.110,32.587,0.096383
3.120,33.519,0.131870
3.130,33.843,0.739930
3.140,33.784,0.824601
3.150,33.394,0.198784
3.160,47.158,0.523069
3.170,47.203,0.585660
3.180,46.576,0.206073
3.190,238.197,0.252906
3.200,233.984,0.335736
3.210,141.853,0.151538
3.220,234.729,0.083317
3.230,47.115,0.042350
3.240,46.759,0.119154
3.250,186.887,0.276243
3.260,190.564,0.134018
3.270,32.308,0.212423
3.280,32.276,0.280164
3.290,51.036,0.053521
3.300,84.400,0.015219
3.310,572.849,0.120399
3.320,32.563,0.141452
3.330,32.730,0.466297
3.340,32.447,0.476214
3.350,32.392,0.204993
3.360,49.964,0.138160
3.370,246.197,0.201383
3.380,242.130,0.147515
3.390,241.972,0.560991
3.400,239.686,0.812458
3.410,238.583,0.833409
3.420,237.908,0.826043
3.430,237.664,0.880738
3.440,238.218,0.838601
3.450,236.977,0.845061
3.460,236.513,0.654725
3.470,236.091,0.608835
3.480,236.970,0.343254
3.490,34.424,0.502700
3.500,34.543,0.274415
3.510,46.454,0.557534
3.520,251.693,0.255054
3.530,273.644,0.220381
3.540,281.317,0.332461
3.550,272.434,0.278633
3.560,279.403,0.334371
3.570,238.311,0.632173
3.580,236.533,0.533513
3.590,239.537,0.486145
3.600,239.770,0.113367
3.610,34.426,0.179500
3.620,33.793,0.156528
3.630,262.657,0.320490
3.640,266.249,0.338054
3.650,973.039,0.039877
3.660,41.925,0.094680
3.670,44.875,0.008216
3.680,32.687,0.006813
3.690,32.576,0.007729
3.700,32.299,0.004735
3.710,211.078,0.002950
3.720,1155.244,0.007080
3.730,142.089,0.049703
3.740,40.023,0.059785
3.750,52.681,0.311997
3.760,52.450,0.726162
3.770,159.328,0.162230
3.780,43.370,0.427322
3.790,42.938,0.450244
3.800,32.106,0.272759
3.810,32.053,0.082958
3.820,288.588,0.018527
3.830,42.689,0.102184
3.840,42.685,0.372824
3.850,313.786,0.048696
3.860,52.395,0.174257
3.870,53.052,0.057488
3.880,52.959,0.040281
3.890,35.128,0.027013
3.900,35.067,0.013751
3.910,1140.392,0.012897
3.920,184.093,0.044032
3.930,557.760,0.265141
3.940,549.726,0.245219
3.950,342.321,0.381775
3.960,329.500,0.511052
3.970,324.568,0.724692
3.980,321.967,0.774480
3.990,318.233,0.750814
4.000,319.578,0.394803
4.010,268.641,0.230432
4.020,357.000,0.492628
4.030,267.432,0.425099
4.040,267.898,0.658319
4.050,268.398,0.717223
4.060,268.217,0.769375
4.070,268.014,0.747669
4.080,268.629,0.543371
4.090,357.597,0.514223
4.100,358.178,0.862147
4.110,358.643,0.843918
4.120,356.950,0.895034
4.130,358.049,0.918738
4.140,357.492,0.942012
4.150,357.614,0.948809
