time,frequency,confidence
0.000,646.814,0.068898
0.010,647.710,0.097314
0.020,288.190,0.037810
0.030,546.756,0.048263
0.040,171.459,0.046901
0.050,173.120,0.307514
0.060,43.293,0.719404
0.070,43.347,0.785909
0.080,43.348,0.733938
0.090,43.423,0.682282
0.100,42.638,0.689394
0.110,41.970,0.392000
0.120,41.506,0.621853
0.130,42.206,0.257687
0.140,43.153,0.276838
0.150,43.567,0.168202
0.160,47.342,0.032624
0.170,587.692,0.107822
0.180,596.178,0.080614
0.190,649.234,0.083192
0.200,623.698,0.078114
0.210,626.304,0.089935
0.220,645.187,0.116421
0.230,644.466,0.146124
0.240,658.908,0.079887
0.250,1041.074,0.029439
0.260,79.855,0.081126
0.270,180.610,0.510296
0.280,179.071,0.594773
0.290,177.711,0.716679
0.300,175.792,0.821701
0.310,174.050,0.890873
0.320,173.112,0.898764
0.330,173.608,0.858942
0.340,173.382,0.867095
0.350,172.838,0.869913
0.360,172.288,0.868387
0.370,173.752,0.883167
0.380,175.908,0.812588
0.390,179.095,0.615517
0.400,208.286,0.246574
0.410,228.112,0.393073
0.420,241.286,0.494799
0.430,250.639,0.588171
0.440,259.015,0.815291
0.450,264.034,0.860055
0.460,264.979,0.920347
0.470,262.973,0.928166
0.480,262.676,0.934170
0.490,263.636,0.932292
0.500,262.042,0.937570
0.510,259.160,0.924150
0.520,257.129,0.926878
0.530,256.964,0.906464
0.540,260.432,0.849432
0.550,263.612,0.871873
0.560,265.170,0.949890
0.570,265.923,0.966811
0.580,266.313,0.967487
0.590,266.416,0.966779
0.600,265.121,0.954262
0.610,260.826,0.855755
0.620,254.222,0.876666
0.630,249.823,0.816000
0.640,247.073,0.856326
0.650,246.831,0.903780
0.660,246.709,0.865581
0.670,245.167,0.739506
0.680,238.682,0.490162
0.690,224.895,0.464165
0.700,216.868,0.448552
0.710,216.024,0.317153
0.720,236.066,0.475091
0.730,234.057,0.679604
0.740,232.092,0.814655
0.750,228.846,0.867906
0.760,225.231,0.935137
0.770,223.971,0.957037
0.780,223.660,0.963085
0.790,223.550,0.965718
0.800,223.277,0.962796
0.810,222.765,0.960982
0.820,222.259,0.941839
0.830,222.526,0.942598
0.840,223.208,0.952088
0.850,223.829,0.946988
0.860,224.195,0.935017
0.870,224.691,0.923666
0.880,225.223,0.940730
0.890,225.533,0.941202
0.900,225.157,0.935582
0.910,225.018,0.925624
0.920,225.023,0.926280
0.930,224.934,0.939124
0.940,224.280,0.940442
0.950,224.091,0.946935
0.960,223.700,0.959140
0.970,223.300,0.957813
0.980,222.131,0.901659
0.990,220.219,0.852809
1.000,217.994,0.798361
1.010,217.144,0.801241
1.020,217.925,0.895212
1.030,216.556,0.752130
1.040,212.673,0.558903
1.050,208.437,0.368875
1.060,223.338,0.333745
1.070,223.832,0.642238
1.080,220.331,0.772227
1.090,217.160,0.839554
1.100,214.103,0.827867
1.110,209.877,0.830782
1.120,205.375,0.886618
1.130,202.014,0.851357
1.140,199.484,0.895957
1.150,198.316,0.895934
1.160,197.379,0.856666
1.170,196.979,0.774621
1.180,197.232,0.720604
1.190,199.600,0.746152
1.200,200.628,0.831248
1.210,200.169,0.823678
1.220,200.848,0.861140
1.230,201.062,0.863002
1.240,201.130,0.859204
1.250,201.235,0.865576
1.260,200.878,0.847911
1.270,201.353,0.823804
1.280,202.392,0.821024
1.290,202.342,0.867955
1.300,201.956,0.891651
1.310,200.945,0.887589
1.320,199.805,0.897583
1.330,199.256,0.912776
1.340,198.758,0.916215
1.350,198.538,0.916405
1.360,198.882,0.916030
1.370,199.569,0.902959
1.380,200.298,0.881712
1.390,200.914,0.906086
1.400,201.147,0.902151
1.410,201.429,0.903224
1.420,202.017,0.903613
1.430,201.929,0.906914
1.440,201.520,0.915750
1.450,201.001,0.912697
1.460,201.039,0.922279
1.470,201.936,0.928313
1.480,202.317,0.918666
1.490,201.675,0.930129
1.500,200.181,0.889415
1.510,198.316,0.911193
1.520,197.409,0.931120
1.530,197.140,0.939229
1.540,197.109,0.937038
1.550,196.634,0.934302
1.560,195.388,0.882065
1.570,191.905,0.629466
1.580,185.434,0.816748
1.590,184.715,0.762810
1.600,193.860,0.343869
1.610,202.961,0.532662
1.620,208.312,0.775546
1.630,212.755,0.779088
1.640,218.789,0.738518
1.650,223.823,0.777076
1.660,226.163,0.794342
1.670,225.427,0.794587
1.680,222.723,0.836343
1.690,219.434,0.800985
1.700,214.692,0.565179
1.710,188.172,0.287641
1.720,182.621,0.755806
1.730,176.931,0.523841
1.740,167.895,0.702621
1.750,167.622,0.694766
1.760,172.614,0.502107
1.770,187.363,0.522849
1.780,207.582,0.408896
1.790,210.549,0.575637
1.800,212.903,0.686278
1.810,218.618,0.808813
1.820,222.577,0.891912
1.830,224.595,0.887184
1.840,224.724,0.892933
1.850,222.904,0.868936
1.860,220.195,0.784382
1.870,215.490,0.599866
1.880,212.097,0.471337
1.890,182.366,0.250179
1.900,152.321,0.474132
1.910,150.991,0.821944
1.920,152.954,0.754314
1.930,158.544,0.609390
1.940,163.606,0.505836
1.950,183.620,0.304492
1.960,200.678,0.327150
1.970,206.302,0.485059
1.980,213.834,0.522225
1.990,223.022,0.803936
2.000,228.000,0.791065
2.010,233.561,0.739746
2.020,236.804,0.746022
2.030,237.685,0.679904
2.040,232.561,0.573574
2.050,227.269,0.536681
2.060,222.655,0.542119
2.070,219.971,0.438531
2.080,177.019,0.148833
2.090,163.338,0.381967
2.100,158.450,0.303215
2.110,156.173,0.114046
2.120,165.058,0.259743
2.130,174.888,0.262633
2.140,181.325,0.441762
2.150,185.230,0.290224
2.160,184.882,0.245405
2.170,190.366,0.288008
2.180,215.235,0.482031
2.190,220.889,0.618975
2.200,223.622,0.737289
2.210,223.050,0.856725
2.220,221.929,0.802122
2.230,220.324,0.617088
2.240,216.831,0.493044
2.250,180.342,0.334293
2.260,176.868,0.484237
2.270,173.754,0.237781
2.280,176.311,0.442200
2.290,177.916,0.625499
2.300,177.353,0.457546
2.310,176.239,0.527311
2.320,175.933,0.794732
2.330,178.352,0.672224
2.340,185.497,0.586567
2.350,194.194,0.706160
2.360,198.583,0.762706
2.370,202.071,0.760697
2.380,203.367,0.817934
2.390,201.831,0.724773
2.400,201.055,0.649834
2.410,199.085,0.686152
2.420,198.014,0.415063
2.430,190.121,0.308128
2.440,184.030,0.380838
2.450,224.877,0.445275
2.460,219.716,0.456496
2.470,218.462,0.163203
2.480,208.323,0.330757
2.490,214.689,0.527264
2.500,219.265,0.714747
2.510,219.284,0.679853
2.520,218.916,0.608566
2.530,214.031,0.436441
2.540,216.294,0.206933
2.550,203.756,0.075476
2.560,203.623,0.401373
2.570,201.900,0.669177
2.580,201.757,0.736708
2.590,203.368,0.664796
2.600,201.101,0.725430
2.610,201.870,0.630219
2.620,202.287,0.625569
2.630,200.998,0.433755
2.640,201.364,0.341135
2.650,203.021,0.360332
2.660,200.075,0.259265
2.670,199.668,0.433856
2.680,198.606,0.333360
2.690,198.562,0.515881
2.700,199.801,0.552640
2.710,201.312,0.609270
2.720,200.646,0.773181
2.730,200.699,0.805905
2.740,201.126,0.788600
2.750,200.289,0.748334
2.760,200.210,0.711935
2.770,201.023,0.642456
2.780,199.289,0.532523
2.790,199.420,0.530519
2.800,199.660,0.227576
2.810,167.279,0.404038
2.820,166.808,0.456859
2.830,134.182,0.428018
2.840,133.912,0.740012
2.850,133.757,0.804674
2.860,133.006,0.724234
2.870,133.178,0.739355
2.880,133.478,0.791570
2.890,133.257,0.611317
2.900,164.666,0.130142
2.910,167.903,0.174537
2.920,172.997,0.136740
2.930,175.017,0.130923
2.940,167.403,0.232635
2.950,166.069,0.195116
2.960,167.769,0.406126
2.970,167.470,0.349781
2.980,166.065,0.254625
2.990,167.633,0.513341
3.000,167.277,0.402009
3.010,404.494,0.104044
3.020,403.080,0.403109
3.030,336.589,0.337786
3.040,403.509,0.339034
3.050,165.629,0.478983
3.060,164.447,0.362799
3.070,333.417,0.316815
3.080,334.072,0.402051
3.090,400.106,0.545833
3.100,400.841,0.745444
3.110,400.757,0.635572
3.120,399.347,0.768115
3.130,400.404,0.682630
3.140,401.226,0.469514
3.150,267.550,0.498836
3.160,268.558,0.520638
3.170,134.071,0.465169
3.180,269.351,0.692655
3.190,269.211,0.665884
3.200,133.828,0.514263
3.210,269.536,0.481698
3.220,193.693,0.231826
3.230,185.661,0.561939
3.240,182.184,0.662946
3.250,183.799,0.225589
3.260,258.023,0.260885
3.270,259.363,0.273124
3.280,38.007,0.443628
3.290,37.940,0.281676
3.300,233.279,0.624143
3.310,236.225,0.440395
3.320,243.760,0.571598
3.330,245.684,0.655547
3.340,249.731,0.707207
3.350,247.642,0.552984
3.360,241.813,0.509777
