time,frequency,confidence
0.000,603.530,0.058640
0.010,656.835,0.087265
0.020,663.362,0.055223
0.030,591.239,0.088628
0.040,1959.499,0.019862
0.050,1959.500,0.019838
0.060,1959.500,0.019831
0.070,1959.500,0.019831
0.080,550.891,0.169920
0.090,576.185,0.146944
0.100,288.258,0.180898
0.110,32.609,0.015661
0.120,33.213,0.073807
0.130,1219.076,0.013902
0.140,1222.450,0.008028
0.150,1958.071,0.027381
0.160,698.488,0.033116
0.170,658.166,0.071863
0.180,647.824,0.085113
0.190,659.409,0.106152
0.200,583.628,0.079415
0.210,584.018,0.068766
0.220,537.318,0.046135
0.230,542.443,0.097682
0.240,1959.491,0.019915
0.250,1959.491,0.019915
0.260,1959.491,0.019915
0.270,1959.491,0.019915
0.280,1959.491,0.019915
0.290,1959.491,0.019915
0.300,1959.491,0.019915
0.310,1959.491,0.019915
0.320,1959.491,0.019912
0.330,1959.485,0.019921
0.340,1959.480,0.019931
0.350,1959.473,0.019927
0.360,1959.471,0.019933
0.370,1959.474,0.019929
0.380,1959.482,0.019913
0.390,1959.490,0.019925
0.400,1959.498,0.019922
0.410,1959.502,0.019920
0.420,1959.511,0.019907
0.430,1959.510,0.019884
0.440,1959.507,0.019855
0.450,1959.507,0.019843
0.460,1959.507,0.019843
0.470,1959.496,0.019878
0.480,1959.486,0.019892
0.490,1959.487,0.019894
0.500,1959.488,0.019885
0.510,1959.489,0.019903
0.520,1959.491,0.019928
0.530,1959.488,0.019933
0.540,1959.477,0.019942
0.550,1959.482,0.019944
0.560,1959.479,0.019937
0.570,1959.476,0.019939
0.580,1959.476,0.019926
0.590,1959.480,0.019925
0.600,553.959,0.273934
0.610,577.012,0.161507
0.620,290.631,0.129218
0.630,32.454,0.027436
0.640,32.539,0.023649
0.650,1972.547,0.007416
0.660,986.057,0.003606
0.670,1972.868,0.013737
0.680,658.563,0.037593
0.690,648.177,0.053417
0.700,658.511,0.086191
0.710,661.318,0.080863
0.720,661.424,0.058624
0.730,590.249,0.052763
0.740,717.012,0.026845
0.750,1959.356,0.019744
0.760,1959.458,0.019851
0.770,1959.457,0.019844
0.780,1959.464,0.019836
0.790,1959.470,0.019842
0.800,1959.480,0.019877
0.810,1959.485,0.019884
0.820,1959.479,0.019889
0.830,1955.503,0.011207
0.840,1037.843,0.023863
0.850,658.355,0.068486
0.860,644.822,0.093220
0.870,576.306,0.332005
0.880,581.188,0.152340
0.890,858.305,0.007538
0.900,852.195,0.016691
0.910,940.040,0.017020
0.920,1294.402,0.039368
0.930,1292.898,0.044062
0.940,269.351,0.010390
0.950,1172.024,0.037768
0.960,1179.774,0.016735
0.970,882.385,0.011514
0.980,1192.191,0.008385
0.990,1167.854,0.018700
1.000,1176.483,0.064229
1.010,1177.765,0.077106
1.020,1177.297,0.019924
1.030,598.190,0.011764
1.040,1848.234,0.011326
1.050,1319.453,0.031864
1.060,1313.317,0.062524
1.070,1180.009,0.017958
1.080,1164.643,0.016040
1.090,1182.854,0.021578
1.100,1181.171,0.015871
1.110,1325.307,0.020909
1.120,1312.759,0.022570
1.130,32.196,0.012934
1.140,32.300,0.024662
1.150,32.218,0.118656
1.160,32.549,0.332537
1.170,32.798,0.079251
1.180,32.248,0.010941
1.190,1866.558,0.026261
1.200,1959.430,0.030877
1.210,1176.694,0.027802
1.220,1169.967,0.057681
1.230,717.897,0.021207
1.240,720.495,0.052672
1.250,661.632,0.048622
1.260,1228.900,0.035950
1.270,1204.930,0.012114
1.280,1298.826,0.028234
1.290,40.911,0.032565
1.300,47.281,0.073189
1.310,47.380,0.055563
1.320,47.898,0.062540
1.330,47.532,0.012441
1.340,1033.910,0.008918
1.350,1026.030,0.010257
1.360,32.237,0.006149
1.370,32.698,0.040465
1.380,549.325,0.203382
1.390,32.638,0.067934
1.400,32.219,0.020582
1.410,32.119,0.029720
1.420,54.798,0.006428
1.430,54.650,0.022201
1.440,49.975,0.017767
1.450,49.685,0.014323
1.460,59.622,0.111966
1.470,59.871,0.680606
1.480,59.478,0.582008
1.490,58.237,0.229050
1.500,56.712,0.085276
1.510,1878.636,0.016925
1.520,1870.394,0.036965
1.530,97.542,0.093685
1.540,647.417,0.068781
1.550,660.064,0.036038
1.560,138.674,0.083974
1.570,133.054,0.024235
1.580,45.048,0.031813
1.590,132.241,0.028473
1.600,979.052,0.019568
1.610,54.914,0.042317
1.620,1022.205,0.009807
1.630,32.482,0.016427
1.640,32.516,0.115362
1.650,575.119,0.145683
1.660,273.733,0.017805
1.670,32.255,0.009387
1.680,32.237,0.019355
1.690,1148.255,0.025858
1.700,1170.513,0.042661
1.710,1168.774,0.036532
1.720,1189.468,0.045644
1.730,1183.606,0.095073
1.740,1185.766,0.039800
1.750,525.996,0.086494
1.760,1036.186,0.057922
1.770,588.196,0.141646
1.780,273.172,0.042186
1.790,154.143,0.012144
1.800,1295.246,0.011327
1.810,1734.341,0.021859
1.820,32.327,0.077256
1.830,1763.393,0.031382
1.840,1967.342,0.028736
1.850,1972.502,0.024174
1.860,399.598,0.042280
