time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055955
0.040,1958.538,0.013986
0.050,1958.527,0.013930
0.060,1958.525,0.013944
0.070,1958.525,0.013944
0.080,1958.521,0.013943
0.090,1958.519,0.013955
0.100,1958.528,0.013978
0.110,1958.562,0.014035
0.120,1958.597,0.014081
0.130,1958.615,0.014138
0.140,1958.611,0.014127
0.150,1958.611,0.014127
0.160,1958.612,0.014126
0.170,1958.614,0.014132
0.180,1958.613,0.014133
0.190,1958.615,0.014135
0.200,1958.617,0.014132
0.210,552.597,0.207966
0.220,1038.630,0.017736
0.230,659.473,0.063447
0.240,100.130,0.097250
0.250,577.691,0.067984
0.260,286.666,0.050405
0.270,32.815,0.043833
0.280,33.247,0.171699
0.290,47.418,0.675308
0.300,47.383,0.450534
0.310,142.564,0.010985
0.320,35.374,0.006888
0.330,34.003,0.012509
0.340,32.989,0.033325
0.350,49.580,0.024889
0.360,49.675,0.041834
0.370,981.944,0.005514
0.380,1047.460,0.022487
0.390,139.229,0.013534
0.400,152.858,0.007405
0.410,51.262,0.157758
0.420,50.929,0.614838
0.430,50.949,0.260395
0.440,51.616,0.033359
0.450,32.626,0.014403
0.460,51.667,0.009774
0.470,32.360,0.128505
0.480,32.213,0.094650
0.490,32.513,0.042758
0.500,32.905,0.066699
0.510,32.793,0.528848
0.520,32.708,0.292721
0.530,32.991,0.055107
0.540,49.433,0.112373
0.550,57.512,0.079443
0.560,50.981,0.098452
0.570,50.893,0.024700
0.580,39.410,0.005210
0.590,54.185,0.003839
0.600,1158.725,0.011710
0.610,35.395,0.019730
0.620,1766.339,0.019036
0.630,881.223,0.012254
0.640,879.189,0.007537
0.650,1213.656,0.009549
0.660,1184.176,0.006966
0.670,1733.962,0.010525
0.680,1735.819,0.005470
0.690,1715.362,0.004715
0.700,1694.191,0.005780
0.710,398.073,0.010991
0.720,1696.642,0.011687
0.730,35.343,0.179503
0.740,137.103,0.055440
0.750,138.980,0.108040
0.760,1611.095,0.025898
0.770,48.836,0.103513
0.780,230.022,0.035458
0.790,120.021,0.109388
0.800,587.112,0.033483
0.810,379.562,0.040086
0.820,1759.951,0.029306
0.830,32.226,0.040607
0.840,32.111,0.038460
0.850,1713.733,0.023566
0.860,1755.362,0.066579
0.870,1758.587,0.021853
0.880,591.637,0.046636
0.890,573.656,0.135497
0.900,582.324,0.369786
0.910,589.160,0.113041
0.920,218.321,0.069540
0.930,209.255,0.016638
0.940,32.566,0.014347
0.950,32.305,0.088322
0.960,32.370,0.048225
0.970,82.420,0.024863
0.980,448.648,0.044610
0.990,1178.366,0.032422
1.000,483.543,0.077905
1.010,595.331,0.079852
1.020,447.216,0.196001
1.030,446.483,0.302908
1.040,444.321,0.246457
1.050,285.105,0.101574
1.060,279.059,0.138266
1.070,132.782,0.171461
1.080,129.544,0.231057
1.090,36.463,0.220844
1.100,36.223,0.129789
1.110,35.510,0.058669
1.120,49.575,0.010999
1.130,176.088,0.016989
1.140,1174.942,0.023377
1.150,1022.512,0.014332
1.160,32.013,0.024460
1.170,31.994,0.027729
1.180,32.289,0.024231
1.190,32.986,0.007314
1.200,54.226,0.018366
1.210,591.801,0.048004
1.220,539.381,0.054684
1.230,534.555,0.146958
1.240,389.207,0.038332
1.250,362.890,0.021270
1.260,130.367,0.035228
1.270,143.505,0.033742
1.280,32.849,0.019496
1.290,33.189,0.038697
1.300,32.182,0.015632
1.310,32.080,0.012028
1.320,97.894,0.007878
1.330,1236.204,0.011545
1.340,1025.561,0.031974
1.350,991.248,0.019878
1.360,1872.752,0.012984
1.370,78.910,0.067900
1.380,153.562,0.023410
1.390,138.838,0.025017
1.400,32.980,0.025135
1.410,35.360,0.355086
1.420,576.569,0.292392
1.430,580.795,0.419066
1.440,506.437,0.226544
1.450,75.376,0.207916
1.460,37.014,0.430258
1.470,37.292,0.201299
1.480,49.426,0.111860
1.490,506.143,0.086939
1.500,103.125,0.037541
1.510,520.579,0.034675
1.520,54.575,0.034295
1.530,100.311,0.063435
1.540,652.020,0.238876
1.550,663.636,0.049299
1.560,1128.524,0.008403
1.570,32.787,0.010757
1.580,32.979,0.022003
1.590,1770.932,0.007989
1.600,1768.573,0.018154
1.610,32.245,0.006968
1.620,32.329,0.022497
1.630,32.340,0.034511
1.640,1182.747,0.037227
1.650,32.354,0.078708
1.660,50.844,0.042794
1.670,33.257,0.038510
1.680,32.407,0.007682
1.690,1853.654,0.005271
1.700,59.984,0.012501
1.710,591.939,0.090434
1.720,160.387,0.140369
1.730,32.749,0.118457
1.740,32.759,0.116555
1.750,161.371,0.006852
1.760,991.961,0.004202
1.770,1184.629,0.054550
1.780,32.949,0.008636
1.790,32.902,0.018043
1.800,33.616,0.017867
1.810,33.593,0.006795
1.820,34.003,0.051333
1.830,99.555,0.065445
1.840,98.402,0.049402
1.850,595.298,0.048196
1.860,1797.605,0.021337
1.870,588.664,0.171536
1.880,585.188,0.088770
1.890,327.102,0.179028
1.900,330.734,0.211492
1.910,32.465,0.051844
1.920,32.643,0.029068
1.930,32.283,0.016089
1.940,217.481,0.355881
1.950,218.396,0.169666
1.960,218.015,0.040171
1.970,870.419,0.039507
1.980,879.621,0.019965
1.990,202.166,0.023640
2.000,632.494,0.066961
2.010,651.470,0.083404
2.020,658.460,0.089471
2.030,663.235,0.081335
2.040,1820.354,0.064297
2.050,1832.227,0.063620
2.060,1798.698,0.075015
2.070,180.079,0.073139
2.080,266.177,0.264580
2.090,99.721,0.133668
2.100,32.642,0.102398
2.110,32.375,0.026542
2.120,89.275,0.028931
2.130,84.749,0.017365
2.140,661.285,0.147360
2.150,660.090,0.280104
2.160,652.354,0.405243
2.170,215.123,0.084192
2.180,213.921,0.107020
2.190,584.432,0.302071
2.200,153.611,0.095049
2.210,157.617,0.029917
2.220,32.622,0.058202
2.230,38.245,0.135216
2.240,45.207,0.134702
2.250,45.094,0.045984
2.260,32.691,0.042181
2.270,495.771,0.070534
2.280,526.685,0.046102
2.290,702.611,0.058772
2.300,596.230,0.034907
2.310,466.841,0.026807
2.320,33.215,0.294784
2.330,33.189,0.613205
2.340,32.458,0.375372
2.350,217.393,0.088536
2.360,215.069,0.011114
2.370,32.266,0.013642
2.380,1771.715,0.013491
2.390,1838.119,0.015866
2.400,261.671,0.132781
2.410,194.461,0.087304
2.420,241.754,0.048516
2.430,241.222,0.067144
2.440,224.018,0.058020
2.450,218.926,0.074695
2.460,650.326,0.105833
2.470,213.611,0.154483
2.480,216.338,0.230459
2.490,238.967,0.089282
2.500,241.328,0.096469
2.510,653.816,0.239787
2.520,656.649,0.433249
2.530,32.441,0.257552
2.540,33.233,0.114974
2.550,33.000,0.023383
2.560,1691.332,0.015182
2.570,32.355,0.007592
2.580,662.447,0.045953
2.590,591.384,0.040583
2.600,661.895,0.044278
2.610,671.762,0.043492
2.620,1943.183,0.036643
2.630,1940.223,0.035203
2.640,1408.859,0.042932
2.650,1406.524,0.013107
2.660,1967.982,0.019200
2.670,1971.379,0.025310
2.680,1045.111,0.024498
2.690,1024.500,0.025957
2.700,1165.394,0.078746
2.710,576.406,0.289675
2.720,713.217,0.273683
2.730,686.686,0.267292
2.740,687.233,0.378993
2.750,693.946,0.471955
2.760,700.943,0.427189
2.770,700.462,0.348388
2.780,661.173,0.110647
2.790,660.522,0.056807
2.800,697.536,0.050217
2.810,591.590,0.076647
2.820,444.099,0.075546
2.830,579.538,0.159090
2.840,585.341,0.066089
2.850,32.796,0.018174
2.860,32.312,0.010216
2.870,113.859,0.004326
2.880,36.375,0.006566
2.890,48.679,0.016412
2.900,1011.002,0.011671
2.910,1019.107,0.009710
2.920,100.114,0.039845
2.930,98.048,0.009851
2.940,948.259,0.040483
2.950,268.170,0.012629
2.960,32.276,0.003641
2.970,34.097,0.031658
2.980,49.213,0.343787
2.990,49.398,0.738269
3.000,49.593,0.694847
3.010,50.658,0.343077
3.020,998.644,0.007545
3.030,44.219,0.006569
3.040,1156.932,0.009508
3.050,585.963,0.082256
3.060,590.195,0.065702
3.070,132.740,0.047972
3.080,132.272,0.045346
3.090,1025.529,0.020628
3.100,1036.305,0.033814
3.110,1036.153,0.060269
3.120,1237.081,0.017906
3.130,50.736,0.044257
3.140,50.084,0.467281
3.150,50.303,0.282251
3.160,537.054,0.036783
3.170,536.155,0.050694
3.180,176.643,0.017346
3.190,633.516,0.049615
3.200,641.121,0.169724
3.210,645.641,0.199604
3.220,650.046,0.124073
3.230,652.265,0.023630
3.240,1975.197,0.023146
3.250,1072.545,0.024665
3.260,206.922,0.006141
3.270,1795.829,0.016848
3.280,51.248,0.034074
3.290,1753.620,0.024514
3.300,1687.686,0.019636
3.310,1664.531,0.107009
3.320,1663.579,0.185865
3.330,1661.935,0.460949
3.340,1660.805,0.096756
3.350,1665.210,0.317916
3.360,1655.615,0.195845
3.370,581.109,0.391993
3.380,576.792,0.316783
3.390,32.351,0.050338
3.400,32.613,0.171406
3.410,32.999,0.036603
3.420,1971.551,0.012594
3.430,967.497,0.029869
3.440,658.476,0.108724
3.450,645.501,0.115087
3.460,582.948,0.164844
3.470,582.409,0.379074
3.480,585.957,0.263999
3.490,292.827,0.060870
3.500,1231.631,0.023022
3.510,48.799,0.230060
3.520,48.637,0.092540
3.530,32.737,0.037194
3.540,48.671,0.023868
3.550,217.047,0.028921
3.560,661.669,0.060856
3.570,470.233,0.133908
3.580,468.695,0.053033
3.590,949.418,0.014002
3.600,32.061,0.027985
3.610,452.081,0.022559
3.620,1024.647,0.020512
3.630,1036.130,0.047312
3.640,585.231,0.054247
3.650,657.887,0.046999
3.660,32.231,0.029998
3.670,302.172,0.128766
3.680,302.154,0.153149
3.690,153.629,0.194346
3.700,155.593,0.415052
3.710,157.348,0.476213
3.720,157.604,0.417601
3.730,155.864,0.261892
3.740,315.347,0.166760
3.750,148.365,0.100104
3.760,153.226,0.317599
3.770,153.233,0.705053
3.780,152.143,0.790636
3.790,151.713,0.738762
3.800,152.078,0.455678
3.810,181.294,0.066027
3.820,385.422,0.062656
3.830,385.276,0.133187
3.840,397.546,0.083412
3.850,36.826,0.059917
3.860,37.062,0.008573
3.870,97.839,0.017881
3.880,97.469,0.050805
3.890,95.972,0.065825
3.900,88.034,0.056372
3.910,967.188,0.024006
3.920,1856.990,0.018742
3.930,1866.761,0.016871
3.940,174.519,0.023310
3.950,782.222,0.030396
3.960,156.429,0.057649
3.970,138.940,0.030730
3.980,32.302,0.018108
3.990,962.445,0.021177
4.000,576.780,0.251821
4.010,36.185,0.164686
4.020,47.545,0.067129
4.030,32.923,0.125217
4.040,43.022,0.506476
4.050,257.145,0.347902
4.060,256.644,0.309856
4.070,1013.418,0.060128
4.080,1835.281,0.104753
4.090,1872.826,0.073550
4.100,1934.376,0.071843
4.110,1778.411,0.063917
