time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,1055.736,0.051581
0.190,1035.543,0.016697
0.200,648.602,0.062300
0.210,658.258,0.091612
0.220,203.242,0.068301
0.230,196.608,0.063602
0.240,197.766,0.280206
0.250,102.402,0.169162
0.260,105.143,0.430886
0.270,106.436,0.404629
0.280,107.170,0.310079
0.290,106.881,0.147313
0.300,53.107,0.254410
0.310,212.879,0.440718
0.320,213.009,0.617062
0.330,212.664,0.851086
0.340,212.799,0.883850
0.350,212.894,0.918728
0.360,212.597,0.917857
0.370,212.085,0.912377
0.380,211.594,0.916041
0.390,212.053,0.910136
0.400,211.975,0.898151
0.410,211.799,0.885401
0.420,211.483,0.885762
0.430,211.532,0.867583
0.440,211.600,0.760136
0.450,106.069,0.557798
0.460,105.966,0.750480
0.470,105.962,0.790375
0.480,106.407,0.659517
0.490,106.543,0.513851
0.500,106.508,0.486733
0.510,53.173,0.318250
0.520,53.365,0.459537
0.530,53.645,0.330402
0.540,53.670,0.204303
0.550,34.326,0.114886
0.560,210.181,0.365008
0.570,105.651,0.358694
0.580,210.623,0.385118
0.590,210.453,0.548233
0.600,211.650,0.609372
0.610,212.734,0.605689
0.620,212.898,0.506820
0.630,213.084,0.637365
0.640,212.561,0.689623
0.650,211.951,0.506828
0.660,52.973,0.524565
0.670,53.276,0.563431
0.680,106.588,0.626596
0.690,106.379,0.555271
0.700,106.221,0.546791
0.710,106.583,0.517946
0.720,211.621,0.663126
0.730,211.789,0.636218
0.740,211.360,0.680639
0.750,211.201,0.546064
0.760,105.973,0.520308
0.770,105.631,0.500593
0.780,105.615,0.538048
0.790,105.287,0.486990
0.800,105.483,0.497339
0.810,53.004,0.524482
0.820,106.973,0.442478
0.830,106.559,0.563225
0.840,106.681,0.324609
0.850,105.931,0.215507
0.860,53.008,0.392703
0.870,53.159,0.389530
0.880,53.268,0.319059
0.890,319.617,0.442302
0.900,318.956,0.482315
0.910,318.321,0.464010
0.920,319.714,0.378517
0.930,319.489,0.343127
0.940,320.920,0.477664
0.950,318.635,0.275870
0.960,320.407,0.415688
0.970,53.172,0.176153
0.980,53.295,0.197636
0.990,53.139,0.430903
1.000,53.084,0.616153
1.010,53.322,0.704603
1.020,53.132,0.696936
1.030,53.413,0.846365
1.040,53.205,0.780773
1.050,53.305,0.520442
1.060,52.840,0.404113
1.070,52.687,0.321173
1.080,159.435,0.148328
1.090,158.048,0.180941
1.100,417.664,0.206655
1.110,426.685,0.148725
1.120,52.108,0.138285
1.130,52.275,0.542323
1.140,52.284,0.279620
1.150,158.470,0.362919
1.160,158.921,0.428359
1.170,159.061,0.466351
1.180,157.789,0.643931
1.190,159.023,0.615730
1.200,158.460,0.729315
1.210,158.875,0.518245
1.220,423.203,0.355065
1.230,159.480,0.269513
1.240,159.320,0.242254
1.250,318.929,0.149043
1.260,105.837,0.323219
1.270,105.803,0.511574
1.280,106.197,0.339551
1.290,106.420,0.390660
1.300,106.357,0.562572
1.310,106.656,0.613809
1.320,106.591,0.765230
1.330,106.476,0.778567
1.340,106.404,0.821403
1.350,106.284,0.552027
1.360,106.433,0.436111
1.370,52.936,0.192198
1.380,52.998,0.243697
1.390,320.416,0.201758
1.400,106.828,0.310476
1.410,106.421,0.378779
1.420,105.962,0.255133
1.430,105.494,0.133666
1.440,426.254,0.549214
1.450,213.260,0.577298
1.460,424.512,0.530138
1.470,422.358,0.386561
1.480,422.198,0.301882
1.490,158.530,0.305999
1.500,158.725,0.430444
1.510,158.410,0.561385
1.520,158.388,0.616435
1.530,157.352,0.751373
1.540,157.039,0.802715
1.550,156.171,0.769486
1.560,156.616,0.801958
1.570,157.669,0.636193
1.580,158.880,0.593253
1.590,159.271,0.322139
1.600,53.212,0.219443
1.610,53.071,0.319821
1.620,53.207,0.481044
1.630,52.833,0.292321
1.640,52.661,0.563711
1.650,52.641,0.564643
1.660,159.540,0.267920
1.670,158.176,0.278645
1.680,316.702,0.258126
1.690,160.401,0.300842
1.700,160.185,0.236437
1.710,52.685,0.527070
1.720,158.217,0.480871
1.730,317.066,0.518265
1.740,158.689,0.497975
1.750,159.683,0.537715
1.760,318.622,0.559522
1.770,320.089,0.738948
1.780,321.186,0.409424
