time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1958.310,0.014800
0.050,1958.322,0.014884
0.060,1958.318,0.014870
0.070,1958.314,0.014871
0.080,1958.314,0.014870
0.090,1958.330,0.014834
0.100,1958.326,0.014804
0.110,1958.308,0.014731
0.120,1958.287,0.014679
0.130,1958.275,0.014590
0.140,1958.279,0.014598
0.150,1958.279,0.014598
0.160,1958.279,0.014598
0.170,1958.278,0.014599
0.180,1958.277,0.014599
0.190,1958.274,0.014606
0.200,1958.274,0.014611
0.210,1958.269,0.014615
0.220,1958.267,0.014615
0.230,1958.266,0.014608
0.240,1958.266,0.014608
0.250,1958.266,0.014608
0.260,1958.269,0.014617
0.270,1958.269,0.014624
0.280,1958.270,0.014630
0.290,1958.270,0.014637
0.300,1958.271,0.014647
0.310,1958.275,0.014647
0.320,1958.275,0.014647
0.330,1958.275,0.014647
0.340,1958.275,0.014647
0.350,1958.274,0.014641
0.360,1958.273,0.014641
0.370,1958.272,0.014648
0.380,549.692,0.099101
0.390,554.835,0.139086
0.400,577.441,0.355631
0.410,289.908,0.266371
0.420,288.216,0.117981
0.430,1286.655,0.012227
0.440,1772.546,0.014110
0.450,1239.797,0.016028
0.460,132.267,0.024734
0.470,140.606,0.016272
0.480,144.692,0.008812
0.490,83.631,0.047158
0.500,164.954,0.082015
0.510,165.604,0.029332
0.520,166.634,0.124146
0.530,1857.804,0.051077
0.540,177.007,0.042635
0.550,658.010,0.017208
0.560,1031.653,0.039010
0.570,41.551,0.036943
0.580,230.368,0.078179
0.590,222.950,0.028799
0.600,36.246,0.011968
0.610,33.083,0.028189
0.620,53.403,0.007855
0.630,1961.373,0.010012
0.640,1967.776,0.014175
0.650,1408.466,0.013441
0.660,1405.085,0.013669
0.670,267.164,0.050230
0.680,355.223,0.297784
0.690,363.689,0.254996
0.700,380.220,0.199197
0.710,381.516,0.153087
0.720,375.865,0.240204
0.730,373.183,0.375136
0.740,371.519,0.229331
0.750,371.683,0.223575
0.760,378.233,0.211869
0.770,390.886,0.028724
0.780,387.741,0.059199
0.790,386.153,0.184377
0.800,391.820,0.122286
0.810,593.259,0.052397
0.820,374.188,0.109603
0.830,376.061,0.355834
0.840,375.939,0.352772
0.850,373.672,0.101232
0.860,390.999,0.230203
0.870,385.122,0.171029
0.880,398.507,0.112316
0.890,398.601,0.107826
0.900,397.235,0.099717
0.910,390.510,0.061541
0.920,357.876,0.039723
0.930,337.649,0.072339
0.940,292.205,0.085895
0.950,552.512,0.170449
0.960,577.768,0.120871
0.970,156.216,0.089791
0.980,83.717,0.044983
0.990,32.601,0.051484
1.000,85.530,0.051180
1.010,352.556,0.044426
1.020,312.582,0.110105
1.030,317.561,0.408520
1.040,318.446,0.574267
1.050,318.360,0.601419
1.060,318.227,0.416701
1.070,315.280,0.452580
1.080,314.780,0.548840
1.090,316.485,0.574302
1.100,317.253,0.516254
1.110,317.732,0.793222
1.120,316.782,0.828171
1.130,316.771,0.852726
1.140,315.785,0.808704
1.150,315.773,0.772943
1.160,316.791,0.728814
1.170,317.663,0.719380
1.180,317.450,0.729746
1.190,316.934,0.726037
1.200,316.394,0.777381
1.210,316.650,0.859877
1.220,319.164,0.557870
1.230,323.339,0.367075
1.240,322.963,0.481264
1.250,328.663,0.292090
1.260,381.204,0.112971
1.270,383.464,0.146552
1.280,381.598,0.170532
1.290,382.679,0.253727
1.300,385.660,0.066787
1.310,370.124,0.053645
1.320,982.336,0.047700
1.330,701.909,0.035822
1.340,378.848,0.127658
1.350,381.421,0.256279
1.360,380.914,0.241007
1.370,380.348,0.241075
1.380,376.386,0.319379
1.390,377.160,0.602185
1.400,377.656,0.483107
1.410,553.445,0.172457
1.420,277.680,0.131875
1.430,272.698,0.074940
1.440,33.562,0.051741
1.450,33.464,0.027253
1.460,1228.021,0.041775
1.470,1965.690,0.014158
1.480,1969.130,0.039274
1.490,1970.449,0.030765
1.500,660.719,0.034909
1.510,583.367,0.267933
1.520,292.418,0.259493
1.530,320.405,0.079912
1.540,32.299,0.184239
1.550,32.079,0.244412
1.560,318.078,0.225639
1.570,317.876,0.371837
1.580,316.436,0.361365
1.590,316.605,0.477425
1.600,317.174,0.625713
1.610,316.230,0.504675
1.620,315.468,0.749420
1.630,314.706,0.857400
1.640,314.814,0.922814
1.650,315.485,0.934039
1.660,315.471,0.920608
1.670,315.100,0.902193
1.680,319.217,0.595253
1.690,321.298,0.264851
1.700,318.454,0.051219
1.710,314.989,0.019392
1.720,319.201,0.036303
1.730,323.961,0.082583
1.740,322.398,0.458574
1.750,318.357,0.638519
1.760,316.293,0.714158
1.770,316.176,0.652573
1.780,316.132,0.630225
1.790,318.766,0.581330
1.800,321.509,0.477497
1.810,32.924,0.074562
1.820,33.163,0.365563
1.830,32.061,0.158833
1.840,31.955,0.067799
1.850,32.187,0.013223
1.860,32.239,0.032100
1.870,32.653,0.036078
1.880,32.955,0.043361
1.890,32.865,0.037431
1.900,32.331,0.005065
1.910,129.963,0.011900
1.920,177.984,0.012217
1.930,182.537,0.075110
1.940,204.201,0.055003
1.950,936.320,0.041603
1.960,130.535,0.097860
1.970,42.891,0.443028
1.980,127.616,0.130990
1.990,397.804,0.134206
2.000,397.816,0.051205
2.010,398.549,0.047297
2.020,585.415,0.059845
2.030,389.493,0.224773
2.040,373.874,0.465466
2.050,369.672,0.591513
2.060,366.598,0.371206
2.070,119.565,0.243839
2.080,116.190,0.091207
2.090,33.509,0.027834
2.100,32.149,0.088887
2.110,32.212,0.039987
2.120,32.540,0.080928
2.130,46.386,0.116080
2.140,45.389,0.345843
2.150,45.216,0.123782
2.160,141.151,0.131350
2.170,1168.517,0.012609
2.180,1768.762,0.012427
2.190,32.690,0.033606
2.200,32.659,0.048047
2.210,54.580,0.037457
2.220,33.552,0.046997
2.230,33.744,0.021733
2.240,1054.271,0.036399
2.250,533.917,0.259060
2.260,536.330,0.217243
2.270,538.386,0.031768
2.280,585.030,0.014401
2.290,583.976,0.077693
2.300,582.747,0.106030
2.310,285.956,0.084695
2.320,381.685,0.046693
2.330,289.356,0.067624
2.340,537.195,0.049209
2.350,291.028,0.277173
2.360,323.696,0.233641
2.370,329.782,0.055245
2.380,32.702,0.085281
2.390,323.762,0.103044
2.400,323.412,0.386227
2.410,658.875,0.061478
2.420,1187.533,0.030828
2.430,148.777,0.044728
2.440,1841.921,0.023400
2.450,1845.586,0.013915
2.460,1851.604,0.011717
2.470,139.244,0.027547
2.480,139.929,0.033238
2.490,138.905,0.035282
2.500,590.876,0.083633
2.510,591.227,0.025654
2.520,288.287,0.093866
2.530,181.216,0.119131
2.540,206.716,0.027597
2.550,32.473,0.012863
2.560,951.025,0.019549
2.570,205.971,0.116215
2.580,205.695,0.107028
2.590,597.825,0.085986
2.600,595.758,0.068335
2.610,594.843,0.066114
2.620,243.350,0.068706
2.630,32.386,0.042096
2.640,32.300,0.037714
2.650,33.391,0.009519
2.660,41.370,0.014726
2.670,40.986,0.011779
2.680,40.553,0.221088
2.690,32.550,0.126173
2.700,32.926,0.224989
2.710,55.054,0.038566
2.720,82.436,0.133193
2.730,84.862,0.249399
2.740,86.792,0.014345
2.750,32.242,0.036233
2.760,32.778,0.037198
2.770,146.603,0.040045
2.780,163.703,0.053960
2.790,174.720,0.023444
2.800,175.097,0.033486
2.810,32.018,0.030820
2.820,32.641,0.159007
2.830,32.567,0.048984
2.840,97.772,0.050174
2.850,289.071,0.017788
2.860,32.178,0.008673
2.870,949.480,0.004808
2.880,1158.623,0.013535
2.890,972.640,0.018738
2.900,223.291,0.043401
2.910,366.992,0.118732
2.920,381.666,0.477172
2.930,375.709,0.633497
2.940,374.681,0.716789
2.950,374.055,0.808568
2.960,374.813,0.840103
2.970,374.508,0.821731
2.980,374.556,0.800034
2.990,375.702,0.773629
3.000,376.683,0.754778
3.010,375.626,0.741864
3.020,376.181,0.720235
3.030,379.051,0.611951
3.040,380.753,0.400375
3.050,41.773,0.134951
3.060,41.374,0.338450
3.070,42.174,0.364196
3.080,38.360,0.507551
3.090,38.105,0.392694
3.100,32.335,0.046820
3.110,1117.247,0.024933
3.120,727.151,0.036256
3.130,400.093,0.057708
3.140,395.450,0.072769
3.150,383.227,0.179404
3.160,373.210,0.525189
3.170,373.543,0.489310
3.180,268.637,0.086656
3.190,97.468,0.056218
3.200,32.407,0.085587
3.210,32.874,0.178766
3.220,1322.955,0.011289
3.230,323.393,0.481344
3.240,326.776,0.773009
3.250,329.429,0.834340
3.260,330.657,0.894976
3.270,332.111,0.887617
3.280,334.211,0.867379
3.290,333.805,0.857171
3.300,333.453,0.827752
3.310,333.538,0.872132
3.320,333.744,0.878345
3.330,333.841,0.905689
3.340,334.219,0.949726
3.350,333.714,0.949047
3.360,333.711,0.938030
3.370,333.738,0.926121
3.380,334.198,0.946066
3.390,333.939,0.952502
3.400,333.764,0.948108
3.410,333.597,0.942394
3.420,333.960,0.945924
3.430,333.592,0.951638
3.440,333.389,0.940400
3.450,333.148,0.945846
3.460,333.465,0.940999
3.470,334.616,0.936886
3.480,335.113,0.881961
3.490,333.337,0.628621
3.500,374.624,0.636856
3.510,376.149,0.841664
3.520,375.342,0.855462
3.530,374.178,0.879933
3.540,374.656,0.887433
3.550,373.737,0.874954
3.560,373.939,0.763390
3.570,376.445,0.766683
3.580,375.830,0.768339
3.590,376.912,0.699953
3.600,378.191,0.630136
3.610,380.855,0.403423
3.620,391.646,0.423781
3.630,381.913,0.663822
3.640,378.024,0.538358
3.650,375.065,0.180299
3.660,168.582,0.086909
3.670,376.618,0.158132
3.680,376.107,0.062589
3.690,378.750,0.015692
3.700,383.276,0.026414
3.710,384.404,0.178751
3.720,382.210,0.075380
3.730,381.385,0.053247
3.740,380.978,0.027238
3.750,367.324,0.239235
3.760,333.239,0.370764
3.770,330.105,0.620981
3.780,331.053,0.799300
3.790,331.808,0.885443
3.800,332.438,0.894285
3.810,332.665,0.910934
3.820,332.829,0.903223
3.830,332.675,0.900544
3.840,333.036,0.937775
3.850,332.682,0.935896
3.860,332.569,0.928858
3.870,332.703,0.939150
3.880,332.721,0.939784
3.890,332.813,0.939912
3.900,332.788,0.941464
3.910,332.647,0.930512
3.920,332.429,0.905931
3.930,332.282,0.863745
3.940,333.477,0.848454
3.950,333.840,0.883986
3.960,333.457,0.924561
3.970,333.711,0.942575
3.980,333.503,0.943905
3.990,333.204,0.941863
4.000,333.663,0.940307
4.010,333.230,0.924822
4.020,333.337,0.918249
4.030,333.288,0.890802
4.040,331.858,0.731078
4.050,331.275,0.488881
4.060,332.768,0.116776
4.070,57.803,0.041999
4.080,105.247,0.013433
4.090,382.845,0.038647
4.100,384.048,0.069142
4.110,33.175,0.120604
4.120,32.855,0.034116
4.130,84.177,0.007625
