time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1958.211,0.015469
0.050,1958.218,0.015524
0.060,1958.218,0.015519
0.070,1958.218,0.015519
0.080,1958.217,0.015522
0.090,1958.229,0.015508
0.100,1958.223,0.015487
0.110,1958.212,0.015434
0.120,1958.194,0.015400
0.130,1958.185,0.015340
0.140,1958.185,0.015350
0.150,546.139,0.155765
0.160,564.716,0.096555
0.170,32.884,0.016274
0.180,44.304,0.007680
0.190,44.381,0.062171
0.200,44.337,0.034181
0.210,985.514,0.027894
0.220,988.065,0.071352
0.230,651.951,0.045255
0.240,637.855,0.012092
0.250,586.956,0.080587
0.260,594.183,0.079507
0.270,656.772,0.066425
0.280,632.935,0.098853
0.290,636.013,0.093062
0.300,648.117,0.065460
0.310,575.485,0.121373
0.320,584.933,0.100504
0.330,292.552,0.113588
0.340,284.388,0.093831
0.350,33.537,0.125411
0.360,35.432,0.097139
0.370,35.530,0.055488
0.380,132.977,0.051641
0.390,32.388,0.079007
0.400,120.443,0.026474
0.410,32.561,0.109353
0.420,32.497,0.151494
0.430,71.264,0.645681
0.440,70.865,0.575489
0.450,358.972,0.614248
0.460,357.180,0.779839
0.470,356.384,0.649982
0.480,358.464,0.357159
0.490,357.889,0.587059
0.500,356.867,0.468375
0.510,71.277,0.437853
0.520,356.494,0.397484
0.530,355.280,0.702538
0.540,355.587,0.591081
0.550,356.343,0.438744
0.560,355.837,0.590834
0.570,357.191,0.782469
0.580,355.980,0.734481
0.590,356.312,0.567139
0.600,356.116,0.696692
0.610,356.843,0.765030
0.620,356.613,0.589381
0.630,357.545,0.483454
0.640,358.078,0.328863
0.650,357.948,0.352909
0.660,71.564,0.430819
0.670,71.614,0.463428
0.680,356.602,0.356820
0.690,356.690,0.504375
0.700,356.626,0.549110
0.710,355.704,0.555931
0.720,355.528,0.437189
0.730,355.822,0.304652
0.740,355.507,0.302201
0.750,356.765,0.358127
0.760,358.125,0.373636
0.770,358.405,0.554048
0.780,357.634,0.599353
0.790,358.676,0.579660
0.800,71.284,0.468017
0.810,358.039,0.480843
0.820,358.135,0.558823
0.830,71.212,0.482475
0.840,71.197,0.619208
0.850,71.229,0.441064
0.860,357.096,0.388888
0.870,357.458,0.446574
0.880,356.904,0.605780
0.890,357.247,0.395778
0.900,357.552,0.167833
0.910,118.105,0.237265
0.920,118.317,0.443052
0.930,119.546,0.126679
0.940,120.656,0.018397
0.950,120.027,0.053213
0.960,32.931,0.221905
0.970,32.789,0.210607
0.980,119.549,0.084245
0.990,32.912,0.179825
1.000,355.387,0.692060
1.010,357.321,0.681035
1.020,357.427,0.254682
1.030,357.431,0.304079
1.040,71.392,0.331111
1.050,358.665,0.462518
1.060,357.045,0.770809
1.070,357.978,0.703372
1.080,360.183,0.804995
1.090,356.911,0.842178
1.100,357.300,0.885487
1.110,357.802,0.757915
1.120,357.069,0.752139
1.130,356.560,0.796991
1.140,356.331,0.652534
1.150,356.437,0.658159
1.160,356.378,0.845143
1.170,355.642,0.828566
1.180,355.861,0.802687
1.190,356.492,0.828779
1.200,356.335,0.842724
1.210,355.680,0.833493
1.220,357.034,0.851609
1.230,356.819,0.884740
1.240,355.866,0.864166
1.250,355.527,0.902112
1.260,357.043,0.867073
1.270,357.158,0.845370
1.280,357.218,0.857095
1.290,356.119,0.842914
1.300,355.543,0.608288
1.310,356.600,0.673391
1.320,356.241,0.573063
1.330,355.469,0.470109
1.340,355.822,0.399064
1.350,357.577,0.487127
1.360,357.284,0.563201
1.370,357.853,0.340223
1.380,356.577,0.233879
1.390,1302.282,0.156143
1.400,1314.818,0.247511
1.410,1318.626,0.134977
1.420,33.573,0.027692
1.430,33.506,0.012731
1.440,33.426,0.008482
1.450,89.346,0.004043
1.460,1257.305,0.016940
1.470,1260.117,0.037995
1.480,315.832,0.049096
1.490,322.865,0.227350
1.500,317.723,0.480533
1.510,322.461,0.565871
1.520,269.639,0.519369
1.530,266.728,0.364728
1.540,267.997,0.478440
1.550,53.097,0.532966
1.560,52.887,0.686649
1.570,52.856,0.644642
1.580,53.325,0.404931
1.590,53.569,0.609906
1.600,317.769,0.496356
1.610,321.127,0.651552
1.620,319.292,0.674726
1.630,320.128,0.575527
1.640,319.667,0.745759
1.650,320.326,0.778846
1.660,319.533,0.761264
1.670,320.539,0.670524
1.680,318.058,0.766687
1.690,318.670,0.792807
1.700,318.016,0.787869
1.710,319.871,0.814346
1.720,319.311,0.850296
1.730,319.332,0.810805
1.740,318.669,0.782703
1.750,319.646,0.795549
1.760,318.937,0.735127
1.770,320.645,0.648718
1.780,319.829,0.818972
1.790,320.910,0.850344
1.800,319.321,0.862651
1.810,319.559,0.843919
1.820,318.547,0.753290
1.830,318.946,0.703748
1.840,319.294,0.403477
1.850,319.740,0.511489
1.860,320.159,0.577383
1.870,320.257,0.738312
1.880,319.705,0.616642
1.890,320.605,0.736726
1.900,32.095,0.133147
1.910,32.081,0.200303
1.920,53.700,0.508965
1.930,53.668,0.833681
1.940,53.528,0.762461
1.950,53.470,0.721200
1.960,317.851,0.402779
1.970,319.862,0.611099
1.980,318.604,0.576641
1.990,321.110,0.594308
2.000,320.685,0.602614
2.010,35.942,0.133994
2.020,32.597,0.217280
2.030,53.219,0.202971
2.040,52.828,0.820298
2.050,52.881,0.792068
2.060,52.808,0.677744
2.070,52.909,0.492491
2.080,322.209,0.248621
2.090,326.888,0.511838
2.100,54.063,0.109973
2.110,324.724,0.088444
2.120,325.886,0.159832
2.130,1327.746,0.011246
2.140,1100.967,0.013440
2.150,1101.436,0.035390
2.160,319.472,0.049220
2.170,53.331,0.182354
2.180,266.954,0.489813
2.190,267.469,0.599880
2.200,266.008,0.297604
2.210,53.270,0.047088
2.220,53.165,0.080345
2.230,52.954,0.220000
2.240,53.051,0.597208
2.250,53.484,0.819145
2.260,53.266,0.722609
2.270,53.088,0.742103
2.280,52.795,0.591772
2.290,52.796,0.607054
2.300,52.804,0.343448
2.310,52.967,0.047406
2.320,1083.616,0.040945
2.330,1083.021,0.117164
2.340,1076.484,0.208011
2.350,1078.771,0.085785
2.360,268.924,0.242564
2.370,269.120,0.215683
2.380,317.653,0.155653
2.390,263.268,0.075332
2.400,32.825,0.165344
2.410,32.857,0.022874
2.420,265.394,0.048750
2.430,33.239,0.509051
2.440,48.572,0.123890
2.450,48.558,0.138086
2.460,48.388,0.092256
2.470,32.266,0.041458
2.480,281.090,0.115576
2.490,104.559,0.192167
2.500,105.872,0.222292
2.510,53.060,0.249274
2.520,212.550,0.424239
2.530,212.812,0.781656
2.540,211.545,0.719335
2.550,211.355,0.691250
2.560,211.949,0.736515
2.570,212.920,0.767597
2.580,212.729,0.712842
2.590,210.887,0.576368
2.600,210.206,0.323665
2.610,1249.332,0.033116
2.620,213.231,0.453617
2.630,213.357,0.478298
2.640,213.456,0.811023
2.650,212.936,0.720782
2.660,210.829,0.795444
2.670,212.076,0.840299
2.680,212.416,0.878937
2.690,214.001,0.888794
2.700,214.017,0.859013
2.710,213.698,0.859577
2.720,213.201,0.805373
2.730,213.122,0.603635
2.740,213.798,0.515054
2.750,212.807,0.618183
2.760,213.020,0.808836
2.770,212.354,0.526351
2.780,212.719,0.245469
2.790,212.877,0.131272
2.800,213.614,0.028913
2.810,214.918,0.052991
2.820,1223.538,0.025961
2.830,215.813,0.033834
2.840,212.695,0.048138
2.850,211.163,0.274569
2.860,212.694,0.564515
2.870,213.222,0.689902
2.880,213.486,0.752759
2.890,212.917,0.834720
2.900,212.554,0.862943
2.910,212.886,0.867736
2.920,213.538,0.785800
2.930,213.303,0.725251
2.940,212.690,0.822479
2.950,213.634,0.797435
2.960,213.308,0.673302
2.970,213.818,0.732174
2.980,217.082,0.207689
2.990,32.193,0.033122
3.000,33.209,0.086468
3.010,34.313,0.591484
3.020,44.054,0.014987
3.030,43.905,0.074932
3.040,32.165,0.021843
3.050,115.061,0.009503
3.060,1105.019,0.024729
3.070,1082.335,0.151121
3.080,1088.858,0.233696
3.090,1086.386,0.127171
3.100,216.138,0.086169
3.110,214.627,0.357747
3.120,214.130,0.363223
3.130,53.923,0.317433
3.140,111.819,0.025266
3.150,32.363,0.070371
3.160,32.704,0.014015
3.170,44.571,0.030695
3.180,85.810,0.008153
3.190,85.455,0.016700
3.200,117.762,0.228638
3.210,238.011,0.521755
3.220,237.005,0.690548
3.230,238.025,0.409514
3.240,237.655,0.638093
3.250,236.997,0.309123
3.260,117.346,0.166362
3.270,234.498,0.108424
3.280,238.534,0.208221
3.290,285.720,0.291433
3.300,289.239,0.091284
3.310,35.370,0.127264
3.320,46.924,0.152244
3.330,243.176,0.071990
3.340,240.766,0.249453
3.350,239.590,0.724447
3.360,241.133,0.645292
3.370,237.224,0.517192
3.380,238.054,0.237744
3.390,34.608,0.380628
3.400,126.062,0.150958
3.410,125.516,0.194156
3.420,134.510,0.186437
3.430,47.194,0.158777
3.440,47.264,0.621575
3.450,47.466,0.689292
3.460,47.096,0.483732
3.470,240.178,0.510328
3.480,47.002,0.559783
3.490,234.612,0.081817
3.500,32.891,0.086253
3.510,228.178,0.083300
3.520,952.005,0.015949
3.530,985.356,0.014971
3.540,198.721,0.015288
3.550,1164.735,0.023417
3.560,241.299,0.215159
3.570,241.150,0.531754
3.580,238.107,0.498219
3.590,236.686,0.465686
3.600,237.416,0.618599
3.610,237.175,0.496280
3.620,237.648,0.590647
3.630,238.317,0.253446
3.640,140.762,0.560097
3.650,140.616,0.504365
3.660,238.917,0.300156
3.670,236.838,0.290866
3.680,47.383,0.136234
3.690,33.710,0.181552
3.700,32.964,0.117681
3.710,33.800,0.126173
3.720,33.085,0.005280
3.730,42.792,0.029874
3.740,36.199,0.005485
3.750,33.605,0.011195
3.760,33.491,0.008315
3.770,33.009,0.061869
3.780,57.557,0.011150
3.790,56.733,0.005557
3.800,119.613,0.032691
3.810,48.051,0.330549
3.820,239.843,0.430064
3.830,239.056,0.459279
3.840,238.240,0.595537
3.850,238.489,0.622161
3.860,239.294,0.814221
3.870,238.457,0.730037
3.880,237.995,0.637872
3.890,239.020,0.604029
3.900,119.406,0.130990
3.910,32.287,0.056673
3.920,33.134,0.171986
3.930,33.015,0.078763
3.940,116.948,0.093840
3.950,116.579,0.129467
3.960,186.897,0.176784
3.970,188.193,0.167719
3.980,1155.125,0.117847
3.990,1155.966,0.174634
4.000,1162.885,0.143888
4.010,1157.726,0.062129
4.020,1157.299,0.055131
4.030,237.062,0.146609
4.040,239.309,0.255303
4.050,190.861,0.258957
4.060,115.942,0.206849
4.070,117.229,0.211981
4.080,117.759,0.125985
4.090,239.358,0.193063
4.100,240.055,0.372962
4.110,238.307,0.583989
4.120,237.314,0.420436
4.130,47.160,0.118524
4.140,46.970,0.124562
4.150,47.460,0.046285
