time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,1957.600,0.014470
0.070,1957.600,0.014470
0.080,1957.600,0.014472
0.090,1957.589,0.014478
0.100,1957.590,0.014498
0.110,1957.600,0.014553
0.120,1957.615,0.014588
0.130,32.621,0.102671
0.140,586.692,0.067280
0.150,658.429,0.072754
0.160,624.259,0.104504
0.170,626.691,0.123126
0.180,52.032,0.017650
0.190,32.165,0.059709
0.200,33.790,0.364498
0.210,940.030,0.026185
0.220,945.699,0.023804
0.230,950.301,0.008396
0.240,1206.036,0.025033
0.250,1225.677,0.025530
0.260,1889.977,0.008015
0.270,1906.152,0.008034
0.280,1893.492,0.012110
0.290,1468.108,0.043309
0.300,1461.559,0.045155
0.310,348.558,0.010459
0.320,350.094,0.024039
0.330,864.172,0.020629
0.340,52.114,0.011818
0.350,54.336,0.010911
0.360,54.759,0.020937
0.370,56.696,0.019979
0.380,140.132,0.047011
0.390,140.073,0.035779
0.400,1229.733,0.016624
0.410,1838.516,0.008736
0.420,1845.545,0.009950
0.430,1218.471,0.006428
0.440,1775.903,0.017674
0.450,1164.797,0.011728
0.460,1468.895,0.019831
0.470,32.161,0.230140
0.480,32.262,0.133401
0.490,1974.884,0.011971
0.500,1323.648,0.014055
0.510,1024.158,0.022356
0.520,1023.983,0.056980
0.530,1033.870,0.036941
0.540,860.478,0.056641
0.550,203.814,0.035514
0.560,589.307,0.031922
0.570,189.418,0.027757
0.580,177.873,0.037298
0.590,1022.489,0.036155
0.600,1019.917,0.021926
0.610,973.475,0.004644
0.620,460.799,0.030670
0.630,51.501,0.020074
0.640,156.984,0.016395
0.650,463.206,0.082101
0.660,1431.916,0.011696
0.670,32.324,0.008265
0.680,34.012,0.043233
0.690,54.773,0.021631
0.700,54.544,0.013464
0.710,1181.591,0.016152
0.720,32.679,0.018036
0.730,999.877,0.012465
0.740,152.756,0.107245
0.750,119.768,0.046578
0.760,150.968,0.078026
0.770,149.529,0.350387
0.780,150.708,0.309363
0.790,152.350,0.070748
0.800,32.184,0.012137
0.810,32.260,0.005317
0.820,177.474,0.044726
0.830,634.193,0.048665
0.840,633.723,0.086584
0.850,632.895,0.062003
0.860,632.490,0.056904
0.870,1426.155,0.033954
0.880,43.021,0.006873
0.890,37.919,0.008427
0.900,44.247,0.008270
0.910,54.697,0.006059
0.920,54.791,0.046324
0.930,177.017,0.016222
0.940,164.411,0.012460
0.950,50.026,0.130646
0.960,50.121,0.162833
0.970,50.001,0.058006
0.980,1017.842,0.009829
0.990,966.171,0.037432
1.000,634.646,0.039686
1.010,403.488,0.050792
1.020,590.601,0.059073
1.030,1183.039,0.015059
1.040,594.812,0.060355
1.050,179.210,0.066135
1.060,163.085,0.030894
1.070,1167.262,0.033253
1.080,1186.271,0.032893
1.090,1220.024,0.025283
1.100,1323.409,0.009516
1.110,1020.284,0.023250
1.120,32.131,0.022425
1.130,46.874,0.236528
1.140,139.050,0.045824
1.150,1235.999,0.020026
1.160,652.453,0.056742
1.170,326.108,0.076318
1.180,288.972,0.056991
1.190,32.218,0.027662
1.200,300.701,0.019370
1.210,48.930,0.027907
1.220,588.136,0.089448
1.230,32.229,0.171400
1.240,48.595,0.013186
1.250,590.892,0.010558
1.260,1210.503,0.008113
1.270,1320.460,0.020444
1.280,32.395,0.037805
1.290,32.984,0.016493
1.300,32.399,0.005985
1.310,1322.294,0.008797
1.320,975.058,0.016241
1.330,1318.316,0.019562
1.340,42.809,0.027406
1.350,179.659,0.014976
1.360,50.504,0.046854
1.370,50.409,0.569921
1.380,50.662,0.644792
1.390,50.663,0.195155
1.400,32.198,0.006932
1.410,633.642,0.023312
1.420,634.821,0.078263
1.430,593.114,0.090355
1.440,32.530,0.036169
1.450,591.027,0.031238
1.460,595.765,0.031404
1.470,169.626,0.043063
1.480,168.717,0.069852
1.490,32.540,0.014935
1.500,172.620,0.219796
1.510,172.809,0.392863
1.520,175.011,0.501308
1.530,175.122,0.208999
1.540,174.795,0.023883
1.550,1250.962,0.021556
1.560,1288.068,0.011347
1.570,32.515,0.006360
1.580,1319.613,0.006552
1.590,49.253,0.006115
1.600,49.549,0.020041
1.610,51.024,0.119754
1.620,1254.407,0.005038
1.630,952.933,0.014063
1.640,206.886,0.023562
1.650,591.303,0.037481
1.660,32.545,0.010884
1.670,32.190,0.014051
1.680,934.127,0.026428
1.690,633.376,0.078375
1.700,177.251,0.028491
1.710,215.906,0.029990
1.720,48.945,0.034818
1.730,49.373,0.082210
1.740,1190.400,0.011466
1.750,1851.208,0.013262
1.760,177.766,0.019866
1.770,518.867,0.020349
1.780,172.717,0.042473
1.790,38.597,0.033132
1.800,38.048,0.035070
1.810,31.983,0.065841
1.820,1317.547,0.013513
1.830,658.339,0.050793
1.840,657.253,0.047248
1.850,660.981,0.042907
1.860,157.523,0.033531
1.870,397.479,0.021489
1.880,591.925,0.125293
1.890,592.875,0.065082
1.900,166.437,0.106970
1.910,166.531,0.082997
1.920,164.665,0.040190
1.930,979.297,0.022338
1.940,1040.430,0.032164
1.950,635.944,0.067311
1.960,635.705,0.058328
1.970,1034.265,0.026033
1.980,36.318,0.202123
1.990,36.235,0.303035
2.000,34.579,0.024523
2.010,32.898,0.024908
2.020,98.862,0.017537
2.030,652.265,0.153880
2.040,638.883,0.073191
2.050,51.838,0.231140
2.060,51.852,0.420233
2.070,52.225,0.495130
2.080,52.149,0.281564
2.090,624.166,0.176945
2.100,617.637,0.322633
2.110,299.088,0.256622
2.120,288.696,0.525706
2.130,287.062,0.613650
2.140,285.624,0.666274
2.150,284.995,0.638006
2.160,276.115,0.549860
2.170,262.361,0.567788
2.180,251.668,0.688228
2.190,244.875,0.671325
2.200,245.871,0.454450
2.210,222.752,0.067122
2.220,217.378,0.403929
2.230,212.874,0.433273
2.240,212.487,0.242448
2.250,600.559,0.105674
2.260,108.087,0.006232
2.270,36.935,0.153115
2.280,60.494,0.097948
2.290,37.902,0.045089
2.300,32.646,0.026198
2.310,54.447,0.023739
2.320,655.667,0.093357
2.330,268.783,0.271316
2.340,276.909,0.285766
2.350,260.378,0.469095
2.360,257.037,0.665028
2.370,255.807,0.665953
2.380,254.851,0.638889
2.390,251.023,0.663569
2.400,242.496,0.509438
2.410,223.965,0.330001
2.420,213.062,0.163326
2.430,110.414,0.146749
2.440,36.132,0.109765
2.450,251.230,0.121922
2.460,246.256,0.233975
2.470,249.302,0.102601
2.480,256.983,0.247107
2.490,241.429,0.238688
2.500,266.168,0.144075
2.510,156.333,0.114181
2.520,657.088,0.336466
2.530,657.559,0.447104
2.540,655.350,0.727202
2.550,325.587,0.373451
2.560,290.990,0.495495
2.570,279.069,0.596953
2.580,274.479,0.523382
2.590,266.925,0.438570
2.600,260.201,0.574260
2.610,252.930,0.779039
2.620,244.204,0.664291
2.630,240.291,0.615596
2.640,222.705,0.369249
2.650,219.189,0.223949
2.660,586.738,0.059423
2.670,119.083,0.133900
2.680,253.853,0.069818
2.690,253.521,0.118253
2.700,126.231,0.038787
2.710,33.047,0.017168
2.720,35.237,0.010314
2.730,247.171,0.041191
2.740,248.007,0.163106
2.750,253.571,0.386818
2.760,258.689,0.347513
2.770,100.346,0.139332
2.780,33.572,0.360658
2.790,33.081,0.247476
2.800,33.068,0.357150
2.810,33.011,0.506250
2.820,32.882,0.164552
2.830,43.536,0.116061
2.840,257.328,0.164668
2.850,45.893,0.052814
2.860,45.887,0.012889
2.870,967.998,0.018919
2.880,278.396,0.412327
2.890,273.785,0.434789
2.900,268.424,0.528148
2.910,267.141,0.701869
2.920,265.735,0.718764
2.930,261.938,0.570258
2.940,247.188,0.218127
2.950,588.203,0.111057
2.960,487.118,0.085324
2.970,146.278,0.053830
2.980,1179.076,0.020650
2.990,33.071,0.096695
3.000,1838.970,0.019778
3.010,265.832,0.160825
3.020,272.170,0.154422
3.030,279.294,0.342848
3.040,278.992,0.334658
3.050,277.831,0.311106
3.060,263.529,0.175986
3.070,33.164,0.052060
3.080,33.202,0.455927
3.090,33.029,0.493329
3.100,32.465,0.114305
3.110,120.211,0.085733
3.120,273.114,0.175064
3.130,276.128,0.374245
3.140,274.008,0.278115
3.150,269.230,0.116523
3.160,791.679,0.044405
3.170,32.113,0.033602
3.180,32.037,0.018425
3.190,32.189,0.017682
3.200,32.220,0.017269
3.210,32.161,0.034680
3.220,32.143,0.023305
3.230,32.512,0.005789
3.240,518.579,0.024808
3.250,1027.532,0.035215
3.260,1025.431,0.051559
3.270,523.469,0.046441
3.280,528.112,0.025748
3.290,33.450,0.079530
3.300,34.021,0.379088
3.310,34.565,0.121503
3.320,32.529,0.043243
3.330,880.461,0.024262
3.340,1672.856,0.066135
3.350,1693.098,0.069806
3.360,1779.090,0.010316
3.370,32.553,0.005464
3.380,32.969,0.023491
3.390,32.655,0.100188
3.400,154.135,0.123138
3.410,151.931,0.235214
3.420,151.754,0.151059
3.430,183.681,0.086516
3.440,1736.763,0.029775
3.450,1784.142,0.017747
3.460,1841.523,0.013151
3.470,53.086,0.035451
3.480,1822.422,0.019383
3.490,1737.049,0.015011
3.500,1226.429,0.008010
3.510,1233.068,0.020644
3.520,1232.919,0.015233
3.530,1179.170,0.002152
3.540,1174.249,0.002889
3.550,138.516,0.006609
3.560,1971.673,0.008487
3.570,1210.303,0.019306
3.580,1232.994,0.031214
3.590,1748.751,0.032145
3.600,1845.914,0.015700
3.610,1737.642,0.006067
3.620,1753.975,0.029374
3.630,873.781,0.017661
3.640,882.893,0.012116
3.650,1787.764,0.027474
3.660,1840.882,0.025739
3.670,1829.438,0.027499
3.680,1830.173,0.022964
3.690,1821.894,0.033547
3.700,1682.214,0.035433
3.710,32.359,0.012094
3.720,1169.033,0.016295
3.730,1193.306,0.020516
3.740,33.057,0.025507
3.750,32.941,0.040146
3.760,33.316,0.015387
3.770,33.114,0.067332
3.780,404.688,0.067827
3.790,416.563,0.071286
3.800,1723.215,0.061703
3.810,1726.454,0.076484
3.820,867.696,0.030880
3.830,177.342,0.017532
3.840,178.743,0.006416
3.850,1109.973,0.008182
3.860,44.930,0.011491
3.870,33.012,0.024742
3.880,1967.452,0.004213
3.890,1322.103,0.007353
3.900,712.077,0.026328
3.910,693.020,0.165698
3.920,691.115,0.103915
3.930,576.758,0.258211
3.940,292.642,0.356996
3.950,298.054,0.526063
3.960,296.837,0.652282
3.970,293.830,0.677405
3.980,293.306,0.672903
3.990,290.682,0.507302
4.000,272.304,0.593851
4.010,255.198,0.443778
4.020,241.639,0.507360
4.030,224.771,0.313531
4.040,223.343,0.397469
4.050,671.098,0.212398
4.060,681.111,0.401442
4.070,692.317,0.608521
4.080,705.643,0.714208
4.090,717.025,0.802540
4.100,722.834,0.797202
4.110,704.087,0.608096
